region_set	control_set	module_id	track_id	mark	stage	n_regions	mean_signal	max_signal	signal_density	overlap_fraction	peak_count_mean
matched_random	matched_non_age_0001	M01	H3K27me3_blastocyst	H3K27me3	blastocyst	21	0.09523809523809523	1.0	0.09523809523809523	0.09523809523809523	0.09523809523809523
matched_random	matched_non_age_0001	M01	H3K27me3_morula	H3K27me3	morula	21	0.047619047619047616	1.0	0.047619047619047616	0.047619047619047616	0.047619047619047616
matched_random	matched_non_age_0001	M01	H3K4me3_8cell	H3K4me3	8cell	21	0.16634363551253634	1.0	0.16634363551253634	0.19047619047619047	0.19047619047619047
matched_random	matched_non_age_0001	M01	H3K4me3_blastocyst	H3K4me3	blastocyst	21	0.06383250351078769	1.0	0.06383250351078769	0.09523809523809523	0.09523809523809523
matched_random	matched_non_age_0001	M02	H3K27ac_8cell	H3K27ac	8cell	30	0.1	1.0	0.1	0.1	0.1
matched_random	matched_non_age_0001	M02	H3K27ac_blastocyst	H3K27ac	blastocyst	30	0.1255026455026455	1.0	0.1255026455026455	0.13333333333333333	0.13333333333333333
matched_random	matched_non_age_0001	M02	H3K27me3_8cell	H3K27me3	8cell	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M02	H3K27me3_blastocyst	H3K27me3	blastocyst	30	0.1528735632183908	1.0	0.1528735632183908	0.16666666666666666	0.16666666666666666
matched_random	matched_non_age_0001	M02	H3K27me3_morula	H3K27me3	morula	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M02	H3K4me3_8cell	H3K4me3	8cell	30	0.057383966244725734	1.0	0.057383966244725734	0.06666666666666667	0.06666666666666667
matched_random	matched_non_age_0001	M02	H3K4me3_blastocyst	H3K4me3	blastocyst	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M05	H3K27ac_8cell	H3K27ac	8cell	6	0.5	1.0	0.5	0.5	0.5
matched_random	matched_non_age_0001	M05	H3K27ac_blastocyst	H3K27ac	blastocyst	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M05	H3K27me3_8cell	H3K27me3	8cell	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M05	H3K27me3_blastocyst	H3K27me3	blastocyst	6	0.16666666666666666	1.0	0.16666666666666666	0.16666666666666666	0.16666666666666666
matched_random	matched_non_age_0001	M05	H3K27me3_morula	H3K27me3	morula	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M05	H3K4me3_8cell	H3K4me3	8cell	6	0.16666666666666666	1.0	0.16666666666666666	0.16666666666666666	0.16666666666666666
matched_random	matched_non_age_0001	M05	H3K4me3_blastocyst	H3K4me3	blastocyst	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M10	H3K27ac_8cell	H3K27ac	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M10	H3K27ac_blastocyst	H3K27ac	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M10	H3K27me3_8cell	H3K27me3	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M10	H3K27me3_blastocyst	H3K27me3	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M10	H3K27me3_morula	H3K27me3	morula	3	0.0	0.0	0.0	0.0	0.0
