scan_type	control_name	alpha	control_PC1	control_PC2	control_PC3	control_norm	control_cosine_to_measured_correction	PC3_negative_pull_recovery	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	latent_variance_trace	covariance_eigen_min	covariance_eigen_max	covariance_anisotropy	mean_radial_distance_before	mean_radial_distance_after	radial_distance_reduction	fraction_particles_moved_closer	modules	n_modules
module_specific	M05	0.0	-0.0	-0.0	-0.0	0.0	0.8296942751524218	0.0	1.1978195174977648	0.9341820819670775	0.9933246677631877	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376	0.5285826573934536	0.03374192641412863	0.32350109146095457	9.587511023552842	2.163377528533326	2.163377528533326	0.0	0.0	M05	1
module_specific	M05	0.05	-0.00354760074030049	-0.016238810286646095	-0.025801489584937748	0.030692039608665872	0.8296942751524218	0.013455731545457303	1.1831586371016984	0.9246044704671212	0.9495003386180286	0.8487798699346263	0.24507245584718182	0.6256461241141381	0.24559685185951502	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1388139234403467	1.0224014859114376	0.5285826573934534	0.03374192641412861	0.3235010914609549	9.587511023552857	2.163377528533326	2.1388139234403467	0.02456360509297939	1.0	M05	1
module_specific	M05	0.1	-0.00709520148060098	-0.03247762057329219	-0.051602979169875496	0.061384079217331744	0.8296942751524218	0.026911463090914606	1.1685825283058435	0.9148158537563154	1.0301676795906225	0.8487798699346262	0.24492900914877652	0.6262612919203342	0.24545349339506556	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.114403577643393	1.0224014859114376	0.5285826573934537	0.03374192641412867	0.3235010914609549	9.587511023552842	2.163377528533326	2.114403577643393	0.04897395088993317	1.0	M05	1
module_specific	M05	0.15	-0.010642802220901469	-0.04871643085993828	-0.07740446875481324	0.0920761188259976	0.8296942751524218	0.04036719463637191	1.1540944030877922	0.9048176686662953	0.9376820653286717	0.8487798699346262	0.24478812516152776	0.6268662721835816	0.24531268221811262	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.0901516244886817	1.0224014859114376	0.5285826573934536	0.033741926414128626	0.32350109146095446	9.58751102355284	2.163377528533326	2.0901516244886817	0.07322590404464435	1.0	M05	1
module_specific	M05	0.2	-0.01419040296120196	-0.06495524114658438	-0.10320595833975099	0.12276815843466349	0.8296942751524218	0.05382292618182921	1.139697616861164	0.8946117914366943	1.0109569918961763	0.8487798699346262	0.24464985671163705	0.6274607795924225	0.24517441840066453	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.0660633976469422	1.0224014859114376	0.5285826573934536	0.03374192641412863	0.32350109146095457	9.587511023552842	2.163377528533326	2.0660633976469422	0.09731413088638385	1.0	M05	1
module_specific	M05	0.25	-0.01773800370150245	-0.08119405143323047	-0.12900744792468874	0.15346019804332936	0.8296942751524218	0.06727865772728651	1.12539567503302	0.8843086109525353	0.9371362230724112	0.8487798699346263	0.2445141896274729	0.6280449221224783	0.24503870386429416	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.042144439295715	1.0224014859114376	0.5285826573934534	0.03374192641412861	0.3235010914609548	9.587511023552855	2.163377528533326	2.042144439295715	0.12123308923761122	1.0	M05	1
module_specific	M05	0.3	-0.021285604441802938	-0.09743286171987656	-0.1548089375096265	0.1841522376519952	0.8296942751524218	0.08073438927274382	1.1111922397814862	0.8737117105528831	0.9980924521805422	0.8487798699346262	0.24438129372217177	0.6286177865100852	0.2449055323773932	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4444444444444444	0.875	0.875	2.0184005086007506	1.0224014859114376	0.5285826573934537	0.03374192641412864	0.3235010914609545	9.587511023552839	2.163377528533326	2.0184005086007506	0.1449770199325755	1.0	M05	1
module_specific	M05	0.35	-0.024833205182103427	-0.11367167200652264	-0.18061042709456424	0.21484427726066108	0.8296942751524218	0.09419012081820112	1.0970911370445602	0.862915216003302	1.0028716928565697	0.8487798699346262	0.24425093708832002	0.6291805804480651	0.2447748998184436	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4444444444444444	0.875	0.875	1.994837590500047	1.0224014859114376	0.5285826573934537	0.03374192641412867	0.3235010914609549	9.587511023552842	2.163377528533326	1.994837590500047	0.16853993803327905	1.0	M05	1
module_specific	M05	0.4	-0.02838080592240392	-0.12991048229316876	-0.20641191667950198	0.24553631686932698	0.8296942751524218	0.10764585236365842	1.0830963637075028	0.8519229289211883	0.9592729852848128	0.8487798699346263	0.24412310041054694	0.6297334336012733	0.24464680985016823	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4666666666666667	0.875	0.875	1.9714619047925481	1.0224014859114376	0.5285826573934534	0.03374192641412861	0.3235010914609548	9.587511023552855	2.163377528533326	1.9714619047925481	0.19191562374077797	1.0	M05	1
module_specific	M05	0.45	-0.03192840666270441	-0.14614929257981485	-0.23221340626443973	0.2762283564779928	0.8296942751524218	0.12110158390911573	1.0692120949721178	0.8408613714464854	0.9302080938667026	0.8487798699346262	0.24399783908963332	0.6302760125724947	0.24452126269310154	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4888888888888889	0.875	0.875	1.9482799155316322	1.0224014859114376	0.5285826573934536	0.03374192641412862	0.32350109146095446	9.587511023552842	2.163377528533326	1.9482799155316322	0.21509761300169394	1.0	M05	1
