from_stage	to_stage	from_sample_id	to_sample_id	from_tau	to_tau	delta_tau	sample_coupling_weight	n_particle_couplings
MII oocyte	zygote/PN	GSM2146951	GSM2481554	0.0	0.16666666666666666	0.16666666666666666	0.001504714739496633	9
MII oocyte	zygote/PN	GSM2146951	GSM2481555	0.0	0.16666666666666666	0.16666666666666666	0.0008341557349283149	9
MII oocyte	zygote/PN	GSM2146951	GSM2481558	0.0	0.16666666666666666	0.16666666666666666	0.0002586369003841454	9
MII oocyte	zygote/PN	GSM2146951	GSM2481559	0.0	0.16666666666666666	0.16666666666666666	0.0014330488633710636	9
MII oocyte	zygote/PN	GSM2146951	GSM2481560	0.0	0.16666666666666666	0.16666666666666666	0.00010760174571933023	9
MII oocyte	zygote/PN	GSM2146951	GSM2481561	0.0	0.16666666666666666	0.16666666666666666	0.001462650033340091	9
MII oocyte	zygote/PN	GSM2146951	GSM2481562	0.0	0.16666666666666666	0.16666666666666666	0.0014791582044865915	9
MII oocyte	zygote/PN	GSM2146951	GSM2481563	0.0	0.16666666666666666	0.16666666666666666	0.00010944263616366923	9
MII oocyte	zygote/PN	GSM2146951	GSM2481564	0.0	0.16666666666666666	0.16666666666666666	0.0014663721857150994	9
MII oocyte	zygote/PN	GSM2146951	GSM2481565	0.0	0.16666666666666666	0.16666666666666666	1.0742191020324812e-05	9
MII oocyte	zygote/PN	GSM2146951	GSM2481566	0.0	0.16666666666666666	0.16666666666666666	0.0014883810002965696	9
MII oocyte	zygote/PN	GSM2146951	GSM2481567	0.0	0.16666666666666666	0.16666666666666666	0.0014679791395046592	9
MII oocyte	zygote/PN	GSM2146951	GSM2481571	0.0	0.16666666666666666	0.16666666666666666	0.00030504091115700143	9
MII oocyte	zygote/PN	GSM2146951	GSM2481572	0.0	0.16666666666666666	0.16666666666666666	0.0014809163771083546	9
MII oocyte	zygote/PN	GSM2146951	GSM2481573	0.0	0.16666666666666666	0.16666666666666666	0.0013314376716988215	9
MII oocyte	zygote/PN	GSM2146951	GSM2481574	0.0	0.16666666666666666	0.16666666666666666	0.001392805294655429	9
MII oocyte	zygote/PN	GSM2146951	GSM2481575	0.0	0.16666666666666666	0.16666666666666666	0.0014662913728898308	9
MII oocyte	zygote/PN	GSM2146951	GSM2481576	0.0	0.16666666666666666	0.16666666666666666	0.0003326898326863599	9
MII oocyte	zygote/PN	GSM2146951	GSM2481577	0.0	0.16666666666666666	0.16666666666666666	8.335786453243455e-05	9
MII oocyte	zygote/PN	GSM2146951	GSM2481578	0.0	0.16666666666666666	0.16666666666666666	0.0011282749601151604	9
MII oocyte	zygote/PN	GSM2146951	GSM2986327	0.0	0.16666666666666666	0.16666666666666666	0.0014236157779828813	9
MII oocyte	zygote/PN	GSM2146951	GSM2986328	0.0	0.16666666666666666	0.16666666666666666	3.0506242387009134e-05	9
MII oocyte	zygote/PN	GSM2146951	GSM2986329	0.0	0.16666666666666666	0.16666666666666666	0.0014183702894635497	9
MII oocyte	zygote/PN	GSM2146951	GSM2986330	0.0	0.16666666666666666	0.16666666666666666	0.0013617203874989677	9
MII oocyte	zygote/PN	GSM2146951	GSM2986331	0.0	0.16666666666666666	0.16666666666666666	0.0012633600068132703	9
MII oocyte	zygote/PN	GSM2146951	GSM2986332	0.0	0.16666666666666666	0.16666666666666666	4.829337629764223e-05	9
MII oocyte	zygote/PN	GSM2146951	GSM2986333	0.0	0.16666666666666666	0.16666666666666666	0.0013982037285652147	9
MII oocyte	zygote/PN	GSM2146951	GSM2986334	0.0	0.16666666666666666	0.16666666666666666	1.1691356730296994e-06	9
MII oocyte	zygote/PN	GSM2146951	GSM2986335	0.0	0.16666666666666666	0.16666666666666666	0.0014329001173243392	9
MII oocyte	zygote/PN	GSM2146951	GSM2986336	0.0	0.16666666666666666	0.16666666666666666	0.0002559410565014766	9
MII oocyte	zygote/PN	GSM2146952	GSM2481554	0.0	0.16666666666666666	0.16666666666666666	3.9186995804982324e-06	9
MII oocyte	zygote/PN	GSM2146952	GSM2481555	0.0	0.16666666666666666	0.16666666666666666	8.016078338113166e-05	9
MII oocyte	zygote/PN	GSM2146952	GSM2481558	0.0	0.16666666666666666	0.16666666666666666	0.000748616017546615	9
MII oocyte	zygote/PN	GSM2146952	GSM2481559	0.0	0.16666666666666666	0.16666666666666666	9.001100869029212e-07	9
MII oocyte	zygote/PN	GSM2146952	GSM2481560	0.0	0.16666666666666666	0.16666666666666666	0.0023469783387282165	9
MII oocyte	zygote/PN	GSM2146952	GSM2481561	0.0	0.16666666666666666	0.16666666666666666	1.044784056199219e-06	9
MII oocyte	zygote/PN	GSM2146952	GSM2481562	0.0	0.16666666666666666	0.16666666666666666	3.175410092433958e-06	9
MII oocyte	zygote/PN	GSM2146952	GSM2481563	0.0	0.16666666666666666	0.16666666666666666	0.0022917029022122256	9
MII oocyte	zygote/PN	GSM2146952	GSM2481564	0.0	0.16666666666666666	0.16666666666666666	1.2440951534184387e-05	9
MII oocyte	zygote/PN	GSM2146952	GSM2481565	0.0	0.16666666666666666	0.16666666666666666	0.006940309607181439	9
MII oocyte	zygote/PN	GSM2146952	GSM2481566	0.0	0.16666666666666666	0.16666666666666666	6.810790900603241e-06	9
MII oocyte	zygote/PN	GSM2146952	GSM2481567	0.0	0.16666666666666666	0.16666666666666666	6.441309467506903e-06	9
MII oocyte	zygote/PN	GSM2146952	GSM2481571	0.0	0.16666666666666666	0.16666666666666666	0.0006537557323610456	9
MII oocyte	zygote/PN	GSM2146952	GSM2481572	0.0	0.16666666666666666	0.16666666666666666	4.98902329826988e-06	9
MII oocyte	zygote/PN	GSM2146952	GSM2481573	0.0	0.16666666666666666	0.16666666666666666	2.2054325932520115e-05	9
MII oocyte	zygote/PN	GSM2146952	GSM2481574	0.0	0.16666666666666666	0.16666666666666666	1.777785510730211e-05	9
MII oocyte	zygote/PN	GSM2146952	GSM2481575	0.0	0.16666666666666666	0.16666666666666666	1.1548631103056394e-05	9
MII oocyte	zygote/PN	GSM2146952	GSM2481576	0.0	0.16666666666666666	0.16666666666666666	0.0005115406366586262	9
MII oocyte	zygote/PN	GSM2146952	GSM2481577	0.0	0.16666666666666666	0.16666666666666666	0.0030617975152790623	9
MII oocyte	zygote/PN	GSM2146952	GSM2481578	0.0	0.16666666666666666	0.16666666666666666	3.829635465936183e-05	9
MII oocyte	zygote/PN	GSM2146952	GSM2986327	0.0	0.16666666666666666	0.16666666666666666	7.833445216150204e-06	9
MII oocyte	zygote/PN	GSM2146952	GSM2986328	0.0	0.16666666666666666	0.16666666666666666	0.00507242653946751	9
MII oocyte	zygote/PN	GSM2146952	GSM2986329	0.0	0.16666666666666666	0.16666666666666666	1.6097059645251773e-05	9
MII oocyte	zygote/PN	GSM2146952	GSM2986330	0.0	0.16666666666666666	0.16666666666666666	1.997243132889643e-05	9
MII oocyte	zygote/PN	GSM2146952	GSM2986331	0.0	0.16666666666666666	0.16666666666666666	2.7470045180071635e-05	9
MII oocyte	zygote/PN	GSM2146952	GSM2986332	0.0	0.16666666666666666	0.16666666666666666	0.003372506505683632	9
MII oocyte	zygote/PN	GSM2146952	GSM2986333	0.0	0.16666666666666666	0.16666666666666666	6.301356820303884e-06	9
