feature_set	alpha	sign_status	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
hESC_proxy_access_H3K27ac_naive	0.0	correct_orientation	0.0	0.0	-0.0		0.0	1.1978195174977648	0.9341820819670775	1.1176122228407372	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.0	sign_flip_control	-0.0	-0.0	0.0		-0.0	1.1978195174977648	0.9341820819670775	1.0578025306578764	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.05	correct_orientation	0.006142370263256387	0.008867359656786393	-0.0014456599795449083	-0.10581227046088916	0.0007539259517064241	1.1985006808569512	0.9347023780739939	1.143150963402731	0.8487798699346262	0.24522012070000918	0.624966963507226	0.24574445654165397	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1645021142257206	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.05	sign_flip_control	-0.006142370263256387	-0.008867359656786393	0.0014456599795449083	0.10581227046088916	-0.0007539259517064241	1.1971709471879615	0.9336804921993758	1.048196958169381	0.8487798699346262	0.24521695821502715	0.6250745300366127	0.24574125127750718	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1623060754119297	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.1	correct_orientation	0.012284740526512773	0.017734719313572785	-0.0028913199590898165	-0.10581227046088916	0.0015078519034128482	1.1992143817261838	0.9352412734958742	1.028682979435506	0.8487798699346262	0.24522200433442293	0.6249127283176884	0.24574636096837468	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.165679761977347	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.1	sign_flip_control	-0.012284740526512773	-0.017734719313572785	0.0028913199590898165	0.10581227046088916	-0.0015078519034128482	1.1965550229269037	0.9331977119995835	0.9419162446347421	0.8487798699346262	0.2452156793332883	0.6251278606274824	0.24573995044469762	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1612878218529734	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.15	correct_orientation	0.01842711078976916	0.02660207897035918	-0.004336979938634724	-0.10581227046088922	0.002261777855119272	1.199960562048433	0.9357986574491561	1.0243417145444464	0.8487798699346262	0.2452240894573717	0.6248581942097254	0.24574846658618055	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1669103977722104	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.15	sign_flip_control	-0.01842711078976916	-0.02660207897035918	0.004336979938634724	0.10581227046088922	-0.002261777855119272	1.1959717951526392	0.9327338407658967	1.0994497778536834	0.8487798699346262	0.24521460195177514	0.6251808904372826	0.2457388508153137	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1603228313126492	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.2	correct_orientation	0.024569481053025546	0.03546943862714557	-0.005782639918179633	-0.10581227046088916	0.0030157038068256963	1.2007391612721765	0.9363744154284963	1.1994826201867816	0.8487798699346262	0.24522637606371575	0.6248033615921552	0.24575077338990003	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.168193944107357	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.2	sign_flip_control	-0.024569481053025546	-0.03546943862714557	0.005782639918179633	0.10581227046088916	-0.0030157038068256963	1.1954213117215158	0.9322829908848105	1.1690324426035275	0.8487798699346262	0.24521372607029	0.6252336192727368	0.24573795239205173	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.159411163698153	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.25	correct_orientation	0.030711851316281933	0.044336798283931965	-0.007228299897724541	-0.1058122704608892	0.0037696297585321204	1.2015501163754956	0.9369684292455684	1.0855167933282925	0.8487798699346263	0.24522886414781908	0.6247482308747259	0.24575328137386784	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1695303200112996	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.25	sign_flip_control	-0.030711851316281933	-0.044336798283931965	0.007228299897724541	0.1058122704608892	-0.0037696297585321204	1.1949036178887786	0.9318518736365217	1.0407143964953496	0.8487798699346262	0.24521305254667433	0.6252860380123086	0.2457372551738328	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.158552875355116	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.3	correct_orientation	0.03685422157953832	0.05320415794071836	-0.008673959877269448	-0.10581227046088922	0.004523555710238544	1.2023933618910516	0.9375805770691112	1.0315433213914957	0.8487798699346262	0.24523155370354904	0.62469280246811	0.2457559905319247	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.28888888888888886	0.875	0.875	2.170919441063609	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.3	sign_flip_control	-0.03685422157953832	-0.05320415794071836	0.008673959877269448	0.10581227046088922	-0.004523555710238544	1.1944187562901614	0.9314447283129316	0.9304772239594686	0.8487798699346262	0.2452125810649933	0.6253381492241415	0.2457367591489339	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1577480190562257	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.35	correct_orientation	0.0429965918427947	0.06207151759750475	-0.010119619856814357	-0.10581227046088916	0.005277481661944968	1.2032688299319085	0.9382107334662062	1.0338202888566248	0.8487798699346262	0.24523444713305642	0.6246370644178857	0.24575890085864843	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.1723612194156425	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.35	sign_flip_control	-0.0429965918427947	-0.06207151759750475	0.010119619856814357	0.10581227046088916	-0.005277481661944968	1.1939667669244898	0.9310568630889049	1.0430174278140703	0.8487798699346262	0.24521231105232968	0.6253899582898458	0.2457364643171311	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.156996643991014	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.4	correct_orientation	0.04913896210605109	0.07093887725429114	-0.011565279836359266	-0.10581227046088916	0.006031407613651393	1.2041764502181904	0.9388587694447672	0.9896580194976639	0.8487798699346262	0.24523755248913318	0.6245809759993302	0.24576201239225354	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.1738555638124275	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.4	sign_flip_control	-0.04913896210605109	-0.07093887725429114	0.011565279836359266	0.10581227046088916	-0.006031407613651393	1.1935476871373187	0.9306883578191136	1.0819288256082895	0.8487798699346263	0.24521224251860363	0.6254414640302313	0.2457363706790886	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1562987957568445	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.45	correct_orientation	0.05528133236930748	0.07980623691107754	-0.013010939815904175	-0.10581227046088922	0.006785333565357817	1.205116150104545	0.9395245524972233	1.0694027148176644	0.8487798699346262	0.24524085942974178	0.6245245908440331	0.24576532514799326	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.175402379615661	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.45	sign_flip_control	-0.05528133236930748	-0.07980623691107754	0.013010939815904175	0.10581227046088922	-0.006785333565357817	1.1931615516056098	0.9303392883462626	0.9256239871566807	0.8487798699346262	0.24521237545685134	0.6254926666124541	0.24573647823493827	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.155654516351068	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.5	correct_orientation	0.061423702632563866	0.08867359656786393	-0.014456599795449082	-0.1058122704608892	0.007539259517064241	1.2060878546083862	0.9402079466453688	0.9854418350781708	0.8487798699346262	0.24524436794672766	0.6244679093665348	0.24576883911773076	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.177001568827836	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.5	sign_flip_control	-0.061423702632563866	-0.08867359656786393	0.014456599795449082	0.1058122704608892	-0.007539259517064241	1.1928083923234738	0.9300097264756606	1.036780682642871	0.8487798699346262	0.2452127100629164	0.6255435610851022	0.24573678698322773	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1550638441643666	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.55	correct_orientation	0.06756607289582026	0.09754095622465032	-0.01590225977499399	-0.1058122704608892	0.008293185468770664	1.207091486438894	0.9409088124863672	1.0768896852270533	0.8487798699346262	0.24524807803143953	0.6244109319822788	0.24577255429283534	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.1786530301174745	1.0224014859114376
