model	validation_status	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC2_recovery	PC3_recovery	PC3_negative_pull_recovered	PC1_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	feature_set	random_type	control_set	closure_modules	access_modules	sign_closure	sign_access
true_branch	true_target	-1.0171944158381125	-0.6215741181594361	-1.5154106257457745	1.9280840823473233	0.9329287241974329	1.2852963313933037	18.363444359337723	0.7903016023180433	0.7903016023180433	1.2852963313933037	0.4313096517369662	0.19663769715500667	0.37800975793335434	0.8487798699346262	0.2400368881433104	0.6502113562967163	0.2405097345407568	1.5666635350021403	1.9104332695957345	0.9777777777777777	1.0	0.875	0.875	0.9806434446533616	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	none					
matched_random_DMR_matched_non_age_0000	matched_random_DMR_modules	0.03210678779955441	0.9234719589569083	-1.6759504341980702	1.9138028014116855	0.7951023053072618	-0.040569173335059085	-27.28254835630716	0.8740246973657915	0.8740246973657915	-0.040569173335059085	0.7422915908849482	0.6200101202728054	0.6634929695972229	0.8487798699346262	0.23878499500679856	0.6472634318158518	0.2392962602280014	1.5666635350021403	1.9104332695957345	0.6666666666666666	0.8666666666666667	0.875	0.875	1.4041239669860655	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	matched_DMR	matched_non_age_0000				
matched_random_DMR_matched_non_age_0001	matched_random_DMR_modules	-0.37253886759085697	-1.7052617918603439	-2.7094530686437497	3.223017052053504	0.8296942751524217	0.4707289308321854	50.37931779665847	1.413006524552321	1.413006524552321	0.4707289308321854	1.094874321430671	0.6753669911388802	0.96699142384424	0.8487798699346262	0.24051835995653564	0.6481255010145635	0.24096242611557211	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4	0.875	0.875	1.9941875878382445	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	matched_DMR	matched_non_age_0001				
matched_random_DMR_matched_non_age_0002	matched_random_DMR_modules	-1.261956879225955	-0.2577600724958236	-1.1315188987088023	1.7144417278326916	0.8932282396235535	1.5945708332553443	7.615122012081253	0.590098276671799	0.590098276671799	1.5945708332553443	0.5444670266942095	0.3743720659909151	0.5295850542876076	0.8487798699346262	0.24103870502856856	0.6470161839514332	0.2415151255030353	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	1.1628600542140752	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	matched_DMR	matched_non_age_0002				
matched_random_DMR_matched_non_age_0003	matched_random_DMR_modules	-0.4314972259524202	-0.08813514793901922	-0.38689694865411045	0.5862140472427526	0.8932282396235534	0.5452269427433609	2.6038164041846996	0.201770578388831	0.201770578388831	0.5452269427433609	0.9083422897976652	0.719001161242053	0.7815471891784598	0.8487798699346262	0.24285057800321658	0.6359353139524435	0.24337336787660752	1.5666635350021403	1.9104332695957345	0.4	0.7777777777777778	0.875	0.875	1.6973550967639424	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	matched_DMR	matched_non_age_0003				
matched_random_DMR_matched_non_age_0004	matched_random_DMR_modules	-0.40928784403787877	-1.8734767913591501	-2.976726192781908	3.54095052970702	0.8296942751524217	0.5171638344006427	55.3489693530156	1.5523920974619643	1.5523920974619643	0.5171638344006427	1.2452829888963572	0.8200244323591472	1.0461800738496416	0.8487798699346262	0.2407205317264233	0.647930187943431	0.24115693947128913	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.15555555555555556	0.875	0.875	2.246300064531873	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	matched_DMR	matched_non_age_0004				
matched_random_DMR_matched_non_age_0005	matched_random_DMR_modules	0.03092698528634955	0.9267299366128587	-1.6914689824149187	1.9289510549272981	0.7964996284023386	-0.03907841029273411	-27.378800258793337	0.8821177734687715	0.8821177734687715	-0.03907841029273411	0.7416289844291122	0.6204424036823044	0.6875930381642793	0.8487798699346262	0.2387475917124317	0.6473997432905766	0.23925847736973518	1.5666635350021403	1.9104332695957345	0.6666666666666666	0.8666666666666667	0.875	0.875	1.4029428606560788	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	matched_DMR	matched_non_age_0005				
matched_random_DMR_matched_non_age_0006	matched_random_DMR_modules	-0.035741904859717635	0.09869984689026627	-0.47013162603022696	0.4817083031596905	0.9269903681153808	0.0451623981393492	-2.915934067543739	0.24517828438033273	0.24517828438033273	0.0451623981393492	0.9457806271809915	0.753765693783691	0.8627970366824997	0.8487798699346262	0.24278375370381522	0.634066951880119	0.243308052285526	1.5666635350021403	1.9104332695957345	0.3333333333333333	0.6222222222222222	0.875	0.875	1.7490920202792726	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	matched_DMR	matched_non_age_0006				
matched_random_DMR_matched_non_age_0007	matched_random_DMR_modules	-2.2821018822257777	-0.5401499417619947	-2.106494259124557	3.1523116952751735	0.8965648449796406	2.8835954380203392	15.957893212506056	1.0985575526373392	1.0985575526373392	2.8835954380203392	0.9154640640852914	0.6569725569239712	0.7252745306912322	0.8487798699346262	0.24283801478666664	0.6443262643204549	0.24325097838856627	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.7333333333333333	0.875	0.875	1.700881866998004	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	matched_DMR	matched_non_age_0007				
matched_random_DMR_matched_non_age_0008	matched_random_DMR_modules	-0.8145872257991384	-1.5956224535745966	-2.766649546826301	3.2960450660967497	0.8779664643345702	1.029287967587614	47.14019340363075	1.442835052600535	1.442835052600535	1.029287967587614	1.0264363193314472	0.6417753844574444	0.8357077273317854	0.8487798699346262	0.24026608047676118	0.6500033641285992	0.2407061177902407	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4888888888888889	0.875	0.875	1.8848744164164581	1.0224014859114376	embryo_exit_diagnostic_combined_closure_access_specificity_positive_gated	matched_DMR	matched_non_age_0008				
