feature_set	panel_model	included_modules	n_modules	alpha	validation_status	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
methylation_only_baseline	methylation_only_baseline		0	0.0	baseline	0.0	0.0	0.0		0.0	1.1978195174977648	0.9341820819670775	1.0712705897740062	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.0	single_module	-0.0	-0.0	-0.0		0.0	1.1978195174977648	0.9341820819670775	0.977015385275254	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.05	single_module	-0.0033633311186122674	-0.015395333343427948	-0.02446130756535502	0.8296942751524217	0.012756813391209291	1.1839180930105169	0.9251071570452745	1.0504502250098158	0.8487798699346262	0.24507997608523835	0.6256138961947552	0.24560436770390837	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1400860771118917	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.1	single_module	-0.006726662237224535	-0.030790666686855896	-0.04892261513071004	0.8296942751524217	0.025513626782418582	1.170092714838696	0.9158425179029777	1.049812449663511	0.8487798699346262	0.24494379280210574	0.6261978541603377	0.24546826755962464	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1169321409488466	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.15	single_module	-0.010089993355836801	-0.04618600003028384	-0.07338392269606506	0.8296942751524217	0.03827044017362787	1.1563461106352941	0.9063893602536763	1.0846197648425437	0.8487798699346262	0.24480989920264426	0.6267727294103663	0.2453344566675448	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.093920081211299	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.2	single_module	-0.01345332447444907	-0.06158133337371179	-0.09784523026142009	0.8296942751524217	0.051027253564837165	1.1426811233874496	0.8967492330430855	0.9496051255635315	0.8487798699346262	0.24467837582517432	0.6273380852527385	0.2452029355185537	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.071054420224806	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.25	single_module	-0.016816655593061336	-0.07697666671713974	-0.1223065378267751	0.8296942751524216	0.06378406695604645	1.129100716416603	0.8869632677875303	1.0041658936093225	0.8487798699346262	0.24454913441120837	0.6278944131156848	0.2450737052972173	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.048339847710662	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.3	single_module	-0.020179986711673602	-0.09237200006056769	-0.14676784539213011	0.8296942751524217	0.07654088034725574	1.1156079785394235	0.8770358313475378	1.0580526412272726	0.8487798699346262	0.2444224326882535	0.6284403674678775	0.24494676335425922	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4444444444444444	0.875	0.875	2.0257812272398974	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.35	single_module	-0.02354331783028587	-0.10776733340399562	-0.17122915295748514	0.8296942751524217	0.08929769373846504	1.1022061293837022	0.8668636235787391	0.9543564226433199	0.8487798699346262	0.24429804346310727	0.6289770969976249	0.24482210310968197	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4444444444444444	0.875	0.875	2.0033836029066	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.4	single_module	-0.02690664894889814	-0.12316266674742359	-0.19569046052284017	0.8296942751524217	0.10205450712967433	1.0888985248511616	0.8565141332563446	1.0118493509715902	0.8487798699346262	0.24417591177703926	0.6295049297370371	0.24469972688630964	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4444444444444444	0.875	0.875	1.9811522062222382	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.45	single_module	-0.030269980067510405	-0.13855800009085154	-0.22015176808819517	0.8296942751524216	0.11481132052088361	1.0756886627165503	0.8461078791772869	0.9979695513701698	0.8487798699346262	0.2440560838945706	0.630023595313858	0.24457963684286704	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4666666666666667	0.875	0.875	1.9590924632314697	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.5	single_module	-0.03363331118612267	-0.15395333343427947	-0.2446130756535502	0.8296942751524216	0.1275681339120929	1.0625801883494035	0.8354252489817342	0.9640931802690452	0.8487798699346262	0.2439385336933312	0.6305332590563254	0.24446183216152767	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4888888888888889	0.875	0.875	1.9372100018485272	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.55	single_module	-0.03699664230473494	-0.16934866677770744	-0.26907438321890526	0.8296942751524219	0.14032494730330222	1.0495769005414701	0.824670128426613	0.902275501670541	0.8487798699346262	0.24382326172587612	0.6310339261004879	0.24434631539974067	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.4888888888888889	0.875	0.875	1.915510659411539	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.6	single_module	-0.040359973423347205	-0.18474400012113537	-0.29353569078426023	0.8296942751524217	0.1530817606945115	1.0366827574189097	0.8136676363650392	0.9204908751549283	0.8487798699346262	0.2437102549788681	0.631525434516311	0.24423298639465849	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4888888888888889	0.875	0.875	1.8940004904501544	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.65	single_module	-0.043723304541959475	-0.2001393334645633	-0.31799699834961526	0.8296942751524217	0.16583857408572078	1.0239018824140134	0.8025094103693564	0.9180218262957468	0.8487798699346262	0.2435995129372311	0.6320078558166271	0.24412188193312861	1.5666635350021403	1.9104332695957345	0.24444444444444444	0.4888888888888889	0.875	0.875	1.8726857746594905	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.7	single_module	-0.04708663566057174	-0.21553466680799124	-0.3424583059149703	0.8296942751524217	0.17859538747693007	1.011238570266233	0.7912012726232549	0.8759507243970868	0.8487798699346262	0.24349112104091195	0.6324808626771433	0.24401302858987686	1.5666635350021403	1.9104332695957345	0.28888888888888886	0.5111111111111111	0.875	0.875	1.8515730250707647	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.75	single_module	-0.05044996677918401	-0.2309300001514192	-0.3669196134803253	0.8296942751524217	0.19135220086813937	0.9986972930167991	0.7803088217214912	0.868670751426307	0.8487798699346262	0.2433851068635851	0.6329436890160913	0.2439063042139396	1.5666635350021403	1.9104332695957345	0.28888888888888886	0.5333333333333333	0.875	0.875	1.8306689964060296	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.8	single_module	-0.05381329789779628	-0.24632533349484717	-0.39138092104568034	0.8296942751524217	0.20410901425934866	0.9862827059550008	0.7687473633580688	0.9231674180128593	0.8487798699346262	0.24328133601576674	0.6333974265195009	0.24380181711298862	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5555555555555556	0.875	0.875	1.8099806936012732	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.85	single_module	-0.05717662901640854	-0.2617206668382751	-0.4158422286110353	0.8296942751524216	0.21686582765055792	0.9739996534673953	0.7570551100498979	0.9267802157258268	0.8487798699346262	0.24317985667746655	0.6338417283414612	0.2436995530403563	1.5666635350021403	1.9104332695957345	0.35555555555555557	0.5555555555555556	0.875	0.875	1.789515380478877	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.9	single_module	-0.06053996013502081	-0.27711600018170307	-0.44030353617639034	0.8296942751524216	0.22962264104176722	0.9618531747336194	0.7458150173517972	0.8375493333339897	0.8487798699346262	0.24308062292439905	0.6342769238076261	0.24359946740782135	1.5666635350021403	1.9104332695957345	0.35555555555555557	0.5555555555555556	0.875	0.875	1.7692805885473126	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	0.95	single_module	-0.06390329125363307	-0.292511333525131	-0.46476484374174537	0.8296942751524218	0.2423794544329765	0.9498485092042472	0.7340026964186449	0.8142011401701265	0.8487798699346262	0.2429835570245384	0.6347030818275545	0.24350145922779998	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.5777777777777777	0.875	0.875	1.7492841259032221	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	1.0	single_module	-0.06726662237224534	-0.30790666686855894	-0.4892261513071004	0.8296942751524216	0.2551362678241858	0.9379911017870954	0.7228240277226814	0.8409250036646627	0.8487798699346262	0.24288858502984387	0.6351207406038021	0.2434055523055444	1.5666635350021403	1.9104332695957345	0.4	0.6	0.875	0.875	1.729534086209145	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	1.05	single_module	-0.07062995349085761	-0.3233020002119869	-0.5136874588724555	0.8296942751524218	0.2678930812153951	0.9262866076586976	0.7107386175223841	0.8261263115484103	0.8487798699346262	0.24279570585292834	0.6355295777673425	0.24331167407229837	1.5666635350021403	1.9104332695957345	0.4222222222222222	0.6	0.875	0.875	1.710038857719607	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	single_M05	M05	1	1.1	single_module	-0.07399328460946988	-0.33869733355541487	-0.5381487664378105	0.8296942751524219	0.28064989460660444	0.9147408966072287	0.6984037430528578	0.836763341602074	0.8487798699346262	0.24270489853088115	0.6359299694402223	0.2432198561832433	1.5666635350021403	1.9104332695957345	0.4444444444444444	0.6222222222222222	0.875	0.875	1.6908071323297849	1.0224014859114376
