null_type	iteration	model	rmse	correlation	delta_rmse_vs_baseline
random_module_null	11	DMR_module_ridge_k16	0.29394336637899443	0.47984939312214675	-0.0034876609970680428
random_tau_null	12	DMR_module_ridge_k16	0.293899398427645	0.4834227080498886	-0.0035316289484174646
random_tau_null	12	latent_PCA_ridge_q3	0.2695649324468594	0.5357411613406937	-0.027866094929203056
random_coupling_null	12	DMR_module_ridge_k16	0.2859744883850967	0.47672580969080924	-0.01145653899096577
random_coupling_null	12	latent_PCA_ridge_q3	0.2695902290848427	0.5274640474304475	-0.02784079829121977
random_module_null	12	DMR_module_ridge_k16	0.2918589932030199	0.48042355144111387	-0.005572034173042584
random_tau_null	13	DMR_module_ridge_k16	0.2979761712971431	0.4763399030865532	0.0005451439210806264
random_tau_null	13	latent_PCA_ridge_q3	0.2711729561324496	0.5316668118133645	-0.026258071243612846
random_coupling_null	13	DMR_module_ridge_k16	0.2853804266224363	0.47908864391897626	-0.012050600753626184
random_coupling_null	13	latent_PCA_ridge_q3	0.2696385434943864	0.5272851231812521	-0.0277924838816761
random_module_null	13	DMR_module_ridge_k16	0.29059502248660224	0.48584177074703516	-0.006836004889460234
random_tau_null	14	DMR_module_ridge_k16	0.30015671805577354	0.47110351048002674	0.002725690679711068
random_tau_null	14	latent_PCA_ridge_q3	0.26849296189319033	0.5371448779092518	-0.028938065482872144
random_coupling_null	14	DMR_module_ridge_k16	0.28604009122368357	0.47806874525799614	-0.011390936152378905
random_coupling_null	14	latent_PCA_ridge_q3	0.2695199515766984	0.5270769292073746	-0.027911075799364082
random_module_null	14	DMR_module_ridge_k16	0.2862529053609327	0.4973841890250331	-0.011178122015129799
random_tau_null	15	DMR_module_ridge_k16	0.29804880625097774	0.4791612291571374	0.0006177788749152646
random_tau_null	15	latent_PCA_ridge_q3	0.27182999166451494	0.5283595633030415	-0.025601035711547537
random_coupling_null	15	DMR_module_ridge_k16	0.28596536106203924	0.4784399196296691	-0.011465666314023237
random_coupling_null	15	latent_PCA_ridge_q3	0.2698915181854303	0.5243490857246984	-0.027539509190632194
random_module_null	15	DMR_module_ridge_k16	0.29278695558088896	0.4742861109475921	-0.00464407179517351
random_tau_null	16	DMR_module_ridge_k16	0.29429154872380886	0.4838612560029345	-0.0031394786522536133
random_tau_null	16	latent_PCA_ridge_q3	0.2710499200463804	0.5303973454313564	-0.026381107329682074
random_coupling_null	16	DMR_module_ridge_k16	0.28615427234907986	0.4793801974132077	-0.01127675502698261
random_coupling_null	16	latent_PCA_ridge_q3	0.26985873333803945	0.5240256540447351	-0.027572294038023026
random_module_null	16	DMR_module_ridge_k16	0.2956976648981144	0.4693805057884641	-0.001733362477948086
random_tau_null	17	DMR_module_ridge_k16	0.29459873664247727	0.4819479015886474	-0.0028322907335852077
random_tau_null	17	latent_PCA_ridge_q3	0.271840908508627	0.5302479888354437	-0.025590118867435452
random_coupling_null	17	DMR_module_ridge_k16	0.2857626731868105	0.47900693630476754	-0.011668354189251995
random_coupling_null	17	latent_PCA_ridge_q3	0.26947867432499256	0.5273417654405035	-0.02795235305106991
random_module_null	17	DMR_module_ridge_k16	0.2896368745493615	0.4882301372606303	-0.007794152826700984
random_tau_null	18	DMR_module_ridge_k16	0.29349889276456265	0.48663127997143685	-0.003932134611499827
random_tau_null	18	latent_PCA_ridge_q3	0.26928602388857276	0.5345002264863865	-0.028145003487489717
random_coupling_null	18	DMR_module_ridge_k16	0.2860046727058014	0.4774294688897177	-0.011426354670261096
random_coupling_null	18	latent_PCA_ridge_q3	0.26965166716769007	0.5268937046016875	-0.027779360208372406
random_module_null	18	DMR_module_ridge_k16	0.2982533792666528	0.4630074625643093	0.0008223518905903227
random_tau_null	19	DMR_module_ridge_k16	0.296115601374612	0.479487904735111	-0.0013154260014504593
random_tau_null	19	latent_PCA_ridge_q3	0.27106636374849113	0.5287431011491984	-0.02636466362757134
random_coupling_null	19	DMR_module_ridge_k16	0.2850822993068085	0.48304358538832776	-0.012348728069253967
random_coupling_null	19	latent_PCA_ridge_q3	0.26964458515021156	0.5257076334966317	-0.027786442225850916
random_module_null	19	DMR_module_ridge_k16	0.2955551798575201	0.4651879758740142	-0.0018758475185423618
random_tau_null	20	DMR_module_ridge_k16	0.29311490073768454	0.4880633811461962	-0.004316126638377937
random_tau_null	20	latent_PCA_ridge_q3	0.2712853212385435	0.527080977847545	-0.026145706137518987
random_coupling_null	20	DMR_module_ridge_k16	0.28543871102342366	0.47979614331829923	-0.01199231635263881
random_coupling_null	20	latent_PCA_ridge_q3	0.2695146309828898	0.5277383789213461	-0.02791639639317267
random_module_null	20	DMR_module_ridge_k16	0.2941475820684102	0.4758554815284939	-0.0032834453076522885
random_tau_null	21	DMR_module_ridge_k16	0.2927818809700832	0.490078669357186	-0.004649146405979299
random_tau_null	21	latent_PCA_ridge_q3	0.2704208498350994	0.531785457309467	-0.027010177540963076
random_coupling_null	21	DMR_module_ridge_k16	0.28603550614167733	0.47757911800963765	-0.011395521234385142
random_coupling_null	21	latent_PCA_ridge_q3	0.26962001302086497	0.5262862791094525	-0.027811014355197505
random_module_null	21	DMR_module_ridge_k16	0.29138504903316986	0.48704307387583184	-0.006045978342892611
random_tau_null	22	DMR_module_ridge_k16	0.29829616450879476	0.4731401672250453	0.0008651371327322854
random_tau_null	22	latent_PCA_ridge_q3	0.2710010423892996	0.5332570575995051	-0.026429984986762856
random_coupling_null	22	DMR_module_ridge_k16	0.2860255302252335	0.47825680885569466	-0.011405497150828947
random_coupling_null	22	latent_PCA_ridge_q3	0.26922567771886224	0.5280618467861432	-0.02820534965720023
random_module_null	22	DMR_module_ridge_k16	0.2950814077803672	0.474628487960836	-0.002349619595695296
random_tau_null	23	DMR_module_ridge_k16	0.2977250620765826	0.47984879570723976	0.00029403470052014047
random_tau_null	23	latent_PCA_ridge_q3	0.269798157938282	0.5335401604915634	-0.027632869437780483
random_coupling_null	23	DMR_module_ridge_k16	0.28600834225405924	0.47646880499767463	-0.011422685122003229
random_coupling_null	23	latent_PCA_ridge_q3	0.26961609845049256	0.5276972454685326	-0.027814928925569915
random_module_null	23	DMR_module_ridge_k16	0.2898084357326525	0.491133677725612	-0.007622591643409948
random_tau_null	24	DMR_module_ridge_k16	0.2961751740071963	0.4833310798897292	-0.0012558533688661888
random_tau_null	24	latent_PCA_ridge_q3	0.26837898874433436	0.5377268856004025	-0.029052038631728117
random_coupling_null	24	DMR_module_ridge_k16	0.2852722819821156	0.4809243377118973	-0.012158745393946846
random_coupling_null	24	latent_PCA_ridge_q3	0.26971042092865044	0.527049875479476	-0.027720606447412033
random_module_null	24	DMR_module_ridge_k16	0.28946208357888664	0.4874347863797589	-0.007968943797175831
random_tau_null	25	DMR_module_ridge_k16	0.29623369064631044	0.4825183602568634	-0.0011973367297520299
random_tau_null	25	latent_PCA_ridge_q3	0.26919999477177664	0.5363792400660957	-0.028231032604285833
random_coupling_null	25	DMR_module_ridge_k16	0.28573017574437426	0.47790105202124805	-0.011700851631688214
random_coupling_null	25	latent_PCA_ridge_q3	0.2694981146502044	0.5274213424125086	-0.027932912725858072
random_module_null	25	DMR_module_ridge_k16	0.2921265506703451	0.481321088872109	-0.005304476705717376
random_tau_null	26	DMR_module_ridge_k16	0.297083156938344	0.48049077448057176	-0.00034787043771850046
random_tau_null	26	latent_PCA_ridge_q3	0.2689171290535033	0.5358991443009649	-0.028513898322559184
random_coupling_null	26	DMR_module_ridge_k16	0.28583029445047553	0.47997624313991	-0.011600732925586943
random_coupling_null	26	latent_PCA_ridge_q3	0.2697113729434688	0.5246861693433196	-0.027719654432593666
random_module_null	26	DMR_module_ridge_k16	0.28986094301758963	0.48782288215237	-0.0075700843584728394
random_tau_null	27	DMR_module_ridge_k16	0.2944068593825372	0.48131639248526403	-0.003024167993525284
random_tau_null	27	latent_PCA_ridge_q3	0.2697511853026376	0.5313235533203274	-0.027679842073424887
random_coupling_null	27	DMR_module_ridge_k16	0.28645257382935635	0.4759785898984473	-0.010978453546706124
random_coupling_null	27	latent_PCA_ridge_q3	0.2697918478455976	0.5261125500238787	-0.027639179530464852
random_module_null	27	DMR_module_ridge_k16	0.290967348555018	0.4742687448182883	-0.006463678821044483
random_tau_null	28	DMR_module_ridge_k16	0.2958101792315126	0.48050261440115016	-0.0016208481445498801
random_tau_null	28	latent_PCA_ridge_q3	0.27297701730540586	0.5273613173818358	-0.024454010070656618
random_coupling_null	28	DMR_module_ridge_k16	0.28575198876300606	0.4787015977135672	-0.011679038613056414
random_coupling_null	28	latent_PCA_ridge_q3	0.2696790240890952	0.5263377642423013	-0.027752003286967253
random_module_null	28	DMR_module_ridge_k16	0.2904756231909641	0.48572265514448393	-0.006955404185098379
random_tau_null	29	DMR_module_ridge_k16	0.2937970670798922	0.4874129888572754	-0.0036339602961702466
random_tau_null	29	latent_PCA_ridge_q3	0.2694302541890694	0.533127091916903	-0.028000773186993066
random_coupling_null	29	DMR_module_ridge_k16	0.28468465790800007	0.4837599445270735	-0.012746369468062402
random_coupling_null	29	latent_PCA_ridge_q3	0.26979943444880583	0.5251434442276203	-0.027631592927256643
random_module_null	29	DMR_module_ridge_k16	0.29540913722106743	0.47086314105795485	-0.002021890154995043
random_tau_null	30	DMR_module_ridge_k16	0.2974331476721529	0.4806585951320826	2.1202960904243007e-06
random_tau_null	30	latent_PCA_ridge_q3	0.2687080449303466	0.5352732568038325	-0.02872298244571586
random_coupling_null	30	DMR_module_ridge_k16	0.2858021533140863	0.4790755352698261	-0.011628874061976158
random_coupling_null	30	latent_PCA_ridge_q3	0.269907069554513	0.524548703209214	-0.027523957821549483
random_module_null	30	DMR_module_ridge_k16	0.2944561749139096	0.46650018496960693	-0.0029748524621528993
random_tau_null	31	DMR_module_ridge_k16	0.29490433003906846	0.4832833072520866	-0.0025266973369940104
random_tau_null	31	latent_PCA_ridge_q3	0.26985925398815663	0.5336658087040627	-0.02757177338790584
random_coupling_null	31	DMR_module_ridge_k16	0.2860170166196419	0.4782242534894483	-0.011414010756420567
random_coupling_null	31	latent_PCA_ridge_q3	0.2698540772711986	0.5249556368272844	-0.027576950104863884
random_module_null	31	DMR_module_ridge_k16	0.290693090728823	0.4853158197865714	-0.006737936647239484
random_tau_null	32	DMR_module_ridge_k16	0.29570408704132545	0.4855429021471897	-0.001726940334737026
random_tau_null	32	latent_PCA_ridge_q3	0.2688565881946281	0.5357249236627882	-0.028574439181434375
random_coupling_null	32	DMR_module_ridge_k16	0.28604835924599625	0.4777000713980143	-0.01138266813006622
random_coupling_null	32	latent_PCA_ridge_q3	0.2695791285954379	0.5266485818657823	-0.02785189878062455
random_module_null	32	DMR_module_ridge_k16	0.292406474345231	0.47638729312539957	-0.005024553030831491
random_tau_null	33	DMR_module_ridge_k16	0.2967449068976511	0.4774850010757365	-0.0006861204784113784
random_tau_null	33	latent_PCA_ridge_q3	0.27582372316607945	0.5250428606859411	-0.021607304209983025
random_coupling_null	33	DMR_module_ridge_k16	0.2852103946313919	0.4794819202350802	-0.012220632744670556
random_coupling_null	33	latent_PCA_ridge_q3	0.26965234635997104	0.5268967190426284	-0.027778681016091433
random_module_null	33	DMR_module_ridge_k16	0.2962393473566721	0.46532759460336326	-0.001191680019390351
random_tau_null	34	DMR_module_ridge_k16	0.29585746072458885	0.48052768235676163	-0.0015735666514736235
random_tau_null	34	latent_PCA_ridge_q3	0.26898870689180143	0.5368832547764512	-0.02844232048426104
random_coupling_null	34	DMR_module_ridge_k16	0.2854530053046568	0.4809503690194449	-0.011978022071405692
random_coupling_null	34	latent_PCA_ridge_q3	0.26980088503678806	0.525296388589232	-0.02763014233927441
random_module_null	34	DMR_module_ridge_k16	0.29583948804520716	0.4619572516387245	-0.0015915393308553183
random_tau_null	35	DMR_module_ridge_k16	0.2930612856192251	0.4882259605322673	-0.004369741756837353
random_tau_null	35	latent_PCA_ridge_q3	0.26954873358695697	0.5336024998301316	-0.027882293789105506
random_coupling_null	35	DMR_module_ridge_k16	0.2856784360045082	0.4808496399023115	-0.011752591371554266
random_coupling_null	35	latent_PCA_ridge_q3	0.2696644119038641	0.5254369627729532	-0.027766615472198386
random_module_null	35	DMR_module_ridge_k16	0.29685123098394034	0.4647039877439041	-0.0005797963921221339
random_tau_null	36	DMR_module_ridge_k16	0.296557268097148	0.48629592388091325	-0.0008737592789144766
random_tau_null	36	latent_PCA_ridge_q3	0.26922464941440366	0.5351375841242928	-0.028206377961658813
random_coupling_null	36	DMR_module_ridge_k16	0.28611478727436696	0.47607102120620187	-0.011316240101695518
random_coupling_null	36	latent_PCA_ridge_q3	0.2696500037922955	0.5277405582659356	-0.027781023583766995
random_module_null	36	DMR_module_ridge_k16	0.28957751828577877	0.48788547648576985	-0.007853509090283706
random_tau_null	37	DMR_module_ridge_k16	0.2921421677513427	0.49259311578277776	-0.005288859624719755
random_tau_null	37	latent_PCA_ridge_q3	0.27041029171378483	0.5315429883560419	-0.02702073566227764
random_coupling_null	37	DMR_module_ridge_k16	0.28517984806156027	0.48085854307007847	-0.012251179314502203
random_coupling_null	37	latent_PCA_ridge_q3	0.26971580538949974	0.5251172300035648	-0.027715221986562733
random_module_null	37	DMR_module_ridge_k16	0.2925312362950572	0.47530263701305187	-0.0048997910810053
random_tau_null	38	DMR_module_ridge_k16	0.2921845280137079	0.4900821708675463	-0.005246499362354551
random_tau_null	38	latent_PCA_ridge_q3	0.2706220864351307	0.5289817406586312	-0.02680894094093178
random_coupling_null	38	DMR_module_ridge_k16	0.28528825449828743	0.4804675724152814	-0.012142772877775043
random_coupling_null	38	latent_PCA_ridge_q3	0.26978108500868164	0.5262986290041702	-0.02764994236738083
random_module_null	38	DMR_module_ridge_k16	0.2949260988856854	0.4720137580372928	-0.0025049284903770896
random_tau_null	39	DMR_module_ridge_k16	0.30013807953502114	0.47363357835572106	0.002707052158958667
random_tau_null	39	latent_PCA_ridge_q3	0.26931611686259227	0.5360259630628101	-0.028114910513470204
random_coupling_null	39	DMR_module_ridge_k16	0.2862319753877829	0.47568113215494345	-0.011199051988279585
random_coupling_null	39	latent_PCA_ridge_q3	0.2696682069318896	0.526995601110721	-0.027762820444172887
random_module_null	39	DMR_module_ridge_k16	0.29413622755426766	0.47486990019071984	-0.003294799821794814
random_tau_null	40	DMR_module_ridge_k16	0.2948819992339666	0.48876940645688055	-0.0025490281420958993
random_tau_null	40	latent_PCA_ridge_q3	0.27079966234423336	0.528522534135782	-0.026631365031829113
random_coupling_null	40	DMR_module_ridge_k16	0.2862200212734615	0.4759243318901417	-0.011211006102600951
random_coupling_null	40	latent_PCA_ridge_q3	0.2696765761294816	0.5267240583266208	-0.02775445124658088
random_module_null	40	DMR_module_ridge_k16	0.2904742203664035	0.4916380383274964	-0.00695680700965895
random_tau_null	41	DMR_module_ridge_k16	0.2920234332155518	0.4908254685877522	-0.005407594160510676
random_tau_null	41	latent_PCA_ridge_q3	0.27084835071108226	0.5277299666629668	-0.02658267666498021
random_coupling_null	41	DMR_module_ridge_k16	0.2857245638620821	0.478382622172725	-0.011706463513980359
random_coupling_null	41	latent_PCA_ridge_q3	0.26965321048436963	0.5269375076143884	-0.02777781689169284
random_module_null	41	DMR_module_ridge_k16	0.29348935960716194	0.47810455012005915	-0.003941667768900536
random_tau_null	42	DMR_module_ridge_k16	0.2946518853248589	0.4863367715785069	-0.0027791420512035536
random_tau_null	42	latent_PCA_ridge_q3	0.2692402112332035	0.5341135937423812	-0.028190816142858954
random_coupling_null	42	DMR_module_ridge_k16	0.28589136405964155	0.47716549050767215	-0.011539663316420923
random_coupling_null	42	latent_PCA_ridge_q3	0.2694193560298432	0.5283861349747737	-0.02801167134621929
random_module_null	42	DMR_module_ridge_k16	0.2877365614905706	0.494141740912469	-0.009694465885491887
random_tau_null	43	DMR_module_ridge_k16	0.29617820689832997	0.48228917476368527	-0.001252820477732508
random_tau_null	43	latent_PCA_ridge_q3	0.26897513616251595	0.5363165803075396	-0.028455891213546525
random_coupling_null	43	DMR_module_ridge_k16	0.2852620366604752	0.4808190829078511	-0.012168990715587247
random_coupling_null	43	latent_PCA_ridge_q3	0.26969204013098047	0.5261208772293718	-0.027738987245082003
random_module_null	43	DMR_module_ridge_k16	0.29477171661537205	0.4653726052638263	-0.0026593107606904254
random_tau_null	44	DMR_module_ridge_k16	0.29256054586351377	0.4872156422053244	-0.004870481512548708
random_tau_null	44	latent_PCA_ridge_q3	0.2698844739827452	0.5322149801775536	-0.027546553393317297
random_coupling_null	44	DMR_module_ridge_k16	0.28612958222644985	0.47737038040197294	-0.011301445149612621
random_coupling_null	44	latent_PCA_ridge_q3	0.2696589101501823	0.5259141444768501	-0.02777211722588019
random_module_null	44	DMR_module_ridge_k16	0.2869630516424256	0.49801320072108674	-0.010467975733636892
random_tau_null	45	DMR_module_ridge_k16	0.2960124068660834	0.48070141469401106	-0.001418620509979096
random_tau_null	45	latent_PCA_ridge_q3	0.2688546377145563	0.5362358956935436	-0.028576389661506163
random_coupling_null	45	DMR_module_ridge_k16	0.2856968648626251	0.47824725231611065	-0.011734162513437396
random_coupling_null	45	latent_PCA_ridge_q3	0.2694666513657479	0.5284233685874367	-0.027964376010314596
random_module_null	45	DMR_module_ridge_k16	0.2924982203880762	0.47659310282585593	-0.00493280698798626
random_tau_null	46	DMR_module_ridge_k16	0.2943499750759139	0.4842524978328601	-0.0030810523001485457
random_tau_null	46	latent_PCA_ridge_q3	0.2732284299167992	0.5243787052715086	-0.024202597459263286
random_coupling_null	46	DMR_module_ridge_k16	0.2854578092142491	0.47940695626114277	-0.011973218161813348
random_coupling_null	46	latent_PCA_ridge_q3	0.26957121659272437	0.5265429465260416	-0.0278598107833381
random_module_null	46	DMR_module_ridge_k16	0.2936862116469868	0.4693314244291108	-0.003744815729075701
random_tau_null	47	DMR_module_ridge_k16	0.29635955372067885	0.48373092229607806	-0.0010714736553836257
random_tau_null	47	latent_PCA_ridge_q3	0.27165778828505527	0.5291424333030821	-0.025773239091007205
random_coupling_null	47	DMR_module_ridge_k16	0.28591807452035684	0.4772314769408227	-0.011512952855705638
random_coupling_null	47	latent_PCA_ridge_q3	0.26987820696350395	0.5264616828500891	-0.02755282041255852
random_module_null	47	DMR_module_ridge_k16	0.2937261325945894	0.47702423842164093	-0.003704894781473067
random_tau_null	48	DMR_module_ridge_k16	0.29492436929515353	0.4827466484528097	-0.002506658080908941
random_tau_null	48	latent_PCA_ridge_q3	0.2702804136237315	0.5302351928637724	-0.027150613752330965
random_coupling_null	48	DMR_module_ridge_k16	0.28564371379098	0.47864474850535155	-0.011787313585082448
random_coupling_null	48	latent_PCA_ridge_q3	0.2696780555970798	0.5263605081672954	-0.02775297177898267
random_module_null	48	DMR_module_ridge_k16	0.29464394940236904	0.47272810869428566	-0.0027870779736934304
random_tau_null	49	DMR_module_ridge_k16	0.3007125418797319	0.47131504341872554	0.003281514503669425
random_tau_null	49	latent_PCA_ridge_q3	0.2685612377718243	0.5364582606187641	-0.028869789604238194
random_coupling_null	49	DMR_module_ridge_k16	0.2851250637486858	0.4821940953147251	-0.012305963627376681
random_coupling_null	49	latent_PCA_ridge_q3	0.26945574445818227	0.5260359762611904	-0.027975282917880206
random_module_null	49	DMR_module_ridge_k16	0.28836989421527104	0.4983218918402206	-0.009061133160791435
random_tau_null	50	DMR_module_ridge_k16	0.29150443113617297	0.4860983115889307	-0.005926596239889503
random_tau_null	50	latent_PCA_ridge_q3	0.27292683635489134	0.5260308994728246	-0.02450419102117113
random_coupling_null	50	DMR_module_ridge_k16	0.2856227677920657	0.47860489046981364	-0.011808259583996783
random_coupling_null	50	latent_PCA_ridge_q3	0.2696376284955787	0.5271583936641853	-0.027793398880483766
random_module_null	50	DMR_module_ridge_k16	0.28884279067652713	0.48922915355129976	-0.008588236699535345
random_tau_null	51	DMR_module_ridge_k16	0.2954623029393047	0.48454842428926365	-0.001968724436757774
random_tau_null	51	latent_PCA_ridge_q3	0.2695453223372749	0.5344366918848285	-0.027885705038787567
random_coupling_null	51	DMR_module_ridge_k16	0.2849985492679958	0.4816439941497636	-0.012432478108066691
random_coupling_null	51	latent_PCA_ridge_q3	0.26975052837916225	0.5263195419441876	-0.027680498996900227
random_module_null	51	DMR_module_ridge_k16	0.29116496237017886	0.4805827419148742	-0.006266065005883614
random_tau_null	52	DMR_module_ridge_k16	0.297804627476188	0.47740200190453264	0.00037360010012554845
random_tau_null	52	latent_PCA_ridge_q3	0.27366182952185003	0.5267048840625841	-0.023769197854212443
random_coupling_null	52	DMR_module_ridge_k16	0.2855057014815296	0.48103891211930194	-0.011925325894532879
random_coupling_null	52	latent_PCA_ridge_q3	0.26982654921442245	0.5246332481029393	-0.027604478161640023
random_module_null	52	DMR_module_ridge_k16	0.2986623961288521	0.458137686046939	0.0012313687527896189
random_tau_null	53	DMR_module_ridge_k16	0.2959653657746877	0.4847841621630881	-0.0014656616013747903
random_tau_null	53	latent_PCA_ridge_q3	0.2697121811407946	0.5329350113909193	-0.02771884623526788
random_coupling_null	53	DMR_module_ridge_k16	0.28504426984255543	0.48212019606012824	-0.012386757533507042
random_coupling_null	53	latent_PCA_ridge_q3	0.26984603151042974	0.524700493215823	-0.027584995865632733
random_module_null	53	DMR_module_ridge_k16	0.28809098644445286	0.4896591805209431	-0.009340040931609617
random_tau_null	54	DMR_module_ridge_k16	0.29695424850636143	0.483766622186414	-0.00047677886970104444
random_tau_null	54	latent_PCA_ridge_q3	0.26983755323918357	0.5329330771722317	-0.027593474136878904
random_coupling_null	54	DMR_module_ridge_k16	0.28550446319139794	0.4790298913668879	-0.011926564184664534
random_coupling_null	54	latent_PCA_ridge_q3	0.26950939766960524	0.5283804428566468	-0.02792162970645723
random_module_null	54	DMR_module_ridge_k16	0.2889941991863257	0.49421334116914567	-0.00843682818973679
random_tau_null	55	DMR_module_ridge_k16	0.2974701187668359	0.4824800094186052	3.909139077340473e-05
random_tau_null	55	latent_PCA_ridge_q3	0.2715363076425647	0.5254682371226816	-0.025894719733497773
random_coupling_null	55	DMR_module_ridge_k16	0.28565946973403217	0.47843561467921514	-0.011771557642030306
random_coupling_null	55	latent_PCA_ridge_q3	0.2696871050150814	0.5270065646555314	-0.027743922360981055
random_module_null	55	DMR_module_ridge_k16	0.28848114114134754	0.49283875848632885	-0.008949886234714932
