sample_id	PC1	PC2	PC3
GSM2146951	6.45640104195048	-2.7803538680703612	-0.013144689124168142
GSM2146952	7.5895896401642	-0.4387430995260869	1.5108149727411124
GSM2146953	7.707807425475247	-1.1299653264314866	1.461306845253493
GSM2146954	7.450523502024426	-1.9284021727146234	1.419417291103904
GSM2481532	-3.846560147686409	-1.0726856787203598	-0.8772321449076564
GSM2481533	-2.149056390372662	-1.3696152146238223	-0.019690533391130582
GSM2481534	-2.0640014895450456	-0.6599888579262154	-0.9673660964214662
GSM2481535	-2.20973998585179	-2.4638656172642865	-0.46862941432581434
GSM2481536	-4.010840476876242	-3.116417089474248	-0.9889837160390622
GSM2481537	-4.499204782353742	-1.9657239849956543	-0.8152651174970469
GSM2481538	-4.500228602467267	-3.3692921592184697	-0.13146581468157725
GSM2481539	-3.803652939339016	-3.5350855556023766	-0.48088284908581963
GSM2481540	-4.027835449535686	-0.6133002079157617	-1.367682733375049
GSM2481541	-3.701175124659037	-1.0934923967141847	0.014413130056137757
GSM2481542	-5.719495757123112	-1.6689264290447234	-1.3013301363025342
GSM2481543	-4.608782691728032	-2.8919744408162	-0.48468164044648215
GSM2481544	-4.704388649242321	-2.5557963142422304	-0.40292972314619174
GSM2481545	-4.761190051313025	-2.8099157103830232	-0.904731583871022
GSM2481546	-5.663393182537642	-2.4796315471753245	-0.531240882123969
GSM2481547	-5.295165954256525	-3.113574117798927	-0.5739971504427467
GSM2481548	-4.2540925727712935	-2.769020674340666	-0.7917018356547346
GSM2481549	-5.976901727853378	-1.1115628826690243	-1.2211201253067716
GSM2481550	-6.857700575724058	-0.8961363370781408	0.21728856266684826
GSM2481551	-6.1695628878408595	-2.2529988078134906	-1.1410680825797537
GSM2481552	-4.078597524784806	-1.8661110159128416	-0.17544152730246604
GSM2481554	1.767988092030204	1.1074132800295717	-5.2779462367985275
GSM2481555	0.680028724649973	2.5541029787896163	-5.948219916345204
GSM2481556	6.034196531021591	-2.7251935723580045	-0.2691968631302586
GSM2481557	6.116420849497082	-3.209743357973439	0.14491662125250826
GSM2481558	0.3414761109162675	5.238556519843664	-5.087897362586743
GSM2481559	1.8238133362546403	2.417099187709539	-5.692900312196264
GSM2481560	-1.2207767344455378	4.847480816152403	-5.104308589579819
