control_model	direction_cosine_to_measured_correction	PC1_control	PC2_control	PC3_control	PC3_negative_pull_recovered	control_norm	validation_status	n_features	beta_mode	feature_modality	random_iter	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
random_shuffled_feature_unit_beta	0.4540220453177484	-0.09868323362257427	-0.8154375528115073	-0.3919587381955895	0.20441035160756432	0.9101145178389948	random_feature_value_control	78	unit	all_shuffled	0	1.0674040363413921	0.7911077481008472	0.9591722585344209	0.8487798699346262	0.2438631709567038	0.63373418415917	0.2443691934914063	1.5666635350021403	1.9104332695957345	0.24444444444444444	0.5111111111111111	0.875	0.875	1.9304233331333007	1.0224014859114376
random_shuffled_feature_unit_beta	-0.2123615790478389	0.1850617457748375	0.9136725286381381	0.1235610107636066	-0.06443828697747112	0.9403789995093276	random_feature_value_control	78	unit	all_shuffled	1	1.4162459624899761	1.04398472626931	1.2870095561912223	0.8487798699346262	0.24686564638505237	0.616096165584075	0.2473869865100119	1.5666635350021403	1.9104332695957345	0.0	0.06666666666666667	0.875	0.875	2.530646890887235	1.0224014859114376
random_shuffled_feature_unit_beta	0.6818458295520344	-0.9387518177828988	0.23207991321497623	-0.38432697476748623	0.2004303116347193	1.0405879516131713	random_feature_value_control	78	unit	all_shuffled	2	0.9024181985572496	0.725779579276971	0.7614303435926162	0.8487798699346262	0.2430045251636828	0.636450003593002	0.24352328727209482	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.8444444444444444	0.875	0.875	1.7037585457513782	1.0224014859114376
random_shuffled_feature_unit_beta	0.6981018821789639	-0.19760155079108946	-2.083728560064911	-2.145798098347066	1.1190548928216297	2.997569109090751	random_feature_value_control	78	unit	all_shuffled	3	1.2391839975365335	0.7485922946621633	0.991545818491816	0.8487798699346262	0.24210388684840342	0.6444017438023057	0.24255463830646778	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.28888888888888886	0.875	0.875	2.214529935919816	1.0224014859114376
random_shuffled_feature_unit_beta	0.9235268379999543	-0.5711463932112989	-0.12925881893289876	-0.5990993984321966	0.312436250930822	0.8377566078235512	random_feature_value_control	78	unit	all_shuffled	4	0.7736974082990515	0.5957166781401764	0.7032645002091875	0.8487798699346262	0.2419550956552851	0.6400254334430052	0.2424715519380768	1.5666635350021403	1.9104332695957345	0.5333333333333333	0.9555555555555556	0.875	0.875	1.4878907937702608	1.0224014859114376
random_shuffled_feature_unit_beta	-0.9111529158794496	0.8022370119204851	1.1608960440195728	2.35458412516536	-1.2279388670612275	2.745055600674807	random_feature_value_control	78	unit	all_shuffled	5	2.7213907038391105	1.2211419004113355	2.1445163112928456	0.8487798699346262	0.2691802910512428	0.5307716645013651	0.26965688400171817	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	4.75478800117849	1.0224014859114376
random_shuffled_feature_unit_beta	0.353381042323561	-0.25311065400942323	-0.43497627680949225	-0.08286658270624685	0.043215740987125745	0.5100355233604197	random_feature_value_control	78	unit	all_shuffled	6	1.127915742632707	0.8771150541579842	1.0428811809738	0.8487798699346262	0.2446310294429903	0.6299076573345367	0.24515223187733673	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.37777777777777777	0.875	0.875	2.0448930120020417	1.0224014859114376
random_shuffled_feature_unit_beta	0.03739291121172908	-0.562792899260196	0.1797633258430033	0.20382156711467217	-0.10629495949220229	0.6249751451033199	random_feature_value_control	78	unit	all_shuffled	7	1.2380010059733642	0.9606071195922719	1.1430797832885498	0.8487798699346262	0.245922667582711	0.623667012270543	0.24644346962918112	1.5666635350021403	1.9104332695957345	0.0	0.1111111111111111	0.875	0.875	2.241719902225029	1.0224014859114376
random_shuffled_feature_unit_beta	-0.8653626261593466	0.4499315700594	0.9170539450653448	1.4880319892626233	-0.7760233730946806	1.8049004285458268	random_feature_value_control	78	unit	all_shuffled	8	2.1635504427981727	1.2045889359544781	1.8854988068949736	0.8487798699346262	0.258415047019951	0.5707569895182896	0.2589126124678591	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.7994392303015614	1.0224014859114376
random_shuffled_feature_unit_beta	-0.7989057398401934	0.23064669226605664	0.9911211063476392	1.3455544541486575	-0.7017199319138595	1.687019778538572	random_feature_value_control	78	unit	all_shuffled	9	2.0609661201217895	1.1956524385809082	1.8593934407285342	0.8487798699346262	0.2566398824746225	0.5772061012809161	0.2571396047328844	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.625557506777587	1.0224014859114376
random_shuffled_feature_unit_beta	0.5487392299624452	0.004937696080689211	0.24468257110069755	-0.19048498669802877	0.0993398011386506	0.3101265412704649	random_feature_value_control	78	unit	all_shuffled	10	1.1097086009224897	0.8795884963269673	0.8696392020480214	0.8487798699346262	0.24420030993078654	0.6281537375880922	0.244726344014458	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4	0.875	0.875	2.019281729593343	1.0224014859114376
random_shuffled_feature_unit_beta	0.06090833699445696	-1.3579557257452892	-1.1574633798006437	0.4594736067134977	-0.23962002208465785	1.842520345594657	random_feature_value_control	78	unit	all_shuffled	11	1.5527968049679637	1.105974469206241	1.459617053412137	0.8487798699346262	0.24873766786554366	0.6254705725345685	0.24921605103943884	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.759626058977537	1.0224014859114376
random_shuffled_feature_unit_beta	-0.9522693253826338	0.18720146858112047	0.23680612850638502	0.7876322453467002	-0.4107579918997351	0.8434963463151428	random_feature_value_control	78	unit	all_shuffled	12	1.6682048029564656	1.136180296769893	1.367891523011315	0.8487798699346262	0.2508232567435345	0.6020468905706033	0.25133626147028787	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.9549579925707574	1.0224014859114376
random_shuffled_feature_unit_beta	-0.8769314112492911	1.1408417344251716	0.6579345564153957	1.2223985402068247	-0.6374929069282886	1.796846107665187	random_feature_value_control	78	unit	all_shuffled	13	2.1657312462846265	1.2068678947368146	1.7106332342104194	0.8487798699346262	0.25836122225310193	0.5737313807946978	0.2588594094979493	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.798684375061935	1.0224014859114376
random_shuffled_feature_unit_beta	-0.6003963183222404	0.9859143206689915	1.9283960738633144	1.1528955847550852	-0.6012464294876824	2.4535498150107764	random_feature_value_control	78	unit	all_shuffled	14	2.3407025798290366	1.2126565347681406	2.103358256902559	0.8487798699346262	0.25994700364040213	0.5669090413305605	0.2604421594731128	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	4.100429188702118	1.0224014859114376
