sample_id	PC1	PC2	PC3
GSM2146951	6.522827546469641	-2.904013626370258	-0.15609519062421853
GSM2146952	7.738366956307275	-0.4683835194095858	-1.8363415354612846
GSM2146953	7.743025547529794	-1.163545884623679	-1.7966997255749606
GSM2146954	7.5401908375565725	-2.0205672559743295	-1.5981521900008329
GSM2481532	-3.724944968086662	-1.0216032452471489	0.8227007885382308
GSM2481533	-1.9956339823988585	-1.3412877043813596	0.0721503272043219
GSM2481534	-1.8251104429525744	-0.5383561995016144	1.0971416892625272
GSM2481535	-2.073703616801915	-2.428611474905135	0.48479012874788197
GSM2481536	-3.904967809174446	-2.981141522535471	0.8857792506164401
GSM2481537	-4.32504167145117	-1.8016624259163583	1.0197540892791643
GSM2481538	-4.422025177501651	-3.2617758558455674	0.13194902494666938
GSM2481539	-3.698158520029932	-3.4268634236050453	0.5582945800225306
GSM2481540	-3.7838217664235594	-0.4539795843454995	1.4773355703525652
GSM2481541	-3.490344409512009	-0.8940971320654897	0.15459824287188723
GSM2481542	-5.582005801826469	-1.512321937736572	1.2998674486150767
GSM2481543	-4.495364687386602	-2.75321650434261	0.36829207612435355
GSM2481544	-4.654554215777396	-2.486726870328386	0.32539570606276064
GSM2481545	-4.657798022686279	-2.6980929951603914	0.7585243340569368
GSM2481546	-5.552414676458212	-2.4555996276877683	0.16973654005583844
GSM2481547	-5.198711422822123	-2.984566982457904	0.6050940909353222
GSM2481548	-4.163631078080885	-2.649616655117749	0.6994434547238821
GSM2481549	-5.92857994505842	-1.016161679131894	0.9488436708710215
GSM2481550	-6.770994023042169	-0.8470723522684044	-0.38391378734612575
GSM2481551	-6.0663464129237905	-2.1126397507001653	1.0767605082595801
GSM2481552	-3.9025702157108975	-1.7853757311553016	0.04562164553098619
GSM2481554	1.9493795803783087	0.716624284173362	5.5098813868886936
GSM2481555	1.0138670798323177	2.609737817271114	6.264884032002977
GSM2481556	6.042954774440951	-2.8171965891554382	0.015335362823286264
GSM2481557	6.167268239926464	-3.3224367792291924	-0.2424110233570724
GSM2481558	0.7306103681018937	5.35935729082778	5.1056046924033085
GSM2481559	2.1215526992137748	2.4304990076544675	5.982135920149068
GSM2481560	-0.9283496448106988	4.790552143186036	5.185243856536784
GSM2481561	2.6249462152099325	0.5355326189746101	5.895856674048162
GSM2481562	3.218353554467609	0.8862186084028597	5.640313050110247
GSM2481563	0.005791598204168106	7.412458759509496	3.934151536317744
GSM2481564	3.062111995872445	-0.375794491320884	5.0419586497974835
GSM2481565	0.2120326348002286	6.777078589839088	5.399677943408618
GSM2481566	2.0077031425690812	0.7288579158277172	5.788546726443151
GSM2481567	1.7997295181912947	2.8513766509409066	6.360789840987724
GSM2481570	6.359727925342066	-2.4289096560898455	-0.29088542788236954
GSM2481571	-1.61505526226408	7.094815313501947	5.821618104672422
GSM2481572	1.7624617773631877	2.241765563792245	5.888112407617572
GSM2481573	3.366627872055441	0.00656762660328502	4.905956047392341
GSM2481574	-1.3741950597703256	4.637000004914544	6.44631609669586
GSM2481575	1.4953146079865711	2.7373456410432744	6.294705268002547
GSM2481576	1.0670023656331882	5.195190505605627	5.893935530627026
GSM2481577	-1.7506735578302224	9.785228785841927	3.5131719023313033
GSM2481578	4.062720318279468	0.8981495475103602	4.47844682851207
GSM2481581	7.096397127517177	-2.7610650314555594	-0.5744530772842001
GSM2481586	7.021999541811735	-2.6464431738230534	-0.7374108351527262
GSM2481587	6.9964008581192125	-2.4223095908021706	-0.7379277497139394
GSM2481588	7.307688871962111	-2.454707469159568	-1.0753338302400404
GSM2481589	6.445200359675102	-3.253194901735853	0.1471046365034545
