sample_id	M00	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15
GSM2146951	0.0	0.9095804988662131	0.004166666666666667	0.975	0.014814814814814812	0.14583333333333334	0.03359461573561045	0.7416666666666667	0.0238095238095238	0.08333333333333333	0.9484126984126985	0.15000000000000002	0.125	0.015873015873015872	0.21063446630888488	0.0
GSM2146952	0.103125	0.9159967017109875	0.05677350427350427	0.9333333333333332	0.20788113695090438	0.0625	0.033557625948930296	0.7083333333333334	0.0238095238095238	0.08333333333333333	0.9484126984126985	0.5202380952380953	0.125	0.015873015873015872	0.29720589488031346	0.0
GSM2146953	0.0	0.9634353741496599	0.04188755020080322	0.975	0.0	0.0625	0.04247876061969015	0.7750787224471435	0.09523809523809523	0.0925925925925926	0.9484126984126985	0.22843567251461988	0.125	0.1276742581090407	0.4547840531561461	0.0
GSM2146954	0.02220394736842105	0.9634353741496599	0.034232026143790846	0.775	0.01	0.0625	0.0261528326745718	0.7728857399910032	0.0238095238095238	0.16666666666666663	0.9484126984126985	0.25277777777777777	0.125	0.15873015873015875	0.5318681318681319	0.0
GSM2481532	0.014533730158730156	0.3218953924781732	0.00303030303030303	0.6428571428571429	0.03330866228070175	0.09393939393939393	0.06231884057971015	0.048178673178673165	0.14575424575424575	0.26695526695526695	0.1369047619047619	0.0	0.0	0.0028011204481792717	0.0	0.0
GSM2481533	0.004361007462686563	0.48915457464241846	0.0002849002849002833	0.8568452380952382	0.11792427434456929	0.1043560606060606	0.05305446365228973	0.15313852813852813	0.06718281718281717	0.40584415584415584	0.17857142857142858	0.0	0.0	0.05357142857142857	0.0	0.0
GSM2481534	0.0328125	0.5550005010684235	0.04033189033189033	0.8568452380952382	0.2317849471728782	0.23768939393939392	0.09773262643777499	0.0698051948051948	0.04081632653061224	0.32251082251082247	0.24801587301587302	0.0324074074074074	0.0	0.0	0.04	0.0
GSM2481535	0.11533119658119659	0.4572710815731262	0.016666666666666666	0.6568452380952381	0.033383238966318216	0.1043560606060606	0.0068930164038859655	0.0533068783068783	0.04978354978354977	0.1558441558441558	0.5119047619047619	0.007692307692307675	0.0	0.0	0.0	0.0
GSM2481536	0.03125	0.273122587908142	0.007606837606837607	0.7819444444444444	0.10524269321199915	0.0	0.008034026465028352	0.048366013071895426	0.17261904761904762	0.12037037037037036	0.5130718954248367	0.0	0.0	0.010989010989010986	0.00357142857142856	0.08333333333333333
GSM2481537	0.046875	0.24752261057679772	0.0	0.9714285714285715	0.125	0.0	0.05152979066022544	0.03846153846153846	0.3154761904761904	0.2847222222222222	0.7352941176470589	0.0	0.0	0.002164502164502157	0.0	0.08333333333333333
GSM2481538	0.0	0.27290905845723124	0.0026041666666666665	0.9714285714285715	0.08089648887697667	0.0	0.0007127583749109044	0.0	0.25214285714285717	0.1616161616161616	0.40196078431372556	0.0	0.0	0.028846153846153844	0.019047619047619042	0.08333333333333333
GSM2481539	0.0032051282051282	0.25923366767725786	0.01037037037037037	0.7933730158730159	0.054401507645081684	0.0	0.015901102604843752	0.0853413654618474	0.15476190476190474	0.19583333333333333	0.611111111111111	0.0	0.0	0.0	0.0	0.08333333333333333
GSM2481540	0.06875	0.2766225987250246	0.008018370518370514	0.7533730158730159	0.2696340893149404	0.03333333333333333	0.11244415386291816	0.25925925925925924	0.3333333333333333	0.037037037037037035	0.40196078431372556	0.12777777777777777	0.0	0.0	0.0	0.08333333333333333
GSM2481541	0.0	0.3599260527831956	0.020833333333333332	0.8033730158730158	0.09119315107041581	0.023809523809523798	0.025805620771295824	0.023391812865497064	0.29261904761904756	0.23905723905723905	0.5130718954248367	0.0	0.25	0.15384615384615383	0.06352941176470588	0.08333333333333333
GSM2481542	0.06960227272727272	0.20927197802197803	0.0	0.7847619047619048	0.17797628458498022	0.0	0.0566304297568399	0.02172096908939013	0.35119047619047616	0.09953703703703703	0.5130718954248367	0.0	0.0	0.09523809523809523	0.02	0.08333333333333333
GSM2481543	0.00625	0.28302634184987124	0.0125	0.7019444444444445	0.0708847999545674	0.0	0.03156484979589794	0.0	0.38725490196078427	0.14583333333333334	0.16666666666666666	0.004629629629629625	0.0	0.0313971742543171	0.075	0.08333333333333333
GSM2481544	0.0078125	0.2561000131046571	0.002516619183285847	0.9603174603174602	0.05972222222222222	0.0	0.012917709425519588	0.040161179011108876	0.519047619047619	0.17361111111111108	0.5	0.0357142857142857	0.0	0.14285714285714285	0.0	0.08333333333333333
GSM2481545	0.004807692307692306	0.21313131313131312	0.0014492753623188402	0.7714285714285715	0.0180392156862745	0.0	0.020675701110483714	0.031746031746031744	0.15476190476190474	0.037037037037037035	0.34640522875817	0.15472027972027969	0.0	0.04273504273504273	0.01666666666666666	0.20833333333333334
GSM2481546	0.0	0.21428571428571427	0.007407407407407407	0.7819444444444444	0.00149289617486338	0.0	0.058683772867664526	0.0	0.3711904761904762	0.0	0.27777777777777773	0.0	0.0	0.14285714285714285	0.0	0.08333333333333333
GSM2481547	0.0	0.16111111111111112	0.0	0.9533730158730158	0.12404471544715448	0.0	0.0	0.022222222222222223	0.2283333333333333	0.09953703703703703	0.27777777777777773	0.020833333333333325	0.0	0.0	0.0	0.08333333333333333
GSM2481548	0.011029411764705881	0.20239292870871817	0.004305555555555553	0.9533730158730158	0.0	0.03333333333333333	0.042938983213582756	0.0	0.1926190476190476	0.0	0.5686274509803922	0.05	0.0	0.0	0.06875	0.08333333333333333
GSM2481549	0.029745989304812828	0.1449322353437695	0.0	0.9533730158730158	0.23783891547049443	0.0	0.057340381308693754	0.0	0.42261904761904756	0.16666666666666666	0.7777777777777778	0.0	0.0	0.14285714285714285	0.0	0.08333333333333333
GSM2481550	0.04078947368421052	0.0984126984126984	0.0031746031746031733	0.9819444444444445	0.1991282689912827	0.0	0.1356521739130435	0.0	0.4880952380952381	0.09953703703703703	0.27777777777777773	0.10714285714285712	0.0	0.010989010989010986	0.0	0.08333333333333333
GSM2481551	0.020833333333333332	0.1261904761904762	0.0	0.9533730158730158	0.227	0.0	0.058683772867664526	0.0	0.35333333333333333	0.12037037037037036	0.5130718954248367	0.08333333333333333	0.0	0.010989010989010986	0.0	0.08333333333333333
GSM2481552	0.0	0.20295435558593453	0.005555555555555553	0.9819444444444445	0.06283730158730158	0.0	0.03525493429156087	0.14814814814814814	0.47619047619047616	0.09953703703703703	0.5130718954248367	0.25	0.0	0.06293706293706293	0.10909090909090909	0.08333333333333333
GSM2481554	0.03544372294372294	0.8095770161810681	0.0	0.7222222222222222	0.13999999999999999	0.8492063492063493	0.06521739130434782	0.2608465608465608	0.17261904761904762	0.0	1.0	0.0	0.0	0.0	0.0	0.26666666666666666
GSM2481555	0.06818181818181818	0.6544054852030856	0.0	0.5222222222222223	0.10685539606592238	0.9047619047619048	0.06586770717205499	0.14973544973544972	0.35863095238095244	0.0	1.0	0.03835227272727273	0.0	0.0	0.2	0.26666666666666666
