model	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC3_recovery	PC1_negative_pull_recovered	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	branch	modules	n_modules	beta
closure_subset_plus_full_access	-0.4456102237546461	-0.08605799452043023	-1.1604985801916659	1.2460864354299088	0.9982993714226004	0.5630597031456257	0.6052114666689343	0.5630597031456257	0.6052114666689343	0.48144484327845277	0.3383524381008366	0.47184663577740094	0.8487798699346262	0.23999636482382192	0.6461656773016586	0.24049772952482387	1.5666635350021403	1.9104332695957345	0.9555555555555556	0.9777777777777777	0.875	0.875	1.049788380450535	1.0224014859114376	closure_plus_access	M05,M01|M02,M10	4	1.0
closure_subset_plus_full_access	-0.4565052234180704	-0.055971886830590234	-1.3038061047197507	1.3825484547848037	0.9982168850629266	0.5768262976922469	0.679947755523344	0.5768262976922469	0.679947755523344	0.40384864217116573	0.28200959999600483	0.3600333034867061	0.8487798699346262	0.23956369709225395	0.6475674546794258	0.24006175079430622	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.9479137657928465	1.0224014859114376	closure_plus_access	M05,M01,M12|M02,M10	5	1.0
full_closure_plus_access_subset	-0.4565052234180704	-0.055971886830590234	-1.3038061047197507	1.3825484547848037	0.9982168850629266	0.5768262976922469	0.679947755523344	0.5768262976922469	0.679947755523344	0.40384864217116573	0.28200959999600483	0.38245726900662624	0.8487798699346262	0.23956369709225395	0.6475674546794258	0.24006175079430622	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.9479137657928465	1.0224014859114376	closure_plus_access	M05,M01,M12|M02,M10	5	1.5
closure_subset_plus_full_access	-0.2631717435619713	-0.016482699359981645	-1.1304558977423977	1.1608021290160566	0.9867939863391402	0.3325359157107429	0.5895439111732718	0.3325359157107429	0.5895439111732718	0.5473538113091415	0.39941632629059354	0.5564248516137389	0.8487798699346262	0.24012499715610164	0.6448251482100102	0.24063019673446642	1.5666635350021403	1.9104332695957345	0.9333333333333333	0.9555555555555556	0.875	0.875	1.1326370053652985	1.0224014859114376	closure_plus_access	M05,M12|M02,M10	4	1.0
full_closure_plus_access_subset	-0.21646499492328408	0.028262967514887605	-1.0599093641986974	1.0821569893855383	0.9811180541899749	0.2735186700968346	0.5527531974549141	0.2735186700968346	0.5527531974549141	0.5971865671584181	0.446826394389481	0.5618528020614819	0.8487798699346262	0.24035394368251795	0.6437371205573739	0.2408624622441101	1.5666635350021403	1.9104332695957345	0.9333333333333333	0.9555555555555556	0.875	0.875	1.2042790723992192	1.0224014859114376	closure_plus_access	M05,M01,M12|M02	4	1.5
full_closure_plus_access_subset	-0.5057944235131301	-0.3752661372060778	-1.0080273484455544	1.18860077730276	0.9513062470940506	0.6391066514506705	0.5256962140310184	0.6391066514506705	0.5256962140310184	0.5846077716103728	0.3915767307178548	0.544216239372233	0.8487798699346262	0.24072188657418767	0.644919143660454	0.2412201160413382	1.5666635350021403	1.9104332695957345	0.8888888888888888	0.9555555555555556	0.875	0.875	1.1884072438340167	1.0224014859114376	closure_plus_access	M05,M01,M12|M10	4	1.5
closure_subset_plus_full_access	-0.252276743898547	-0.04656880704982164	-0.987148373214313	1.0199382922715283	0.989625216677385	0.31876932116412166	0.5148076223188622	0.31876932116412166	0.5148076223188622	0.6208585938979105	0.45934523360815216	0.5857608184222238	0.8487798699346262	0.24060898158507854	0.6431785614273413	0.24111774254034365	1.5666635350021403	1.9104332695957345	0.8444444444444444	0.9555555555555556	0.875	0.875	1.2407119038039902	1.0224014859114376	closure_plus_access	M05|M02,M10	3	1.0
closure_subset_plus_full_access	-0.39497950791925	0.22565631624924115	-0.8563332283006873	0.9696577657252002	0.967811439389583	0.4990842503651139	0.446586232765237	0.4990842503651139	0.446586232765237	0.6709677546900713	0.528893606950653	0.6127111186898748	0.8487798699346262	0.2408444195131927	0.6420658975265355	0.241362863186537	1.5666635350021403	1.9104332695957345	0.7777777777777778	0.9555555555555556	0.875	0.875	1.326954090392211	1.0224014859114376	closure_plus_access	M01,M12|M02,M10	4	1.0
closure_subset_plus_full_access	-0.38408450825582574	0.19557020855940116	-0.7130257037726025	0.8331712130159696	0.9629833084385172	0.4853176558184927	0.37184994391082754	0.4853176558184927	0.37184994391082754	0.7459504743037597	0.5899593808787439	0.6629051608221108	0.8487798699346262	0.24139885262207939	0.6401009141795876	0.24192012801506016	1.5666635350021403	1.9104332695957345	0.6666666666666666	0.9555555555555556	0.875	0.875	1.4423120933170723	1.0224014859114376	closure_plus_access	M01|M02,M10	3	1.0
closure_subset	-0.2657541950183438	-0.2910312828606	-0.764130607924501	0.8597790912440254	0.9448518820616025	0.3357990238552582	0.3985016559625886	0.3357990238552582	0.3985016559625886	0.7467122847527856	0.5503582624738057	0.6509125707606217	0.8487798699346262	0.24157114458432083	0.6406138386483888	0.24208030908623063	1.5666635350021403	1.9104332695957345	0.6	0.9555555555555556	0.875	0.875	1.4287622628692134	1.0224014859114376	closure	M05,M01,M12	3	1.0
closure_subset_plus_full_access	-0.2016460280631509	0.26514550371984974	-0.6829830213233343	0.7598875352263965	0.9262360462472422	0.2547938683836099	0.35618238841516486	0.2547938683836099	0.35618238841516486	0.8085526412621202	0.6467598106505534	0.6401252012475909	0.8487798699346262	0.241631735316318	0.6384034728279964	0.2421552514323026	1.5666635350021403	1.9104332695957345	0.5777777777777777	0.8888888888888888	0.875	0.875	1.5342898942048384	1.0224014859114376	closure_plus_access	M12|M02,M10	3	1.0
