cluster_name	coef_intercept	coef_tau	coef_m_j	coef_A	coef_P	coef_Hm	coef_Hr	train_n_pairs	train_weight_sum	train_rmse	train_correlation	ridge_lambda
cluster_23	0.2838039400389987	-0.2657647848773443	-2.950877069018002	-0.05010464984856435	-0.03901427335585161	-0.06791584355083745	-0.06438020295979964	3705	6.0	0.8318238690037159	0.7881775683044162	50.0
cluster_67	0.02436614821285834	0.002767249712252818	-0.07777009789578289	-0.05451709918312441	0.0013822644026794562	-0.014762666044225613	-0.013004019268632013	3705	6.0	0.10296863668512593	0.4241813325621168	50.0
cluster_123	0.021680176479739334	-0.0673375144292713	-3.791332677110711	0.039806923410456316	0.1121049030925625	-0.1811010382747983	0.1361939996126349	3705	6.0	0.9700515231892083	0.7519748952175457	50.0
cluster_125	0.8086809014544413	0.2899170175934226	-4.12444804213209	-0.36505262477197326	-0.8571698030647701	0.036650245838358325	-0.23671577774120145	3705	6.0	1.4514246504728305	0.7957436724903939	50.0
cluster_126	0.21378903888678366	-0.17675515318829915	-4.164529916460353	0.2664935543300891	-0.06646845799941498	-0.2801901321991472	0.3431502647330937	3705	6.0	1.3247368314126067	0.691607310686474	50.0
cluster_242	1.3202053770101434	3.158788427423725	-5.761545860579135	-0.18830213204422402	-1.560476850187337	-0.14062258665487326	-0.09086973443232657	3705	6.0	1.92113146969308	0.8747113772264656	50.0
cluster_293	0.30949198606976025	0.15927322159695723	-3.4920547662210724	0.10897242644952908	-0.20150576762578876	-0.012717506507603211	-0.38351414810447965	3705	6.0	0.9678789435553252	0.692735531425896	50.0
cluster_315	0.5843704443539719	0.06836195140584099	-4.34445888548741	-0.18680857562920433	-0.4014833226097249	-0.14762728217548918	-0.11506316583842356	3705	6.0	1.3773315631821201	0.6274665989295437	50.0
cluster_386	0.137794927080679	0.13018264041914374	-3.9290688422163127	0.1795449970382742	0.036485051740185535	-0.3543511631878786	0.21407879898431592	3705	6.0	1.0876511822903465	0.6701936958370212	50.0
cluster_483	0.28954610010490817	-0.45165147221227886	-4.293577251922661	0.28859171416135027	-0.1362442770657247	-0.05984365200995457	0.15442530331227436	3705	6.0	1.350890991526303	0.7600608420773165	50.0
cluster_543	3.0026256100030775	4.358686303630462	-5.419312906744258	-0.5430042168848043	-4.932515428361962	0.28567145476751027	-0.5151809631925999	3705	6.0	1.7476306278712161	0.9002666129451152	50.0
cluster_587	-1.0311764721952188	-0.9022627719116243	-6.555413684152521	1.039252971338064	2.558882222992881	-1.3507583006190997	3.208716440843072	3705	6.0	1.6901373925014367	0.8268010879041332	50.0
cluster_618	0.3138758481588144	0.04478839960127131	-2.7460743523615996	-0.090305842466909	-0.16885812892484126	0.013058070317396111	-0.32876780861261046	3705	6.0	0.7216132047423565	0.7830826289161466	50.0
cluster_634	1.6549237440159534	0.4506942456736507	-3.128614351975917	-0.669071033116809	-0.42875661101173285	-0.7181378175746645	-1.4977489396094057	3705	6.0	1.085739884100552	0.6025362798019849	50.0
cluster_643	-1.614068466525772	1.6495454303583006	-6.251906177055265	1.1909474912453515	3.6106834486953403	-0.20706723745852504	1.2006707213488748	3705	6.0	1.7132413963188124	0.7524953099957714	50.0
cluster_652	0.318053266952483	0.3276855957201974	-3.6876626480690704	0.4573393387874213	-0.11960173485825591	-0.3827571500447658	-0.3607583079973679	3705	6.0	1.060649921391343	0.6500498425232855	50.0
cluster_832	2.1937417003661435	1.6389323611585025	-5.884393270295702	-0.24353739171012476	-0.17264096194370138	0.3529404583932704	0.9401826991162716	3705	6.0	1.5256671667461696	0.8511710349740146	50.0
cluster_840	1.0415106298466086	0.4135520391231618	-4.256119870735417	-0.5396912109039546	-0.33232567479728625	-0.6514042403195577	-0.615804062794214	3705	6.0	1.241520570482514	0.7156120525952575	50.0
cluster_883	-0.002452892722985949	0.203026297661796	-3.5110038071118104	0.038517910488197436	-0.17642082800746933	-0.06684558603498268	0.1597931075066984	3705	6.0	0.8381601864047286	0.7633691227783689	50.0
cluster_900	0.07464961771230193	-0.21872601875123332	-2.9633690142115965	-0.025833524181036984	0.1376343391423922	0.02789004829170913	-0.061826122446267104	3705	6.0	0.6820875633807879	0.8666135473605824	50.0
cluster_915	-0.5354333210735097	0.2683941490683656	-5.208111414894572	0.8267260886126166	0.6879215450482584	-0.25694379505282894	1.7009946567608136	3705	6.0	1.548846154962869	0.7489632800877596	50.0
cluster_916	-2.7433029271674254	1.754098603885544	-8.71090488601494	0.7253179893094291	5.3111794318407135	-1.3891421032415874	1.9152505885299445	3705	6.0	0.9332857510982774	0.8986145129130073	50.0
cluster_950	5.988890777464888	-1.7746466424996876	-5.523640434073459	-0.24303975985131246	-3.5467195014148514	1.7442380986118091	-1.775236770246815	3705	6.0	1.524119899970314	0.7967319521338997	50.0
cluster_1007	0.5116831987234195	0.4636358342468581	-3.868047485561263	-0.09852119735723619	-0.5537543129663668	-0.41871552122605116	-0.16646155150676764	3705	6.0	1.05951147537644	0.6742515752226644	50.0
cluster_1126	0.7463071538880736	0.5550783444468723	-4.886469805378664	-0.3271035817925706	-0.7756383424932256	-0.4684645286655403	0.10931194185234347	3705	6.0	1.4803407104749777	0.7129828674068759	50.0
cluster_1257	-0.015077095283051923	0.0427568442879859	-2.5814629123038504	0.05725350742944943	-0.10198711665479035	0.16189927416372474	0.09427760980253826	3705	6.0	0.858494999152718	0.611980069629409	50.0
cluster_1333	0.9272720199499715	-0.8356900328167077	-4.254724213958206	-0.02336845437427078	-0.26742001454624065	-0.2744647539068954	0.027730627258500767	3705	6.0	1.3463400408648805	0.7363760674680889	50.0
cluster_1387	0.18060328804526568	1.5281587303780877	-4.0144537969312175	-0.03506072211002873	-1.3861335063012594	0.35692618139844123	0.15896293131152905	3705	6.0	1.1296482145075597	0.7994169811710239	50.0
cluster_1406	-1.8145895967390182	0.310201273807734	-6.052477801044614	0.25790556536636605	2.683344084952751	0.14573992342141975	1.6135107278908167	3705	6.0	0.9271088487319374	0.9562675385729218	50.0
cluster_1523	-1.450945856716381	0.273898600229589	-5.300237701772583	0.9789349169478948	2.024917391962991	-0.06278802823091321	1.220919031498748	3705	6.0	1.2782648048698964	0.7109184580599022	50.0
cluster_1556	0.7838168985269411	-0.0805486042760815	-3.8635891141584526	-0.3756340579927029	-0.2958077239159632	-0.7023158157555803	-0.09397040358071133	3705	6.0	1.1516455368700744	0.6311703790958775	50.0
cluster_1564	0.1362391108778833	-0.20617947799047764	-2.9461538405034458	-0.022745307658931475	0.015580787035223653	0.2030232718724734	-0.16998305386496124	3705	6.0	0.6339418023985248	0.8803970807729127	50.0
cluster_1586	0.6624839187576074	0.24253887839596394	-2.0814885207037817	-0.3417707206071179	-0.17779801812601972	-0.7286518501353679	-0.47041129373491025	3705	6.0	0.5779367753051082	0.7212774671552152	50.0
cluster_1607	-1.5165665315652934	-0.15841218572497737	-5.959944669842854	0.652799540252585	2.7433997114427306	-0.2666630795553239	1.8429929601862385	3705	6.0	1.549473778996858	0.7510168957175112	50.0
cluster_1688	0.4306188393313964	-0.04107899003539438	-3.379400946263098	-0.1531509331615359	-0.3410261539431194	-0.08263743806960959	-0.2523108702884419	3705	6.0	0.9276708356946488	0.7052150356141631	50.0
cluster_1715	0.7745518250580357	-0.7932415071998502	-3.4535038865681003	-0.16785619423300588	-0.02003001623629059	0.16321886168415284	-0.4054940865880033	3705	6.0	0.9418948635157902	0.745965077260921	50.0
cluster_1718	-2.4838960292725445	1.470246657781103	-6.210509495902664	1.5186717676114667	3.044999935843492	-0.44690656223897623	2.281905342005535	3705	6.0	1.4809947797034118	0.6918383418975051	50.0
cluster_1742	2.8220754955372853	-0.7308886928810567	-4.029060707284826	0.19229670033419782	-1.550696269977786	2.21399202873095	-2.3849558197440617	3705	6.0	1.2435822512756873	0.742318652318155	50.0
cluster_1758	0.9411619020270582	4.248667918978345	-5.5035706767637995	0.07147830264561558	-3.1232799445448456	-0.6581694842968285	2.6573225522463946	3705	6.0	1.6732819529824368	0.921370383099153	50.0
cluster_1764	0.5522991776904662	-0.2397304638091934	-5.360602916090047	-0.5744377628259589	2.440678594837809	-1.6526823737055796	0.9917105587866782	3705	6.0	1.7383386396748086	0.7511957154128327	50.0
cluster_1806	-1.847702273027326	0.7703669029096823	-5.840011647959472	0.7497812406853943	2.2561586691352766	-0.14875668260001496	1.8456833748396586	3705	6.0	1.4410837208789413	0.6572428827635053	50.0
cluster_1851	-0.10725342491874397	0.11560017251083064	-3.5681122174549578	-0.07530287001508881	-0.0037441275495118448	-0.03182892141421732	0.27444611538051894	3705	6.0	0.8364462624765482	0.8098964367727116	50.0
cluster_1921	2.460998018514081	-2.688646987842084	-5.117077394572647	0.29059891563324686	0.37929704462485253	1.448544416824323	-2.4324599397566833	3705	6.0	1.2027917971684892	0.874662626414279	50.0
cluster_1922	-1.5794873527407096	0.3971518741611145	-5.885083037112463	0.7863317206414089	2.3129347155968385	-0.30284397245793454	2.057131861389759	3705	6.0	1.5645401423443586	0.6774761405347575	50.0
