train_protocol	rollout_mode	start_stage	target_stage	start_tau	target_tau	n_predicted_particles	n_observed_samples	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_threshold_morula_q90	pred_basin_occupancy	observed_basin_occupancy	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
full_all_transitions	deterministic	MII oocyte	MII oocyte	0.0	0.0	36	36	0.0	0.0	0.0	0.0	0.033000156429057355	0.9958510597738592	0.10350441372305587	1.5666635350021403	0.0	0.0	11.446637235175949	11.446637235175949
full_all_transitions	stochastic_residual	MII oocyte	MII oocyte	0.0	0.0	720	36	5.3182657297855745e-15	0.0	0.23502085971023096	1.0219698063843037	0.03300015642905743	0.9958510597738595	0.10350441372305587	1.5666635350021403	0.0	0.0	11.446637235175952	11.446637235175949
full_all_transitions	deterministic	MII oocyte	zygote/PN	0.0	0.16666666666666666	36	30	0.7196130808311746	0.3810978821575487	1.4005931219078822	11.64604934783993	0.055946996383159336	0.9924213412284786	0.06421802299736293	1.5666635350021403	0.0	0.0	8.684802729263005	10.476711921316689
full_all_transitions	stochastic_residual	MII oocyte	zygote/PN	0.0	0.16666666666666666	720	30	0.9126829807614419	0.06388135954274321	2.159697049161012	29.306874695641	0.0790191924079981	0.9832345528188084	0.1696934114180267	1.5666635350021403	0.0	0.0	10.960132978179383	10.476711921316689
full_all_transitions	deterministic	MII oocyte	2-cell	0.0	0.3333333333333333	36	20	0.17135802349790244	0.4152707993954382	0.8328841509403252	3.0435628847510166	0.10018019225399473	0.8797508594124501	0.10084238649442404	1.5666635350021403	0.0	0.0	3.6552411761252688	3.895913884170207
full_all_transitions	stochastic_residual	MII oocyte	2-cell	0.0	0.3333333333333333	720	20	0.49898625910416206	0.08624878557104454	3.154564796753651	44.05993111139904	0.11257500219779379	0.8610570212442568	0.19828874354378714	1.5666635350021403	0.002777777777777778	0.0	8.64083479208157	3.895913884170207
full_all_transitions	deterministic	MII oocyte	4-cell	0.0	0.5	36	25	1.1826935682843882	0.787127313619482	1.2021704915705016	1.7613733846761717	0.12856902182599564	0.8041857024690064	0.12866672763748177	1.5666635350021403	0.0	0.0	2.3645517739155815	4.246478430257651
full_all_transitions	stochastic_residual	MII oocyte	4-cell	0.0	0.5	720	25	1.0792061069996708	0.10807335645329541	3.4168380879576286	44.227600091329236	0.13665066755086017	0.7940662429349213	0.20874443171475215	1.5666635350021403	0.011111111111111112	0.0	8.196644562186679	4.246478430257651
full_all_transitions	deterministic	MII oocyte	8-cell	0.0	0.6666666666666666	36	45	1.027907420668497	0.5627733406879397	1.1456257349338568	1.7920454832946262	0.11234377614324452	0.9328342718486903	0.11235990245037812	1.5666635350021403	0.0	0.37777777777777777	1.9543394540845942	1.9475723812798929
full_all_transitions	stochastic_residual	MII oocyte	8-cell	0.0	0.6666666666666666	720	45	1.0315193412613315	0.11373734285709869	3.397100217106422	44.92360363958767	0.11712902613360761	0.920289332287306	0.1968044863627581	1.5666635350021403	0.004166666666666667	0.37777777777777777	8.14732570915829	1.9475723812798929
