scan_type	control_name	alpha	control_PC1	control_PC2	control_PC3	control_norm	control_cosine_to_measured_correction	PC3_negative_pull_recovery	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	latent_variance_trace	covariance_eigen_min	covariance_eigen_max	covariance_anisotropy	mean_radial_distance_before	mean_radial_distance_after	radial_distance_reduction	fraction_particles_moved_closer
full_measured_correction	measured_full_correction	0.0	-0.0	-0.0	-0.0	0.0	0.9999999999999998	0.0	1.1978195174977648	0.9341820819670775	1.0712705897740062	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376	0.5285826573934536	0.03374192641412863	0.32350109146095457	9.587511023552842	2.163377528533326	2.163377528533326	0.0	0.0
full_measured_correction	measured_full_correction	0.05	-0.039570423994575644	-0.0016924224725939517	-0.09587546205783369	0.10373421313018832	0.9999999999999998	0.05	1.1379285416228764	0.8949037479659772	0.9305574699266408	0.8487798699346262	0.24463290612583355	0.62738581652569	0.24515780811012217	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.06450336171046	1.0224014859114376	0.5285826573934537	0.03374192641412864	0.3235010914609545	9.587511023552839	2.163377528533326	2.06450336171046	0.0988741668228661	1.0
full_measured_correction	measured_full_correction	0.1	-0.07914084798915129	-0.0033848449451879033	-0.19175092411566738	0.20746842626037665	0.9999999999999998	0.1	1.0780375657479884	0.8526532811255703	0.9608032491072538	0.8487798699346262	0.24407533949190935	0.6296407753778093	0.24460038349919705	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4666666666666667	0.875	0.875	1.9661745013507868	1.0224014859114376	0.5285826573934536	0.033741926414128674	0.3235010914609548	9.587511023552837	2.163377528533326	1.9661745013507868	0.19720302718253935	1.0
full_measured_correction	measured_full_correction	0.15	-0.11871127198372693	-0.005077267417781854	-0.28762638617350106	0.311202639390565	0.9999999999999998	0.15	1.0181465898731001	0.8079864712427223	0.9147301229200914	0.8487798699346262	0.24354593445196915	0.6317838844306795	0.24407053012322286	1.5666635350021403	1.9104332695957345	0.24444444444444444	0.5111111111111111	0.875	0.875	1.8684840621296284	1.0224014859114376	0.5285826573934536	0.03374192641412867	0.3235010914609547	9.587511023552835	2.163377528533326	1.8684840621296284	0.29489346640369773	1.0
full_measured_correction	measured_full_correction	0.2	-0.15828169597830258	-0.006769689890375807	-0.38350184823133476	0.4149368525207533	0.9999999999999998	0.2	0.9582556139982121	0.7613089844203065	0.9061367878200239	0.8487798699346262	0.2430441226376563	0.6338168775399594	0.24356814047724232	1.5666635350021403	1.9104332695957345	0.3333333333333333	0.6222222222222222	0.875	0.875	1.7715463334298696	1.0224014859114376	0.5285826573934536	0.033741926414128674	0.3235010914609548	9.587511023552837	2.163377528533326	1.7715463334298696	0.39183119510345654	1.0
full_measured_correction	measured_full_correction	0.25	-0.19785211997287822	-0.008462112362969757	-0.4793773102891684	0.5186710656509417	0.9999999999999998	0.25	0.8983646381233239	0.7111190964773477	0.7611629169559626	0.8487798699346262	0.24256992230797844	0.6357375852579132	0.24309280195762337	1.5666635350021403	1.9104332695957345	0.4222222222222222	0.7111111111111111	0.875	0.875	1.6755025604996168	1.0224014859114376	0.5285826573934534	0.03374192641412863	0.3235010914609547	9.587511023552844	2.163377528533326	1.6755025604996168	0.48787496803370933	1.0
full_measured_correction	measured_full_correction	0.3	-0.23742254396745385	-0.010154534835563708	-0.5752527723470021	0.62240527878113	0.9999999999999998	0.3	0.8384736622484353	0.6593604466281037	0.7552156573935178	0.8487798699346262	0.2421235686348504	0.6375429766707695	0.24264442446657414	1.5666635350021403	1.9104332695957345	0.4888888888888889	0.8444444444444444	0.875	0.875	1.5805283513397832	1.0224014859114376	0.5285826573934534	0.03374192641412863	0.3235010914609546	9.587511023552842	2.163377528533326	1.5805283513397832	0.5828491771935429	1.0
full_measured_correction	measured_full_correction	0.35	-0.2769929679620295	-0.011846957308157659	-0.6711282344048357	0.7261394919113182	0.9999999999999998	0.35	0.7785826863735471	0.6067251092410485	0.7503075945282369	0.8487798699346262	0.24170367821964062	0.639238555384602	0.24222211459223947	1.5666635350021403	1.9104332695957345	0.5111111111111111	0.9333333333333333	0.875	0.875	1.4868429806579686	1.0224014859114376	0.5285826573934536	0.03374192641412863	0.32350109146095457	9.587511023552842	2.163377528533326	1.4868429806579686	0.6765345478753575	1.0
full_measured_correction	measured_full_correction	0.4	-0.31656339195660516	-0.013539379780751613	-0.7670036964626695	0.8298737050415066	0.9999999999999998	0.4	0.718691710498659	0.5520988296304388	0.6445137782899826	0.8487798699346262	0.24130995387870047	0.6408252612747105	0.2418258275737414	1.5666635350021403	1.9104332695957345	0.6666666666666666	0.9555555555555556	0.875	0.875	1.3947206492406639	1.0224014859114376	0.5285826573934536	0.03374192641412867	0.3235010914609548	9.587511023552839	2.163377528533326	1.3947206492406639	0.7686568792926622	1.0
full_measured_correction	measured_full_correction	0.45	-0.3561338159511808	-0.015231802253345564	-0.8628791585205031	0.9336079181716949	0.9999999999999998	0.45	0.6588007346237709	0.49965264599715675	0.6313213622012658	0.8487798699346262	0.24094184763887633	0.6423040099442795	0.24145462528649536	1.5666635350021403	1.9104332695957345	0.7777777777777778	0.9555555555555556	0.875	0.875	1.3045032452714431	1.0224014859114376	0.5285826573934536	0.03374192641412863	0.32350109146095457	9.587511023552842	2.163377528533326	1.3045032452714431	0.858874283261883	1.0
