t,z1,z2
0.0,0.9656133286386176,0.2347693101898172
0.01,0.9658100980795811,0.23530749882088967
0.02,0.9660059947777283,0.23584330253532484
0.03,0.9662010221791035,0.2363767308225643
0.04,0.966395183708625,0.23690779311454482
0.05,0.9665884827621055,0.23743649876607084
0.06,0.966780922705318,0.237962857052526
0.07,0.9669725068739955,0.2384868771698731
0.08,0.9671632385738311,0.23900856823465413
0.09,0.9673531210804782,0.2395279392839902
0.1,0.9675421576395501,0.24004499927558165
0.11,0.9677303514666202,0.24055975708770802
0.12,0.9679177057472224,0.24107222151922794
0.13,0.9681042236368501,0.24158240128957928
0.14,0.9682899082609574,0.24209030503877907
0.15,0.9684747627149582,0.24259594132742351
0.16,0.9686587900640278,0.24309931863618928
0.17,0.9688419932873495,0.24360044522607252
0.18,0.9690243753655284,0.24409932935747836
0.19,0.9692059392928255,0.2445959793208027
0.2,0.9693866880213742,0.24509040329657775
0.21,0.9695666244611806,0.2455826093554718
0.22,0.9697457514801235,0.24607260545828946
0.23,0.9699240719039541,0.24656039945597152
0.24,0.9701015885162962,0.24704599908959496
0.25,0.9702783040586462,0.247529411990373
0.26,0.9704542212303731,0.24801064567965514
0.27,0.9706293426887181,0.24848970756892697
0.28,0.9708036710487956,0.24896660495981038
0.29,0.9709772088835921,0.24944134504406346
0.3,0.9711499587239668,0.2499139349035805
0.31,0.9713219230586515,0.25038438151039205
0.32,0.9714931043342505,0.2508526917266648
0.33,0.9716635049552407,0.25131887230470173
0.34,0.9718331272839716,0.251782929886942
0.35000000000000003,0.9720019736406652,0.25224487100596105
0.36,0.9721700463034161,0.2527047020844703
0.37,0.9723373475081915,0.2531624294353178
0.38,0.9725038794488309,0.25361805926148745
0.39,0.9726696442770469,0.2540715976560995
0.4,0.9728346441024242,0.2545230506024104
0.41000000000000003,0.9729988809924203,0.25497242397381287
0.42,0.9731623568895507,0.25541972332378815
0.43,0.9733250735234447,0.25586495366263656
0.44,0.9734870328260322,0.2563081205105549
0.45,0.9736482366739686,0.25674922924458404
0.46,0.9738086868671002,0.25718828504399777
0.47000000000000003,0.9739683851284641,0.25762529289030345
0.48,0.9741273331042883,0.2580602575672414
0.49,0.9742855323639921,0.2584931836607854
0.5,0.9744429844001854,0.2589240755591423
0.51,0.974599690628669,0.25935293745275245
0.52,0.9747556523884349,0.2597797733342891
0.53,0.9749108709416657,0.260204586998659
0.54,0.9750653474737352,0.26062738204300206
0.55,0.975219083093208,0.26104816186669144
0.56,0.9753720788318396,0.26146692967133356
0.5700000000000001,0.9755243356445766,0.26188368846076804
0.58,0.9756758544095562,0.26229844104106775
0.59,0.9758266359281068,0.2627111900205389
0.6,0.9759766809247478,0.26312193780972076
0.61,0.976125990047189,0.26353068662138607
0.62,0.9762745638663319,0.2639374384705406
0.63,0.9764224028762684,0.2643421951744235
0.64,0.9765695074942814,0.2647449583525071
0.65,0.9767158780608448,0.26514572942649706
0.66,0.9768615148396235,0.26554450962033216
0.67,0.9770064178319935,0.2659412994883699
0.68,0.9771505866251635,0.2663360985290839
0.6900000000000001,0.9772940212239982,0.2667289073010649
0.7000000000000001,0.9774367215162322,0.26711972606264495
0.71,0.9775786872347639,0.2675085546759816
0.72,0.977719917957656,0.2678953926070581
0.73,0.977860413108135,0.2682802389256828
0.74,0.9780001719545913,0.2686630923054899
0.75,0.9781391936105793,0.2690439510239389
0.76,0.9782774770348176,0.26942281296231485
0.77,0.9784150210311883,0.2697996756057282
0.78,0.9785518242487377,0.27017453604311503
0.79,0.9786878851816762,0.27054739096723684
0.8,0.9788232021693778,0.2709182366746805
0.81,0.9789577733963809,0.27128706906585864
0.8200000000000001,0.9790915968923875,0.2716538836450091
0.8300000000000001,0.9792246705322637,0.2720186755201954
0.84,0.9793569920360394,0.2723814394033064
0.85,0.979488558968909,0.27274216961005665
0.86,0.97961936874123,0.27310086005998596
0.87,0.9797494186085245,0.27345750427645976
0.88,0.9798787056714785,0.27381209538666895
0.89,0.9800072268759417,0.27416462612162995
0.9,0.9801349790129278,0.2745150888161846
0.91,0.9802619582691479,0.27486347426245933
0.92,0.9803881604351168,0.27520977224160514
0.93,0.9805135816814396,0.2755539735037394
0.9400000000000001,0.9806382178827816,0.27589606804288885
0.9500000000000001,0.9807620646118554,0.2762360450816498
0.96,0.9808851171394212,0.27657389307118835
0.97,0.9810073704342867,0.2769095996912403
0.98,0.9811288191633071,0.27724315185011095
0.99,0.9812494576913854,0.2775745356846754
1.0,0.981369280081472,0.27790373656037837
1.01,0.9814882800945645,0.27823073907123425
1.02,0.9816064511897084,0.2785555270398271
1.03,0.9817237865239967,0.27887808351731075
1.04,0.98184027895257,0.27919839078340847
1.05,0.9819559210286161,0.27951643034641344
1.06,0.9820707050033707,0.2798321829431883
1.07,0.9821846228261167,0.2801456285391655
1.08,0.9822976661441849,0.28045674632834716
1.09,0.9824098263029534,0.2807655147333049
1.1,0.9825210942097903,0.28107191105636814
1.11,0.9826314594287175,0.28137590916020444
1.12,0.9827409121192837,0.2816774844400171
1.1300000000000001,0.982849442188862,0.2819766116477032
1.1400000000000001,0.9829570389845463,0.28227326410168435
1.1500000000000001,0.9830636912931509,0.2825674136869069
1.16,0.9831693873412104,0.2828590308548416
1.17,0.9832741147949805,0.2831480846234839
1.18,0.983377860760437,0.2834345425773539
1.19,0.9834806117832762,0.28371837086749624
1.2,0.9835823538489153,0.28399953421148005
1.21,0.9836830723824918,0.2842779958933992
1.22,0.9837827522488637,0.28455371776387206
1.23,0.9838813777526096,0.2848266602400417
1.24,0.9839789326380287,0.28509678230557567
1.25,0.9840754000891407,0.2853640415106661
1.26,0.984170762729686,0.28562839397202977
1.27,0.984265002623125,0.2858897943729081
1.28,0.9843581012726392,0.28614819596306706
1.29,0.9844500396211304,0.2864035505587972
1.3,0.9845407971571761,0.28665580623548326
1.31,0.9846303523098202,0.28690490835417753
1.32,0.9847186837804659,0.28715080299559403
1.33,0.9848057693018286,0.28739343375198123
1.34,0.9848915856302232,0.28763274170720077
1.35,0.9849761085455638,0.2878686654367279
1.36,0.9850593128513647,0.28810114100765105
1.37,0.9851411723747392,0.28833010197867215
1.3800000000000001,0.9852216599664002,0.28855547940010656
1.3900000000000001,0.9853007475006603,0.28877720181388283
1.4000000000000001,0.9853784058754315,0.2889951952535431
1.41,0.9854546050122251,0.2892093832442428
1.42,0.9855293138561527,0.28941968680275065
1.43,0.9856025003759246,0.28962602443744895
1.44,0.9856741315638509,0.28982831214833316
1.45,0.9857441734240255,0.2900264633960418
1.46,0.9858125895132959,0.2902203852834849
1.47,0.9858793427878471,0.29040998341033436
1.48,0.9859443957480023,0.29059516223795745
1.49,0.9860077093029862,0.2907758221099133
1.5,0.9860692427709251,0.29095185925195266
1.51,0.9861289538788472,0.2911231657720181
1.52,0.9861867987626823,0.2912896296602439
1.53,0.9862427319672619,0.2914511347889561
1.54,0.9862967064463191,0.2916075609126725
1.55,0.9863486735624887,0.29175878366810254
1.56,0.9863985830873074,0.29190467457414754
1.57,0.9864463832012136,0.29204510103190046
1.58,0.9864920204935469,0.292179926324646
1.59,0.9865354399625492,0.29230900961786077
1.6,0.9865765850153638,0.2924322059592128
1.61,0.9866153973391156,0.29254936593294106
1.62,0.9866518147615767,0.2926603299458224
1.6300000000000001,0.9866857745518074,0.29276493710502877
1.6400000000000001,0.986717212412742,0.2928630224740883
1.6500000000000001,0.9867460615631253,0.2929544146048128
1.6600000000000001,0.986772252737512,0.29303893553729776
1.67,0.9867957141862672,0.2931164007999222
1.68,0.986816371675566,0.29318661940934876
1.69,0.9868341484873937,0.2932493938705239
1.7,0.9868489654195459,0.2933045201766774
1.71,0.986860740785628,0.293351787809323
1.72,0.9868693904150558,0.29339097973825773
1.73,0.9868748276530555,0.29342187242156254
1.74,0.9868769633606628,0.29344423580560175
1.75,0.9868757059147242,0.29345783332502345
1.76,0.9868709601414216,0.2934624189281435
1.77,0.9868626266914512,0.29345773542270914
1.78,0.9868506051167021,0.29344352304326715
1.79,0.9868347914543236,0.2934195126307348
1.8,0.9868150781273042,0.2933854253535003
1.81,0.9867913539444713,0.2933409727074226
1.82,0.9867635041004916,0.29328585651583156
1.83,0.9867314101758707,0.2932197689295279
1.84,0.9866949501369535,0.2931423924267831
1.85,0.9866539983359236,0.29305339981333967
1.86,0.986608425510804,0.29295245422241084
1.87,0.9865580987854565,0.29283920911468075
1.8800000000000001,0.9865028816695824,0.2927133082783044
1.8900000000000001,0.9864426337234092,0.2925743848123454
1.9000000000000001,0.9863772084750194,0.29242205494943
1.9100000000000001,0.986306456888374,0.2922559286654687
1.92,0.9862302255999553,0.2920756041132236
1.93,0.9861483563873096,0.29188066599052453
1.94,0.9860606861690471,0.2916706855402689
1.95,0.9859670470048422,0.29144522055042144
1.96,0.9858672660954332,0.2912038153540144
1.97,0.9857611657826225,0.2909460008291478
1.98,0.9856485635492765,0.29067129439898876
1.99,0.9855292720193255,0.2903792000317722
2.0,0.9854030989577639,0.29006920824080046
2.0100000000000002,0.9852698472677811,0.28974079607374287
2.02,0.9851293134967043,0.2893934217396031
2.0300000000000002,0.9849812887917211,0.28902652871179324
2.04,0.984825559515196,0.2886395474819849
2.05,0.984661906097555,0.2882318911195551
2.06,0.9844901030372859,0.287802955271587
2.07,0.9843099189009382,0.2873521181628694
2.08,0.9841211163231228,0.2868787405958967
2.09,0.9839234520065129,0.2863821659508693
2.1,0.9837166767218426,0.2858617201856934
2.11,0.9835005353079083,0.28531671183598084
2.12,0.9832747666715677,0.28474643201504923
2.13,0.9830391037438503,0.28415015400847093
2.14,0.9827932727070801,0.28352712826130494
2.15,0.9825369933986351,0.2828765884425273
2.16,0.9822699794839754,0.2821977490650583
2.17,0.9819919383506317,0.28148980398490026
2.18,0.9817025711082055,0.2807519264011372
2.19,0.9814015725883689,0.27998326885593494
2.2,0.9810886313448651,0.2791829632345411
2.21,0.9807634296535079,0.2783501207652852
2.22,0.9804256435121821,0.2774838320195784
2.23,0.9800749426408428,0.2765831669119138
2.24,0.9797109904908613,0.2756471746950362
2.25,0.9793334456274981,0.2746748825305156
2.2600000000000002,0.9789419593548732,0.2736652949255625
2.27,0.978536176477302,0.2726173951733128
2.2800000000000002,0.9781157368708353,0.2715301450491423
2.29,0.977680275483259,0.27040248481066714
2.3000000000000003,0.977229422334094,0.2692333331977433
2.31,0.9767628025145965,0.268021587432467
2.32,0.9762800361877573,0.26676612321917464
2.33,0.9757807385883026,0.2654657947444424
2.34,0.9752645200226938,0.2641194346770869
2.35,0.9747309858691273,0.2627258541681646
2.36,0.9741797411443534,0.26128384684618966
2.37,0.9736103859161782,0.25979218329396975
2.38,0.9730225134630143,0.25824961026419907
2.39,0.972415716844048,0.2566548572887083
2.4,0.9717895889028844,0.2550066366819284
2.41,0.9711437222675471,0.2533036435408902
2.42,0.9704777093504785,0.2515445557452246
2.43,0.9697911423485397,0.24972803395716245
2.44,0.9690836132430103,0.24785272162153474
2.45,0.9683547137995886,0.24591724496577225
2.46,0.9676040355683919,0.24392021299990607
2.47,0.966831172008682,0.24186022020786616
2.48,0.9660357289049208,0.23973585920829354
2.49,0.9652173059154899,0.23754569711279439
2.5,0.9643755093696714,0.235288292602114
2.5100000000000002,0.9635099550659163,0.2329621995418019
2.52,0.9626202682718454,0.2305659669822127
2.5300000000000002,0.9617060837242485,0.22809813915850533
2.54,0.9607670456290849,0.22555725549064376
2.5500000000000003,0.9598028076614832,0.22294185058339624
2.56,0.9588130329657413,0.22025045422633618
2.57,0.9577973941553266,0.21748159139384124
2.58,0.9567555844716539,0.21463379777725292
2.59,0.9556873134389727,0.2117056134720701
2.6,0.9545923023506134,0.20869557693223562
2.61,0.953470295848427,0.20560224125857998
2.62,0.952321061923118,0.20242417419928635
2.63,0.9511443919142452,0.19915995814989168
2.64,0.9499401005102207,0.19580819015328557
2.65,0.9487080257483109,0.1923674818997115
2.66,0.9474480290152346,0.18883645972761506
2.67,0.9461600068655048,0.185213781430629
2.68,0.9448438852123393,0.1814981281671879
2.69,0.9434996177653301,0.177688202138031
2.7,0.9421271986056008,0.17378274438147767
2.71,0.9407266621858069,0.16978053477342897
2.72,0.9392980833301361,0.16568039202736598
2.73,0.9378415772343078,0.1614811736943515
2.74,0.9363572994655733,0.1571817761630283
2.75,0.9348454459671259,0.15278113466565144
2.7600000000000002,0.9333062655851524,0.14827824059692388
2.77,0.9317400569919604,0.1436721378416223
2.7800000000000002,0.9301471664154048,0.13896191911769368
2.79,0.9285279987064561,0.13414674093663273
2.8000000000000003,0.9268830173391995,0.12922582360348042
2.81,0.9252127444108361,0.12419845121682555
2.82,0.9235177606416816,0.1190639716688033
2.83,0.9217987053751671,0.11382179664509581
2.84,0.9200562840387341,0.10847141101222033
2.85,0.9182912717082027,0.10301237812914271
2.86,0.9165045083239323,0.09744433319376418
2.87,0.914696908512847,0.09176699493602915
2.88,0.9128694616504387,0.08598016569390388
2.89,0.9110232318607668,0.08008373141337446
2.9,0.9091593580164585,0.07407766164844891
2.91,0.9072790547864846,0.06796201059128021
2.92,0.9053836216415481,0.06173692666629328
2.93,0.9034744370192759,0.05540264719169856
2.94,0.901552964792286,0.04895950336879298
2.95,0.8996207560286507,0.04240792188527221
2.96,0.8976794489918973,0.03574842491523288
2.97,0.895730769141008,0.028981630119170265
2.98,0.8937765295800104,0.022108250865435157
2.99,0.8918186365605383,0.015129099608541783
3.0,0.8898590877667077,0.008045087318332356
3.0100000000000002,0.8878999748064083,0.0008572232043245649
3.02,0.8859434841727254,-0.006433384962321251
3.0300000000000002,0.8839918972439399,-0.013825530848804668
3.04,0.8820475905581364,-0.021317909797933344
3.0500000000000003,0.8801130380393042,-0.02890911963921524
3.06,0.8781908106203253,-0.036597660081287064
3.0700000000000003,0.8762835775098934,-0.044381935779806925
3.08,0.8743941064497385,-0.05226025670699896
3.09,0.8725252637146269,-0.06023083815165574
3.1,0.8706800141355058,-0.06829180222069527
3.11,0.868861421881584,-0.07644118068050959
3.12,0.8670726505669042,-0.0846769114663154
3.13,0.8653169624935354,-0.09299684816941851
