t,z1,z2
0.0,0.9656133286386176,0.2347693101898172
0.01,0.9658104230180421,0.23530832435688595
0.02,0.9660066542463536,0.23584497797628418
0.03,0.9662020261054709,0.23637928139081246
0.04,0.9663965423575623,0.23691124488925702
0.05,0.9665902067484059,0.2374408787155803
0.06,0.9667830230078321,0.23796819307013173
0.07,0.9669749948497242,0.23849319810964764
0.08,0.9671661259720179,0.2390159039472514
0.09,0.9673564200567016,0.23953632065245337
0.1,0.9675458807698163,0.2400544582511509
0.11,0.9677345117614555,0.24057032672562828
0.12,0.9679223166657654,0.24108393601455683
0.13,0.9681092991009447,0.2415952960129948
0.14,0.9682954626692446,0.24210441657238746
0.15,0.9684808109569691,0.24261130750056703
0.16,0.9686653475345222,0.2431159785618823
0.17,0.9688490759678938,0.24361843950861195
0.18,0.9690319998003606,0.24411870003091587
0.19,0.9692141225495978,0.24461676974894173
0.2,0.9693954477188219,0.24511265824329292
0.21,0.9695759787967891,0.24560637505502883
0.22,0.9697557192577964,0.24609792968566457
0.23,0.969934672561681,0.24658733159717114
0.24,0.9701128421538204,0.24707459021197536
0.25,0.970290231465133,0.24755971491295992
0.26,0.970466843912077,0.2480427150434633
0.27,0.9706426828966513,0.24852359990727987
0.28,0.9708177518063953,0.24900237876865983
0.29,0.9709920540143884,0.2494790608523092
0.3,0.9711655928792506,0.2499536553433898
0.31,0.9713383717451426,0.25042617138751944
0.32,0.971510393941765,0.2508966180907715
0.33,0.9716816627843591,0.2513650045196756
0.34,0.9718521815737066,0.25183133970121674
0.35000000000000003,0.9720219535961292,0.25229563262283616
0.36,0.9721909821234896,0.25275789223243067
0.37,0.9723592704131906,0.25321812743835304
0.38,0.9725268217081752,0.2536763471094119
0.39,0.9726936392369271,0.25413256007487156
0.4,0.9728597262134703,0.2545867751244524
0.41000000000000003,0.9730250858373691,0.2550390010083305
0.42,0.9731897212937284,0.2554892464371378
0.43,0.9733536357572186,0.25593752009297055
0.44,0.9735168323933612,0.25638383063290426
0.45,0.9736793143407448,0.2568281866403584
0.46,0.9738410847242639,0.2572705966613012
0.47000000000000003,0.9740021466559514,0.2577110692065283
0.48,0.9741625032349797,0.2581496127516629
0.49,0.9743221575476597,0.2585862357371555
0.5,0.9744811126674413,0.2590209465682842
0.51,0.9746393716549134,0.25945375361515444
0.52,0.9747969375578038,0.2598846652126992
0.53,0.9749538134109791,0.26031368966067886
0.54,0.9751100022364448,0.26074083522368124
0.55,0.9752655070433456,0.2611661101311217
0.56,0.9754203308279646,0.26158952257724294
0.5700000000000001,0.9755744765737243,0.26201108072111523
0.58,0.9757279472511858,0.26243079268663627
0.59,0.9758807458180493,0.2628486665625311
0.6,0.9760328752191536,0.26326471040235233
0.61,0.9761843383864769,0.26367893222448
0.62,0.9763351382391358,0.2640913400121216
0.63,0.9764852776833861,0.2645019417133121
0.64,0.9766347596126226,0.2649107452409138
0.65,0.9767835869073787,0.2653177584726167
0.66,0.9769317624353268,0.26572298925093796
0.67,0.9770792890512783,0.2661264453832224
0.68,0.9772261695971836,0.2665281346416422
0.6900000000000001,0.9773724069021318,0.26692806476319714
0.7000000000000001,0.9775180037881371,0.2673262434655383
0.71,0.9776629630659626,0.26772267843554676
0.72,0.977807287522658,0.26811737729525287
0.73,0.9779509799336711,0.26851034763495746
0.74,0.9780940430630469,0.26890159701377775
0.75,0.9782364796634285,0.26929113295964774
0.76,0.978378292476056,0.26967896296931776
0.77,0.9785194842307674,0.2700650945083548
0.78,0.9786600576459981,0.2704495350111425
0.79,0.978800015428781,0.2708322918808808
0.8,0.9789393602747467,0.27121337248958644
0.81,0.9790780948681234,0.2715927841780926
0.8200000000000001,0.9792162218817365,0.27197053425604906
0.8300000000000001,0.9793537439770093,0.27234663000192205
0.84,0.9794906638039625,0.27272107866299444
0.85,0.9796269840012144,0.27309388745536567
0.86,0.9797627071959809,0.27346506356395167
0.87,0.9798978360040752,0.273834614142485
0.88,0.9800323730299084,0.27420254631351465
0.89,0.980166320866489,0.27456886716840634
0.9,0.9802996820954228,0.27493358376734217
0.91,0.9804324592869137,0.27529670313932086
0.92,0.9805646549997625,0.27565823228215774
0.93,0.9806962717813682,0.2760181781624846
0.9400000000000001,0.9808273121677268,0.2763765477157498
0.9500000000000001,0.980957778683432,0.27673334784621834
0.96,0.9810876738416755,0.2770885854269717
0.97,0.9812170001444293,0.2774422673004096
0.98,0.9813457600914405,0.277794400302846
0.99,0.9814739561639431,0.278144991219965
1.0,0.9816015908263857,0.27849404679154705
1.01,0.9817286665331462,0.27884157372983004
1.02,0.981855185728531,0.2791875787195091
1.03,0.9819811508467756,0.27953206841773687
1.04,0.9821065643120441,0.27987504945412334
1.05,0.9822314285384298,0.2802165284307358
1.06,0.9823557459299544,0.280556511922099
1.07,0.9824795188805688,0.28089500647519516
1.08,0.9826027497741525,0.2812320186094636
1.09,0.9827254409845141,0.2815675548168014
1.1,0.9828475948753906,0.2819016215615627
1.11,0.9829692138004485,0.2822342252805591
1.12,0.9830903001032827,0.2825653723830597
1.1300000000000001,0.9832108561174169,0.2828950692507909
1.1400000000000001,0.9833308841663039,0.28322332223793645
1.1500000000000001,0.9834503865633251,0.2835501376711375
1.16,0.9835693656117909,0.28387552184949266
1.17,0.9836878236049407,0.28419948104455783
1.18,0.9838057628259422,0.2845220215003463
1.19,0.9839231855478926,0.2848431494333288
1.2,0.9840400940338175,0.28516287103243326
1.21,0.9841564905366716,0.28548119245904535
1.22,0.9842723772993384,0.2857981198470077
1.23,0.9843877565546298,0.28611365930262067
1.24,0.9845026305252873,0.28642781690464175
1.25,0.9846170014239808,0.286740598704286
1.26,0.9847308714559478,0.2870520107324425
1.27,0.9848442428232734,0.2873620590113781
1.28,0.9849571177061552,0.2876707495035027
1.29,0.9850694982744774,0.2879780881430201
1.3,0.9851813866892626,0.28828408083990076
1.31,0.9852927851026728,0.2885887334798818
1.32,0.9854036956580088,0.288892051924467
1.33,0.98551412048971,0.28919404201092674
1.34,0.985624061723355,0.2894947095522983
1.35,0.9857335214756614,0.28979406033738536
1.36,0.9858425018544854,0.29009210013075853
1.37,0.9859510049588225,0.29038883467275495
1.3800000000000001,0.9860590328788066,0.2906842696794784
1.3900000000000001,0.986166587695711,0.29097841084279946
1.4000000000000001,0.9862736714819477,0.29127126383035523
1.41,0.9863802863010674,0.2915628342855497
1.42,0.9864864342077604,0.29185312782755335
1.43,0.986592117247855,0.2921421500513034
1.44,0.986697337458319,0.2924299065275037
1.45,0.9868020968672591,0.2927164028026249
1.46,0.9869063974939206,0.2930016443989042
1.47,0.987010241348688,0.2932856368143455
1.48,0.9871136304330846,0.29356838552271947
1.49,0.9872165667397726,0.29384989597356326
1.5,0.9873190522525531,0.29413017359218085
1.51,0.9874210889463663,0.2944092237796429
1.52,0.9875226787872908,0.2946870519127867
1.53,0.9876238237325449,0.2949636633442162
1.54,0.9877245257304851,0.295239063402302
1.55,0.987824786720762,0.29551325739160494
1.56,0.9879246086426295,0.2957862506156014
1.57,0.9880239934201113,0.2960580483361151
1.58,0.9881229429631936,0.29632865577658113
1.59,0.988221459174097,0.2965980781391972
1.6,0.9883195439472768,0.2968663206049238
1.61,0.9884171991694228,0.2971333883334841
1.62,0.9885144267194589,0.29739928646336417
1.6300000000000001,0.9886112284685437,0.29766402011181253
1.6400000000000001,0.98870760628007,0.2979275943748407
1.6500000000000001,0.9888035620096653,0.29819001432722275
1.6600000000000001,0.9888990975051917,0.2984512850224956
