cluster_name	module_id	branch	basin_residual_rank	abs_latent_residual_delta_beta	dmr_geometry_score	signed_duality	rebound_symmetry_score	curvature	public_accessibility_morula_max	public_accessibility_morula_minus_8cell	overlap_public_chromatin	joint_reset_geometry_access_score
cluster_7042	M05	closure	8	0.1297927692615848	0.9624765478339512	1	0.9624765478339512	-0.2235042735042736	2.3353779	0.1584980959999997	True	1.6589625389845342
cluster_2623	M05	closure	1	0.1966477625952775	0.0	0	0.0	0.0			False	1.6215727472136985
cluster_4605	M01	closure	9	0.1245572055941755	0.8999999999909999	1	0.8999999999909999	-0.19	1.962360609	-0.0663216559999999	True	1.4190271834655812
cluster_3275	M05	closure	5	0.1422064863349969	0.666666666676666	1	0.666666666676666	0.1666666666666666	1.897721177	-0.160795279	True	1.3587696025919689
cluster_6960	M01	closure	12	0.1150872869677093	0.6346419497592711	1	0.6346419497592711	0.6652336860670192	2.3353779	1.1965824529999995	True	1.287974055629852
cluster_4026	M03	other	17	0.0834739790170535	0.8703703703717592	1	0.8703703703717592	-1.346666666666667	1.976177952	0.2110322649999998	True	1.066285951312637
cluster_587	M05	closure	26	0.0693649918891212	0.8074074074094074	1	0.8074074074094074	-0.9037037037037036	2.204821917	-0.1227490239999999	True	0.994403529526986
cluster_2743	M07	other	11	0.1179709977870684	0.5555555555655549	1	0.5555555555655549	0.1555555555555555	1.690836355	-0.0127932719999999	True	0.9929327828699724
cluster_5678	M10	access	4	0.1645691559665318	-0.1868063939727627	-1	0.1868063939727627	-0.5240834111422348	1.968560645	-0.0477150830000001	True	0.9167247331510393
cluster_6087	M10	access	22	0.0747346449206742	0.6787330316728262	1	0.6787330316728262	-0.8244444444444444			False	0.9068054514157902
cluster_4373	M01	closure	6	0.1361948309072878	0.944021164023164	1	0.944021164023164	0.972010582010582	0.278580475	-0.09001913	True	0.8735778422038347
cluster_7072	M01	closure	24	0.0731353853165772	0.5365859896133507	1	0.5365859896133507	0.9576363752682908	2.3353779	0.1584980959999997	True	0.8702437023291417
cluster_643	M13	other	29	0.0618002006883134	0.7225310993892344	1	0.7225310993892344	-1.1937513431476403	2.204821917	-0.1227490239999999	True	0.8676600315712539
cluster_4909	M15	other	39	0.0455104341629633	0.943533697630512	1	0.943533697630512	1.1855555555555553			False	0.8526571508945557
cluster_6498	M12	closure	10	0.1233684733597841	0.5147058823539705	1	0.5147058823539705	-1.4714285714285715	1.302369181	-0.5061625949999999	True	0.8502194969333566
cluster_3348	M02	access	37	0.047389319232879	0.9743589743599743	1	0.9743589743599743	-1.9743589743589745	1.897721177	-0.160795279	True	0.8196756613254994
cluster_6892	M05	closure	3	0.1797887109823562	0.0	0	0.0	0.0444444444444444	1.056105408	1.787382464	True	0.8186413661721658
cluster_4141	M05	closure	7	0.1345314971598012	0.0	0	0.0	0.4925925925925925	1.976177952	-0.1677938120000004	True	0.8173490226136702
cluster_5977	M06	other	38	0.0462132483412721	0.9757360273725034	1	0.9757360273725034	-1.8871272600832825	1.851899126	0.910601616	True	0.7927747504482489
cluster_6262	M10	access	2	0.1912454605053165	0.3261183261226115	1	0.3261183261226115	0.3094276094276093	0.050379367	-0.986835692	True	0.7590767771933346
cluster_6975	M03	other	36	0.0499656462751898	0.5185185185203365	1	0.5185185185203365	-0.8351851851851853	2.3353779	1.1965824529999995	True	0.6671491782768756
cluster_7095	M06	other	101	0.011326551648274	0.9042056691747727	1	0.9042056691747727	-0.5309804269804269	2.3353779	0.1584980959999997	True	0.6466454660472243
cluster_543	M08	other	16	0.0903190284088766	0.1145038167937358	1	0.1145038167937358	0.8111111111111109	2.204821917	0.0167681859999997	True	0.6353563959807361
cluster_4889	M01	closure	84	0.0150375801511645	0.957746975061929	1	0.957746975061929	-0.2622290697525137	2.06016942	0.0329787169999997	True	0.6077345914131131
cluster_2324	M14	other	71	0.0206743665662644	0.775826723280776	1	0.775826723280776	0.1989638636441705	2.287455994	0.450696669	True	0.6055807834770198
cluster_1523	M06	other	53	0.0286577847525831	0.9459908543993478	1	0.9459908543993478	-0.7387049830245319	1.7926254430000002	-0.2825502999999998	True	0.6028725647570147
cluster_1718	M00	other	40	0.0448208684134199	0.9558978159891015	1	0.9558978159891015	-1.1316756135309396	1.368367221	0.3170685039999998	True	0.5726098749614438
cluster_5215	M13	other	65	0.0225779114774131	0.8148623102680821	1	0.8148623102680821	-1.6704008954008955	2.0854897340000003	-0.1354177879999998	True	0.5701318316820322
cluster_3762	M07	other	58	0.0254792161705422	0.9367744610297594	1	0.9367744610297594	-1.2358465608465607	1.784644317	0.8634745779999998	True	0.5666592656201656
cluster_1806	M06	other	66	0.0225683910443349	0.8317444663619389	1	0.8317444663619389	-0.877309191782876	1.962699209	0.6874580880000003	True	0.5338060530165912
cluster_3519	M01	closure	45	0.0396155009392248	0.6716474204807942	1	0.6716474204807942	0.3027283127314555	1.897721177	-0.1888784400000001	True	0.5245350001727759
cluster_5923	M09	other	20	0.0774541554875099	0.277669139370531	1	0.277669139370531	0.4818863235529902	1.851899126	0.955531667	True	0.5138080684317554
cluster_4532	M13	other	57	0.0255573795701712	0.7410707920431306	1	0.7410707920431306	-1.6445791245791246	1.962360609	-0.0663216559999999	True	0.48870256128998907
cluster_1607	M06	other	98	0.0117056333091945	0.9761047395918315	1	0.9761047395918315	-0.952123192711428	1.7926254430000002	-0.549831993	True	0.48743715684091704
cluster_7000	M02	access	142	0.0038976825557504	0.7661365762344444	1	0.7661365762344444	-0.2689458689458689	2.3353779	0.1584980959999997	True	0.4803086500891241
cluster_4064	M06	other	108	0.0098634878555215	0.8429312086176273	1	0.8429312086176273	0.0875392324083373	1.976177952	-0.1677938120000004	True	0.4439793664180065
cluster_2190	M12	closure	25	0.0710896289019975	0.0	0	0.0	0.3555555555555555	2.287455994	0.450696669	True	0.4237431149771959
cluster_1922	M04	other	129	0.0063867158268501	0.8529009304892803	1	0.8529009304892803	-0.8646871008939975	1.962699209	0.2026982190000001	True	0.41781021018737174
cluster_3978	M06	other	127	0.0066719968616041	0.875555555573557	1	0.875555555573557	-0.1041975308641974	1.909859433	0.1447137460000001	True	0.41631864855515327
cluster_315	M00	other	144	0.0035426819026432	0.8333333333458325	1	0.8333333333458325	0.1466666666666666	2.02578997	0.07390125	True	0.4048666221389075
cluster_1742	M08	other	13	0.1109335240179164	-0.3133961491180353	-1	0.3133961491180353	0.1825708061002175	1.962699209	0.911400492	True	0.3793709367949747
cluster_6518	M04	other	59	0.0249569027227029	0.9494844431933878	1	0.9494844431933878	-0.7565856291431006	1.302369181	-0.5061625949999999	True	0.3790112124044745
