cluster_name	module_id	basin_residual_rank	y_morula_observed	x_8cell	y_pred_meth_only	c_diag	u_morula_acc_mean	u_morula_minus_8cell	curvature	is_inverted_u	is_u_shape	signed_residual_dir
cluster_2623	M05	1.0	0.0	0.0	0.0	0.0			0.0	False	False	-1.0
cluster_6262	M10	2.0	0.0	0.07609427609427609	0.0	0.0	-0.41662308366666667	-0.8417891609999999	0.3094276094276093	False	True	-1.0
cluster_6892	M05	3.0	0.0	0.04444444444444445	0.0	0.0	1.056105408	1.787382464	0.0444444444444444	False	False	-1.0
cluster_5678	M10	4.0	0.6862745098039216	0.0417989417989418	0.17824512800728182	0.5080293817966397	0.4111815006	-0.1879975966	-0.5240834111422348	False	False	-1.0
cluster_3275	M05	5.0	0.0	0.06666666666666668	0.0	0.0	0.10283270710526307	-0.31489555589473683	0.1666666666666666	False	True	-1.0
cluster_4373	M01	6.0	0.0	0.4720105820105821	0.0	0.0	-0.4038656483333333	-0.12843097966666664	0.972010582010582	False	True	-1.0
cluster_4141	M05	7.0	0.0	0.4925925925925925	0.0	0.0	0.07451343352727277	-0.1697510710727273	0.4925925925925925	False	False	-1.0
cluster_7042	M05	8.0	0.125	0.011111111111111113	0.0	0.125	0.9119015956363636	0.7811465979090909	-0.2235042735042736	True	False	-1.0
cluster_4605	M01	9.0	0.45	0.35000000000000003	0.0	0.45	0.10468495178947372	-0.3379017015789474	-0.19000000000000009	True	False	-1.0
cluster_6498	M12	10.0	1.0	0.5	0.24425203448741234	0.7557479655125876	0.19087516559999998	-0.5190261209333333	-1.4714285714285715	True	False	1.0
cluster_2743	M07	11.0	0.0	0.05555555555555555	0.0	0.0	0.5076093964285714	0.2874400417142857	0.1555555555555555	False	True	-1.0
cluster_6960	M01	12.0	0.03125	0.43820987654320975	0.21546007405301468	-0.18421007405301468	1.6387179753333332	1.4996209896666668	0.6652336860670192	False	True	-1.0
cluster_1742	M08	13.0	0.25	0.5159041394335511	0.9047099809309043	-0.6547099809309043	0.8376863477500001	0.73937783625	0.1825708061002176	False	False	1.0
cluster_6655	M01	14.0	0.5	0.5552155194879653	0.046312784485024565	0.45368721551497543	0.2759873700588236	-0.4006426650588235	-0.10151560679961258	False	False	-1.0
cluster_4404	M01	15.0	0.2333333333333333	0.4645995667350346	0.24255973831938324	-0.00922640498604993	0.015064603600000013	-0.14988650360000005	0.1545118474367889	False	False	-1.0
cluster_543	M08	16.0	0.25	0.9777777777777776	0.036414391795684196	0.2135856082043158	0.19774904530434775	-0.15393399595652174	0.8111111111111109	False	True	1.0
cluster_4026	M03	17.0	1.0	0.3733333333333333	1.0	0.0	0.18648647845161287	0.009502662806451623	-1.346666666666667	True	False	1.0
cluster_4904	M12	18.0	0.0	0.5	0.2247799424085289	-0.2247799424085289			0.5	False	False	1.0
cluster_6651	M01	19.0	0.5178571428571428	0.6546166341780376	0.2014351249170671	0.3164220179400757	0.2759873700588236	-0.4006426650588235	-0.025363842861262864	False	False	-1.0
cluster_5923	M09	20.0	0.013888888888888888	0.3910493827160493	0.1830767309799991	-0.1691878420911102	0.07055736325	-0.2442618735	0.4818863235529903	False	True	1.0
cluster_242	M01	21.0	0.375	0.5869483537904592	0.31242202924808526	0.06257797075191474	0.41439826475	-0.09720856600000008	0.1969483537904592	False	False	1.0
cluster_6087	M10	22.0	1.0	0.5088888888888888	0.11828242629758554	0.8817175737024144			-0.8244444444444444	True	False	-1.0
cluster_6495	M09	23.0	0.0	0.2437020495844025	0.35194845394969715	-0.35194845394969715	0.19087516559999998	-0.5190261209333333	0.3005472876796404	False	True	1.0
cluster_7072	M01	24.0	0.0	0.6232234198027038	0.28424234458454717	-0.28424234458454717	0.9119015956363636	0.7811465979090909	0.9576363752682908	False	True	-1.0
cluster_2190	M12	25.0	0.0	0.3555555555555556	0.22651664496145593	-0.22651664496145593	0.477294187	-0.09778291539999998	0.3555555555555555	False	False	1.0
cluster_587	M05	26.0	0.5	0.0962962962962963	0.0	0.5	0.19596429402173907	-0.202300023326087	-0.9037037037037036	True	False	-1.0
cluster_125	M07	27.0	0.0	0.13133261799928464	0.03146658650802123	-0.03146658650802123	-0.08456080660000005	-0.7243936233999999	0.1932373799040464	False	True	-1.0
cluster_5002	M01	28.0	0.09455128205128203	0.4900816503341478	0.26918988026969093	-0.17463859821840888	-0.8750030294	-0.7163626154000001	0.7828876706025484	False	True	-1.0
cluster_643	M13	29.0	0.875	0.1819783508871383	0.22870533789379857	0.6462946621062015	0.18568472110638296	-0.21490564055319156	-1.1937513431476403	True	False	1.0
cluster_832	M01	30.0	0.6666666666666666	0.7029365079365079	0.6151544402519954	0.051512226414671236	-0.0903630925	-0.20618667699999998	-0.1691528062580694	False	False	1.0
cluster_5679	M01	31.0	0.5	0.5709321386858208	0.1729051655736134	0.3270948344263866	0.4111815006	-0.1879975966	-0.1424011946475125	False	False	-1.0
cluster_1387	M12	32.0	0.14285714285714285	0.2833333333333333	0.1567282003698131	-0.01387105751267026	0.010608259799999995	-0.3986170044	-0.002380952380952261	False	False	1.0
cluster_6114	M01	33.0	0.2272727272727273	0.5232050531171626	0.17163391513261875	0.055638812140108546	-0.664971657	-1.702186716	0.2283451969489899	False	False	-1.0
cluster_1764	M15	34.0	0.5	0.047058823529411764	0.0	0.5	0.7542013409999999	0.5423944533636363	-0.4529411764705883	False	False	-1.0
cluster_5661	M01	35.0	0.7916666666666667	0.7822222222222219	0.17115021940704553	0.6205164472596212	0.4111815006	-0.1879975966	-0.2594444444444448	True	False	1.0
