transition	module	n_dmr	J_k	dir_mean	is_priority	is_M00
oocyte_to_zygote	M00	16	0.22138269762740542	0.03441749389513319	False	True
oocyte_to_zygote	M01	21	1.5439331809643593	-0.22643012956387018	True	False
oocyte_to_zygote	M02	30	0.24715674535062038	-0.018997656364814326	True	False
oocyte_to_zygote	M03	5	0.9278554157715923	-0.23219599851952796	False	False
oocyte_to_zygote	M04	10	0.48684461358367964	0.13942991709235797	False	False
oocyte_to_zygote	M05	6	1.847138417655053	0.7359788359788361	True	False
oocyte_to_zygote	M06	23	0.267409073437591	0.040022901923954	False	False
oocyte_to_zygote	M07	9	1.7785122311960107	-0.5024585691126214	False	False
oocyte_to_zygote	M08	7	0.7890710024362518	0.24608857503115208	False	False
oocyte_to_zygote	M09	3	0.1549679813991001	-0.08314860426929392	False	False
oocyte_to_zygote	M10	3	0.15369470827614673	0.06440035273368605	True	False
oocyte_to_zygote	M11	4	0.3290142839187719	-0.14964406891102522	False	False
oocyte_to_zygote	M12	4	0.5025645994484645	-0.1376984126984127	True	False
oocyte_to_zygote	M13	7	0.1784757178271114	0.006388321129573477	False	False
oocyte_to_zygote	M14	5	0.5824194011578089	-0.25135027958490336	False	False
oocyte_to_zygote	M15	3	0.5307876891824586	0.2541666666666666	False	False
zygote_to_2cell	M00	16	0.16823860972662172	-0.008065938890348526	False	True
zygote_to_2cell	M01	21	1.6111345946198792	-0.24095353535568695	True	False
zygote_to_2cell	M02	30	0.17772757836204955	-0.008019439664360993	True	False
zygote_to_2cell	M03	5	0.8814158147087533	0.060398962148962176	False	False
zygote_to_2cell	M04	10	0.4163495044445624	-0.09464313144733665	False	False
zygote_to_2cell	M05	6	1.6887728250938192	-0.6611057175395411	True	False
zygote_to_2cell	M06	23	0.2814177990379247	-0.02137254748426981	False	False
zygote_to_2cell	M07	9	0.5546452568153062	-0.07043742647369657	False	False
zygote_to_2cell	M08	7	0.643777227750551	-0.17580828931349574	False	False
zygote_to_2cell	M09	3	0.37620346167218355	0.21220119950754635	False	False
zygote_to_2cell	M10	3	1.249125383108568	-0.714126984126984	True	False
zygote_to_2cell	M11	4	0.17484451230936573	0.012569062617801205	False	False
zygote_to_2cell	M12	4	0.059072695328157614	0.015625000000000003	True	False
zygote_to_2cell	M13	7	0.10635681168187404	0.01468097820278993	False	False
zygote_to_2cell	M14	5	0.15336303214426228	-0.06475463530147016	False	False
