feature_set	random_iter	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
all_motifs_zero_filled_zscore	0	0.028510929693180073	0.4718508413482925	0.3025505293404821	-0.5313280248750003	1.3972192616657548	1.0395388952051186	1.2603654550784358	0.8487798699346262	0.24725995822629046	0.6155957601322049	0.2477804687045813	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.5002373254560526	1.0224014859114376
all_motifs_zero_filled_zscore	1	-0.3598574259546214	-0.3820084429533207	0.0030328825382659186	0.26809231649341514	1.1541134753734335	0.900522298943001	0.9340643989099557	0.8487798699346262	0.2449442760790327	0.6289801476539496	0.24546628185559238	1.5666635350021403	1.9104332695957345	0.06666666666666667	0.35555555555555557	0.875	0.875	2.0916797061408094	1.0224014859114376
all_motifs_zero_filled_zscore	2	-0.059960698071851226	0.22261301712345571	0.3407225148865677	-0.7187037161114012	1.3784531191845706	1.0330306214590539	1.2169718583878528	0.8487798699346262	0.24720676857662968	0.616730546559989	0.2477273907032359	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.4686084947661837	1.0224014859114376
all_motifs_zero_filled_zscore	3	-0.18250560005174438	0.13250105217482328	0.3999194707241839	-0.6581258986327054	1.3867120235072103	1.037016609071864	1.1906779957998102	0.8487798699346262	0.24738455726649472	0.6166947277328669	0.24790464393303366	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.4835182277001353	1.0224014859114376
all_motifs_zero_filled_zscore	4	0.3768755842888691	0.47818302561483506	0.3488262279814004	-0.6754572837365778	1.5014815288851786	1.084439312227147	1.2845779768193653	0.8487798699346262	0.2483743965021953	0.6108708565673429	0.24889257636021372	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.6716779710204475	1.0224014859114376
all_motifs_zero_filled_zscore	5	0.17459724295170106	-0.366008383437284	-0.35664734119835884	0.49810691779067023	1.0770000230660024	0.8300882453139737	0.8819270423677983	0.8487798699346262	0.24397092402311082	0.6305356218192019	0.24448971376209128	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9522074138722085	1.0224014859114376
all_motifs_zero_filled_zscore	6	-0.22755735765226104	0.39711315636433614	0.19457058360522628	-0.20007796165414457	1.2864080715833541	0.9843340018168165	1.1096541951367702	0.8487798699346262	0.2461594412203559	0.6207281100853339	0.24668205597802453	1.5666635350021403	1.9104332695957345	0.0	0.1111111111111111	0.875	0.875	2.3181364255768213	1.0224014859114376
all_motifs_zero_filled_zscore	7	0.07181580359789495	0.24117147238759531	-0.09856514647311654	0.2211580138728886	1.1732220222672514	0.9210642260448392	1.0476254191363759	0.8487798699346262	0.24481249557889662	0.6256548969964545	0.2453378596470576	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.28888888888888886	0.875	0.875	2.1233920793410954	1.0224014859114376
all_motifs_zero_filled_zscore	8	-0.10339584599404758	-0.5858907073618417	-0.546390657828149	0.6858304182378895	0.9412895779142	0.6980511054677688	0.8019066650452334	0.8487798699346262	0.24290863885525574	0.636239383958529	0.2434167782705264	1.5666635350021403	1.9104332695957345	0.4	0.6	0.875	0.875	1.7277601730258776	1.0224014859114376
all_motifs_zero_filled_zscore	9	0.35280180841715764	0.16970200221186205	-0.018540972648681493	-0.30671558791456477	1.2853962365802702	0.987614558307494	1.130831263136347	0.8487798699346262	0.24590443102038215	0.6211789320483049	0.24642775295428443	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.13333333333333333	0.875	0.875	2.3056230542109843	1.0224014859114376
all_motifs_zero_filled_zscore	10	0.15726732802756238	0.5362116691747705	0.2895960196887722	-0.5344862732568781	1.4255137038779135	1.0522546862429538	1.288735304410567	0.8487798699346262	0.24748061545737562	0.6143881227056236	0.24800066281475242	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.5463558532474124	1.0224014859114376
all_motifs_zero_filled_zscore	11	0.40838461125728887	0.05062086114509412	-0.101329443145326	-0.14854882153459592	1.257662856877214	0.9702841549274639	1.1199973195963437	0.8487798699346262	0.24561159207979993	0.6225564209950705	0.2461348494981817	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.2	0.875	0.875	2.2569804165050855	1.0224014859114376
