sample_id	stage	stage_order	tau	A	P	Hm	Hr	n_age_regions_used	n_observed_regions	observed_region_fraction
GSM2146951	MII oocyte	0	0.0	0.2920869951509128	0.079010473440041	0.0441996574257722	1.0	53	53	0.33974358974358976
GSM2146952	MII oocyte	0	0.0	0.658345068955101	0.079010473440041	0.146741620546834	1.0	64	64	0.41025641025641024
GSM2146953	MII oocyte	0	0.0	0.4351545627950693	0.079010473440041	0.0881327715128871	1.0	56	56	0.358974358974359
GSM2146954	MII oocyte	0	0.0	0.419110358115165	0.079010473440041	0.0656262186839929	1.0	70	70	0.44871794871794873
GSM2481556	MII oocyte	0	0.0	0.2488915916915912	0.079010473440041	0.0310000490311295	1.0	50	50	0.32051282051282054
GSM2481557	MII oocyte	0	0.0	0.3227076238375879	0.079010473440041	0.0154001253131198	1.0	41	41	0.26282051282051283
GSM2481570	MII oocyte	0	0.0	0.3270583674120103	0.079010473440041	0.0406376984755404	1.0	59	59	0.3782051282051282
GSM2481581	MII oocyte	0	0.0	0.4024506682410885	0.079010473440041	0.073851373055464	1.0	76	76	0.48717948717948717
GSM2481586	MII oocyte	0	0.0	0.2704870936679761	0.079010473440041	0.0525436233586519	1.0	40	40	0.2564102564102564
GSM2481587	MII oocyte	0	0.0	0.4468610848211706	0.079010473440041	0.0560322118343553	1.0	46	46	0.2948717948717949
GSM2481588	MII oocyte	0	0.0	0.2820558854671346	0.079010473440041	0.0691986646553003	1.0	55	55	0.3525641025641026
GSM2481589	MII oocyte	0	0.0	0.3350114344962799	0.079010473440041	0.0267864859382672	1.0	58	58	0.3717948717948718
GSM2481590	MII oocyte	0	0.0	0.612078179095216	0.079010473440041	0.0343961340166347	1.0	56	56	0.358974358974359
GSM2481591	MII oocyte	0	0.0	0.4211309447818788	0.079010473440041	0.0337050657773372	1.0	59	59	0.3782051282051282
GSM2481614	MII oocyte	0	0.0	0.1286839483567645	0.079010473440041	0.0540024668665989	1.0	27	27	0.17307692307692307
GSM2481615	MII oocyte	0	0.0	0.3701138971005529	0.079010473440041	0.1031829843907846	1.0	44	44	0.28205128205128205
GSM2986307	MII oocyte	0	0.0	0.9927197627548612	0.079010473440041	1.0	1.0	150	150	0.9615384615384616
GSM2986308	MII oocyte	0	0.0	0.3187131909101892	0.079010473440041	0.044296552245062	1.0	73	73	0.46794871794871795
GSM2986309	MII oocyte	0	0.0	0.3361490867756348	0.079010473440041	0.0831797413089224	1.0	98	98	0.6282051282051282
GSM2986310	MII oocyte	0	0.0	0.2501072080482072	0.079010473440041	0.1026328346762606	1.0	83	83	0.532051282051282
GSM2986311	MII oocyte	0	0.0	0.3849225000748891	0.079010473440041	0.0898568425663232	1.0	98	98	0.6282051282051282
GSM2986312	MII oocyte	0	0.0	0.3560284512084204	0.079010473440041	0.0951456779962719	1.0	103	103	0.6602564102564102
GSM2986313	MII oocyte	0	0.0	0.3830983373995418	0.079010473440041	0.0931629696264019	1.0	100	100	0.6410256410256411
GSM2986314	MII oocyte	0	0.0	0.4296216374789947	0.079010473440041	0.1024928208251439	1.0	102	102	0.6538461538461539
GSM2986315	MII oocyte	0	0.0	1.0	0.079010473440041	0.5357377969252679	1.0	115	115	0.7371794871794872
GSM2986316	MII oocyte	0	0.0	0.526978125415345	0.079010473440041	0.0815170256603684	1.0	95	95	0.6089743589743589
GSM2986317	MII oocyte	0	0.0	0.5262493446740144	0.079010473440041	0.0497218347820106	1.0	53	53	0.33974358974358976
GSM2986318	MII oocyte	0	0.0	0.2347322457280206	0.079010473440041	0.0437002700232358	1.0	46	46	0.2948717948717949
GSM2986319	MII oocyte	0	0.0	0.3494738924667265	0.079010473440041	0.0571804954891224	1.0	68	68	0.4358974358974359
GSM2986320	MII oocyte	0	0.0	0.2113203151347875	0.079010473440041	0.0568511241725213	1.0	55	55	0.3525641025641026
GSM2986321	MII oocyte	0	0.0	0.3375305187907894	0.079010473440041	0.0849722036281792	1.0	61	61	0.391025641025641
GSM2986322	MII oocyte	0	0.0	0.2581042294200673	0.079010473440041	0.0451954409868379	1.0	57	57	0.36538461538461536
GSM2986323	MII oocyte	0	0.0	0.4964558455967619	0.079010473440041	0.0580441062593371	1.0	61	61	0.391025641025641
GSM2986324	MII oocyte	0	0.0	0.3809860207263554	0.079010473440041	0.0645895188765461	1.0	70	70	0.44871794871794873
GSM2986325	MII oocyte	0	0.0	0.423941510746249	0.079010473440041	0.0658183954940729	1.0	58	58	0.3717948717948718
GSM2986326	MII oocyte	0	0.0	0.2573275952911509	0.079010473440041	0.0481516653658647	1.0	64	64	0.41025641025641024
GSM2481554	zygote/PN	1	0.16666666666666666	0.2163793182829078	0.2039076035675005	0.0160253202196412	0.9018183215118488	52	52	0.3333333333333333
GSM2481555	zygote/PN	1	0.16666666666666666	0.4892451584571404	0.2039076035675005	0.0482054702310589	0.9018183215118488	41	41	0.26282051282051283
GSM2481558	zygote/PN	1	0.16666666666666666	0.6389664760821604	0.2039076035675005	0.1033856559190948	0.9018183215118488	49	49	0.3141025641025641
GSM2481559	zygote/PN	1	0.16666666666666666	0.064975482789209	0.2039076035675005	0.0367038369946058	0.9018183215118488	56	56	0.358974358974359
GSM2481560	zygote/PN	1	0.16666666666666666	0.7153694528343714	0.2039076035675005	0.1218272793571368	0.9018183215118488	55	55	0.3525641025641026
GSM2481561	zygote/PN	1	0.16666666666666666	0.0864649455630899	0.2039076035675005	0.0069785950528149	0.9018183215118488	42	42	0.2692307692307692
GSM2481562	zygote/PN	1	0.16666666666666666	0.186297420757565	0.2039076035675005	0.0528200603277746	0.9018183215118488	85	85	0.5448717948717948
GSM2481563	zygote/PN	1	0.16666666666666666	0.7145192061862987	0.2039076035675005	0.1149553713515302	0.9018183215118488	62	62	0.3974358974358974
GSM2481564	zygote/PN	1	0.16666666666666666	0.3204066118752016	0.2039076035675005	0.0699225076166089	0.9018183215118488	89	89	0.5705128205128205
GSM2481565	zygote/PN	1	0.16666666666666666	0.8464275527345451	0.2039076035675005	0.1205102570514876	0.9018183215118488	51	51	0.3269230769230769
GSM2481566	zygote/PN	1	0.16666666666666666	0.2654352199931533	0.2039076035675005	0.0469417765818669	0.9018183215118488	81	81	0.5192307692307693
