track_id	mark	stage	module_id	analysis_status	input_type	target_n	target_overlap_n	target_overlap_fraction	background_n	background_overlap_n	background_overlap_fraction	target_minus_background_signal	overlap_odds_ratio	fisher_p_greater	track_path	fisher_q_BH
H3K4me3_8cell	H3K4me3	8cell	M02	completed	BED_peak_overlap	30	13.0	0.43333333333333335	630.0	12.0	0.01904761904761905	0.4142857142857143	38.17028571428571	7.186603064511628e-13	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_8cell.hg19.bed.gz	2.5153110725790697e-11
H3K4me3_8cell	H3K4me3	8cell	M10	completed	BED_peak_overlap	3	0.0	0.0	63.0	0.0	0.0	0.0	18.142857142857142	1.0	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_8cell.hg19.bed.gz	1.0
H3K4me3_morula	H3K4me3	morula	M05	not_run_missing_histone_input	BED_peak_overlap	6									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_morula.hg19.bed	
H3K4me3_morula	H3K4me3	morula	M01	not_run_missing_histone_input	BED_peak_overlap	21									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_morula.hg19.bed	
H3K4me3_morula	H3K4me3	morula	M12	not_run_missing_histone_input	BED_peak_overlap	4									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_morula.hg19.bed	
H3K4me3_morula	H3K4me3	morula	M02	not_run_missing_histone_input	BED_peak_overlap	30									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_morula.hg19.bed	
H3K4me3_morula	H3K4me3	morula	M10	not_run_missing_histone_input	BED_peak_overlap	3									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_morula.hg19.bed	
H3K4me3_blastocyst	H3K4me3	blastocyst	M05	completed	BED_peak_overlap	6	0.0	0.0	126.0	4.0	0.031746031746031744	-0.031746031746031744	2.094017094017094	0.9999999999999275	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_blastocyst.hg19.bed.gz	1.0
H3K4me3_blastocyst	H3K4me3	blastocyst	M01	completed	BED_peak_overlap	21	0.0	0.0	441.0	7.0	0.015873015873015872	-0.015873015873015872	1.3472868217054264	0.9999999999999792	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_blastocyst.hg19.bed.gz	1.0
H3K4me3_blastocyst	H3K4me3	blastocyst	M12	completed	BED_peak_overlap	4	0.0	0.0	84.0	1.0	0.011904761904761904	-0.011904761904761904	6.185185185185185	0.9999999999999515	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_blastocyst.hg19.bed.gz	1.0
H3K4me3_blastocyst	H3K4me3	blastocyst	M02	completed	BED_peak_overlap	30	6.0	0.2	630.0	5.0	0.007936507936507936	0.19206349206349208	30.172541743970314	2.083235414072979e-06	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_blastocyst.hg19.bed.gz	2.4304413164184753e-05
H3K4me3_blastocyst	H3K4me3	blastocyst	M10	completed	BED_peak_overlap	3	1.0	0.3333333333333333	63.0	0.0	0.0	0.3333333333333333	76.2	0.04545454545454561	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K4me3_blastocyst.hg19.bed.gz	0.15909090909090964
