model	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC3_recovery	PC1_negative_pull_recovered	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	sign_pattern	true_dual_branch_sign	rank_by_occupancy_cosine
all_module_sign_pattern	-0.3929215472848282	-0.13432501884059347	-1.1239142724546676	1.1981710415606504	0.9938843433219997	0.49648387307991737	0.5861323890030922	0.49648387307991737	0.5861323890030922	0.5159716887593564	0.35955817426470893	0.44634635020850805	0.8487798699346262	0.24016072224813004	0.6455390328774363	0.2406623611189091	1.5666635350021403	1.9104332695957345	0.9555555555555556	0.9777777777777777	0.875	0.875	1.0930983220493198	1.0224014859114376	M05:+1,M01:+1,M12:+1,M02:-1,M10:-1	True	1
all_module_sign_pattern	-0.37113154795797965	-0.19449723422027346	-0.837299223398498	0.936289372743678	0.9811193548263647	0.46895068398667494	0.43665981129427317	0.46895068398667494	0.43665981129427317	0.6755971220651509	0.49563529642341386	0.6864569737879043	0.8487798699346262	0.24115349037671194	0.642207678232425	0.24166253438077928	1.5666635350021403	1.9104332695957345	0.7555555555555555	0.9555555555555556	0.875	0.875	1.3262622250588394	1.0224014859114376	M05:+1,M01:+1,M12:-1,M02:-1,M10:-1	False	2
all_module_sign_pattern	-0.07286790929177978	-0.022011879713289682	-0.7987186184265965	0.8023376386997924	0.9551641755596608	0.09207370295270097	0.41653964491185247	0.09207370295270097	0.41653964491185247	0.7677093880477002	0.5933361422017218	0.7142482868884138	0.8487798699346262	0.24144653059929017	0.6394839929523829	0.24196178155841438	1.5666635350021403	1.9104332695957345	0.5555555555555556	0.9333333333333333	0.875	0.875	1.460900015559775	1.0224014859114376	M05:+1,M01:+1,M12:+1,M02:-1,M10:+1	False	3
all_module_sign_pattern	-0.006254587572630005	-0.055346643899376304	-0.7772138584999616	0.7792071308073524	0.9260979613969764	0.007903109116909375	0.4053247003029478	0.007903109116909375	0.4053247003029478	0.7994169472593161	0.6178074219217414	0.6647928319989485	0.8487798699346262	0.24164819226685608	0.6386389429363811	0.24216331365755187	1.5666635350021403	1.9104332695957345	0.5333333333333333	0.9111111111111111	0.875	0.875	1.5082607955103318	1.0224014859114376	M05:+1,M01:-1,M12:+1,M02:-1,M10:-1	False	4
all_module_sign_pattern	-0.4586404807449078	-0.5600506860079103	-0.7295425974224056	1.0277355024176607	0.8351989532616745	0.5795243447578156	0.3804636670133247	0.5795243447578156	0.3804636670133247	0.7743573855436228	0.5490196645246176	0.6674937467284807	0.8487798699346262	0.24188276721204954	0.6414287582006698	0.2423848428304844	1.5666635350021403	1.9104332695957345	0.5333333333333333	0.9111111111111111	0.875	0.875	1.4693278397317613	1.0224014859114376	M05:+1,M01:+1,M12:+1,M02:+1,M10:-1	False	5
all_module_sign_pattern	-0.051077909964931195	-0.08218409509296967	-0.5121035693704271	0.5211652752578282	0.9481298527282603	0.06454051385945853	0.26706706720303347	0.06454051385945853	0.26706706720303347	0.917531251002077	0.7202510537137667	0.8634966332855013	0.8487798699346262	0.2426524809033803	0.6351643105526187	0.24317349929241525	1.5666635350021403	1.9104332695957345	0.4222222222222222	0.6888888888888889	0.875	0.875	1.7006522744030397	1.0224014859114376	M05:+1,M01:+1,M12:-1,M02:-1,M10:+1	False	6
all_module_sign_pattern	-0.4368504814180592	-0.6202229013875903	-0.44292754836623627	0.8784643439676736	0.6672232132836298	0.551991155664573	0.23099108930450576	0.551991155664573	0.23099108930450576	0.938782463420417	0.7062274471105063	0.83419442588174	0.8487798699346262	0.24305836675750528	0.6374371564530354	0.24356744897391086	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6222222222222222	0.875	0.875	1.7319805995807507	1.0224014859114376	M05:+1,M01:+1,M12:-1,M02:+1,M10:-1	False	7
all_module_sign_pattern	0.015535411754218603	-0.11551885927905628	-0.4905988094437922	0.504255042310113	0.8911964861591215	-0.0196300799763331	0.2558521225941288	-0.0196300799763331	0.2558521225941288	0.9476113620109494	0.7428468518762106	0.7914271884514731	0.8487798699346262	0.24287208273616828	0.6342446431500464	0.24339292940564103	1.5666635350021403	1.9104332695957345	0.35555555555555557	0.6	0.875	0.875	1.7471854356296765	1.0224014859114376	M05:+1,M01:-1,M12:-1,M02:-1,M10:-1	False	8
all_module_sign_pattern	-0.1385868427518594	-0.4477375468806065	-0.40434694339433463	0.6190086223171154	0.7009342528786991	0.17511417463059914	0.210870922922085	0.17511417463059914	0.210870922922085	0.9810097543275614	0.7513517668380592	0.8126335322125786	0.8487798699346262	0.24328127117916148	0.6344881185370328	0.24379714575274514	1.5666635350021403	1.9104332695957345	0.3333333333333333	0.5555555555555556	0.875	0.875	1.7985810017838753	1.0224014859114376	M05:+1,M01:+1,M12:+1,M02:+1,M10:+1	False	9
all_module_sign_pattern	-0.07197352103270963	-0.4810723110666931	-0.3828421834676998	0.6190144535042869	0.6286481844872289	0.09094358079480755	0.19965597831318038	0.09094358079480755	0.19965597831318038	1.012060409985749	0.7731781463754299	0.8629768962842106	0.8487798699346262	0.24350328603724403	0.6335353435437745	0.24401899326035126	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5555555555555556	0.875	0.875	1.847243023730677	1.0224014859114376	M05:+1,M01:-1,M12:+1,M02:+1,M10:-1	False	10
