cluster_name	PC1_loading	PC2_loading	PC3_loading
cluster_23	0.013113894441751046	0.15628053753106708	0.0468770501430388
cluster_67	0.02769971864056217	0.08438693638820804	0.07578790324612111
cluster_123	0.08213201136502166	0.012160128496243816	0.013080378511759319
cluster_125	0.2002255329910254	0.007821445692391859	-0.0010842065046127725
cluster_126	-0.027610276709226778	0.08977879851698656	-0.04261451664029328
cluster_242	0.12183667162897543	-0.07580095097094947	0.146256219086023
cluster_293	0.029480818847894632	0.029379153694791632	-0.026233141692213358
cluster_315	-0.027075535197532485	0.03597263857072107	-0.012417786372655726
cluster_386	-0.040831418453022204	0.030681634644332465	-0.026744508980749565
cluster_483	0.08629088285672948	0.10757425075969507	0.0015246504065245447
cluster_543	-0.058368582366556836	0.05469400625759881	0.13428769633435414
cluster_587	0.0006653884174681635	0.187638944081489	-0.1280373607860833
cluster_618	0.015212179760333795	0.026907114013902073	0.060747499926737954
cluster_634	-0.01975759556469902	0.08936682855854014	0.04746832586282055
cluster_643	-0.021390198819516155	0.032080864280052884	0.059201537760686485
cluster_652	-0.03822804919283024	0.019319236032577805	-0.008961656322238727
cluster_832	0.11018287078092914	-0.0464011890414734	0.1466545750272377
cluster_840	-0.015064784218860313	0.07319819461769592	0.0498524212945888
cluster_883	0.0006904837259164127	0.004944143739320372	0.013016862845902059
cluster_900	0.009878521152223662	0.01600556669103847	0.02481069314552206
cluster_915	0.09481454140061482	0.03630604347660916	-0.005407237044689653
cluster_916	-0.007837584526626955	-0.014736151809717211	-0.00856805441005003
cluster_950	0.0663842960710933	0.02375028256570269	0.02057794583396002
cluster_1007	-3.664652573445032e-05	0.06369504540940214	0.050378676678025126
cluster_1126	0.02069610901476608	0.031684486877400934	-0.008228832570175853
cluster_1257	-0.007167738639547623	0.06435574280004751	-0.04320537687811936
cluster_1333	0.005594590940247472	0.15463491050793488	-0.04405856867118378
cluster_1387	-0.018245032767350174	0.06961561250222653	0.14730175311609445
cluster_1406	0.18825401127387215	-0.057790473408521434	0.05442402844834063
cluster_1523	-0.0045466583008349545	0.15653072166101717	0.04056233393932443
cluster_1556	-0.019701143584844014	0.05554941358011638	-0.0990562730192818
cluster_1564	0.03765458190853777	0.007432308250580437	-0.014172808358391128
cluster_1586	-0.003494212250383693	0.15571988594637504	0.08743667638106382
cluster_1607	-0.013314506085221407	0.09722766877147795	-0.02127880279742018
cluster_1688	-0.004611112609140117	0.14163728183344132	0.08662975274674797
cluster_1715	0.005253531746641426	0.06486843712480353	-0.08226153239897116
cluster_1718	-0.028881405320105597	0.11891396611635809	0.05646612559180575
cluster_1742	-0.1341002083038757	-0.013559463266832127	0.15673462500136773
cluster_1758	0.0749316930007291	0.031275599836047024	0.11195445100656425
cluster_1764	-0.011159085775186628	0.15985025255639382	-0.13451925003956897
cluster_1806	-0.007132687376394578	0.05596792617668054	0.02187827713955905
cluster_1851	0.02898157379846704	-0.00012794873374121505	-0.010180347294873295
cluster_1921	-0.09512201128132418	-0.037719970372735806	-0.04635771865188572
cluster_1922	-0.034387779946855185	0.05660292172390901	-0.036218208937750566
cluster_1976	0.10514224118887326	-0.014644254665924743	0.03371428915404787
cluster_2004	0.0643946680894104	0.08440028058397703	0.07663354642795056
cluster_2126	0.03153808838896212	0.18561660096320765	0.1366851566644533
cluster_2190	-0.05352995751716255	0.058597669219985514	0.1673985272772347
cluster_2324	0.10986041445652343	0.06040463431879669	0.09889747615420318
cluster_2355	0.09555423206787361	0.005477361879454862	0.04075791449744656
cluster_2365	0.17183555231187997	-0.06626571572253177	0.022688167053485003
cluster_2623	0.019787302950486932	0.1243147577733895	-0.24485980384307077
cluster_2637	-0.01409086717967875	0.10126621781749318	0.0011539043183677726
cluster_2727	0.037563632361549894	0.16254341817919807	0.07532480326000279
cluster_2743	0.15510262027421123	0.07200298022927096	-0.113403962509867
cluster_2776	0.17336810262706115	-0.023583364004995902	0.007650054582731816
cluster_2832	0.04244010272308993	0.12081556863061499	0.03904354482047932
cluster_2910	-0.04228158706560375	0.058801791840984684	-0.0020695812396454784
cluster_3123	0.13121439470588314	-0.020478541803540452	0.07482934724853973
cluster_3133	0.13965700201549605	-0.005851121554634987	0.00239417245224621
cluster_3227	-0.001756490655717435	0.09653023956903264	0.04781951314891072
cluster_3275	-0.00045583060434659605	0.13593131188846744	-0.21323493487247133
cluster_3303	0.08907625164177058	0.10398715084386456	0.0764663428039926
cluster_3336	0.026107264872843934	0.012892504521148785	0.030189908483720405
cluster_3348	0.002763644158665193	0.1303976262595142	0.04480378485921403
cluster_3362	0.01798624418779146	0.11550086814465672	0.034453086716103656
cluster_3369	0.020193028757122377	0.16881443044107325	0.0934355576137605
cluster_3416	0.01248258396449121	0.0028608071677770916	-0.00708117849975921
cluster_3519	0.11484763785791624	-0.021457003609352016	-0.00425680439501579
cluster_3660	-0.04157035234547489	0.1207790081051348	-0.047465805478642466
cluster_3684	-0.012283860771905526	0.08807136135856608	0.10986842052349395
cluster_3762	0.1284016945780566	-0.026352680387432312	0.04989684488766428
cluster_3766	0.11896547792511528	0.02023387276087025	0.05839897629553658
cluster_3928	0.17871732970527887	-0.012047256508305425	0.0513289807408347
cluster_3967	-0.02717924158851914	0.06996673743361097	0.06286139132343337
cluster_3978	0.019264456980775547	0.09352164950455011	-0.014284175646607502
cluster_4026	0.05561786896974305	-0.09336797400391682	0.08088633335313719
cluster_4028	-0.03524293301838293	-0.007014287438616587	0.01784416989188251
cluster_4064	0.032616009245013525	-0.016417654805618465	-0.01856042306680829
cluster_4084	0.010339414348396884	0.10032307976071163	-0.030701211839913145
cluster_4141	0.061569887381510716	0.1027971815581953	-0.1421745608901649
cluster_4364	-0.02946001452940813	0.10970637635350436	0.0664732735823143
cluster_4373	0.10603618118307591	0.04887317927016186	-0.12854870566135565
cluster_4404	0.1550947004747888	-0.05002717613528842	-0.06124426361242037
cluster_4420	-0.006758495199633632	0.06481581041524717	0.024243780895765437
cluster_4449	0.004226212307741736	0.07186816549336743	0.08162618890947579
cluster_4532	-0.05376345544850389	0.06951637368958188	-0.04327537947101742
cluster_4538	0.13279436766683944	0.06363131954651886	0.04371488985039464
cluster_4551	0.023574201281435343	0.08600132039368441	0.03757159797656769
cluster_4593	-0.047782045526555315	0.05508892301600214	-0.035269551735089555
cluster_4605	0.17467569112535025	0.07004825967829523	-0.0966376685053945
cluster_4889	0.18772464126685312	-0.01180424955445084	0.04375577747115194
cluster_4897	-0.0052692385100491035	0.040845163905848365	-0.039153301334993985
cluster_4899	-0.016070921659109245	0.07152929810567096	0.019883010107911842
cluster_4904	-0.0656997079659913	0.029348077824308167	0.1649406246631453
cluster_4907	-0.09877088396584706	0.07337503656079286	0.015290269787763709
cluster_4909	-0.06796594722859618	0.07659269623216833	0.08755423909248727
