feature_set	control_model	alpha	sign_status	branch	control_modality	biological_status	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.0	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.0	-0.0	0.0		-0.0	1.1978195174977648	0.9341820819670775	1.1176122228407372	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.0	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.0	0.0	-0.0		0.0	1.1978195174977648	0.9341820819670775	1.0578025306578764	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.05	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.006142370263256387	-0.008867359656786393	0.001445659979544907	0.10581227046088927	-0.0007539259517064234	1.1971709471879615	0.9336804921993758	1.141073644207781	0.8487798699346262	0.24521695821502715	0.6250745300366127	0.24574125127750718	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1623060754119297	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.05	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.006142370263256387	0.008867359656786393	-0.001445659979544907	-0.10581227046088927	0.0007539259517064234	1.1985006808569512	0.9347023780739939	1.0502435811837618	0.8487798699346262	0.24522012070000918	0.624966963507226	0.24574445654165397	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1645021142257206	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.1	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.012284740526512773	-0.017734719313572785	0.002891319959089814	0.10581227046088927	-0.0015078519034128469	1.1965550229269037	0.9331977119995835	1.024478048967221	0.8487798699346262	0.2452156793332883	0.6251278606274824	0.24573995044469762	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1612878218529734	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.1	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.012284740526512773	0.017734719313572785	-0.002891319959089814	-0.10581227046088927	0.0015078519034128469	1.1992143817261838	0.9352412734958742	0.9409111716123516	0.8487798699346262	0.24522200433442293	0.6249127283176884	0.24574636096837468	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.165679761977347	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.15	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.01842711078976916	-0.02660207897035918	0.004336979938634721	0.10581227046088931	-0.00226177785511927	1.1959717951526392	0.9327338407658967	1.0203393431430792	0.8487798699346262	0.24521460195177514	0.6251808904372826	0.2457388508153137	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1603228313126492	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.15	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.01842711078976916	0.02660207897035918	-0.004336979938634721	-0.10581227046088931	0.00226177785511927	1.199960562048433	0.9357986574491561	1.1026406924506968	0.8487798699346262	0.2452240894573717	0.6248581942097254	0.24574846658618055	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1669103977722104	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.2	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.024569481053025546	-0.03546943862714557	0.005782639918179628	0.10581227046088927	-0.0030157038068256937	1.1954213117215158	0.9322829908848105	1.1998556363595172	0.8487798699346262	0.24521372607029	0.6252336192727368	0.24573795239205173	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.159411163698153	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.2	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.024569481053025546	0.03546943862714557	-0.005782639918179628	-0.10581227046088927	0.0030157038068256937	1.2007391612721765	0.9363744154284963	1.1681684483812482	0.8487798699346262	0.24522637606371575	0.6248033615921552	0.24575077338990003	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.168193944107357	1.0224014859114376
