model	validation_status	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC2_recovery	PC3_recovery	PC3_negative_pull_recovered	PC1_negative_pull_recovered	center_error_vs_observed	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	closure_modules	access_modules	closure_sign	access_sign
true_dual_branch_partition	true_partition_correct_sign	-0.4565052234180704	-0.055971886830590234	-1.3038061047197507	1.3825484547848037	0.9982168850629266	0.5768262976922469	1.6536026830464774	0.679947755523344	0.679947755523344	0.5768262976922469	-0.07448772011859117	0.40384864217116573	0.28200959999600483	0.4085828946478288	0.8487798699346262	0.23956369709225395	0.6475674546794258	0.24006175079430622	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.9479137657928465	1.0224014859114376	M05,M01,M12	M02,M10	1	1
exact_partition_001	exact_partition_with_branch_signs	0.4565052234180704	0.055971886830590234	1.3038061047197507	1.3825484547848037	-0.9982168850629266	-0.5768262976922469	-1.6536026830464774	-0.679947755523344	-0.679947755523344	-0.5768262976922469	2.4862112988060923	1.9951799301731064	1.1936209801514923	1.6988708103590562	0.8487798699346262	0.2555794028318559	0.583984889896544	0.2560821674901201	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.50861278471753	1.0224014859114376	M05,M01,M12	M02,M10	-1	-1
exact_partition_002	exact_partition_with_branch_signs	0.0750031666186172	0.5260906788906097	0.22445511112925143	0.5768682469424429	-0.4240908983136037	-0.0947717500182696	-15.542534072012117	-0.11705555640183322	-0.11705555640183322	-0.0947717500182696	1.4360236963190278	1.3726145677891521	1.0271693713902725	1.167586748779181	0.8487798699346262	0.2468820170321894	0.6168668971874801	0.24740332266013998	1.5666635350021403	1.9104332695957345	0.0	0.08888888888888889	0.875	0.875	2.4584251822304655	1.0224014859114376	M05,M01,M12	M02,M10	-1	1
exact_partition_003	exact_partition_with_branch_signs	-0.0750031666186172	-0.5260906788906097	-0.22445511112925143	0.5768682469424429	0.4240908983136037	0.0947717500182696	15.542534072012117	0.11705555640183322	0.11705555640183322	0.0947717500182696	0.9680300740832664	1.098782852755927	0.8442439821727993	0.9717819929094544	0.8487798699346262	0.24425629548676098	0.6309460075799117	0.2447746019429821	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.4444444444444444	0.875	0.875	1.990431559994704	1.0224014859114376	M05,M01,M12	M02,M10	1	-1
exact_partition_004	exact_partition_with_branch_signs	-0.4565052234180704	-0.055971886830590234	-1.3038061047197507	1.3825484547848037	0.9982168850629266	0.5768262976922469	1.6536026830464774	0.679947755523344	0.679947755523344	0.5768262976922469	-0.07448772011859117	0.40384864217116573	0.28200959999600483	0.4004979900177693	0.8487798699346262	0.23956369709225395	0.6475674546794258	0.24006175079430622	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.9479137657928465	1.0224014859114376	M05,M01,M12	M02,M10	1	1
exact_partition_005	exact_partition_with_branch_signs	0.5114163910846092	0.6633442400143362	0.45257269960921165	0.952047453786718	-0.6556329349828957	-0.6462104009230666	-19.5974778979872	-0.23602113090011093	-0.23602113090011093	-0.6462104009230666	1.8366578580048465	1.6125258340694026	1.11962776343743	1.3950100000996803	0.8487798699346262	0.2496665632754065	0.6055256612104556	0.2501820667976577	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.859059343916284	1.0224014859114376	M05,M01,M02	M12,M10	-1	-1
exact_partition_006	exact_partition_with_branch_signs	0.06402093308530948	0.4046162082538606	0.39470179215135925	0.5688606688657074	-0.6958162232706431	-0.08089492937210573	-11.953759029023976	-0.20584088132647982	-0.20584088132647982	-0.08089492937210573	1.5586852445672665	1.4457213423517783	1.0613821552436555	1.3291586347496702	0.8487798699346262	0.2478860980321863	0.613257760965924	0.248405296495501	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.581086730478704	1.0224014859114376	M05,M01,M02	M12,M10	-1	1
exact_partition_007	exact_partition_with_branch_signs	-0.06402093308530948	-0.4046162082538606	-0.39470179215135925	0.5688606688657074	0.6958162232706431	0.08089492937210573	11.953759029023976	0.20584088132647982	0.20584088132647982	0.08089492937210573	0.8026880448918583	0.9975810578530891	0.7665594357419456	0.8679791249096224	0.8487798699346262	0.24338604147006154	0.6336373046239889	0.24390322281558413	1.5666635350021403	1.9104332695957345	0.3333333333333333	0.5333333333333333	0.875	0.875	1.825089530803296	1.0224014859114376	M05,M01,M02	M12,M10	1	-1
exact_partition_008	exact_partition_with_branch_signs	-0.5114163910846092	-0.6633442400143362	-0.45257269960921165	0.952047453786718	0.6556329349828957	0.6462104009230666	19.5974778979872	0.23602113090011093	0.23602113090011093	0.6462104009230666	0.7032683933050696	0.9346478108341745	0.6987099106102308	0.8097611454656297	0.8487798699346262	0.24305152018113935	0.63805670033192	0.24355853004463382	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6	0.875	0.875	1.7256698792165073	1.0224014859114376	M05,M01,M02	M12,M10	1	1
exact_partition_009	exact_partition_with_branch_signs	0.029200676768199152	-0.009204267853939518	0.5390427258644501	0.5399115282875747	-0.9431070302560126	-0.036897098666673386	0.2719258342106587	-0.2811161032732706	-0.2811161032732706	-0.036897098666673386	1.640022274544798	1.4953989757871475	1.083507929686455	1.2535335676624402	0.8487798699346262	0.2485958291770671	0.6118888362084992	0.24911331023662187	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.6624237604562357	1.0224014859114376	M05,M01,M10	M12,M02	-1	-1
