feature_set	module_id	control_value	control_value_z	control_modality	mark	stage	leakage_status	description	n_DMRs	latent_control_PC1	latent_control_PC2	latent_control_PC3	latent_control_norm	ridge_weight
H3K27me3_blastocyst_histone_only	M12	0.15476190476190477	-1.258401703526353	histone	H3K27me3	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
H3K27me3_blastocyst_histone_only	M02	0.39206349206349206	0.07884178016610076	histone	H3K27me3	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
H3K27me3_blastocyst_histone_only	M10	0.6349206349206349	1.4473919674901503	histone	H3K27me3	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
H3K27me3_morula_histone_only	M05	-0.023809523809523808	-1.4372398827845814	histone	H3K27me3	morula	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
H3K27me3_morula_histone_only	M01	-0.0045351473922902496	-0.17520072951299656	histone	H3K27me3	morula	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
H3K27me3_morula_histone_only	M12	0.0	0.12174965949208226	histone	H3K27me3	morula	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
H3K27me3_morula_histone_only	M02	0.01904761904761905	1.3689412933134133	histone	H3K27me3	morula	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
H3K27me3_morula_histone_only	M10	0.0	0.12174965949208226	histone	H3K27me3	morula	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
H3K27me3_morula_to_blastocyst_histone_delta	M05	0.4444444444444444	0.36124035346493	histone_delta	H3K27me3	morula_to_blastocyst	methylation_non_leaking_external_histone_stage_delta	Histone target-background enrichment delta between stages.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
H3K27me3_morula_to_blastocyst_histone_delta	M01	0.2925170068027211	-0.489483853289035	histone_delta	H3K27me3	morula_to_blastocyst	methylation_non_leaking_external_histone_stage_delta	Histone target-background enrichment delta between stages.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
