cluster_name	PC1_loading	PC2_loading	PC3_loading
cluster_23	0.016906517175662633	0.16063986474411143	-0.05035514024866953
cluster_67	0.029310353216714546	0.08776483223586262	-0.08108776302455642
cluster_123	0.0855683612805232	0.009530118113442787	-0.020077738369368048
cluster_125	0.2033260645404944	0.0032686018884233586	-0.0030273634723345377
cluster_126	-0.023344245640890715	0.09184550027229627	0.04547065331191272
cluster_242	0.1204840596060148	-0.0807799363940376	-0.14410648023651096
cluster_293	0.03180798543249155	0.028860218564199444	0.024395092732842016
cluster_315	-0.02439200526280436	0.0355987679946064	0.018698809896013635
cluster_386	-0.03965997284113672	0.03506747923273013	0.02431367904664139
cluster_483	0.09165808050149347	0.10799261271228226	-0.0034666891196261373
cluster_543	-0.05368726303647403	0.05630922090628725	-0.09650966485341814
cluster_587	-0.0044242250611157465	0.1856130037053398	0.11022034041158087
cluster_618	0.016220223457188175	0.027416695750931256	-0.06084344481772949
cluster_634	-0.01689367566396133	0.09222228890327896	-0.04903484705605717
cluster_643	-0.03887422003331139	0.02501159117232286	-0.0900195476190728
cluster_652	-0.03548652107941137	0.020518125959410254	0.00941405948034318
cluster_832	0.1079577773366572	-0.049778428289716695	-0.15131905262443804
cluster_840	-0.0128824824677915	0.07354396769451287	-0.0522570393247308
cluster_883	0.0023924416052765497	0.005324209941027452	-0.016561405938857077
cluster_900	0.010882142530954077	0.01624051043926755	-0.029109231958048876
cluster_915	0.09333188007294985	0.03508665787273203	-0.0033556435752377773
cluster_916	-0.04045167791893381	-0.005804146742080648	-0.0633456640585805
cluster_950	0.0774901282486253	0.02050081546639249	0.0192812917581206
cluster_1007	0.004023487414385726	0.06616190997671605	-0.04238929064366188
cluster_1126	0.02506555928756274	0.03218537380040053	0.016968018209112264
cluster_1257	-0.003934578523734869	0.06717662657935668	0.04698928201813465
cluster_1333	0.013083846326030242	0.15887668207261194	0.04926512487344868
cluster_1387	-0.019358272888135124	0.07197043772561743	-0.13389523034413103
cluster_1406	0.17749075669676084	-0.06313669609198735	-0.08172981734931072
cluster_1523	-0.018348501159346945	0.14577175945071733	-0.06782124268971157
cluster_1556	-0.015185244866074438	0.057814686071642925	0.10970118131004139
cluster_1564	0.039607264727821015	0.006627867975906185	0.012745486907905612
cluster_1586	-0.0007775824840372675	0.15991765754761048	-0.09106276131975632
cluster_1607	-0.025520735995774493	0.09178562325344967	-0.015206524510703957
cluster_1688	-0.0012289567801716163	0.1463949535882795	-0.08355479301418797
cluster_1715	0.01116763324290467	0.06517737880558543	0.0872970700546527
cluster_1718	-0.04502851515971678	0.10106015224978247	-0.07988192690908331
cluster_1742	-0.13460382343794372	-0.009365218629566853	-0.14167160497795245
cluster_1758	0.07737625832355587	0.02996089628104544	-0.08844700134074081
cluster_1764	-0.018666123130581497	0.1551307575884885	0.10951672234670405
cluster_1806	-0.02177058500633469	0.0480586908509269	-0.04262695386832537
cluster_1851	0.03064535095715475	-0.0010658390256233121	0.0075384551005942615
cluster_1921	-0.09154793391742974	-0.0370083178908646	0.04301372461592321
cluster_1922	-0.04653227835767484	0.05180560851105459	0.004430864063881853
