sensitivity_type	latent_dim	basin_quantile	module_set	baseline_or_max_occupancy	alpha_at_max	occupancy_at_alpha1	alpha_to_observed	cosine_at_max	PC3_recovery_at_max	observed_occupancy
module_set_alpha	5	0.85	M05_M01_M12_M02	0.0	0.0	0.0		0.973842650112358	0.0	0.75
module_set_alpha	5	0.85	M05_M01_M12_M02_M10	0.0	0.0	0.0		0.9848854558606024	0.0	0.75
module_set_alpha	5	0.9	M05_M01_M12_M02	0.0	0.0	0.0		0.973842650112358	0.0	0.875
module_set_alpha	5	0.9	M05_M01_M12_M02_M10	0.022222222222222223	2.0	0.0		0.9848854558606024	1.1686695209536853	0.875
module_set_alpha	5	0.95	M05_M01_M12_M02	0.022222222222222223	2.05	0.0		0.973842650112358	1.4251636766231985	0.875
module_set_alpha	5	0.95	M05_M01_M12_M02_M10	0.1111111111111111	2.2	0.0		0.9848854558606024	1.285536473049054	0.875
module_set_alpha	10	0.8	M05_M01_M12_M02	0.0	0.0	0.0		0.9657861539359817	0.0	0.75
module_set_alpha	10	0.8	M05_M01_M12_M02_M10	0.0	0.0	0.0		0.9822243307039193	0.0	0.75
module_set_alpha	10	0.85	M05_M01_M12_M02	0.0	0.0	0.0		0.9657861539359817	0.0	0.75
module_set_alpha	10	0.85	M05_M01_M12_M02_M10	0.0	0.0	0.0		0.9822243307039193	0.0	0.75
module_set_alpha	10	0.9	M05_M01_M12_M02	0.0	0.0	0.0		0.9657861539359817	0.0	0.875
module_set_alpha	10	0.9	M05_M01_M12_M02_M10	0.08888888888888889	2.5	0.0		0.9822243307039193	1.4274473739823121	0.875
module_set_alpha	10	0.95	M05_M01_M12_M02	0.022222222222222223	2.1	0.0		0.9657861539359817	1.4624594113363052	0.875
module_set_alpha	10	0.95	M05_M01_M12_M02_M10	0.37777777777777777	2.4	0.0		0.9822243307039193	1.3703494790230197	0.875
