control_model	module_id	candidate_control	control_modality	control_value	control_stage_window	leakage_status	interpretation	control_value_z	linked_genes	n_DMRs	latent_control_PC1	latent_control_PC2	latent_control_PC3	latent_control_norm	ridge_weight	candidate_control_direction_PC1	candidate_control_direction_PC2	candidate_control_direction_PC3	u	beta	weighted_PC1	weighted_PC2	weighted_PC3
RNA_unit_beta	M05	RNA_delta_8cell_to_morula_M05	RNA	0.2214140271493213	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.1608826462271731	MYH1,VASH2	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747	0.0114149478971404	0.0522508554099332	0.0830202384205526	-0.1608826462271731	1.0	0.011414947897140423	0.05225085540993326	0.08302023842055262
RNA_unit_beta	M05	RNA_delta_morula_to_blastocyst_M05	RNA	2.0698808446455508	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	0.131269639062682	MYH1,VASH2	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747	-0.0093138453743549	-0.042633255302708	-0.0677390445018865	0.131269639062682	1.0	-0.009313845374354974	-0.042633255302708006	-0.06773904450188653
RNA_unit_beta	M06	RNA_delta_8cell_to_morula_M06	RNA	0.2766993778280571	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.1521447336009018	ARID3C,ATN1,C11orf63,COMP,CRYBA2,GIPR,IFI30,JAKMIP2,MKRN1,NKX2-5,SLC24A5,SMYD1,SNORA18,TNFRSF18,TNFRSF25,WNT1	23	-0.023293816180393	0.0655179931735613	-0.0910964315804362	0.114602657684828	0.6980463113959128	0.0035440314573142	-0.0099682176174571	0.0138598423147982	-0.1521447336009018	1.0	0.0035440314573142694	-0.009968217617457188	0.013859842314798244
RNA_unit_beta	M06	RNA_delta_morula_to_blastocyst_M06	RNA	-10.068134772725951	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-1.7871575503971413	ARID3C,ATN1,C11orf63,COMP,CRYBA2,GIPR,IFI30,JAKMIP2,MKRN1,NKX2-5,SLC24A5,SMYD1,SNORA18,TNFRSF18,TNFRSF25,WNT1	23	-0.023293816180393	0.0655179931735613	-0.0910964315804362	0.114602657684828	0.6980463113959128	0.0416297194643524	-0.1170909761869984	0.1628036755132131	-1.7871575503971413	1.0	0.04162971946435245	-0.11709097618699844	0.16280367551321315
RNA_unit_beta	M07	RNA_delta_8cell_to_morula_M07	RNA	3.3942107304460243	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	0.3405814854816131	ADAM29,C1QTNF7,CFD,IRF9,PLA2G12B,TMEM223,TNFRSF25	9	-0.1042632721021358	-0.0244059898099321	-0.0486586294431352	0.117618639965487	0.3396809001439573	-0.035510140093719	-0.0083122282641157	-0.0165722282972423	0.3405814854816131	1.0	-0.03551014009371904	-0.008312228264115786	-0.016572228297242343
RNA_unit_beta	M07	RNA_delta_morula_to_blastocyst_M07	RNA	10.307047249669097	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	1.4331631687502162	ADAM29,C1QTNF7,CFD,IRF9,PLA2G12B,TMEM223,TNFRSF25	9	-0.1042632721021358	-0.0244059898099321	-0.0486586294431352	0.117618639965487	0.3396809001439573	-0.1494262814301629	-0.0349777656924877	-0.0697357555597662	1.4331631687502162	1.0	-0.14942628143016295	-0.034977765692487776	-0.0697357555597662
RNA_unit_beta	M08	RNA_delta_8cell_to_morula_M08	RNA	-0.2051425339366515	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.2283003964118624	KRTAP13-4,MYBPC1,SCGN,TAS2R20	7	-0.0714679361606645	0.0172513731017562	-0.0800353954263481	0.1086781500303199	0.5664617239942059	0.0163161581562173	-0.0039384953177798	0.0182721125028154	-0.2283003964118624	1.0	0.01631615815621738	-0.003938495317779881	0.01827211250281543
RNA_unit_beta	M08	RNA_delta_morula_to_blastocyst_M08	RNA	1.5863159416100594	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	0.0548416555194642	KRTAP13-4,MYBPC1,SCGN,TAS2R20	7	-0.0714679361606645	0.0172513731017562	-0.0800353954263481	0.1086781500303199	0.5664617239942059	-0.0039194199356102	0.0009460938608842	-0.0043892735853358	0.0548416555194642	1.0	-0.003919419935610222	0.0009460938608842641	-0.004389273585335883
RNA_unit_beta	M10	RNA_delta_8cell_to_morula_M10	RNA	-0.2910520361990951	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.24187849106659	C6orf47,PDLIM3	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564	0.0345277858490716	0.0121164816002146	0.03508251295545	-0.24187849106659	1.0	0.034527785849071665	0.012116481600214665	0.03508251295545002
RNA_unit_beta	M10	RNA_delta_morula_to_blastocyst_M10	RNA	0.231928493075552	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.1592208229150773	C6orf47,PDLIM3	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564	0.0227285297344246	0.0079758897234498	0.0230936887280225	-0.1592208229150773	1.0	0.022728529734424623	0.00797588972344985	0.023093688728022553
RNA_unit_beta	M11	RNA_delta_8cell_to_morula_M11	RNA	-0.0453461538461542	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.2030443965840049	CDH24,TNFRSF25	4	0.0007243590994191	0.0015692050144277	-0.0096860483672329	0.0098390362055738	0.0463894872238132	-0.0001470770562516	-0.000318618285271	0.0019666978460082	-0.2030443965840049	1.0	-0.00014707705625168437	-0.00031861828527106703	0.00196669784600829
RNA_unit_beta	M11	RNA_delta_morula_to_blastocyst_M11	RNA	27.28534615384616	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	4.116602643151108	CDH24,TNFRSF25	4	0.0007243590994191	0.0015692050144277	-0.0096860483672329	0.0098390362055738	0.0463894872238132	0.0029818985832592	0.006459793510039	-0.0398736123102404	4.116602643151108	1.0	0.002981898583259223	0.006459793510039042	-0.039873612310240426
RNA_unit_beta	M12	RNA_delta_8cell_to_morula_M12	RNA	1.603583710407241	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	0.0575708460400637	MS4A3,PCDH17	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908	-0.0009034578096169	0.0024948627620993	-0.0118836444434617	0.0575708460400637	1.0	-0.0009034578096169448	0.0024948627620993606	-0.01188364444346173
RNA_unit_beta	M12	RNA_delta_morula_to_blastocyst_M12	RNA	-1.6178273001508303	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.4515768322867948	MS4A3,PCDH17	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908	0.0070865836414436	-0.0195693185108847	0.093213473188609	-0.4515768322867948	1.0	0.007086583641443644	-0.019569318510884715	0.09321347318860908
RNA_unit_beta	M13	RNA_delta_8cell_to_morula_M13	RNA	-0.1412307692307692	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.2181990692260045	DAPL1,IL1R2	7	-0.0193467288145157	0.0463898469783355	-0.0478061524370573	0.0693667213390611	0.4282442670836051	0.0042214382198952	-0.0101222214322095	0.0104312579650423	-0.2181990692260045	1.0	0.004221438219895246	-0.010122221432209583	0.010431257965042389
RNA_unit_beta	M13	RNA_delta_morula_to_blastocyst_M13	RNA	0.0	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.1958773853345393	DAPL1,IL1R2	7	-0.0193467288145157	0.0463898469783355	-0.0478061524370573	0.0693667213390611	0.4282442670836051	0.0037895866549637	-0.0090867219321857	0.0093641441422752	-0.1958773853345393	1.0	0.0037895866549637262	-0.009086721932185737	0.009364144142275198
RNA_unit_beta	M14	RNA_delta_8cell_to_morula_M14	RNA	-1.4311153846153846	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.4220668014340834	C16orf13,CYBA,HAND2,HMHA1	5	-0.0039174201224136	0.0153751559921976	-0.0150992284493165	0.0219027007915588	0.1333504329492505	0.0016534129809406	-0.0064893429111769	0.0063728830557255	-0.4220668014340834	1.0	0.0016534129809406236	-0.0064893429111769225	0.00637288305572553
RNA_unit_beta	M14	RNA_delta_morula_to_blastocyst_M14	RNA	2.877096153846153	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	0.2588509378297041	C16orf13,CYBA,HAND2,HMHA1	5	-0.0039174201224136	0.0153751559921976	-0.0150992284493165	0.0219027007915588	0.1333504329492505	-0.0010140278725597	0.0039798735478583	-0.0039084494446105	0.2588509378297041	1.0	-0.0010140278725597144	0.003979873547858343	-0.003908449444610524
RNA_unit_beta	M15	RNA_delta_8cell_to_morula_M15	RNA	0.0352647058823529	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.1903037584151451	IFLTD1,MIR568	3	-0.0059302035659389	-0.020474215795891	-0.0283206811703073	0.0354460408048683	0.0556550758103894	0.001128540026765	0.0038963202165607	0.0053895320675865	-0.1903037584151451	1.0	0.0011285400267650684	0.0038963202165607884	0.005389532067586509
RNA_unit_beta	M15	RNA_delta_morula_to_blastocyst_M15	RNA	0.1672993966817496	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.1694355251910116	IFLTD1,MIR568	3	-0.0059302035659389	-0.020474215795891	-0.0283206811703073	0.0354460408048683	0.0556550758103894	0.0010047871556844	0.0034690595062508	0.0047985294878582	-0.1694355251910116	1.0	0.0010047871556844673	0.003469059506250897	0.004798529487858211
RNA_ridge_beta_diagnostic	M00	RNA_delta_8cell_to_morula_M00	RNA	-0.3720143973673385	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.2546746844382426	ABLIM1,DSCAML1,FOXD2,GREM2,HMGCS2,HOXD9,INPP5J,KDELC2,NKX6-2,SGIP1,SMTNL2	16	-0.0081985191332342	0.057452217932008	-0.0699484369421926	0.090888706074742	0.5428994746098068	0.0020879552731173	-0.0146316254721112	0.0178140961052012	-0.2546746844382426	-0.13578439679337306	-0.000283511747291777	0.0019867464388371825	-0.0024188762940639233
RNA_ridge_beta_diagnostic	M00	RNA_delta_morula_to_blastocyst_M00	RNA	9.34212141156526	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	1.2806555413105694	ABLIM1,DSCAML1,FOXD2,GREM2,HMGCS2,HOXD9,INPP5J,KDELC2,NKX6-2,SGIP1,SMTNL2	16	-0.0081985191332342	0.057452217932008	-0.0699484369421926	0.090888706074742	0.5428994746098068	-0.0104994789585171	0.0735765012552085	-0.0895798533760319	1.2806555413105694	0.6828045769862565	-0.007169092288846372	0.05023837181569142	-0.061165533890912345
RNA_ridge_beta_diagnostic	M01	RNA_delta_8cell_to_morula_M01	RNA	-0.0619343891402715	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.2056661860606841	ASB5,ASPHD2,CIT,FGL2,FSHR,KIAA1522,LYL1,MIR647,PDLIM3,SLCO1C1,SMOC2,SNORD46	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955	0.0641153679199759	0.0130958372312104	0.0574882959104112	-0.2056661860606841	-1.7698489524258103	-0.11347451674756479	-0.02317765380479672	-0.10174560029378636
RNA_ridge_beta_diagnostic	M01	RNA_delta_morula_to_blastocyst_M01	RNA	-0.1834579740520917	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.2248731270306571	ASB5,ASPHD2,CIT,FGL2,FSHR,KIAA1522,LYL1,MIR647,PDLIM3,SLCO1C1,SMOC2,SNORD46	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955	0.0701030322535952	0.014318843197675	0.0628570652116021	-0.2248731270306571	-1.9351332172148703	-0.13565870634141763	-0.027708869103912147	-0.12163679482761253
RNA_ridge_beta_diagnostic	M02	RNA_delta_8cell_to_morula_M02	RNA	-8.20802488687783	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-1.4931650648967143	CDKN1C,CHAT,COL13A1,FGF5,FGFR3,GDF11,HOXA11,HOXB5,KCNH4,KRT19,KRT25,MAN2A2,MFSD7,NEUROD2,NUDT13,PCDHGA1,PYY2,RFPL2,SDHD,SELV,SLC9A3R2,TRIM17,TSC22D4,ZIC1	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268	-0.0462642131665746	-0.299698457953141	0.2776261615936691	-1.4931650648967143	-0.6223054081480065	0.028790470057271617	0.18650397119785755	-0.17276826180311267
RNA_ridge_beta_diagnostic	M02	RNA_delta_morula_to_blastocyst_M02	RNA	5.805451414779356	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	0.7216808212360101	CDKN1C,CHAT,COL13A1,FGF5,FGFR3,GDF11,HOXA11,HOXB5,KCNH4,KRT19,KRT25,MAN2A2,MFSD7,NEUROD2,NUDT13,PCDHGA1,PYY2,RFPL2,SDHD,SELV,SLC9A3R2,TRIM17,TSC22D4,ZIC1	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268	0.0223605521832919	0.1448511181674007	-0.1341830725924327	0.7216808212360101	0.30077443450157454	0.006725482438072572	0.04356751315372071	-0.040358837778672677
RNA_ridge_beta_diagnostic	M03	RNA_delta_8cell_to_morula_M03	RNA	-0.1983846153846153	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.2272322996897074	LRFN1	5	-0.0004019823407494	-0.035387958443813	-0.0705802778346977	0.0789559675505685	0.1684932521077122	9.134337172313775e-05	0.0080412871785114	0.0160381188451168	-0.2272322996897074	-0.7737248905290216	-7.067464028703648e-05	-0.0062217440419061795	-0.012409091747729464
RNA_ridge_beta_diagnostic	M03	RNA_delta_morula_to_blastocyst_M03	RNA	0.7971025641025642	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.0698944174452917	LRFN1	5	-0.0004019823407494	-0.035387958443813	-0.0705802778346977	0.0789559675505685	0.1684932521077122	2.809632152997406e-05	0.0024734207400085	0.004933167402383	-0.0698944174452917	-0.23799015615427302	-6.686647948279189e-06	-0.0005886497881498408	-0.0011740452804283067
RNA_ridge_beta_diagnostic	M04	RNA_delta_8cell_to_morula_M04	RNA	-5.599476244343892	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-1.0808809816810343	ALX4,BBC3,CTXN3,DSC1,IGF1,OR2H2,PNPLA1,SLC3A1	10	-0.0176945819967978	0.0011726581924131	-0.0268486449009252	0.032176436911094	0.158611941316062	0.0191257371591343	-0.0012675039381917	0.0290201896573175	-1.0808809816810343	-0.7673587260655533	-0.01467630130149796	0.0009726302072939152	-0.022268895765619922
RNA_ridge_beta_diagnostic	M04	RNA_delta_morula_to_blastocyst_M04	RNA	-0.3977458387531911	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.2587415680487698	ALX4,BBC3,CTXN3,DSC1,IGF1,OR2H2,PNPLA1,SLC3A1	10	-0.0176945819967978	0.0011726581924131	-0.0268486449009252	0.032176436911094	0.158611941316062	0.0045783238918189	-0.0003034154194902	0.0069468604816499	-0.2587415680487698	-0.1836905296726698	-0.0008409947407012701	5.573453911701041e-05	-0.0012760724814364255
