feature_set	alpha	control_modality	leakage_status	PC1_control	PC2_control	PC3_control	control_norm	base_direction_cosine_to_measured_correction	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
ATAC_8cell_2pn_chromatin_only	0.0	ATAC	methylation_non_leaking_ATAC_overlap	0.0	0.0	0.0	0.0	-0.710479004427551		-0.0	1.1978195174977648	0.9341820819670775	1.0712705897740062	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.05	ATAC	methylation_non_leaking_ATAC_overlap	0.0007110098518609304	0.018560815652708625	0.02083657405859591	0.027913656714995776	-0.710479004427551	-0.710479004427551	-0.010866479082013153	1.2093227466179373	0.9415875628035036	0.9865084215464046	0.8487798699346262	0.24533406309805397	0.624512117197493	0.24585832274694697	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.28888888888888886	0.875	0.875	2.182764801160191	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.1	ATAC	methylation_non_leaking_ATAC_overlap	0.0014220197037218608	0.03712163130541725	0.04167314811719182	0.05582731342999155	-0.710479004427551	-0.710479004427551	-0.021732958164026307	1.2209303266897171	0.9488770106504978	1.0827179725999985	0.8487798699346262	0.24545180721097776	0.6239949318494096	0.2459759268014749	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.2222222222222222	0.875	0.875	2.2023274038044325	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.15	ATAC	methylation_non_leaking_ATAC_overlap	0.002133029555582791	0.05568244695812587	0.06250972217578772	0.08374097014498733	-0.710479004427551	-0.7104790044275509	-0.032599437246039455	1.232639309744705	0.9560477359603452	1.0997676101795246	0.8487798699346262	0.24557158399881812	0.6234697829606051	0.2460955641673174	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.2	0.875	0.875	2.222060909691194	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.2	ATAC	methylation_non_leaking_ATAC_overlap	0.0028440394074437216	0.0742432626108345	0.08334629623438364	0.1116546268599831	-0.710479004427551	-0.710479004427551	-0.04346591632805261	1.2444468334883905	0.963097915118954	1.1658736479060168	0.8487798699346262	0.24569340971042197	0.6229365737590241	0.2462172319406754	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.2	0.875	0.875	2.241961006759399	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.25	ATAC	methylation_non_leaking_ATAC_overlap	0.0035550492593046518	0.09280407826354312	0.10418287029297954	0.13956828357497886	-0.710479004427551	-0.710479004427551	-0.054332395410065765	1.2563501195864133	0.9700241646506037	1.0444684562904198	0.8487798699346262	0.24581737159448724	0.6223948582343087	0.24634093023088413	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.17777777777777778	0.875	0.875	2.262023495393198	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.3	ATAC	methylation_non_leaking_ATAC_overlap	0.004266059111165582	0.11136489391625173	0.12501944435157544	0.16748194028997465	-0.710479004427551	-0.7104790044275509	-0.06519887449207891	1.2683464718855193	0.9768267586288264	1.1098532043099776	0.8487798699346262	0.2459433667466805	0.6218451442639915	0.2464666577370807	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.15555555555555556	0.875	0.875	2.2822442861289893	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.35	ATAC	methylation_non_leaking_ATAC_overlap	0.004977068963026512	0.12992570956896035	0.14585601841017135	0.1953955970049704	-0.710479004427551	-0.710479004427551	-0.07606535357409207	1.280433274582564	0.9835166736126371	1.210662641848725	0.8487798699346262	0.2460713920437383	0.6212874342232231	0.2465944113554446	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.1111111111111111	0.875	0.875	2.302619397345254	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.4	ATAC	methylation_non_leaking_ATAC_overlap	0.005688078814887443	0.148486525221669	0.16669259246876728	0.2233092537199662	-0.710479004427551	-0.710479004427551	-0.08693183265610523	1.2926079903536674	0.9900727044426557	1.1229763073171157	0.8487798699346262	0.24620144431862112	0.6207217313713225	0.24672418793861736	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.08888888888888889	0.875	0.875	2.3231449529418065	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.45	ATAC	methylation_non_leaking_ATAC_overlap	0.006399088666748373	0.16704734087437761	0.18752916652736318	0.251222910434962	-0.710479004427551	-0.710479004427551	-0.09779831173811837	1.3048681584544088	0.996592421258689	1.202162276265715	0.8487798699346262	0.24633352036088807	0.620148039854394	0.2468559842960732	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.08888888888888889	0.875	0.875	2.3438171800144594	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.5	ATAC	methylation_non_leaking_ATAC_overlap	0.0071100985186093035	0.18560815652708623	0.20836574058595908	0.2791365671499577	-0.710479004427551	-0.710479004427551	-0.10866479082013153	1.3172113928008629	1.002910948352269	1.2087298615744995	0.8487798699346262	0.24646761691707492	0.6195663647076851	0.2469897971944936	1.5666635350021403	1.9104332695957345	0.0	0.08888888888888889	0.875	0.875	2.364632406530559	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.55	ATAC	methylation_non_leaking_ATAC_overlap	0.007821108370470235	0.20416897217979488	0.229202314644555	0.30705022386495356	-0.710479004427551	-0.7104790044275509	-0.11953126990214469	1.3296353800402252	1.0091049068985893	1.1780288770795586	0.8487798699346262	0.24660373069107638	0.6189767118576752	0.24712562335814559	1.5666635350021403	1.9104332695957345	0.0	0.06666666666666667	0.875	0.875	2.3855870590103407	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.6	ATAC	methylation_non_leaking_ATAC_overlap	0.008532118222331164	0.22272978783250347	0.2500388887031509	0.3349638805799493	-0.710479004427551	-0.7104790044275509	-0.13039774898415782	1.3421378776188282	1.0151745477960936	1.1652215081735944	0.8487798699346262	0.24674185834453158	0.6183790881239027	0.2472634594692632	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.4066776602185773	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.65	ATAC	methylation_non_leaking_ATAC_overlap	0.009243128074192095	0.2412906034852121	0.2708754627617468	0.36287753729494504	-0.710479004427551	-0.710479004427551	-0.14126422806617098	1.3547167118544625	1.021120248767468	1.1602812422172317	0.8487798699346262	0.24688199649721287	0.6177735012205215	0.2474033021684329	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.427900826870584	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.7	ATAC	methylation_non_leaking_ATAC_overlap	0.009954137926053024	0.2598514191379207	0.2917120368203427	0.3907911940099408	-0.710479004427551	-0.710479004427551	-0.15213070714818414	1.36736977601909	1.0273649852997517	1.2336138059397517	0.8487798699346262	0.24702414172741854	0.6171599597575879	0.2475451480549818	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.449253267356206	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.75	ATAC	methylation_non_leaking_ATAC_overlap	0.010665147777913955	0.2784122347906294	0.3125486108789386	0.41870485072493663	-0.710479004427551	-0.7104790044275507	-0.16299718623019727	1.3800950284373033	1.0335644944801112	1.1989558485892995	0.8487798699346262	0.24716829057236833	0.6165384732420741	0.24768899368736952	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.4707317794850847	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.8	ATAC	methylation_non_leaking_ATAC_overlap	0.011376157629774886	0.296973050443338	0.33338518493753455	0.4466185074399324	-0.710479004427551	-0.710479004427551	-0.17386366531221045	1.3928904906051878	1.0394405801279167	1.1842646801093188	0.8487798699346262	0.2473144395286022	0.6159090520786121	0.24783483558358319	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.4923332482561356	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.85	ATAC	methylation_non_leaking_ATAC_overlap	0.012087167481635816	0.3155338660960466	0.35422175899613045	0.4745321641549282	-0.710479004427551	-0.710479004427551	-0.1847301443942236	1.4057542453336198	1.0449811436693515	1.2926445273247873	0.8487798699346262	0.24746258505238233	0.6152717075699571	0.2479826702215351	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.514054643653856	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.9	ATAC	methylation_non_leaking_ATAC_overlap	0.012798177333496747	0.33409468174875523	0.37505833305472636	0.502445820869924	-0.710479004427551	-0.710479004427551	-0.19559662347623674	1.418684434919466	1.0504005484535397	1.3249529339734658	0.8487798699346262	0.24761272356009795	0.6146264519171795	0.24813249403946383	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.5358930184737813	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	0.95	ATAC	methylation_non_leaking_ATAC_overlap	0.013509187185357676	0.35265549740146385	0.39589490711332226	0.5303594775849197	-0.710479004427551	-0.7104790044275509	-0.2064631025582499	1.4316792593476269	1.0556997056809714	1.2415495160366796	0.8487798699346262	0.247764851428673	0.6139732982195777	0.24828430343633784	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.5578455061791656	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	1.0	ATAC	methylation_non_leaking_ATAC_overlap	0.014220197037218607	0.37121631305417246	0.41673148117191816	0.5582731342999154	-0.710479004427551	-0.710479004427551	-0.21732958164026306	1.4447369745264047	1.060879604558885	1.1714826317654186	0.8487798699346262	0.2479189649959767	0.6133122604743125	0.24843809477226195	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.5799093187906554	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	1.05	ATAC	methylation_non_leaking_ATAC_overlap	0.014931206889079538	0.3897771287068811	0.43756805523051406	0.5861867910149112	-0.710479004427551	-0.710479004427551	-0.2281960607222762	1.4578558905582488	1.066158499894488	1.296940630942729	0.8487798699346262	0.24807506056123668	0.6126433535757636	0.24859386436888647	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.602081744810549	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	1.1	ATAC	methylation_non_leaking_ATAC_overlap	0.01564221674094047	0.40833794435958976	0.45840462928911	0.6141004477299071	-0.710479004427551	-0.7104790044275509	-0.23906253980428938	1.4710343700475508	1.0712769185589794	1.3132596906866212	0.8487798699346262	0.24823313438545458	0.6119665933146067	0.24875160850981895	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.624360147182972	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	1.15	ATAC	methylation_non_leaking_ATAC_overlap	0.016353226592801397	0.4268987600122983	0.47924120334770587	0.6420141044449028	-0.710479004427551	-0.7104790044275509	-0.2499290188863025	1.4842708264468245	1.0761242893233385	1.4094448860847266	0.8487798699346262	0.2483931826918244	0.6112819963766093	0.24891132344103822	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.6467419612911276	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	1.2	ATAC	methylation_non_leaking_ATAC_overlap	0.017064236444662328	0.44545957566500693	0.5000777774063018	0.6699277611598986	-0.710479004427551	-0.7104790044275509	-0.26079549796831564	1.4975637224422942	1.0808567814449057	1.3042437364263197	0.8487798699346263	0.2485550123865028	0.6105903053645502	0.24907279070596264	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.669224692992571	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	1.25	ATAC	methylation_non_leaking_ATAC_overlap	0.01777524629652326	0.46402039131771555	0.5209143514648977	0.6978414178748944	-0.710479004427551	-0.7104790044275509	-0.27166197705032885	1.5109115683796441	1.085475675708496	1.241161789768847	0.8487798699346262	0.24871873205357203	0.6098911096971722	0.2492361347517513	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.691805916693296	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	1.3	ATAC	methylation_non_leaking_ATAC_overlap	0.01848625614838419	0.4825812069704242	0.5417509255234936	0.7257550745898901	-0.710479004427551	-0.710479004427551	-0.28252845613234195	1.5243129207304469	1.0899822980431495	1.3505407346353118	0.8487798699346262	0.24888441359441124	0.6091841386587962	0.2494014377931314	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7144832734612727	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	1.35	ATAC	methylation_non_leaking_ATAC_overlap	0.01919726600024512	0.5011420226231329	0.5625874995820895	0.7536687313048859	-0.710479004427551	-0.7104790044275509	-0.2933949352143551	1.53776638059956	1.0943780149441786	1.3004648541789938	0.8487798699346262	0.24905205309361886	0.6084694124171501	0.24956869593745215	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.737254469179896	1.0224014859114376
ATAC_8cell_2pn_chromatin_only	1.4	ATAC	methylation_non_leaking_ATAC_overlap	0.01990827585210605	0.5197028382758414	0.5834240736406854	0.7815823880198816	-0.710479004427551	-0.710479004427551	-0.30426141429636827	1.5512705922736019	1.0986642291870683	1.3101037050268454	0.8487798699346262	0.24922164660011964	0.6077469520234633	0.24973790525651265	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.760117272741709	1.0224014859114376
