stage	tau	cluster_name	mean_beta
MII oocyte	0.0	cluster_5928	0.013888888888888888
MII oocyte	0.0	cluster_5966	0.018518518518518517
MII oocyte	0.0	cluster_5977	0.04592592592592592
MII oocyte	0.0	cluster_6020	0.0591588014025233
MII oocyte	0.0	cluster_6087	0.9722222222222222
MII oocyte	0.0	cluster_6114	0.9667357656163625
MII oocyte	0.0	cluster_6143	0.027777777777777776
MII oocyte	0.0	cluster_6163	0.05769230769230768
MII oocyte	0.0	cluster_6171	0.05650630233963568
MII oocyte	0.0	cluster_6262	0.9166666666666666
MII oocyte	0.0	cluster_6275	0.03305408583186361
MII oocyte	0.0	cluster_6400	0.07389613590769081
MII oocyte	0.0	cluster_6406	0.1875
MII oocyte	0.0	cluster_6410	0.10184317563440501
MII oocyte	0.0	cluster_6442	0.0
MII oocyte	0.0	cluster_6495	0.06415343915343914
MII oocyte	0.0	cluster_6498	0.5
MII oocyte	0.0	cluster_6518	0.0025252525252525255
MII oocyte	0.0	cluster_6532	0.2395282186948854
MII oocyte	0.0	cluster_6604	0.9950980392156864
MII oocyte	0.0	cluster_6651	1.0
MII oocyte	0.0	cluster_6655	0.946388888888889
MII oocyte	0.0	cluster_6871	0.011893704850361196
MII oocyte	0.0	cluster_6892	0.027777777777777776
MII oocyte	0.0	cluster_6960	0.9532407407407406
MII oocyte	0.0	cluster_6975	0.9722222222222222
MII oocyte	0.0	cluster_7000	0.034722222222222224
MII oocyte	0.0	cluster_7042	0.05092592592592592
MII oocyte	0.0	cluster_7052	0.05555555555555555
MII oocyte	0.0	cluster_7072	0.9547720797720799
MII oocyte	0.0	cluster_7095	0.042236467236467234
MII oocyte	0.0	cluster_7341	0.9722222222222222
MII oocyte	0.0	cluster_7425	0.9722222222222222
MII oocyte	0.0	cluster_7504	0.10015593458575915
MII oocyte	0.0	cluster_7612	0.07209126673442368
MII oocyte	0.0	cluster_7683	0.08425374779541446
zygote/PN	0.16666666666666666	cluster_23	0.08227289227902634
zygote/PN	0.16666666666666666	cluster_67	0.0
zygote/PN	0.16666666666666666	cluster_123	0.048919106417849294
zygote/PN	0.16666666666666666	cluster_125	0.3998737373737374
zygote/PN	0.16666666666666666	cluster_126	0.14784246991614408
zygote/PN	0.16666666666666666	cluster_242	0.1246031746031746
zygote/PN	0.16666666666666666	cluster_293	0.06666666666666667
zygote/PN	0.16666666666666666	cluster_315	0.09761904761904763
zygote/PN	0.16666666666666666	cluster_386	0.06666666666666667
zygote/PN	0.16666666666666666	cluster_483	0.23560606060606062
zygote/PN	0.16666666666666666	cluster_543	0.4222222222222222
zygote/PN	0.16666666666666666	cluster_587	0.638888888888889
zygote/PN	0.16666666666666666	cluster_618	0.0
zygote/PN	0.16666666666666666	cluster_634	0.04126984126984127
zygote/PN	0.16666666666666666	cluster_643	0.06784188034188034
zygote/PN	0.16666666666666666	cluster_652	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_832	0.40914141414141425
zygote/PN	0.16666666666666666	cluster_840	0.03333333333333333
