control_model	direction_cosine_to_measured_correction	PC1_control	PC2_control	PC3_control	PC3_negative_pull_recovered	control_norm	validation_status	n_features	beta_mode	feature_modality	random_iter	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
random_shuffled_feature_unit_beta	0.46557259031840525	-0.37491267944050205	-0.5160107755221213	-0.16847016797835632	0.08785885583358768	0.6597035964422608	random_feature_value_control	5	unit	all_shuffled	0	1.074722745638654	0.8340570606504796	0.9607356281994764	0.8487798699346262	0.24418389082179703	0.6325325165258189	0.24470287895561346	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9574162689999586	1.0224014859114376
random_shuffled_feature_unit_beta	0.6706003969339474	-0.17759569153296922	-0.30832226463117696	-0.2278039117970322	0.11880198901133694	0.42248961022538895	random_feature_value_control	5	unit	all_shuffled	1	1.0499533504618104	0.8209663036155823	0.960273851889285	0.8487798699346262	0.24391035519762477	0.6317561952033655	0.24443231783267458	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9167938814409837	1.0224014859114376
random_shuffled_feature_unit_beta	0.8984070703937513	0.0033226079930060055	0.04694033111997129	-0.23856372712697557	0.12441333893289085	0.24316061833743102	random_feature_value_control	5	unit	all_shuffled	2	1.073465162949229	0.850657532313539	0.8505809314053843	0.8487798699346262	0.24395826426418138	0.6296714351373989	0.24448340824394396	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4888888888888889	0.875	0.875	1.9573603810809834	1.0224014859114376
random_shuffled_feature_unit_beta	0.529872186432774	-0.22047651939302734	-0.19216237272514808	-0.07934413193133938	0.04137874813238327	0.30303756263367826	random_feature_value_control	5	unit	all_shuffled	3	1.1150302791993594	0.8762655486641289	0.9069524065936203	0.8487798699346262	0.2445361849975802	0.6291008641703587	0.2450600617648954	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.027568797556024	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5755123819347914	-0.02838082914510484	0.6918770958266652	0.5502386961463515	-0.28695491230823916	0.8844557704765914	random_feature_value_control	5	unit	all_shuffled	4	1.5490501008614666	1.0954016012203531	1.345024411397855	0.8487798699346262	0.24909675488136904	0.6078661478158405	0.24961302819099931	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7573434261785827	1.0224014859114376
random_shuffled_feature_unit_beta	0.4938843758504639	-0.27222064366058135	-0.6273637417316396	-0.26933460463264103	0.14046065533961855	0.7350037227981404	random_feature_value_control	5	unit	all_shuffled	5	1.0548769349930849	0.8057997063315798	0.8520935596888796	0.8487798699346263	0.24391948779053887	0.6335099164632034	0.2444339927362166	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.5111111111111111	0.875	0.875	1.9191059160176118	1.0224014859114376
random_shuffled_feature_unit_beta	0.911997939059074	-6.401854121770162e-05	0.03552183834853804	-0.2400501104030494	0.12518850248578053	0.24266409005567655	random_feature_value_control	5	unit	all_shuffled	6	1.07158876264607	0.8489606620530704	0.9880736154172055	0.8487798699346262	0.24394755813553623	0.6297578164189238	0.24447259254154008	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4888888888888889	0.875	0.875	1.9541917854016781	1.0224014859114376
random_shuffled_feature_unit_beta	-0.4692659088501133	0.48630257960727685	0.10479312498508572	0.05136093101994452	-0.026785232591089232	0.5001097311711372	random_feature_value_control	5	unit	all_shuffled	7	1.357475204514453	1.0246461910302553	1.2022325466057797	0.8487798699346262	0.24669957732324338	0.6181827735257245	0.2472212676548319	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.08888888888888889	0.875	0.875	2.424536128702187	1.0224014859114376
random_shuffled_feature_unit_beta	0.6847783205833747	-0.18985714629192021	-0.3093076970276665	-0.23756108219735805	0.12389044970341694	0.43376520747225705	random_feature_value_control	5	unit	all_shuffled	8	1.0424278745347744	0.8150314910544232	0.9626264894596225	0.8487798699346262	0.2438502134661137	0.6320356491181152	0.24437206014142204	1.5666635350021403	1.9104332695957345	0.24444444444444444	0.4666666666666667	0.875	0.875	1.904652224135701	1.0224014859114376
random_shuffled_feature_unit_beta	0.3654562613003727	-0.2903796151705104	-0.48184329699457795	-0.09740638491622229	0.050798391384786826	0.5709477100292337	random_feature_value_control	5	unit	all_shuffled	9	1.1201939882602283	0.8698499041308739	0.9838616079915684	0.8487798699346262	0.24456171008287547	0.6305509475877589	0.24508225910793577	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.37777777777777777	0.875	0.875	2.031796555146034	1.0224014859114376
random_shuffled_feature_unit_beta	-0.4997212357827628	0.4986103313257104	0.17660751814114203	0.08037666470868592	-0.041917224169517625	0.53503540649045	random_feature_value_control	5	unit	all_shuffled	10	1.3784034654199597	1.0353087549217515	1.044120682494491	0.8487798699346262	0.24691364568820504	0.6171760615160463	0.24743488467965777	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.06666666666666667	0.875	0.875	2.4603111110464613	1.0224014859114376
random_shuffled_feature_unit_beta	0.6758901232217529	-0.26488600336906626	-0.20218442492942218	-0.15625524602398277	0.08148865344175708	0.36804733170462395	random_feature_value_control	5	unit	all_shuffled	11	1.0657671031224683	0.8400511802622337	0.9278694905237334	0.8487798699346262	0.24410491496559694	0.6309572536985759	0.2446283841260088	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4666666666666667	0.875	0.875	1.9470748602232426	1.0224014859114376
random_shuffled_feature_unit_beta	-0.574553306229567	0.42451783197171994	0.06964476410916096	0.09781497541119559	-0.05101147536175208	0.44117292782364026	random_feature_value_control	5	unit	all_shuffled	12	1.3602351927784906	1.025395402272752	1.1271330710616612	0.8487798699346262	0.24677881421129733	0.61801256832538	0.24730033738943644	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.06666666666666667	0.875	0.875	2.429726091300074	1.0224014859114376
random_shuffled_feature_unit_beta	-0.21390875013533042	0.4627359976118799	-0.05219720965630017	-0.08068076806024274	0.04207581706963496	0.4726082294211096	random_feature_value_control	5	unit	all_shuffled	13	1.2841539221125409	0.9831337684798912	1.0240777393141103	0.8487798699346262	0.24591239590893968	0.6216390777676412	0.24643486125739128	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.17777777777777778	0.875	0.875	2.299603340063192	1.0224014859114376
random_shuffled_feature_unit_beta	0.5110030295556957	-0.2770279863695228	-0.6228678797378994	-0.2826925836729336	0.1474269732866626	0.7379864481850716	random_feature_value_control	5	unit	all_shuffled	14	1.0462881510299002	0.7987619212062955	0.8716977265430532	0.8487798699346262	0.24385025020824155	0.633767059223351	0.244364534498572	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.5111111111111111	0.875	0.875	1.9050867897506596	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5928960113564982	-0.040833261352581765	0.6302406465237814	0.5379009470230631	-0.2805206543352001	0.8295830618881453	random_feature_value_control	5	unit	all_shuffled	15	1.5311669491268618	1.0901436478598798	1.2975593058448402	0.8487798699346262	0.24891300676734252	0.6087679638653788	0.24942971747316217	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7271733928062165	1.0224014859114376
random_shuffled_feature_unit_beta	0.45048905098872605	0.16022801345233204	0.132958636239722	-0.21401136306793256	0.11160903868126201	0.29858311869193455	random_feature_value_control	5	unit	all_shuffled	16	1.1306844004043952	0.8920819574976251	1.1379175851586762	0.8487798699346263	0.24437353811394866	0.627449951301586	0.2448987320584851	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.37777777777777777	0.875	0.875	2.049836523475634	1.0224014859114376
random_shuffled_feature_unit_beta	0.7664752522282772	0.10277269772774644	-0.08600907171415273	-0.3575925316227871	0.18648803559720073	0.3818798325229587	random_feature_value_control	5	unit	all_shuffled	17	1.0385279405014232	0.8176203786261568	0.8610935050723112	0.8487798699346262	0.24361414555352479	0.6311207275326439	0.2441371826808894	1.5666635350021403	1.9104332695957345	0.2	0.4888888888888889	0.875	0.875	1.8952460181615967	1.0224014859114376
random_shuffled_feature_unit_beta	0.46557259031840525	-0.37491267944050205	-0.5160107755221213	-0.16847016797835632	0.08785885583358768	0.6597035964422608	random_feature_value_control	5	unit	all_shuffled	18	1.074722745638654	0.8340570606504796	1.0169206794319525	0.8487798699346262	0.24418389082179703	0.6325325165258189	0.24470287895561346	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9574162689999586	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5970506861704722	-0.05102582492862799	0.6155262735407455	0.5402998550372871	-0.28177170854799594	0.8206096280095165	random_feature_value_control	5	unit	all_shuffled	19	1.5286900230769929	1.0894430521824885	1.3211109356301414	0.8487798699346262	0.24889693470629734	0.6088855977606215	0.24941365571686916	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7230750104152515	1.0224014859114376
random_shuffled_feature_unit_beta	0.4536478585181699	-0.37167073339532175	-0.49441433889751546	-0.15030580013682948	0.07838595867530866	0.6365347642704647	random_feature_value_control	5	unit	all_shuffled	20	1.0818670152883745	0.8410654710480319	0.9473159858059983	0.8487798699346262	0.24425283754857893	0.6321592747261673	0.2447724376515229	1.5666635350021403	1.9104332695957345	0.2	0.4222222222222222	0.875	0.875	1.9697103261424727	1.0224014859114376
random_shuffled_feature_unit_beta	-0.4317676239291538	0.4789066578948329	0.06666644891291557	0.02741078326798621	-0.01429499408902539	0.4843008914156791	random_feature_value_control	5	unit	all_shuffled	21	1.342450209565883	1.016623691764114	1.0375371138065366	0.8487798699346262	0.24653945534468846	0.6189007493349263	0.24706146865106385	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.08888888888888889	0.875	0.875	2.3989283105978414	1.0224014859114376
random_shuffled_feature_unit_beta	-0.21776270744853973	0.442676803481649	-0.07587568062790064	-0.07411324430522317	0.038650788593079646	0.45520615575025275	random_feature_value_control	5	unit	all_shuffled	22	1.2809946104500847	0.9808353032911961	1.0977715317687582	0.8487798699346262	0.2458932396265752	0.6217997619639795	0.24641570053808087	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.15555555555555556	0.875	0.875	2.294300957219719	1.0224014859114376
random_shuffled_feature_unit_beta	0.5086519112985266	-0.21449612182181035	-0.16133285750773618	-0.05997786346407008	0.03127904793193614	0.27501676547789417	random_feature_value_control	5	unit	all_shuffled	23	1.1253892604048132	0.8844579868425083	0.9641568717666404	0.8487798699346262	0.24463157762550994	0.628591663109308	0.2451558372116344	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.04509653397551	1.0224014859114376
random_shuffled_feature_unit_beta	-0.6138336468968625	-0.018657102637714404	0.6320229069208498	0.5555478383307748	-0.28972368237227325	0.8416854774947183	random_feature_value_control	5	unit	all_shuffled	24	1.5445107825984132	1.0947756121867485	1.2750756227542712	0.8487798699346262	0.24907821370168007	0.6080753783228741	0.24959463397656367	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.749454016910759	1.0224014859114376
random_shuffled_feature_unit_beta	-0.6026981563455024	-0.10247332849909538	0.5849143417946842	0.5676770068488611	-0.2960491635004736	0.8215124797565001	random_feature_value_control	5	unit	all_shuffled	25	1.5311923155862517	1.0905219375895154	1.3826894862783004	0.8487798699346262	0.24898109318388614	0.6087204934902554	0.24949742645957948	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7277976893500977	1.0224014859114376
random_shuffled_feature_unit_beta	0.4536478585181699	-0.37167073339532175	-0.49441433889751546	-0.15030580013682948	0.07838595867530866	0.6365347642704647	random_feature_value_control	5	unit	all_shuffled	26	1.0818670152883745	0.8410654710480319	0.9040161201726606	0.8487798699346262	0.24425283754857893	0.6321592747261673	0.2447724376515229	1.5666635350021403	1.9104332695957345	0.2	0.4222222222222222	0.875	0.875	1.9697103261424727	1.0224014859114376
random_shuffled_feature_unit_beta	0.807325712710586	-0.10880613738034582	-0.08863248480386217	-0.10845132220737258	0.05655843522399555	0.17735890781876418	random_feature_value_control	5	unit	all_shuffled	27	1.116786730258491	0.8788553625558186	0.9135710375647572	0.8487798699346262	0.24448421705866058	0.6284845409051633	0.24500888303435095	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.029718052410945	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5738383004967428	0.42790445850594355	0.08106325688059424	0.09930135868726941	-0.051786638914641775	0.4466925531755502	random_feature_value_control	5	unit	all_shuffled	28	1.3622840792383168	1.02650706458548	1.1916992897908445	0.8487798699346262	0.24679780100518817	0.6179057196189593	0.2473192841458012	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.06666666666666667	0.875	0.875	2.433242034973235	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5755123819347914	-0.02838082914510484	0.6918770958266652	0.5502386961463515	-0.28695491230823916	0.8844557704765914	random_feature_value_control	5	unit	all_shuffled	29	1.5490501008614666	1.0954016012203531	1.2506245657929753	0.8487798699346262	0.24909675488136904	0.6078661478158405	0.24961302819099931	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7573434261785827	1.0224014859114376
random_shuffled_feature_unit_beta	-0.6050730422699122	-0.10521178002513208	0.575681263201878	0.5664751062231186	-0.29542236045830544	0.8144768145430906	random_feature_value_control	5	unit	all_shuffled	30	1.528896183476072	1.0898481872776893	1.3844270947179542	0.8487798699346262	0.24895820314643055	0.6088422912434402	0.24947458627823108	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7239316155809528	1.0224014859114376
random_shuffled_feature_unit_beta	0.5640974773282963	0.12137928714145738	0.11891639764248645	-0.223604347344551	0.11661187468889023	0.28084327502473144	random_feature_value_control	5	unit	all_shuffled	31	1.1144254716270412	0.8806151221281631	0.9863812625594286	0.8487798699346262	0.24424378068456357	0.6280682399070776	0.24476908384154458	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4222222222222222	0.875	0.875	2.023463534333054	1.0224014859114376
random_shuffled_feature_unit_beta	-0.538105284812132	-0.16228453641895793	0.5801074160981736	0.5200816636374531	-0.2712277221275508	0.7958302719956791	random_feature_value_control	5	unit	all_shuffled	32	1.4960601770682915	1.077778015184082	1.3038903661168189	0.8487798699346262	0.24855595660795443	0.6105401715575637	0.24907293741583544	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.6692651838494474	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5342321717588587	-0.14222534228872694	0.6037858870697741	0.5135141398824334	-0.26780269365099546	0.8052839358095845	random_feature_value_control	5	unit	all_shuffled	33	1.4986539485393795	1.0784507557246594	1.3786071381871465	0.8487798699346262	0.2485616425698947	0.6104102519073117	0.24907873087250157	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.6734567476567155	1.0224014859114376
random_shuffled_feature_unit_beta	0.7390290726617443	0.12014151373367234	-0.0797309493233442	-0.3533036193553678	0.18425132550717155	0.38159462136123257	random_feature_value_control	5	unit	all_shuffled	34	1.0455888009390277	0.8232771113044133	0.9792727194652762	0.8487798699346262	0.2436663208954002	0.6308588518560442	0.24418943084113587	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.4888888888888889	0.875	0.875	1.906623871346577	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5970506861704722	-0.05102582492862799	0.6155262735407455	0.5402998550372871	-0.28177170854799594	0.8206096280095165	random_feature_value_control	5	unit	all_shuffled	35	1.5286900230769929	1.0894430521824885	1.3887062035772875	0.8487798699346262	0.24889693470629734	0.6088855977606215	0.24941365571686916	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7230750104152515	1.0224014859114376
random_shuffled_feature_unit_beta	-0.4384830237081295	0.46871409431878663	0.051952075929879715	0.029809691282210227	-0.015546048301821233	0.4725257009950306	random_feature_value_control	5	unit	all_shuffled	36	1.3400648811189568	1.0152090794083777	1.21817792746456	0.8487798699346262	0.24652209074349818	0.6190129871280439	0.2470441170194976	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.08888888888888889	0.875	0.875	2.3949043144189948	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5366014969160146	-0.14561196882295066	0.5923673942983408	0.5120277566063597	-0.2670275300981058	0.7964134597228023	random_feature_value_control	5	unit	all_shuffled	37	1.4957550423528068	1.07753800903345	1.314087984561374	0.8487798699346262	0.24853398468855928	0.6105589226105244	0.24905113544445384	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.668587483159113	1.0224014859114376
