feature_set	control_model	validation_status	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered
methylation_only_baseline	methylation_only_baseline	baseline	1.1978195174977648	0.9341820819670775	1.0712705897740062	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376					
H3K27ac_8cell_histone_only	H3K27ac_8cell_histone_only	feature_defined	1.4799090710581682	1.0742493425137152	1.215752728971308	0.8487798699346262	0.24835147134355584	0.6114835744721678	0.24886962585523617	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.6398270041396183	1.0224014859114376	-0.01649850421523938	0.43450839758637033	0.4805209857651094	-0.6865399067905513	-0.250596438051715
H3K27ac_8cell_histone_only	H3K27ac_8cell_histone_only_sign_flip	sign_flip_control	0.9794858064550832	0.7454674161373491	0.8725713065004389	0.8487798699346262	0.24318590318981675	0.6341901841974856	0.24370019555841607	1.5666635350021403	1.9104332695957345	0.35555555555555557	0.5555555555555556	0.875	0.875	1.7921879072002351	1.0224014859114376	0.01649850421523938	-0.43450839758637033	-0.4805209857651094	0.6865399067905513	0.250596438051715
H3K27ac_blastocyst_histone_only	H3K27ac_blastocyst_histone_only	feature_defined	1.377056957836175	1.0345111343053333	1.1845327857052685	0.8487798699346262	0.24676269151535155	0.6171743781708726	0.24728424869630422	1.5666635350021403	1.9104332695957345	0.0	0.08888888888888889	0.875	0.875	2.4610898618521455	1.0224014859114376	0.4021629695826642	0.45933369226171206	0.08773791704352463	-0.39234914774547536	-0.04575618993658651
H3K27ac_blastocyst_histone_only	H3K27ac_blastocyst_histone_only_sign_flip	sign_flip_control	1.1076420687946873	0.8639461459089988	1.0520796804752712	0.8487798699346262	0.2445104601004151	0.6311840916972772	0.2450312542404078	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.37777777777777777	0.875	0.875	2.013867170764731	1.0224014859114376	-0.4021629695826642	-0.45933369226171206	-0.08773791704352463	0.39234914774547536	0.04575618993658651
H3K27me3_8cell_histone_only	H3K27me3_8cell_histone_only	feature_defined	1.5090393418730133	1.0842941310867444	1.2714208876713622	0.8487798699346262	0.24872798771075877	0.6099427813390274	0.24924517658162168	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.6896191307520665	1.0224014859114376	-0.05939050633578844	0.48043468824568303	0.5383534884422206	-0.6667886094227723	-0.2807566591530358
H3K27me3_8cell_histone_only	H3K27me3_8cell_histone_only_sign_flip	sign_flip_control	0.97045844387945	0.7310641237691312	0.9010900159589892	0.8487798699346262	0.24308142364383412	0.6345912325351311	0.2435927374641815	1.5666635350021403	1.9104332695957345	0.35555555555555557	0.5555555555555556	0.875	0.875	1.7747921319520097	1.0224014859114376	0.05939050633578844	-0.48043468824568303	-0.5383534884422206	0.6667886094227723	0.2807566591530358
H3K27me3_8cell_to_morula_histone_delta	H3K27me3_8cell_to_morula_histone_delta	feature_defined	1.5347869028694456	1.0920914943361093	1.4310808222671154	0.8487798699346262	0.24871002416261484	0.6091150372108933	0.24922750620339548	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7305926626843795	1.0224014859114376	0.21491500591775792	0.7255217179797563	0.4228716044285667	-0.5591118707243048	-0.2205317165373782
H3K27me3_8cell_to_morula_histone_delta	H3K27me3_8cell_to_morula_histone_delta_sign_flip	sign_flip_control	1.0074221725199664	0.7498770917478517	0.8552978013581428	0.8487798699346262	0.24345083099544568	0.6353687040218006	0.24395833149999574	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5111111111111111	0.875	0.875	1.8357417533971856	1.0224014859114376	-0.21491500591775792	-0.7255217179797563	-0.4228716044285667	0.5591118707243048	0.2205317165373782
H3K27me3_blastocyst_histone_only	H3K27me3_blastocyst_histone_only	feature_defined	1.2191628663549325	0.9453737031569067	1.128488863784922	0.8487798699346262	0.24547467949310436	0.6247343430274356	0.2459982100111034	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.1977342249682716	1.0224014859114376	-0.04317324951221313	-0.156783670795745	0.053304107557175434	-0.17669971890619107	-0.027798618339394027
