module_id	TF	motif_database	motif_id	log_odds_ratio	pvalue	motif_hit_count	foreground_nonhit_count	background_hit_count	background_nonhit_count	threshold	n_matched_background_sets	qvalue	motif_score_signed_logq	motif_score_mode	delta_8cell_to_morula	delta_8cell_to_morula_zscore	tf_activity
M02	KLF4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0039.5	3.5422935470939034	3.8526731678720665e-07	12	18	16	284	10.858938911058884	10	3.660039509478463e-05	4.436514226448248	signed_logq	-0.44222719906569097	-0.4148990789092739	-1.8407056661212682
M01	KLF4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0039.5	1.9114633253983424	0.0549992060283216	4	17	13	197	10.858938911058884	10	0.9713651102262472	0.01261749969800142	signed_logq	-0.44222719906569097	-0.4148990789092739	-0.0052349890028388305
M10	KLF4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0039.5	2.773996325111173	0.2558651026393028	1	2	2	28	9.499036136437956	10	1.0	2.773996325111173	log_odds_ratio_fallback	-0.44222719906569097	-0.4148990789092739	-1.1509285201863364
M12	KLF4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0039.5	0.7749334443652268	0.9999999999999792	0	4	2	38	7.015156661556596	10	1.0	0.7749334443652268	log_odds_ratio_fallback	-0.44222719906569097	-0.4148990789092739	-0.32151917228312366
M05	KLF4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0039.5	0.3376954107456789	1.000000000000008	0	6	3	57	10.064164841277243	10	1.0	0.3376954107456789	log_odds_ratio_fallback	-0.44222719906569097	-0.4148990789092739	-0.1401095148702711
M02	KLF5	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0599.1	3.346050460142893	2.664249039381123e-06	11	19	16	284	11.160025284327652	10	0.0001265518293706	3.8977315725143042	signed_logq	-0.5279635530252555	-0.5054815977318873	-1.970231582804552
M01	KLF5	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0599.1	2.404176506647077	0.0114786668381578	5	16	12	198	11.914086810714664	10	0.3634911165416645	0.4395061985163017	signed_logq	-0.5279635530252555	-0.5054815977318873	-0.2221622954390882
M10	KLF5	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0599.1	2.773996325111173	0.2558651026393028	1	2	2	28	8.957286641539547	10	1.0	2.773996325111173	log_odds_ratio_fallback	-0.5279635530252555	-0.5054815977318873	-1.4022040945195795
M12	KLF5	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0599.1	0.7749334443652268	0.9999999999999792	0	4	2	38	8.290071990046075	10	1.0	0.7749334443652268	log_odds_ratio_fallback	-0.5279635530252555	-0.5054815977318873	-0.39171459559360944
M05	KLF5	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0599.1	0.3376954107456789	1.000000000000008	0	6	3	57	10.144845952525406	10	1.0	0.3376954107456789	log_odds_ratio_fallback	-0.5279635530252555	-0.5054815977318873	-0.1706988157704517
M02	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	1.719659968339402	0.0458020158561179	5	25	18	282	10.798786680802989	10	0.9713651102262472	0.01261749969800142	signed_logq	1.6536938592658084	1.7994918993514133	0.022705088496622457
M12	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	0.7749334443652268	0.9999999999999792	0	4	2	38	10.892842394823145	10	1.0	0.7749334443652268	log_odds_ratio_fallback	1.6536938592658084	1.7994918993514133	1.3944864556717147
M01	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	-1.309581774536765	0.9999999999999892	0	21	11	199	11.833399535024732	10	1.0	-1.309581774536765	log_odds_ratio_fallback	1.6536938592658084	1.7994918993514133	-2.3565817948171577
