model	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC3_recovery	PC1_negative_pull_recovered	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	beta_closure	beta_access	source_feature_set
dual_branch_beta_grid	-0.0	0.0	-0.0	0.0		0.0	0.0	0.0	0.0	1.1978195174977648	0.9341820819670775	1.1176122228407372	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376	0.0	0.0	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.006358367613324221	0.007835313201000326	-0.01798918322650832	0.0206259953655776	0.917481895059111	0.008034242461232955	0.009381536652025178	0.008034242461232955	0.009381536652025178	1.186903206575262	0.9273824133621471	1.0489409249677895	0.8487798699346263	0.24510733850846925	0.6254387693185907	0.24563178879836095	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1454002208320033	1.0224014859114376	0.0	0.05	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.012716735226648441	0.01567062640200065	-0.03597836645301664	0.0412519907311552	0.917481895059111	0.01606848492246591	0.018763073304050356	0.01606848492246591	0.018763073304050356	1.1760061514218	0.9204954527899094	1.1216670801964725	0.8487798699346262	0.2449970669861939	0.6258535041282255	0.2455216534818581	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1274713674798065	1.0224014859114376	0.0	0.1	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.01907510283997266	0.023505939603000976	-0.05396754967952496	0.0618779860967328	0.917481895059111	0.024102727383698865	0.028144609956075536	0.024102727383698865	0.028144609956075536	1.1651288923155254	0.9135227873847522	1.0215203157906445	0.8487798699346262	0.24488762511119203	0.6262650930214172	0.24541234847755833	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.1095921415458725	1.0224014859114376	0.0	0.15	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.025433470453296882	0.0313412528040013	-0.07195673290603329	0.0825039814623104	0.917481895059111	0.03213696984493182	0.03752614660810071	0.03213696984493182	0.03752614660810071	1.1542719888995423	0.906466110117714	0.9906668452434322	0.8487798699346262	0.24477901399628146	0.6266735253567692	0.24530387489539865	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.091763748588886	1.0224014859114376	0.0	0.2	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.0317918380666211	0.03917656600500163	-0.0899459161325416	0.103129976827888	0.917481895059111	0.04017121230616478	0.04690768326012589	0.04017121230616478	0.04690768326012589	1.143436021004683	0.8993272204555112	0.8970116248384283	0.8487798699346262	0.24467123474780136	0.6270787906305825	0.24519623383882996	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.0739874275557635	1.0224014859114376	0.0	0.25	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.03815020567994532	0.04701187920600195	-0.10793509935904992	0.1237559721934656	0.917481895059111	0.04820545476739773	0.05628921991215107	0.04820545476739773	0.05628921991215107	1.1326215895113212	0.8921922926542241	0.9690340162165128	0.8487798699346262	0.24456428846555983	0.6274808784779848	0.24508942640476541	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.0562644516982727	1.0224014859114376	0.0	0.3	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.044508573293269536	0.054847192407002275	-0.12592428258555824	0.1443819675590432	0.9174818950591109	0.05623969722863068	0.06567075656417624	0.05623969722863068	0.06567075656417624	1.1218293172521816	0.8849051614168557	1.0294193227936255	0.8487798699346262	0.24445820273608918	0.6278796353310847	0.24498345345832653	1.5666635350021403	1.9104332695957345	0.06666666666666667	0.4222222222222222	0.875	0.875	2.03859612950724	1.0224014859114376	0.0	0.35	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.050866940906593765	0.0626825056080026	-0.14391346581206657	0.1650079629246208	0.917481895059111	0.06427393968986364	0.07505229321620142	0.06427393968986364	0.07505229321620142	1.1110598499581628	0.8776492370963327	1.1091848706132958	0.8487798699346262	0.24435296733934783	0.6282751103918461	0.24487831518627884	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4444444444444444	0.875	0.875	2.0209838056639153	1.0224014859114376	0.0	0.4	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.05722530851991798	0.07051781880900293	-0.1619026490385749	0.1856339582901984	0.9174818950591112	0.07230818215109659	0.08443382986822662	0.07230818215109659	0.08443382986822662	1.1003138572492972	0.8702390991536924	1.066554054496168	0.8487798699346262	0.24424856590364785	0.6286673876822985	0.24477401257130466	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4666666666666667	0.875	0.875	2.003428862007978	1.0224014859114376	0.0	0.45	ATAC_8cell_3pn_chromatin_only_inverse
