Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[individual]	Characteristics[organism part]	Characteristics[growth condition]	Characteristics[inferred lineage]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[primer]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Factor Value[inferred lineage]
C1_19	ERS5821983	SAMEA8135161	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_19	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_19	sequencing assay	ERX5141580	RNASeq_C1_19.fastq.gz	RNASeq_C1_19.fastq.gz	ERR5353545	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/005/ERR5353545/ERR5353545.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_2	ERS5821984	SAMEA8135162	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	epi	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_2	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_2	sequencing assay	ERX5141581	RNASeq_C1_2.fastq.gz	RNASeq_C1_2.fastq.gz	ERR5353546	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/006/ERR5353546/ERR5353546.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	epi
C1_20	ERS5821985	SAMEA8135163	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_20	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_20	sequencing assay	ERX5141582	RNASeq_C1_20.fastq.gz	RNASeq_C1_20.fastq.gz	ERR5353547	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5353547/ERR5353547.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_22	ERS5821986	SAMEA8135164	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_22	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_22	sequencing assay	ERX5141583	RNASeq_C1_22.fastq.gz	RNASeq_C1_22.fastq.gz	ERR5353548	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5353548/ERR5353548.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_23	ERS5821987	SAMEA8135165	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	polar	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_23	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_23	sequencing assay	ERX5141584	RNASeq_C1_23.fastq.gz	RNASeq_C1_23.fastq.gz	ERR5353549	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5353549/ERR5353549.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	polar
C1_24	ERS5821988	SAMEA8135166	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	polar	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_24	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_24	sequencing assay	ERX5141585	RNASeq_C1_24.fastq.gz	RNASeq_C1_24.fastq.gz	ERR5353550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5353550/ERR5353550.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	polar
C1_26	ERS5821989	SAMEA8135167	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_26	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_26	sequencing assay	ERX5141586	RNASeq_C1_26.fastq.gz	RNASeq_C1_26.fastq.gz	ERR5353551	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5353551/ERR5353551.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_27	ERS5821990	SAMEA8135168	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_27	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_27	sequencing assay	ERX5141587	RNASeq_C1_27.fastq.gz	RNASeq_C1_27.fastq.gz	ERR5353552	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5353552/ERR5353552.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_30	ERS5821991	SAMEA8135169	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	polar	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_30	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_30	sequencing assay	ERX5141588	RNASeq_C1_30.fastq.gz	RNASeq_C1_30.fastq.gz	ERR5353553	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5353553/ERR5353553.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	polar
C1_31	ERS5821992	SAMEA8135170	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	polar	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_31	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_31	sequencing assay	ERX5141589	RNASeq_C1_31.fastq.gz	RNASeq_C1_31.fastq.gz	ERR5353554	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5353554/ERR5353554.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	polar
