particle_id	stage	A	Hm	P	Hr	to_stage	vA	vHm	vP	vHr	transition_order
4-cell:0127	4-cell	0.1256540403972593	0.0033147675066067	0.4372693871686492	0.6595697137202162	8-cell	0.011716451155109914	0.051969975292585235	0.3400786661425029	-0.025626137565243012	3
4-cell:0128	4-cell	0.5218715958000245	0.0	0.2600601399062655	0.6713164220285748	8-cell	0.16845242834709795	0.07467233667259916	0.5047801527337463	-0.0393828643875902	3
4-cell:0129	4-cell	0.5218715958000245	0.0	0.2399644296039197	0.6707278271659768	8-cell	0.16923678988926516	0.07447232633227797	0.5234146509966645	-0.03885339188660586	3
4-cell:0130	4-cell	0.5218715958000245	0.0	0.2094708192045694	0.6730288496928858	8-cell	0.17036632545527386	0.07419568341341576	0.5516895071978454	-0.041219595749812155	3
4-cell:0131	4-cell	0.5218715958000245	0.0	0.2665804641325979	0.6637976038592841	8-cell	0.16831184110310304	0.07470016053137707	0.4987095304237575	-0.03188044822890901	3
4-cell:0132	4-cell	0.5218715958000245	0.0	0.4966502763607448	0.6629341362284924	8-cell	0.15905570318945506	0.07738457339479814	0.2845359836756844	-0.02999145903429712	3
4-cell:0133	4-cell	0.5218715958000245	0.0	0.3670670592033799	0.6700234428261309	8-cell	0.16423084073076555	0.07581847770600243	0.4054025718815736	-0.03770664675261981	3
4-cell:0134	4-cell	0.5218715958000245	0.0	0.4771983786167798	0.6715590927510321	8-cell	0.15969873006720636	0.0771861824577817	0.30276663084907945	-0.03867783240871503	3
4-cell:0135	4-cell	0.5218715958000245	0.0	0.4372693871686492	0.6595697137202162	8-cell	0.1615573447666513	0.07659924787410431	0.33997123269891366	-0.026976365836426375	3
4-cell:0136	4-cell	0.6276263137954569	0.562004521900457	0.2600601399062655	0.6713164220285748	8-cell	0.0295866661059071	-0.28086072079238344	0.4993527514782375	-0.039394598384583146	3
4-cell:0137	4-cell	0.6276263137954569	0.562004521900457	0.2399644296039197	0.6707278271659768	8-cell	0.03001807379826804	-0.280798815777132	0.517812648324526	-0.038888737318522826	3
4-cell:0138	4-cell	0.6276263137954569	0.562004521900457	0.2094708192045694	0.6730288496928858	8-cell	0.030608651394637643	-0.28065335922811463	0.5458391978301191	-0.041290943530801205	3
4-cell:0139	4-cell	0.6276263137954569	0.562004521900457	0.2665804641325979	0.6637976038592841	8-cell	0.029537988476689092	-0.2809303993477855	0.4933309313745082	-0.031882749128074095	3
4-cell:0140	4-cell	0.6276263137954569	0.562004521900457	0.4966502763607448	0.6629341362284924	8-cell	0.02374653110642566	-0.2804333534675997	0.28143438950521943	-0.029704740098852267	3
4-cell:0141	4-cell	0.6276263137954569	0.562004521900457	0.3670670592033799	0.6700234428261309	8-cell	0.027114076274574073	-0.28093782430275943	0.4009874401989759	-0.03758679282346511	3
4-cell:0142	4-cell	0.6276263137954569	0.562004521900457	0.4771983786167798	0.6715590927510321	8-cell	0.024162694470566626	-0.28048641564210125	0.2994770634816855	-0.03841694184907207	3
4-cell:0143	4-cell	0.6276263137954569	0.562004521900457	0.4372693871686492	0.6595697137202162	8-cell	0.025441348663215346	-0.28080594577222806	0.33625604356747	-0.026765781980443104	3
4-cell:0144	4-cell	0.3968062413862697	0.3807111956335514	0.2600601399062655	0.6713164220285748	8-cell	0.08592798381717787	-0.09445602515597334	0.5059883248865082	-0.037326090814963964	3
4-cell:0145	4-cell	0.3968062413862697	0.3807111956335514	0.2399644296039197	0.6707278271659768	8-cell	0.08598390908565279	-0.09411820233464169	0.5244515023611528	-0.03686838597808706	3
4-cell:0146	4-cell	0.3968062413862697	0.3807111956335514	0.2094708192045694	0.6730288496928858	8-cell	0.08607254000730052	-0.09360715800366814	0.552477908584545	-0.0393429759862598	3
4-cell:0147	4-cell	0.3968062413862697	0.3807111956335514	0.2665804641325979	0.6637976038592841	8-cell	0.08591187811971013	-0.09454674408676123	0.49994570784692166	-0.0298013113893022	3
4-cell:0148	4-cell	0.3968062413862697	0.3807111956335514	0.4966502763607448	0.6629341362284924	8-cell	0.08546290496315812	-0.09808757028742016	0.2875367379760166	-0.027131484491907942	3
4-cell:0149	4-cell	0.3968062413862697	0.3807111956335514	0.3670670592033799	0.6700234428261309	8-cell	0.08567251362063	-0.0961826085732902	0.4074853715117587	-0.035272464603324116	3
4-cell:0150	4-cell	0.3968062413862697	0.3807111956335514	0.4771983786167798	0.6715590927510321	8-cell	0.08548590312396115	-0.09783523142284262	0.3056655187268625	-0.03587774969179314	3
4-cell:0151	4-cell	0.3968062413862697	0.3807111956335514	0.4372693871686492	0.6595697137202162	8-cell	0.08554669680246868	-0.09722288709250226	0.34255203598349354	-0.024306209625863606	3
