stage_order	J_path_order	enters_morula_from	enter_morula_A	is_canonical
blastocyst -> 2-cell -> morula -> 4-cell -> MII oocyte -> zygote/PN -> 8-cell	2.1179020601442056	2-cell	-0.2658915429166202	False
blastocyst -> 2-cell -> morula -> 8-cell -> MII oocyte -> 4-cell -> zygote/PN	2.121240009769919	2-cell	-0.2658915429166202	False
blastocyst -> 2-cell -> 4-cell -> MII oocyte -> 8-cell -> zygote/PN -> morula	2.1217901401065706	zygote/PN	-0.20091201350124943	False
blastocyst -> 4-cell -> zygote/PN -> MII oocyte -> morula -> 8-cell -> 2-cell	2.1295216114762496	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> morula -> zygote/PN -> MII oocyte -> 4-cell -> 8-cell	2.1301275794468872	2-cell	-0.2658915429166202	False
blastocyst -> 2-cell -> 4-cell -> MII oocyte -> 8-cell -> morula -> zygote/PN	2.1316247160797515	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> zygote/PN -> 8-cell -> morula -> MII oocyte -> 4-cell	2.133965240034039	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> zygote/PN -> 8-cell -> morula -> 4-cell -> MII oocyte	2.1369896963019763	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> zygote/PN -> MII oocyte -> morula -> 4-cell	2.1407705389225464	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> 8-cell -> zygote/PN -> morula -> MII oocyte -> 4-cell	2.1432779759929437	zygote/PN	-0.20091201350124943	False
zygote/PN -> 4-cell -> MII oocyte -> morula -> 8-cell -> 2-cell -> blastocyst	2.144521037980592	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> 8-cell -> zygote/PN -> morula -> 4-cell -> MII oocyte	2.146302432260881	zygote/PN	-0.20091201350124943	False
morula -> 8-cell -> zygote/PN -> MII oocyte -> 4-cell -> 2-cell -> blastocyst	2.146859167861737			False
blastocyst -> 2-cell -> 4-cell -> 8-cell -> MII oocyte -> zygote/PN -> morula	2.1470351367485847	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> morula -> MII oocyte -> 4-cell -> zygote/PN -> 8-cell	2.150316138981757	2-cell	-0.2658915429166202	False
blastocyst -> 2-cell -> 4-cell -> zygote/PN -> morula -> 8-cell -> MII oocyte	2.1510995189251174	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> 4-cell -> morula -> 8-cell -> MII oocyte -> zygote/PN	2.1548705264179806	4-cell	-0.135697481725658	False
blastocyst -> 4-cell -> MII oocyte -> zygote/PN -> 8-cell -> 2-cell -> morula	2.1633942409366007	2-cell	-0.2658915429166202	False
blastocyst -> zygote/PN -> MII oocyte -> 4-cell -> 2-cell -> 8-cell -> morula	2.166623788782209	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> MII oocyte -> zygote/PN -> 8-cell -> morula -> 4-cell	2.1668901384576467	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 4-cell -> zygote/PN -> 8-cell -> MII oocyte -> morula	2.167152147898402	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> 8-cell -> 4-cell -> morula -> zygote/PN -> MII oocyte	2.1677044305697204	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> morula -> MII oocyte -> zygote/PN -> 4-cell -> 8-cell	2.1686005261763706	2-cell	-0.2658915429166202	False
blastocyst -> 2-cell -> zygote/PN -> MII oocyte -> 8-cell -> morula -> 4-cell	2.168795294115407	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> zygote/PN -> MII oocyte -> morula -> 8-cell -> 4-cell	2.1703750448220993	MII oocyte	-0.16141955089898677	False
8-cell -> morula -> zygote/PN -> MII oocyte -> 4-cell -> 2-cell -> blastocyst	2.1708333997788434	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> zygote/PN -> morula -> 8-cell -> 4-cell -> MII oocyte	2.175906938160434	zygote/PN	-0.20091201350124943	False
4-cell -> MII oocyte -> zygote/PN -> 8-cell -> morula -> 2-cell -> blastocyst	2.182046971669808	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> zygote/PN -> 4-cell -> morula -> MII oocyte	2.182348868057676	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> 4-cell -> morula -> MII oocyte -> zygote/PN -> 8-cell	2.1839466556298186	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> morula -> 4-cell -> zygote/PN -> MII oocyte -> 8-cell	2.185146193063124	2-cell	-0.2658915429166202	False
blastocyst -> 4-cell -> 2-cell -> 8-cell -> morula -> zygote/PN -> MII oocyte	2.187166208407681	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> zygote/PN -> 4-cell -> 8-cell -> morula -> MII oocyte	2.1876881623341413	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 4-cell -> MII oocyte -> morula -> zygote/PN -> 8-cell	2.1887375068627994	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> zygote/PN -> 8-cell -> 4-cell -> MII oocyte -> morula	2.1919595671337193	MII oocyte	-0.16141955089898677	False
MII oocyte -> zygote/PN -> 8-cell -> morula -> 4-cell -> 2-cell -> blastocyst	2.1919904869263642	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> MII oocyte -> zygote/PN -> morula -> 4-cell	2.1935633960989893	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> morula -> zygote/PN -> 4-cell -> MII oocyte -> 8-cell	2.1960768383257467	2-cell	-0.2658915429166202	False
blastocyst -> 2-cell -> zygote/PN -> morula -> 8-cell -> MII oocyte -> 4-cell	2.1993393927570146	zygote/PN	-0.20091201350124943	False
