sample_id	stage	A	P	Hm	Hr	to_stage	vA	vP	vHm	vHr
GSM2146951	MII oocyte	0.29208699515091285	0.07901047344004108	0.044199657425772296	1.0	zygote/PN	0.006679675036912802	0.12489713012745943	0.0469425476812622	-0.09818167848815118
GSM2146952	MII oocyte	0.658345068955101	0.07901047344004108	0.146741620546834	1.0	zygote/PN	0.0965492391316084	0.12489713012745945	0.03716776940881092	-0.09818167848815107
GSM2146953	MII oocyte	0.4351545627950693	0.07901047344004108	0.08813277151288719	1.0	zygote/PN	0.10194122861424498	0.12489713012745948	0.0576086097803447	-0.09818167848815096
GSM2146954	MII oocyte	0.41911035811516506	0.07901047344004108	0.0656262186839929	1.0	zygote/PN	0.08175695301449959	0.12489713012745948	0.0699564783748769	-0.09818167848815085
GSM2481556	MII oocyte	0.2488915916915912	0.07901047344004108	0.031000049031129545	1.0	zygote/PN	0.015524260364781495	0.12489713012745951	0.05281659473911862	-0.09818167848815096
GSM2481557	MII oocyte	0.32270762383758794	0.07901047344004108	0.0154001253131198	1.0	zygote/PN	0.004764772598560119	0.1248971301274594	0.07951174057371853	-0.09818167848815118
GSM2481570	MII oocyte	0.3270583674120103	0.07901047344004108	0.0406376984755404	1.0	zygote/PN	0.00883608412520942	0.12489713012745945	0.05767448962397942	-0.09818167848815118
GSM2481581	MII oocyte	0.40245066824108855	0.07901047344004108	0.07385137305546403	1.0	zygote/PN	0.0667940262438812	0.12489713012745943	0.0556786433261789	-0.09818167848815129
GSM2481586	MII oocyte	0.27048709366797613	0.07901047344004108	0.05254362335865194	1.0	zygote/PN	0.010908031658036776	0.12489713012745943	0.03578752968095604	-0.09818167848815096
GSM2481587	MII oocyte	0.4468610848211706	0.07901047344004108	0.05603221183435536	1.0	zygote/PN	0.10576965162670182	0.12489713012745945	0.08948233721224766	-0.09818167848815085
GSM2481588	MII oocyte	0.2820558854671346	0.07901047344004108	0.06919866465530032	1.0	zygote/PN	0.01015115089346702	0.1248971301274594	0.02228316680320787	-0.09818167848815118
GSM2481589	MII oocyte	0.3350114344962799	0.07901047344004108	0.026786485938267223	1.0	zygote/PN	0.009312210989869618	0.12489713012745945	0.07227397633512747	-0.09818167848815107
GSM2481590	MII oocyte	0.612078179095216	0.07901047344004108	0.034396134016634786	1.0	zygote/PN	0.11993889341965025	0.12489713012745945	0.13625995036078492	-0.09818167848815118
GSM2481591	MII oocyte	0.4211309447818788	0.07901047344004108	0.03370506577733725	1.0	zygote/PN	0.07696977300036772	0.12489713012745943	0.09811769510810539	-0.09818167848815129
GSM2481614	MII oocyte	0.12868394835676458	0.07901047344004108	0.05400246686659893	1.0	zygote/PN	0.07207920864041736	0.1248971301274594	0.01691227360119485	-0.09818167848815096
GSM2481615	MII oocyte	0.3701138971005529	0.07901047344004108	0.1031829843907846	1.0	zygote/PN	0.04275271651715967	0.12489713012745943	0.01657159955742396	-0.09818167848815118
GSM2986307	MII oocyte	0.9927197627548612	0.07901047344004108	1.0	1.0	zygote/PN	-0.1743430418635854	0.12489713012745943	-0.7260165165598387	-0.09818167848815085
GSM2986308	MII oocyte	0.3187131909101892	0.07901047344004108	0.044296552245062036	1.0	zygote/PN	0.007553264575317242	0.12489713012745945	0.0523127839505673	-0.09818167848815096
GSM2986309	MII oocyte	0.3361490867756348	0.07901047344004108	0.08317974130892246	1.0	zygote/PN	0.017780943481393252	0.12489713012745943	0.021987081562364966	-0.09818167848815096
GSM2986310	MII oocyte	0.2501072080482072	0.07901047344004108	0.10263283467626065	1.0	zygote/PN	0.0203582365772364	0.12489713012745943	-0.01313023490726889	-0.09818167848815107
GSM2986311	MII oocyte	0.38492250007488915	0.07901047344004108	0.08985684256632322	1.0	zygote/PN	0.053151842930197424	0.12489713012745943	0.03431465803247413	-0.09818167848815096
GSM2986312	MII oocyte	0.35602845120842047	0.07901047344004108	0.09514567799627195	1.0	zygote/PN	0.030593807780920246	0.12489713012745943	0.018085247096726945	-0.09818167848815096
GSM2986313	MII oocyte	0.38309833739954186	0.07901047344004108	0.09316296962640198	1.0	zygote/PN	0.05214722270771266	0.12489713012745945	0.03068437718923335	-0.09818167848815107
GSM2986314	MII oocyte	0.42962163747899473	0.07901047344004108	0.10249282082514398	1.0	zygote/PN	0.09985373984883161	0.12489713012745937	0.04317167780836213	-0.09818167848815129
GSM2986315	MII oocyte	1.0	0.07901047344004108	0.5357377969252679	1.0	zygote/PN	-0.18711127108325443	0.1248971301274594	-0.30392341217979735	-0.09818167848815118
GSM2986316	MII oocyte	0.526978125415345	0.07901047344004108	0.08151702566036846	1.0	zygote/PN	0.1433347185935977	0.12489713012745943	0.0886936604085662	-0.09818167848815107
GSM2986317	MII oocyte	0.5262493446740144	0.07901047344004108	0.049721834782010664	1.0	zygote/PN	0.1405250278865503	0.12489713012745943	0.11614718332470597	-0.09818167848815107
GSM2986318	MII oocyte	0.2347322457280206	0.07901047344004108	0.0437002700232358	1.0	zygote/PN	0.021602043884620448	0.12489713012745937	0.03938371461543161	-0.09818167848815118
GSM2986319	MII oocyte	0.3494738924667265	0.07901047344004108	0.05718049548912244	1.0	zygote/PN	0.02013026759417208	0.1248971301274594	0.049344842660445955	-0.09818167848815118
GSM2986320	MII oocyte	0.21132031513478752	0.07901047344004108	0.056851124172521375	1.0	zygote/PN	0.0322656920194479	0.1248971301274594	0.024612723508528667	-0.09818167848815118
GSM2986321	MII oocyte	0.3375305187907894	0.07901047344004108	0.08497220362817925	1.0	zygote/PN	0.018638507387240655	0.12489713012745943	0.020811565568787563	-0.09818167848815085
GSM2986322	MII oocyte	0.25810422942006733	0.07901047344004108	0.045195440986837934	1.0	zygote/PN	0.013614642478831596	0.12489713012745948	0.04085122645209428	-0.09818167848815107
GSM2986323	MII oocyte	0.4964558455967619	0.07901047344004108	0.0580441062593371	1.0	zygote/PN	0.1358799875822978	0.12489713012745945	0.10318882152992281	-0.09818167848815096
GSM2986324	MII oocyte	0.3809860207263554	0.07901047344004108	0.06458951887654615	1.0	zygote/PN	0.04436729293204428	0.1248971301274594	0.05451573892307783	-0.09818167848815118
GSM2986325	MII oocyte	0.423941510746249	0.07901047344004108	0.06581839549407295	1.0	zygote/PN	0.0865876475984454	0.12489713012745943	0.07186058160373679	-0.09818167848815096
GSM2986326	MII oocyte	0.2573275952911509	0.07901047344004108	0.04815166536586473	1.0	zygote/PN	0.014070204901546535	0.12489713012745945	0.038018886869654565	-0.09818167848815085
GSM2481554	zygote/PN	0.2163793182829078	0.2039076035675005	0.01602532021964129	0.9018183215118489	2-cell	0.17619270722120528	0.37184372943993427	0.3472427458180323	-0.5553999949414066
GSM2481555	zygote/PN	0.4892451584571404	0.2039076035675005	0.0482054702310589	0.9018183215118489	2-cell	0.06788369961076451	0.37184372943993416	0.4079662749909397	-0.5553999949414066
GSM2481558	zygote/PN	0.6389664760821604	0.2039076035675005	0.10338565591909489	0.9018183215118489	2-cell	-0.0390884429434194	0.37184372943993416	0.37639742795476394	-0.5553999949414066
GSM2481559	zygote/PN	0.06497548278920902	0.2039076035675005	0.03670383699460587	0.9018183215118489	2-cell	0.24616488039953394	0.37184372943993427	0.27649851392684444	-0.5553999949414066
GSM2481560	zygote/PN	0.7153694528343714	0.2039076035675005	0.12182727935713684	0.9018183215118489	2-cell	-0.10454395242261483	0.37184372943993416	0.36640327316025717	-0.5553999949414066
GSM2481561	zygote/PN	0.08646494556308995	0.2039076035675005	0.006978595052814936	0.9018183215118489	2-cell	0.2303766710341487	0.37184372943993416	0.3004643226416793	-0.5553999949414066
GSM2481562	zygote/PN	0.186297420757565	0.2039076035675005	0.05282006032777467	0.9018183215118489	2-cell	0.19382648143558578	0.37184372943993416	0.3243376018390409	-0.5553999949414066
GSM2481563	zygote/PN	0.7145192061862987	0.2039076035675005	0.1149553713515302	0.9018183215118489	2-cell	-0.10362724360324682	0.37184372943993416	0.36943130809161984	-0.5553999949414066
GSM2481564	zygote/PN	0.32040661187520164	0.2039076035675005	0.06992250761660891	0.9018183215118489	2-cell	0.14944715504586414	0.37184372943993427	0.38072605964155376	-0.5553999949414066
GSM2481565	zygote/PN	0.8464275527345451	0.2039076035675005	0.12051025705148764	0.9018183215118489	2-cell	-0.22047735344877095	0.37184372943993427	0.3640063081323875	-0.5553999949414066
GSM2481566	zygote/PN	0.26543521999315334	0.2039076035675005	0.0469417765818669	0.9018183215118489	2-cell	0.1656504463131842	0.37184372943993416	0.3642139132506295	-0.5553999949414066
GSM2481567	zygote/PN	0.25179485622571857	0.2039076035675005	0.0803121355759666	0.9018183215118489	2-cell	0.17658098903175873	0.37184372943993416	0.35239562423111875	-0.5553999949414066
GSM2481571	zygote/PN	0.6070897758113467	0.2039076035675005	0.27709228560053806	0.9018183215118489	2-cell	-0.01642061794560301	0.37184372943993416	0.3097150784832116	-0.5553999949414066
GSM2481572	zygote/PN	0.23070088911366168	0.2039076035675005	0.05901216410686789	0.9018183215118489	2-cell	0.17969603865201825	0.37184372943993405	0.34587823083522573	-0.5553999949414066
GSM2481573	zygote/PN	0.3560807323962126	0.2039076035675005	0.1606800067071846	0.9018183215118489	2-cell	0.14168884093050582	0.37184372943993416	0.3597855733961325	-0.5553999949414066
GSM2481574	zygote/PN	0.34946271593609657	0.2039076035675005	0.0954722726852866	0.9018183215118489	2-cell	0.14027581823377316	0.37184372943993416	0.3813436630462397	-0.5553999949414065
GSM2481575	zygote/PN	0.30943076400822966	0.2039076035675005	0.08596028407408975	0.9018183215118489	2-cell	0.1559135034508421	0.37184372943993416	0.37379794595695004	-0.5553999949414066
GSM2481576	zygote/PN	0.6099760789618771	0.2039076035675005	0.13064634409455703	0.9018183215118489	2-cell	-0.01682150392929771	0.37184372943993405	0.36547887900375486	-0.5553999949414066
GSM2481577	zygote/PN	0.7253519231877532	0.2039076035675005	0.21793380874237056	0.9018183215118489	2-cell	-0.11516408990226701	0.37184372943993405	0.3291893197028255	-0.5553999949414066
GSM2481578	zygote/PN	0.42359253404288044	0.2039076035675005	0.07571542260163643	0.9018183215118489	2-cell	0.10429834917255287	0.37184372943993405	0.3964970855071447	-0.5553999949414066
GSM2986327	zygote/PN	0.254963206034062	0.2039076035675005	0.15177522981225214	0.9018183215118489	2-cell	0.18815720839319006	0.37184372943993416	0.3383906512050078	-0.5553999949414066
GSM2986328	zygote/PN	0.7854546254851197	0.2039076035675005	0.20127101142414053	0.9018183215118489	2-cell	-0.1676398145728457	0.37184372943993405	0.33406497629194365	-0.5553999949414066
GSM2986329	zygote/PN	0.3435904600241668	0.2039076035675005	0.07861848142027486	0.9018183215118489	2-cell	0.14113559016540356	0.37184372943993416	0.3847807006230032	-0.5553999949414066
GSM2986330	zygote/PN	0.364767984478203	0.2039076035675005	0.07561213748245646	0.9018183215118489	2-cell	0.13185063805903402	0.37184372943993427	0.3899194290530298	-0.5553999949414066
GSM2986331	zygote/PN	0.3825526464309362	0.2039076035675005	0.13272903557298857	0.9018183215118489	2-cell	0.12709660031168635	0.37184372943993405	0.3728147364527966	-0.5553999949414066
GSM2986332	zygote/PN	0.7429232514356782	0.2039076035675005	0.2865827764785796	0.9018183215118489	2-cell	-0.1303630931159142	0.37184372943993405	0.308601197375679	-0.5553999949414067
GSM2986333	zygote/PN	0.22229934748721902	0.2039076035675005	0.19543962580781396	0.9018183215118489	2-cell	0.21034439402324212	0.37184372943993405	0.31219480563642676	-0.5553999949414066
GSM2986334	zygote/PN	0.8576695536617593	0.2039076035675005	0.2952742880925828	0.9018183215118489	2-cell	-0.23181868562561536	0.37184372943993405	0.3082058580124155	-0.5553999949414066
GSM2986335	zygote/PN	0.2175580023235335	0.2039076035675005	0.13902952908023855	0.9018183215118489	2-cell	0.20116749337303996	0.37184372943993416	0.32387430002669404	-0.5553999949414066
GSM2986336	zygote/PN	0.627267287664922	0.2039076035675005	0.2622707611167463	0.9018183215118489	2-cell	-0.03239682489304052	0.37184372943993416	0.3151675222152489	-0.5553999949414066
GSM2481532	2-cell	0.23029306184724968	0.5757513330074346	0.2515888399444901	0.34641832657044236	4-cell	-0.0240631518093804	-0.4143709840438443	-0.13467350166084527	0.2386961616051574
