sample_name	stage	s_rna	detected_genes	detected_gene_score	marker_score	potency_score	dataset	stage_order	P_raw	Hr_raw	D_raw	M_raw	P	Hr	D	M
8-cell embryo#2 -Cell#5(RPKM)	2-cell	7.242563381993441	11005	0.3316767716926747	0.9351217612980018	0.6333992664953383	GSE36552	2	0.6333992664953383	7.242563381993441	0.3316767716926747	0.9351217612980018	0.8118624495430115	0.6728899355930641	0.40365307850489895	0.9351217612980018
8-cell embryo#2 -Cell#6(RPKM)	2-cell	7.144435584880263	10655	0.296888977238843	0.9154635980104512	0.6061762876246471	GSE36552	2	0.6061762876246471	7.144435584880263	0.296888977238843	0.9154635980104512	0.7632670836527581	0.657560433974192	0.36131607596467874	0.9154635980104512
8-cell embryo#2 -Cell#7(RPKM)	2-cell	7.186480921862527	11265	0.3575191332869496	0.9164294932755191	0.6369743132812344	GSE36552	2	0.6369743132812344	7.186480921862527	0.3575191332869496	0.9164294932755191	0.8182442164855867	0.664128746728551	0.43510342324906254	0.9164294932755191
8-cell embryo#2 -Cell#8(RPKM)	2-cell	7.405372895335034	11678	0.3985687307424709	0.9401650438475329	0.6693668872950018	GSE36552	2	0.6693668872950018	7.405372895335034	0.3985687307424709	0.9401650438475329	0.8760677557023357	0.6983239998619191	0.4850610862465223	0.9401650438475329
4-cell embryo#1 -Cell#1(RPKM)	4-cell	7.232490946264614	11116	0.3427094722194613	0.3058530483100951	0.3242812602647782	GSE36552	3	0.3242812602647782	7.232490946264614	0.3427094722194613	0.3058530483100951	0.26006013990626553	0.6713164220285748	0.4170799564533688	0.3058530483100951
4-cell embryo#1 -Cell#2(RPKM)	4-cell	7.228723210124532	10534	0.2848623397276613	0.3411850669868138	0.3130237033572375	GSE36552	3	0.3130237033572375	7.228723210124532	0.2848623397276613	0.3411850669868138	0.23996442960391973	0.6707278271659768	0.34667956937220273	0.3411850669868138
4-cell embryo#1 -Cell#3(RPKM)	4-cell	7.243452604287967	10549	0.286353245204254	0.3055293025206894	0.2959412738624717	GSE36552	3	0.2959412738624717	7.243452604287967	0.286353245204254	0.3055293025206894	0.20947081920456942	0.6730288496928858	0.3484940123382121	0.3055293025206894
4-cell embryo#1 -Cell#4(RPKM)	4-cell	7.184361197353617	10555	0.2869496073948911	0.368918245459742	0.3279339264273166	GSE36552	3	0.3279339264273166	7.184361197353617	0.2869496073948911	0.368918245459742	0.2665804641325979	0.6637976038592841	0.34921978952461585	0.368918245459742
4-cell embryo#3 -Cell#1(RPKM)	4-cell	7.178833935046288	13149	0.5447768611470033	0.3688598353959496	0.4568183482714765	GSE36552	3	0.4568183482714765	7.178833935046288	0.5447768611470033	0.3688598353959496	0.4966502763607448	0.6629341362284924	0.6629974597798476	0.3688598353959496
4-cell embryo#3 -Cell#2(RPKM)	4-cell	7.224214277915999	12048	0.4353443991650929	0.3331080347204758	0.3842262169427843	GSE36552	3	0.3842262169427843	7.224214277915999	0.4353443991650929	0.3331080347204758	0.3670670592033799	0.6700234428261309	0.529817346074755	0.3331080347204758
4-cell embryo#3 -Cell#3(RPKM)	4-cell	7.234044339454467	12871	0.5171454129808171	0.3746974934927413	0.4459214532367792	GSE36552	3	0.4459214532367792	7.234044339454467	0.5171454129808171	0.3746974934927413	0.4771983786167798	0.6715590927510321	0.6293697834764728	0.3746974934927413
4-cell embryo#3 -Cell#4(RPKM)	4-cell	7.157297463900436	12631	0.4932909253553325	0.3538157775478983	0.4235533514516154	GSE36552	3	0.4235533514516154	7.157297463900436	0.4932909253553325	0.3538157775478983	0.43726938716864927	0.6595697137202162	0.6003386960203217	0.3538157775478983
8-cell embryo#1 -Cell#1(RPKM)	8-cell	6.933327217037199	12420	0.4723188549845939	0.7135642153255384	0.5929415351550662	GSE36552	4	0.5929415351550662	6.933327217037199	0.4723188549845939	0.7135642153255384	0.7396419086937219	0.6245811339000737	0.574815531631789	0.7135642153255384
8-cell embryo#1 -Cell#2(RPKM)	8-cell	7.063728419060469	12720	0.5021369645164496	0.8063976480438698	0.6542673062801597	GSE36552	4	0.6542673062801597	7.063728419060469	0.5021369645164496	0.8063976480438698	0.8491137009057914	0.6449523793200949	0.6111043909519777	0.8063976480438698
8-cell embryo#1 -Cell#3(RPKM)	8-cell	6.836956909273406	13141	0.5439817115594872	0.7079013849084004	0.6259415482339438	GSE36552	4	0.6259415482339438	6.836956909273406	0.5439817115594872	0.7079013849084004	0.7985497790472389	0.6095261868581832	0.6620297568646426	0.7079013849084004
8-cell embryo#1 -Cell#4(RPKM)	8-cell	6.913819866433364	12696	0.4997515157539012	0.7348937242234328	0.617322619988667	GSE36552	4	0.617322619988667	6.913819866433364	0.4997515157539012	0.7348937242234328	0.7831642485492523	0.621533700130451	0.6082012822063626	0.7348937242234328
8-cell embryo#3 -Cell#1(RPKM)	8-cell	6.921838342009977	12096	0.4401152966901898	0.8074678097916125	0.6237915532409012	GSE36552	4	0.6237915532409012	6.921838342009977	0.4401152966901898	0.8074678097916125	0.7947118524982967	0.6227863445181651	0.5356235635659852	0.8074678097916125
8-cell embryo#3 -Cell#2(RPKM)	8-cell	6.941083429083859	11366	0.367557896829341	0.8559748640343086	0.6117663804318247	GSE36552	4	0.6117663804318247	6.941083429083859	0.367557896829341	0.8559748640343086	0.773245881587239	0.6257928075401988	0.44732067255352603	0.8559748640343086
8-cell embryo#3 -Cell#3(RPKM)	8-cell	7.018843021975127	10424	0.2739290328993142	0.9109593098237	0.5924441713615071	GSE36552	4	0.5924441713615071	7.018843021975127	0.2739290328993142	0.9109593098237	0.7387540714131886	0.6379403930376567	0.33337365428813354	0.9109593098237
8-cell embryo#3 -Cell#4(RPKM)	8-cell	7.065070096822345	12074	0.4379286353245204	0.8496231286119851	0.6437758819682528	GSE36552	4	0.6437758819682528	7.065070096822345	0.4379286353245204	0.8496231286119851	0.8303856033831534	0.6451619759076852	0.5329623805491713	0.8496231286119851
8-cell embryo#3 -Cell#5(RPKM)	8-cell	7.177095636706198	11894	0.420037769605407	0.869215347876389	0.644626558740898	GSE36552	4	0.644626558740898	7.177095636706198	0.420037769605407	0.869215347876389	0.8319041348127003	0.6626625796665148	0.5111890649570582	0.869215347876389
8-cell embryo#3 -Cell#6(RPKM)	8-cell	6.978278104731092	10500	0.2814829539807176	0.8389858671012578	0.5602344105409877	GSE36552	4	0.5602344105409877	6.978278104731092	0.2814829539807176	0.8389858671012578	0.6812568695182165	0.631603351110132	0.3425668319825813	0.8389858671012578
8-cell embryo#3 -Cell#7(RPKM)	8-cell	6.975905231456775	10732	0.304542292018686	0.8450866275028237	0.5748144597607548	GSE36552	4	0.5748144597607548	6.975905231456775	0.304542292018686	0.8450866275028237	0.7072835152390234	0.6312326613996714	0.37063021652352723	0.8450866275028237
8-cell embryo#3 -Cell#8(RPKM)	8-cell	7.018294295284447	10274	0.2590199781333863	0.8741369618348456	0.566578469984116	GSE36552	4	0.566578469984116	7.018294295284447	0.2590199781333863	0.8741369618348456	0.692581562944778	0.6378546710817934	0.3152292246280391	0.8741369618348456
Morulae #1 -Cell#1(RPKM)	morula	7.390338796214678	11935	0.4241129112414273	0.7631263117036418	0.5936196114725345	GSE36552	5	0.5936196114725345	7.390338796214678	0.4241129112414273	0.7631263117036418	0.7408523334200315	0.6959753763975813	0.516148542397484	0.7631263117036418
Morulae #1 -Cell#2(RPKM)	morula	6.963312130782786	11219	0.3529470231587317	0.8315211161500551	0.5922340696543934	GSE36552	5	0.5922340696543934	6.963312130782786	0.3529470231587317	0.8315211161500551	0.7383790217399016	0.6292653701443109	0.4295391314866336	0.8315211161500551
Morulae #1 -Cell#3(RPKM)	morula	6.043055337031272	10646	0.2959944339528874	0.4186553069842276	0.3573248704685575	GSE36552	5	0.3573248704685575	6.043055337031272	0.2959944339528874	0.4186553069842276	0.3190458348889836	0.4855030680789631	0.36022741018507315	0.4186553069842276
Morulae #1 -Cell#4(RPKM)	morula	7.171558714068406	13173	0.5471623099095517	0.7884628666185178	0.6678125882640348	GSE36552	5	0.6678125882640348	7.171558714068406	0.5471623099095517	0.7884628666185178	0.8732931978381326	0.6617976029011472	0.6659005685254626	0.7884628666185178
Morulae #1 -Cell#5(RPKM)	morula	6.943670886083606	11780	0.4087068879833018	0.8332109988487382	0.62095894341602	GSE36552	5	0.62095894341602	6.943670886083606	0.4087068879833018	0.8332109988487382	0.7896553995833431	0.6261970194702866	0.4973992984153864	0.8332109988487382
Morulae #1 -Cell#6(RPKM)	morula	7.1337492178177655	10669	0.2982804890169963	0.8445082433484823	0.5713943661827393	GSE36552	5	0.5713943661827393	7.1337492178177655	0.2982804890169963	0.8445082433484823	0.7011783531407819	0.6558910121996924	0.3630095560662876	0.8445082433484823
Morulae #1 -Cell#7(RPKM)	morula	6.9260592777263685	11303	0.3612960938276513	0.8848018693362354	0.6230489815819433	GSE36552	5	0.6230489815819433	6.9260592777263685	0.3612960938276513	0.8848018693362354	0.7933862980232264	0.62344573811306	0.4397000120962864	0.8848018693362354
Morulae #1 -Cell#8(RPKM)	morula	6.227148805502779	9260	0.1582347679157141	0.3626818135625245	0.2604582907391193	GSE36552	5	0.2604582907391193	6.227148805502779	0.1582347679157141	0.3626818135625245	0.14613063310857147	0.5142621068628752	0.19257288012580132	0.3626818135625245
Morulae #2 -Cell#1(RPKM)	morula	6.972624936403684	11627	0.3934996521220554	0.8853034100658809	0.6394015310939681	GSE36552	5	0.6394015310939681	6.972624936403684	0.3934996521220554	0.8853034100658809	0.8225770096845015	0.630720214470197	0.47889198016209017	0.8853034100658809
Morulae #2 -Cell#2(RPKM)	morula	6.97393190142404	11583	0.3891263293907166	0.913973283375144	0.6515498063829304	GSE36552	5	0.6515498063829304	6.97393190142404	0.3891263293907166	0.913973283375144	0.8442627291425667	0.630924388241389	0.47356961412846255	0.913973283375144
