sample_name	stage	s_rna	detected_genes	detected_gene_score	marker_score	potency_score
Average Morulae(RPKM)	morula	7.04929044249311	17081	0.9355928834111917	0.8923763183973472	0.9139846009042695
Morulae #1 -Cell#1(RPKM)	morula	7.390338796214678	11935	0.4241129112414273	0.7631263117036418	0.5936196114725345
Morulae #1 -Cell#2(RPKM)	morula	6.963312130782786	11219	0.3529470231587317	0.8315211161500551	0.5922340696543934
Morulae #1 -Cell#3(RPKM)	morula	6.043055337031272	10646	0.2959944339528874	0.41865530698422765	0.35732487046855754
Morulae #1 -Cell#4(RPKM)	morula	7.171558714068406	13173	0.5471623099095517	0.7884628666185178	0.6678125882640348
Morulae #1 -Cell#5(RPKM)	morula	6.943670886083606	11780	0.40870688798330185	0.8332109988487382	0.62095894341602
Morulae #1 -Cell#6(RPKM)	morula	7.1337492178177655	10669	0.29828048901699633	0.8445082433484823	0.5713943661827393
Morulae #1 -Cell#7(RPKM)	morula	6.9260592777263685	11303	0.3612960938276513	0.8848018693362354	0.6230489815819433
Morulae #1 -Cell#8(RPKM)	morula	6.227148805502779	9260	0.15823476791571414	0.36268181356252455	0.26045829073911936
Morulae #2 -Cell#1(RPKM)	morula	6.972624936403684	11627	0.39349965212205545	0.8853034100658809	0.6394015310939681
Morulae #2 -Cell#2(RPKM)	morula	6.97393190142404	11583	0.3891263293907166	0.913973283375144	0.6515498063829304
Morulae #2 -Cell#3(RPKM)	morula	6.873222120379129	11003	0.33147798429579567	0.9226808246394308	0.6270794044676132
Morulae #2 -Cell#4(RPKM)	morula	6.7435927845178	10439	0.27541993837590695	0.919734617791859	0.5975772780838831
Morulae #2 -Cell#5(RPKM)	morula	7.062187762964723	10315	0.26309511976940664	0.8754587034243877	0.5692769115968972
Morulae #2 -Cell#6(RPKM)	morula	6.689467496965568	11706	0.40135175429877745	0.9209592742184899	0.6611555142586336
Morulae #2 -Cell#7(RPKM)	morula	6.752968712865	12473	0.4775867210018885	1.0	0.7387933605009442
Morulae #2 -Cell#8(RPKM)	morula	6.898380258425139	10913	0.32253255143623893	0.9427184213314077	0.6326254863838233
Average epiblast(RPKM)	blastocyst	6.85625943988557	12760	0.5061127124540304	0.8338753698089162	0.6699940411314733
FC(epiblast/Primitive endoderm)	blastocyst	5.673239763835312	13812	0.6106748832124044	0.19983081022480362	0.405252846718604
FC(epiblast/Trophectoderm)	blastocyst	5.449125225592369	14792	0.7080807076831329	0.45797101032513915	0.5830258590041361
