source	target	weight	same_chr	same_gene	entropy_similarity	age_weight_similarity	genomic_similarity	same_context_score	source_gene	target_gene
cluster_4593	cluster_6020	0.796271978734893	False	False	0.9569614993153384	0.994980027866153	0.0	0.5	CRYBA2	NKX2-5
cluster_6020	cluster_3967	0.7957087383840655	False	False	0.9253314089243765	0.9616221505548045	0.0	1.0	NKX2-5	IFI30
cluster_1406	cluster_2355	0.7955161964749202	False	False	0.9187326316958846	0.9889332391506351	0.0	1.0	NXF1	CDH24
cluster_5215	cluster_4909	0.7951418870664362	False	False	0.9165857282792383	0.9957410912328752	0.0	1.0	SYNPR	KRTAP20-3
cluster_3336	cluster_5966	0.7951009440306565	False	False	0.947353219133326	0.8621423439599637	0.0	1.0	NEUROD2	PCDHGA1
cluster_950	cluster_3519	0.7948119375266312	False	False	0.9535576823895224	0.9999962931562772	0.0	0.5	MYOF	DNAH17-AS1
cluster_6406	cluster_6410	0.7947150716189069	True	False	0.8843689625617108	0.8913594710656291	0.361713252939504	1.0	LRFN2	NCR2
cluster_7072	cluster_832	0.7946599511346503	False	False	0.9242891048146067	0.9591468867010391	0.0	1.0	LOC100506937	ST8SIA6
cluster_4899	cluster_6400	0.7946057105702121	False	False	0.9285078284328513	0.9405041472590581	0.0	1.0	LINC00320	PNPLA1
cluster_3928	cluster_4889	0.7944584347788666	False	False	0.9363712946613418	0.9054472883266284	0.0	1.0	TRMT1	UCKL1
cluster_618	cluster_3336	0.794277095254316	False	False	0.9386864103957665	0.8942061899804515	0.0	1.0	TRIM17	NEUROD2
cluster_3133	cluster_2355	0.7940248761593266	False	False	0.9140811602438633	0.9991474800054354	0.0	1.0	CYBA	CDH24
cluster_3766	cluster_3762	0.7939849229381557	True	False	0.865127156907513	0.9998761173679305	0.816708533430826	0.0	ABCA7	CFD
cluster_4420	cluster_2004	0.7939156269355201	False	False	0.9731074555485488	0.9093052055264222	0.0	0.5	SMYD1	ZNF664-RFLNA
cluster_4373	cluster_6960	0.7938500542094347	False	False	0.9261649973175305	0.9456187063535983	0.0	1.0	FSHR	CCDC146
cluster_1586	cluster_5024	0.7938307411300174	False	False	0.9137030864625614	0.9994915661956829	0.0	1.0	DSCAML1	RFPL2
cluster_5307	cluster_3336	0.793808709931893	False	False	0.9663548232571636	0.9378538320982439	0.0	0.5	ZIC4	NEUROD2
cluster_543	cluster_6604	0.793613693333948	False	False	0.9531921233063062	0.9935920878989934	0.0	0.5	MIR181A1HG	RPS6KA2
cluster_6020	cluster_6871	0.7935370102875626	False	False	0.9623308127507016	0.7868132133307096	0.0	1.0	NKX2-5	HOXA11-AS
cluster_3967	cluster_5760	0.7934754798587355	False	False	0.9137326276842322	0.9969951457598968	0.0	1.0	IFI30	LINC02116
cluster_7504	cluster_6400	0.7929916359203688	False	False	0.9664460048241705	0.9320115518977192	0.0	0.5	ST18	PNPLA1
cluster_883	cluster_123	0.7926444908771784	False	False	0.9503836031445669	0.9993009922213993	0.0	0.5	CHAT	ESPN
cluster_950	cluster_4907	0.7922681353301256	False	False	0.9542069294506914	0.980224207914508	0.0	0.5	MYOF	KRTAP13-4
cluster_2727	cluster_5966	0.7920072602318073	False	False	0.927761422286102	0.9264155716389397	0.0	1.0	MAN2A2	PCDHGA1
cluster_6871	cluster_618	0.7918906630711612	False	False	0.9319764442969849	0.9073731618541401	0.0	1.0	HOXA11-AS	TRIM17
cluster_3275	cluster_4904	0.7918227341514508	False	False	0.9199641882359979	0.9589734119870139	0.0	1.0	MYH1	KRTAP25-1
cluster_1688	cluster_883	0.7917077594591063	False	False	0.9320785651248373	0.9057112808530802	0.0	1.0	WNT5B	CHAT
cluster_3660	cluster_2637	0.791604905597938	False	False	0.9105023471465273	0.9985225330179676	0.0	1.0	DSC1	SLC24A5
cluster_5928	cluster_3660	0.7908513304344031	False	False	0.9171794525391511	0.9645645752263656	0.0	1.0	CTXN3	DSC1
cluster_3967	cluster_3978	0.79081231329768	True	False	0.8324015486694971	0.9724506515660716	0.5388370892759613	1.0	IFI30	COMP
cluster_6532	cluster_6171	0.7902926711179903	True	False	0.9164234898385256	0.9641160181529902	3.297658007023473e-54	1.0	SYNE1	OR2H2
cluster_6020	cluster_5760	0.7900927538757105	True	False	0.9221084782692461	0.9381482866713363	6.600969119582855e-75	1.0	NKX2-5	LINC02116
cluster_950	cluster_6114	0.789938291804704	False	False	0.9461579769665104	0.9995707118431482	0.0	0.5	MYOF	RREB1
cluster_5307	cluster_3369	0.7897955075527054	False	False	0.9564023113231221	0.9542267012845068	0.0	0.5	ZIC4	KCNH4
cluster_7683	cluster_126	0.7897631647763221	False	False	0.9102121931786695	0.9875015947345793	0.0	1.0	ARID3C	PLEKHG5
cluster_4028	cluster_3336	0.7894828612809215	False	False	0.9083518318346155	0.9936944705894758	0.0	1.0	SELENOV	NEUROD2
cluster_123	cluster_23	0.7893396262671284	True	False	0.9500346974947161	0.9757218924670554	0.004587890255045049	0.5	ESPN	TTLL10
cluster_3303	cluster_3978	0.7892282572813653	False	False	0.9504064699440565	0.9764270121181898	0.0	0.5	PYY2	COMP
cluster_5608	cluster_4899	0.7889786009873115	False	False	0.9230125434771326	0.9268029848478352	0.0	1.0	ANK2	LINC00320
cluster_4364	cluster_2637	0.7889632287488189	False	False	0.9138856840748278	0.9662502273345385	0.0	1.0	SLC3A1	SLC24A5
cluster_293	cluster_3303	0.7888064525573704	False	False	0.9463434151410938	0.9912215514377295	0.0	0.5	LINC01389	PYY2
cluster_3967	cluster_618	0.7887452057885365	False	False	0.9058535588330869	0.9996026169801994	0.0	1.0	IFI30	TRIM17
cluster_3362	cluster_5400	0.7886124877617844	False	False	0.9483536034247113	0.8145509702381468	0.0	1.0	KRT19	SLC49A3
