sample_id	stage	A_raw	n_age_regions_used	Hm_raw	rna_stage	Hr_raw	P_raw	A	P	Hm	Hr	stage_order
GSM2146951	MII oocyte	0.11352489095731612	53	0.0056708234835052	oocyte	7.449759663543185	0.3800385144532175	0.29208699515091285	0.07901047344004108	0.044199657425772296	1.0	0
GSM2146952	MII oocyte	0.255877712483568	64	0.0127830587668289	oocyte	7.449759663543185	0.3800385144532175	0.658345068955101	0.07901047344004108	0.146741620546834	1.0	0
GSM2146953	MII oocyte	0.16913068746989168	56	0.0087179920241325	oocyte	7.449759663543185	0.3800385144532175	0.4351545627950693	0.07901047344004108	0.08813277151288719	1.0	0
GSM2146954	MII oocyte	0.16289481727703384	70	0.007156954042573	oocyte	7.449759663543185	0.3800385144532175	0.41911035811516506	0.07901047344004108	0.0656262186839929	1.0	0
GSM2481556	MII oocyte	0.09673621652474461	50	0.0047553083354326	oocyte	7.449759663543185	0.3800385144532175	0.2488915916915912	0.07901047344004108	0.031000049031129545	1.0	0
GSM2481557	MII oocyte	0.12542615185016484	41	0.0036733090786659	oocyte	7.449759663543185	0.3800385144532175	0.32270762383758794	0.07901047344004108	0.0154001253131198	1.0	0
GSM2481570	MII oocyte	0.1271171469922606	59	0.0054237686256449	oocyte	7.449759663543185	0.3800385144532175	0.3270583674120103	0.07901047344004108	0.0406376984755404	1.0	0
GSM2481581	MII oocyte	0.15641972763683926	76	0.007727444711476	oocyte	7.449759663543185	0.3800385144532175	0.40245066824108855	0.07901047344004108	0.07385137305546403	1.0	0
GSM2481586	MII oocyte	0.10512969876715297	40	0.0062495548350848	oocyte	7.449759663543185	0.3800385144532175	0.27048709366797613	0.07901047344004108	0.05254362335865194	1.0	0
GSM2481587	MII oocyte	0.17368063888356527	46	0.006491520770695	oocyte	7.449759663543185	0.3800385144532175	0.4468610848211706	0.07901047344004108	0.05603221183435536	1.0	0
GSM2481588	MII oocyte	0.10962611883826498	55	0.0074047362725163	oocyte	7.449759663543185	0.3800385144532175	0.2820558854671346	0.07901047344004108	0.06919866465530032	1.0	0
GSM2481589	MII oocyte	0.1302082502885626	58	0.0044630586925992	oocyte	7.449759663543185	0.3800385144532175	0.3350114344962799	0.07901047344004108	0.026786485938267223	1.0	0
GSM2481590	MII oocyte	0.23789524933568354	56	0.0049908582968719	oocyte	7.449759663543185	0.3800385144532175	0.612078179095216	0.07901047344004108	0.034396134016634786	1.0	0
GSM2481591	MII oocyte	0.16368015481282508	59	0.0049429263111256	oocyte	7.449759663543185	0.3800385144532175	0.4211309447818788	0.07901047344004108	0.03370506577733725	1.0	0
GSM2481614	MII oocyte	0.05001534285225756	27	0.0063507391498206	oocyte	7.449759663543185	0.3800385144532175	0.12868394835676458	0.07901047344004108	0.05400246686659893	1.0	0
