module_id	TF	motif_database	motif_id	motif_name	log_odds_ratio	pvalue	motif_hit_count	foreground_nonhit_count	background_hit_count	background_nonhit_count	threshold	n_matched_background_sets	qvalue
M01	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	Nanog	-0.012184996765893123	0.771726013944462	1	20	14	196	9.825502574619618	10	1.0
M02	DUXA	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0884.2	DUXA	-0.09452992366471737	0.7904028943705801	1	29	15	285	7.098280621607371	10	1.0
M01	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	CDX2	-1.6658602475710635	0.9999999999999417	0	21	14	196	11.698930056913118	10	1.0
M12	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	Nanog	0.2515387669959644	0.999999999999969	0	4	3	37	8.744137092732633	10	1.0
M12	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0142.1	Pou5f1::Sox2	0.7749334443652268	0.9999999999999792	0	4	2	38	10.825450491018952	10	1.0
M12	DUX4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0468.1	DUX4	0.7749334443652268	0.9999999999999792	0	4	2	38	3.6662007814141333	10	1.0
M12	KLF5	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0599.1	KLF5	0.7749334443652268	0.9999999999999792	0	4	2	38	8.290071990046075	10	1.0
M12	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	TFAP2C	0.7749334443652268	0.9999999999999792	0	4	2	38	-1.1383116521926737	10	1.0
M12	ZSCAN4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1155.1	ZSCAN4	0.7749334443652268	0.9999999999999792	0	4	2	38	3.133817560440688	10	1.0
M12	DUXA	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0884.2	DUXA	0.7749334443652268	0.9999999999999792	0	4	2	38	4.036943312199101	10	1.0
M12	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	CDX2	0.7749334443652268	0.9999999999999792	0	4	2	38	9.849161800536047	10	1.0
M12	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	SOX2	0.7749334443652268	0.9999999999999792	0	4	2	38	10.892842394823143	10	1.0
M12	KLF17	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1514.2	KLF17	0.7749334443652268	0.9999999999999792	0	4	2	38	4.088566367211262	10	1.0
M12	KLF4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0039.5	KLF4	0.7749334443652268	0.9999999999999792	0	4	2	38	7.015156661556596	10	1.0
M12	NR3C2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0727.2	NR3C2	0.7749334443652268	0.9999999999999792	0	4	2	38	-8.787649660070343	10	1.0
M12	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	OTX2	0.7749334443652268	0.9999999999999792	0	4	2	38	7.793836360465383	10	1.0
M12	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	Gata3	0.7749334443652268	0.9999999999999792	0	4	2	38	9.485063541663825	10	1.0
M12	PRDM14	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1998.2	Prdm14	0.7749334443652268	0.9999999999999792	0	4	2	38	7.71087874809631	10	1.0
M01	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0142.1	Pou5f1::Sox2	-1.309581774536765	0.9999999999999892	0	21	11	199	11.879069192411558	10	1.0
M01	ZSCAN4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1155.1	ZSCAN4	-1.309581774536765	0.9999999999999892	0	21	11	199	3.928961184173936	10	1.0
M01	DUXA	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0884.2	DUXA	-1.309581774536765	0.9999999999999892	0	21	11	199	8.205793150870399	10	1.0
M01	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	SOX2	-1.309581774536765	0.9999999999999892	0	21	11	199	11.833399535024732	10	1.0
M01	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	Gata3	-1.309581774536765	0.9999999999999892	0	21	11	199	11.150825521639089	10	1.0
M05	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	SOX2	-0.05018575716821663	0.9999999999999992	0	6	4	56	12.679900961206219	10	1.0
M05	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1115.2	POU5F1	-0.05018575716821663	0.9999999999999992	0	6	4	56	12.829125583136944	10	1.0
