sample_id	PC1	PC2	PC3	stage	n_regions_covered	s_epi_sample	s_epi_age_sample	age_projection_sample	latent_age_axis
GSM2146951	-0.6571403337832434	3.546705562499949	0.43899410268409167	MII oocyte	53	0.0942871735135394	0.0975116959081899	0.15697492359634	-0.6571403337832434
GSM2146952	2.818315866394879	4.582350254394172	-0.6330890368398726	MII oocyte	64	0.209755308443613	0.216956679883189	0.0169078834330764	2.818315866394879
GSM2146953	1.6017813209934388	3.156239023181235	-1.717099796952133	MII oocyte	56	0.1142369573284271	0.1032546645136946	-0.0848728098742502	1.6017813209934388
GSM2146954	-0.10152350538125088	3.8282411744009788	1.5081623053253348	MII oocyte	70	0.1378978208121616	0.1337032348825928	-0.0429448142550001	-0.10152350538125088
GSM2481556	-0.5592579320283635	2.3307130672140417	-0.43021221163907675	MII oocyte	50	0.1113272520936873	0.0911898810593346	0.060632360945396	-0.5592579320283635
GSM2481557	-1.0446811389652781	1.5787251765066743	0.5728709671451383	MII oocyte	41	0.1039889238398813	0.1067078660013393	0.0512180933095891	-1.0446811389652781
GSM2481570	-0.6254284713265523	2.1506246081694433	1.3400307239267597	MII oocyte	59	0.0888813714171739	0.1025674911884662	4.857082139243213e-06	-0.6254284713265523
GSM2481581	-0.9978708912810391	4.560041894874811	0.7142038449533111	MII oocyte	76	0.1015926922471361	0.1111963578628913	0.070830531073336	-0.9978708912810391
GSM2481586	-0.5606145571311267	2.494790903170492	-0.84193150523441	MII oocyte	40	0.0719832230038517	0.0838248364222833	0.0509109652821666	-0.5606145571311267
GSM2481587	-0.1507421379015213	2.905197522346564	1.6788328868513251	MII oocyte	46	0.1040693819506699	0.1270801557944552	0.0489265676233382	-0.1507421379015213
GSM2481588	-0.5116272287979433	3.66991207964693	0.10156562184574355	MII oocyte	55	0.0930804224294513	0.0841790497292872	0.0103954385799042	-0.5116272287979433
GSM2481589	-1.450709312893248	4.463210529041437	1.4908128950737864	MII oocyte	58	0.1048781966990483	0.1002770060320218	0.0267536364397715	-1.450709312893248
GSM2481590	1.393017861587003	3.5368518152881836	-0.9438013748314302	MII oocyte	56	0.1844118539811813	0.1709587884726903	-0.0411080914251304	1.393017861587003
GSM2481591	0.2387004542245993	4.533068698372896	1.216123001475527	MII oocyte	59	0.141732727394595	0.1534459542869958	0.0347481409992476	0.2387004542245993
GSM2481614	0.5257135377672405	-0.2926285800235407	1.738521069380596	MII oocyte	27	0.0473863476297267	0.0435478643541196	0.3264377189974937	0.5257135377672405
GSM2481615	1.4744134663956603	2.288038969867033	1.1457949221552342	MII oocyte	44	0.1490016942890958	0.1559498270777416	0.0059553622682092	1.4744134663956603
GSM2986307	34.103517819088886	3.812023462764834	-9.740849867000264	MII oocyte	150	0.3051862891302391	0.3127272801574304	0.2518742451253773	34.103517819088886
GSM2986308	-0.26272543453259656	3.1178908324221313	0.6504855669262859	MII oocyte	73	0.1154752274745667	0.1063042745056647	-0.0179652063774717	-0.26272543453259656
GSM2986309	-1.3399003677240227	4.923676180860899	2.3375064181752836	MII oocyte	98	0.1008281310923973	0.1058217176605962	0.0945044921743063	-1.3399003677240227
GSM2986310	-1.4858731754616583	4.8871278027821345	0.24503827181858137	MII oocyte	83	0.0862556627462585	0.0726088177633242	0.0563902902668279	-1.4858731754616583
GSM2986311	-0.8809110873705411	5.450177432157695	2.5072793437606506	MII oocyte	98	0.1115799783971815	0.1191046933792166	0.0944003591750339	-0.8809110873705411
GSM2986312	-1.3591706802176475	7.601175897439655	0.7242499468495222	MII oocyte	103	0.088471671133654	0.0975278159920877	0.0689768544226685	-1.3591706802176475
GSM2986313	-1.0627417956658514	6.497435926667343	2.1583639364437106	MII oocyte	100	0.1040672401989746	0.128400308299243	0.0951329244435558	-1.0627417956658514
GSM2986314	-1.3653289057608424	6.053961582299096	0.37023539806132233	MII oocyte	102	0.1364065457611675	0.1411390678638336	0.114380226722888	-1.3653289057608424
GSM2986315	14.615174265259395	2.9477819152116793	-4.491515126544925	MII oocyte	115	0.2976654910897374	0.3187376828334163	0.1641589475949114	14.615174265259395
GSM2986316	0.07089642458371911	4.975392707591188	0.3372284788734877	MII oocyte	95	0.1239541181376797	0.1639875751304736	0.0773553882683156	0.07089642458371911
GSM2986317	1.1930421159400362	3.1325572553601106	1.546970346790873	MII oocyte	53	0.1294776211017833	0.1465852067540291	0.0370103812605205	1.1930421159400362
GSM2986318	0.6460011673219171	2.810003751487592	-0.3628890456505989	MII oocyte	46	0.0738215996048794	0.0840260508041443	-0.1084579607033952	0.6460011673219171
GSM2986319	2.041493880513395	7.41126628959244	0.37001299604765364	MII oocyte	68	0.103909641905857	0.1063583932777624	0.0140936474167796	2.041493880513395
GSM2986320	0.33143365289387994	4.205813474520312	1.812566843646058	MII oocyte	55	0.0927186962522483	0.079625861483397	-0.0350995297347778	0.33143365289387994
GSM2986321	2.5410541892358602	4.247258146257884	3.047717425635018	MII oocyte	61	0.1227063066105695	0.1173842580391892	0.1268516143317562	2.5410541892358602
GSM2986322	0.44119314608204324	2.272252729663111	-0.8550423448834129	MII oocyte	57	0.1158277405262527	0.0989823342482379	0.0836851316066079	0.44119314608204324
GSM2986323	2.0634574983034506	4.887097022513609	1.222394733937479	MII oocyte	61	0.1357509388686744	0.1380073919135578	0.0846801132832218	2.0634574983034506
GSM2986324	2.1783160552061442	5.76398587528826	-1.761244511088124	MII oocyte	70	0.1169510293293539	0.1307751554933436	0.0181069485274641	2.1783160552061442
GSM2986325	0.009589243566903004	3.6028587806197274	0.595200448003217	MII oocyte	58	0.0968255276970275	0.1150182816169848	-0.0380906106801917	0.009589243566903004
GSM2986326	-0.39831524265454915	3.720584613345771	1.5108906192963876	MII oocyte	64	0.0971158287258595	0.0999144106198471	0.0451977228773634	-0.39831524265454915
GSM2481554	-0.9258225853118213	1.122066119722936	1.1578789237996434	zygote/PN	52	0.069365777917562	0.0900701358072922	0.1239653529161102	-0.9258225853118213
GSM2481555	1.8346602528186056	-1.5402441359554935	0.11491099614467551	zygote/PN	41	0.1416744404832331	0.1483455236384931	0.0742435277172153	1.8346602528186056
GSM2481558	5.113312250638441	-2.8119585634441444	1.5830536012159269	zygote/PN	49	0.1723120715469216	0.1905837820024217	0.019018035228704	5.113312250638441
GSM2481559	0.47114874830249137	1.3772602947010926	3.3847146777374064	zygote/PN	56	0.0321054307773563	0.0272749273949374	0.1388110086376557	0.47114874830249137
GSM2481560	2.383138942360877	-3.1639520445390956	0.6231148483243671	zygote/PN	55	0.2370289641880556	0.2211595558012171	0.0441302421388447	2.383138942360877
GSM2481561	-1.1878002638091483	2.302299208605473	0.3474554513854265	zygote/PN	42	0.0500634108490265	0.0313551623219642	0.1153883282860533	-1.1878002638091483
GSM2481562	-1.2332171242232655	4.509358599379924	0.2010084959881651	zygote/PN	85	0.0769118025881709	0.0571123039666791	0.0930570032667658	-1.2332171242232655
GSM2481563	7.285512150632999	-3.79158075100064	1.6997869725874934	zygote/PN	62	0.1693798183990314	0.1803638871181732	0.116431499061225	7.285512150632999
GSM2481564	-2.247940882006926	3.8097527341676396	0.019117105560037432	zygote/PN	89	0.0836688166037958	0.097009587055676	0.0753200927190648	-2.247940882006926
GSM2481565	5.573698937796879	-4.017684066550569	5.792568395951958	zygote/PN	51	0.2727926848975277	0.2636834170151159	0.0710439857889548	5.573698937796879
GSM2481566	-2.3550133859181153	1.8195103353075923	-0.45227076073377404	zygote/PN	81	0.0941358097416835	0.0850275323594856	0.0982348581212894	-2.3550133859181153
GSM2481567	1.2546069251507814	-0.4493646820882108	-1.117163088115107	zygote/PN	30	0.0843432096580775	0.0705427940842506	-0.050441551937319	1.2546069251507814
GSM2481571	4.421607678374039	-6.308525793141121	3.642771073479965	zygote/PN	74	0.1800291949645878	0.1851133348161111	0.3095081910478536	4.421607678374039
GSM2481572	-0.5132734826426627	0.8047324938915547	-0.09907761902754622	zygote/PN	60	0.0762013223062325	0.0675983295313371	0.1248650108225457	-0.5132734826426627
GSM2481573	-1.3071811073707722	4.473537886898548	0.774437694040787	zygote/PN	74	0.1066972592383633	0.1070576857690703	0.1756293755009053	-1.3071811073707722
GSM2481574	2.5621139256667553	-4.287946323675776	2.7958541936199244	zygote/PN	50	0.0960129435407243	0.0892546497694961	0.0381640130690737	2.5621139256667553
GSM2481575	0.4234954965179233	0.7358702192038382	1.1402088644654513	zygote/PN	56	0.0763496108743923	0.0820806953544702	0.1487998339741408	0.4234954965179233
GSM2481576	3.2705441939931847	-1.6759369831874653	0.10463773544086469	zygote/PN	42	0.2076355243616231	0.1877395340334581	0.1186844252540513	3.2705441939931847
GSM2481577	6.99284061859448	-5.8657311010950295	2.0560509525736475	zygote/PN	80	0.1999023346451741	0.1993861174380125	0.1830105020709873	6.99284061859448
GSM2481578	-0.14279913470499542	3.6431802134596145	-0.15281134835002586	zygote/PN	63	0.1383830831280099	0.1611199825648989	0.0538664354620238	-0.14279913470499542
GSM2986327	-2.4349742239802987	2.899156428500294	-0.024739084917839868	zygote/PN	86	0.0768079218522594	0.0683323677984081	0.1227499734167156	-2.4349742239802987
