stage	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed	filename
MII oocyte	cluster_6410	-0.021018304	0.0	31.0	0.0	2	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_6655	0.116026458	230.0	232.0	0.9913793103448276	10	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_5002	0.073881417	920.0	952.0	0.9663865546218487	28	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_2832	-0.020554218	26.0	264.0	0.09848484848484848	12	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_5400	-0.013997351	0.0	2.0	0.0	2	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_6114	0.03469714	3.0	3.0	1.0	1	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_7612	0.043674447	4.0	8.0	0.5	4	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_950	0.033547863	137.0	137.0	1.0	14	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
zygote/PN	cluster_3123	0.029691182	5.0	10.0	0.5	4	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_3519	0.033654647	105.0	149.0	0.7046979865771812	11	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_3133	-0.018315712	2.0	65.0	0.03076923076923077	6	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_3762	-0.027459185	28.0	226.0	0.12389380530973451	3	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_6262	-0.037492605	11.0	12.0	0.9166666666666666	1	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_643	0.045617076	21.0	31.0	0.6774193548387096	9	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_126	-0.021650446	4.0	17.0	0.23529411764705882	5	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_5760	-0.024623956	8.0	51.0	0.1568627450980392	2	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_6400	0.057841086	125.0	508.0	0.24606299212598426	14	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_5307	-0.024274621	7.0	131.0	0.05343511450381679	4	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_6871	-0.011480476	1.0	1.0	1.0	1	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_1257	-0.042734524	2.0	18.0	0.1111111111111111	3	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_832	0.093944091	40.0	40.0	1.0	6	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_6518	0.059909335	23.0	59.0	0.3898305084745763	7	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_4532	0.015502877	6.0	6.0	1.0	1	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_2324	-0.070097421	25.0	145.0	0.1724137931034483	11	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_3303	-0.028370305	29.0	175.0	0.1657142857142857	9	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
