sample_name	stage
Average Zygote(RPKM)	zygote
Average 2-cell embryo(RPKM)	2-cell
Average 4-cell embryo(RPKM)	4-cell
Average 8-cell embryo(RPKM)	8-cell
Average Morulae(RPKM)	morula
Average Trophectoderm(RPKM)	
Average Primitive endoderm(RPKM)	
Average epiblast(RPKM)	blastocyst
Average hESC passage#0(RPKM)	
Average hESC passage#10(RPKM)	
FC[Trophectoderm/(epiblast+Primitive endoderm)]	blastocyst
P-value[Trophectoderm/(epiblast+Primitive endoderm)]	blastocyst
FC(epiblast/Trophectoderm)	blastocyst
P-value(epiblast/Trophectoderm)	blastocyst
FC(epiblast/Primitive endoderm)	blastocyst
P-value(epiblast/Primitive endoderm)	blastocyst
FC(epiblast/hESC passage#0)	blastocyst
P-value(epiblast/hESC passage#0)	blastocyst
FC(hESC passage#0/hESC passage#10)	
P-value(hESC passage#0/hESC passage#10)	
