stage	sample	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_6114	0.03469714	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_6275	-0.032421038	6.0	10.0	0.6	2
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_7612	0.043674447	26.0	28.0	0.9285714285714286	26
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_950	0.033547863	41.0	42.0	0.9761904761904762	4
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_4889	-0.019214397	9.0	24.0	0.375	8
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_3123	0.029691182	32.0	33.0	0.9696969696969697	12
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_4026	-0.028841341	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_3519	0.033654647	53.0	112.0	0.4732142857142857	14
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_1007	0.020471085	2.0	2.0	1.0	1
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_6892	0.024035571	4.0	4.0	1.0	2
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_3133	-0.018315712	6.0	179.0	0.0335195530726257	8
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_3762	-0.027459185	0.0	14.0	0.0	2
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_6262	-0.037492605	5.0	5.0	1.0	1
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_643	0.045617076	168.0	190.0	0.8842105263157894	19
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_126	-0.021650446	25.0	35.0	0.7142857142857143	8
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_5760	-0.024623956	16.0	64.0	0.25	8
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_6400	0.057841086	173.0	225.0	0.7688888888888888	15
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_5307	-0.024274621	4.0	115.0	0.034782608695652174	12
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_4420	0.037238383	2.0	4.0	0.5	4
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_1257	-0.042734524	20.0	48.0	0.4166666666666667	7
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_832	0.093944091	67.0	120.0	0.5583333333333333	18
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_1718	0.013745268	20.0	20.0	1.0	7
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_6163	0.016966375	2.0	4.0	0.5	3
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_6518	0.059909335	67.0	105.0	0.638095238095238	9
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_5064	-0.024982701	24.0	38.0	0.631578947368421	8
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_4532	0.015502877	15.0	17.0	0.8823529411764706	6
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_2324	-0.070097421	48.0	139.0	0.34532374100719426	15
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_5656	-0.038815357	3.0	4.0	0.75	3
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_3303	-0.028370305	26.0	199.0	0.1306532663316583	12
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_7095	-0.064702969	46.0	86.0	0.5348837209302325	8
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_1851	-0.015637944	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_2355	-0.01669596	3.0	29.0	0.10344827586206896	2
