source	term_id	term_name	p_value_gprofiler	significant_gprofiler	term_size	query_size	intersection_size	precision	recall	representative_genes
GO:BP	GO:0043410	positive regulation of MAPK cascade	1.0	False	450	34	2	0.058823529411764705	0.0044444444444444444	FSHR,WNT7B
GO:BP	GO:0043412	macromolecule modification	1.0	False	2547	34	2	0.058823529411764705	0.0007852375343541421	ASPHD2,NR2F2
GO:BP	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	1.0	False	306	34	1	0.029411764705882353	0.0032679738562091504	FSHR
GO:BP	GO:0043542	endothelial cell migration	1.0	False	228	34	3	0.08823529411764706	0.013157894736842105	NR2F2,PLEKHG5,SMOC2
GO:BP	GO:0042326	negative regulation of phosphorylation	1.0	False	163	34	1	0.029411764705882353	0.006134969325153374	NR2F2
GO:BP	GO:0042330	taxis	1.0	False	458	34	3	0.08823529411764706	0.006550218340611353	PLEKHG5,WNT7B,SMOC2
GO:BP	GO:0042391	regulation of membrane potential	1.0	False	443	34	1	0.029411764705882353	0.002257336343115124	ANK2
GO:BP	GO:0042592	homeostatic process	1.0	False	1677	34	3	0.08823529411764706	0.0017889087656529517	ANK2,PNPLA1,WNT7B
GO:BP	GO:0042633	hair cycle	1.0	False	123	34	3	0.08823529411764706	0.024390243902439025	DSC1,ALX4,KRT25
GO:BP	GO:0042692	muscle cell differentiation	1.0	False	388	34	4	0.11764705882352941	0.010309278350515464	ANK2,WNT5B,SMYD1,NKX2-5
GO:BP	GO:0042693	muscle cell fate commitment	1.0	False	16	34	1	0.029411764705882353	0.0625	NKX2-5
GO:BP	GO:0042698	ovulation cycle	1.0	False	66	34	1	0.029411764705882353	0.015151515151515152	FSHR
GO:BP	GO:0043086	negative regulation of catalytic activity	1.0	False	233	34	1	0.029411764705882353	0.004291845493562232	NR2F2
GO:BP	GO:0050803	regulation of synapse structure or activity	1.0	False	305	34	1	0.029411764705882353	0.003278688524590164	LRFN2
GO:BP	GO:0046545	development of primary female sexual characteristics	1.0	False	109	34	2	0.058823529411764705	0.01834862385321101	FSHR,NR2F2
GO:BP	GO:0046503	glycerolipid catabolic process	1.0	False	67	34	1	0.029411764705882353	0.014925373134328358	PNPLA1
GO:BP	GO:0048644	muscle organ morphogenesis	1.0	False	78	34	1	0.029411764705882353	0.01282051282051282	NKX2-5
GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	1.0	False	1190	34	2	0.058823529411764705	0.0016806722689075631	SMOC2,NKX2-5
GO:BP	GO:0048663	neuron fate commitment	1.0	False	71	34	1	0.029411764705882353	0.014084507042253521	HOXD10
GO:BP	GO:0048665	neuron fate specification	1.0	False	35	34	1	0.029411764705882353	0.02857142857142857	HOXD10
GO:BP	GO:0048666	neuron development	1.0	False	1167	34	2	0.058823529411764705	0.001713796058269066	WNT7B,HOXD10
GO:BP	GO:0048667	cell morphogenesis involved in neuron differentiation	1.0	False	584	34	1	0.029411764705882353	0.0017123287671232876	WNT7B
GO:BP	GO:0048699	generation of neurons	1.0	False	1523	34	5	0.14705882352941177	0.003282994090610637	WNT5B,NR2F2,WNT7B,HOXD10,NKX2-5
GO:BP	GO:0048704	embryonic skeletal system morphogenesis	1.0	False	93	34	2	0.058823529411764705	0.021505376344086023	ALX4,HOXD10
GO:BP	GO:0048705	skeletal system morphogenesis	1.0	False	232	34	2	0.058823529411764705	0.008620689655172414	ALX4,HOXD10
GO:BP	GO:0048638	regulation of developmental growth	1.0	False	306	34	1	0.029411764705882353	0.0032679738562091504	NKX2-5
GO:BP	GO:0048468	cell development	1.0	False	2842	34	7	0.20588235294117646	0.0024630541871921183	ANK2,CCDC146,WNT5B,ARID3C,WNT7B,HOXD10,NKX2-5
