cluster_name	acc_2-cell_mean	acc_2-cell_max	acc_4-cell_mean	acc_4-cell_max	acc_8-cell_mean	acc_8-cell_max	acc_morula_mean	acc_morula_max	n_overlapping_peaks	meth_2_cell	meth_4_cell	meth_8_cell	meth_morula	meth_blastocyst	basin_residual_rank	observed_minus_strict_pred_delta_beta	latent_residual_delta_beta	module_id	curvature	is_inverted_u	is_u_shape
cluster_23	-0.026493400000000004	-0.026493400000000004	-1.115579509	-1.115579509	2.220037794	2.220037794	0.369485978	0.369485978	1	0.05129619816726705	0.0524742648655692	0.030524465929854788	0.015625	0.009393939393939394	103	-0.03906674878503307	0.010913730745669705	M06	0.008668405323794	False	False
cluster_67	0.2187777255	0.464048851	-0.5914560765	-0.067332644	2.2155337194999998	2.220037794	-0.0317472865	0.369485978	2	0.0	0.0	0.0	0.0	0.0	150	-0.0012369609491221685	0.0019896580789447228	M02	0.0	False	False
cluster_123	0.10294263933333332	0.464048851	-0.5330065333333334	-0.067332644	1.3854474539999997	2.220037794	0.39962103833333334	1.262357688	3	0.1120221483942414	0.05434557348256661	0.004228123342490015	0.0	0.020689655172413796	137	-0.041752154555935714	-0.004492636586901818	M11	0.024917778514903698	False	True
cluster_125	0.23064065799999994	0.464048851	0.27270601359999996	2.063498284	0.6398328168	2.220037794	-0.08456080660000005	1.262357688	5	0.1436201298701299	0.06098515519568151	0.13133261799928464	0.0	0.061904761904761886	27	-0.14792646439301052	-0.06392871898753896	M07	0.1932373799040464	False	True
cluster_126	0.35598331759999996	1.072076209	0.2567087068	2.063498284	0.7173916396	2.220037794	0.2250476056	1.262357688	5	0.1446877042414289	0.05454405243878927	0.04109879127278817	0.02083333333333333	0.054715761097247774	90	-0.05471843250863073	-0.013563527494417912	M06	0.0541478857033692	False	True
cluster_242	-0.05966876959999999	0.826731775	0.35110658010000007	2.283571819	0.5116068307500001	1.95188872	0.41439826474999997	1.5410953	20	0.2202475337961271	0.15296969696969698	0.5869483537904592	0.375	0.36	21	-0.012828975048512214	0.07736259075217462	M01	0.1969483537904592	False	False
cluster_293	0.058015507862068966	1.291496885	0.21877371020689662	2.283571819	0.3368900094482759	1.95188872	0.29688348013793103	2.02578997	29	0.0	0.01	0.01746031746031746	0.0	0.1	102	-0.02203752054197289	-0.011320331359549872	M00	0.1174603174603174	False	True
cluster_315	0.03968626125806451	1.291496885	0.22688468861290317	2.283571819	0.40914091658064516	1.95188872	0.2731706742258064	2.02578997	31	0.05892857142857143	0.02666666666666666	0.06666666666666668	0.0	0.08	144	-0.05958202073489599	-0.0035426819026432186	M00	0.1466666666666666	False	True
cluster_386	0.008130487967741913	1.291496885	0.19095777238709674	2.283571819	0.36720996322580646	1.95188872	0.22308891954838705	2.02578997	31	0.1248062015503876	0.05187878787878788	0.0367063492063492	0.05	0.09714285714285714	145	-0.013729640306405529	-0.0025304369417066693	M00	0.033849206349206296	False	False
cluster_483	0.09324450402439023	1.700892309	0.15266680897560975	1.445753234	0.37998318470731707	2.188053731	0.19028365353658538	2.204821917	41	0.09888888888888887	0.056	0.029629629629629624	0.0	0.0	80	-0.0794555491234829	-0.018269489425537275	M11	0.0296296296296296	False	False
