cluster_name	x_morula	x_blast_observed	x_blast_predicted	c_diag_blast	abs_c_diag_blast	module_id	basin_residual_rank	blast_residual_rank
cluster_1007	0.0	0.1015873015873016	0.06883064650807093	0.03275665507923067	0.03275665507923067	M00	94	125.0
cluster_1126	0.0	0.12433862433862433	0.06883064650807093	0.055507977830553404	0.055507977830553404	M00	91	101.0
cluster_123	0.0	0.020689655172413796	0.06883064650807093	-0.048140991335657135	0.048140991335657135	M11	137	108.0
cluster_125	0.0	0.061904761904761886	0.06883064650807093	-0.006925884603309042	0.006925884603309042	M07	27	149.0
cluster_1257	0.0	0.019047619047619046	0.06883064650807093	-0.04978302746045188	0.04978302746045188	M02	109	105.0
cluster_126	0.02083333333333333	0.054715761097247774	0.08052108210411811	-0.025805321006870337	0.025805321006870337	M06	90	134.0
cluster_1333	0.008064516129032258	0.025541346973572042	0.07335597641621823	-0.04781462944264619	0.04781462944264619	M04	62	109.0
cluster_1387	0.14285714285714285	0.0	0.14899363345239452	-0.14899363345239452	0.14899363345239452	M12	32	41.0
cluster_1406	0.4705882352941176	0.0	0.33289695644231326	-0.33289695644231326	0.33289695644231326	M07	120	15.0
cluster_1523	0.42857142857142855	0.06946996801647964	0.3093196073410417	-0.23984963932456205	0.23984963932456205	M06	53	26.0
cluster_1556	0.0	0.1	0.06883064650807093	0.031169353491929078	0.031169353491929078	M00	48	127.5
cluster_1564	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	123	75.0
cluster_1586	0.0	0.14	0.06883064650807093	0.07116935349192909	0.07116935349192909	M00	81	60.0
cluster_1607	0.5	0.01818181818181818	0.34940110081320347	-0.3312192826313853	0.3312192826313853	M06	98	16.0
cluster_1688	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	64	75.0
cluster_1715	0.0	0.04570760233918129	0.06883064650807093	-0.02312304416888964	0.02312304416888964	M06	60	138.0
cluster_1718	0.7	0.1214035087719298	0.4616292825352565	-0.3402257737633267	0.3402257737633267	M00	40	14.0
cluster_1742	0.25	0.16666666666666666	0.20911587366063722	-0.04244920699397056	0.04244920699397056	M08	13	113.0
cluster_1758	0.5	0.13333333333333333	0.34940110081320347	-0.21606776747987014	0.21606776747987014	M01	43	30.0
cluster_1764	0.5	0.5	0.34940110081320347	0.15059889918679653	0.15059889918679653	M15	34	40.0
cluster_1806	0.5	0.021052631578947368	0.34940110081320347	-0.3283484692342561	0.3283484692342561	M06	66	19.0
cluster_1851	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	130	75.0
