particle_id	stage	rna_stage	dna_sample_id	rna_sample_name	A	Hm	P	Hr	A_raw	Hm_raw	P_raw	Hr_raw	stage_order
MII_oocyte:0000	MII oocyte	oocyte	GSM2146951	Oocyte #1(RPKM)	0.2920869951509128	0.0441996574257722	0.3163801439601027	0.694639604700115	0.1135248909573161	0.0056708234835052	0.3558315583696919	7.381788202896162	0
MII_oocyte:0001	MII oocyte	oocyte	GSM2146951	Oocyte #2(RPKM)	0.2920869951509128	0.0441996574257722	0.3301224893014873	0.7095020837447127	0.1135248909573161	0.0056708234835052	0.363529979196631	7.476926477091045	0
MII_oocyte:0002	MII oocyte	oocyte	GSM2146951	Oocyte #3(RPKM)	0.2920869951509128	0.0441996574257722	0.3606560991269658	0.7099377008908028	0.1135248909573161	0.0056708234835052	0.3806348162504794	7.479714966370953	0
MII_oocyte:0003	MII oocyte	oocyte	GSM2146952	Oocyte #1(RPKM)	0.658345068955101	0.146741620546834	0.3163801439601027	0.694639604700115	0.255877712483568	0.0127830587668289	0.3558315583696919	7.381788202896162	0
MII_oocyte:0004	MII oocyte	oocyte	GSM2146952	Oocyte #2(RPKM)	0.658345068955101	0.146741620546834	0.3301224893014873	0.7095020837447127	0.255877712483568	0.0127830587668289	0.363529979196631	7.476926477091045	0
MII_oocyte:0005	MII oocyte	oocyte	GSM2146952	Oocyte #3(RPKM)	0.658345068955101	0.146741620546834	0.3606560991269658	0.7099377008908028	0.255877712483568	0.0127830587668289	0.3806348162504794	7.479714966370953	0
MII_oocyte:0006	MII oocyte	oocyte	GSM2146953	Oocyte #1(RPKM)	0.4351545627950693	0.0881327715128871	0.3163801439601027	0.694639604700115	0.1691306874698916	0.0087179920241325	0.3558315583696919	7.381788202896162	0
MII_oocyte:0007	MII oocyte	oocyte	GSM2146953	Oocyte #2(RPKM)	0.4351545627950693	0.0881327715128871	0.3301224893014873	0.7095020837447127	0.1691306874698916	0.0087179920241325	0.363529979196631	7.476926477091045	0
MII_oocyte:0008	MII oocyte	oocyte	GSM2146953	Oocyte #3(RPKM)	0.4351545627950693	0.0881327715128871	0.3606560991269658	0.7099377008908028	0.1691306874698916	0.0087179920241325	0.3806348162504794	7.479714966370953	0
MII_oocyte:0009	MII oocyte	oocyte	GSM2146954	Oocyte #1(RPKM)	0.419110358115165	0.0656262186839929	0.3163801439601027	0.694639604700115	0.1628948172770338	0.007156954042573	0.3558315583696919	7.381788202896162	0
MII_oocyte:0010	MII oocyte	oocyte	GSM2146954	Oocyte #2(RPKM)	0.419110358115165	0.0656262186839929	0.3301224893014873	0.7095020837447127	0.1628948172770338	0.007156954042573	0.363529979196631	7.476926477091045	0
