particle_id	stage	A	Hm	P	Hr	to_stage	vA	vHm	vP	vHr
MII_oocyte:0000	MII oocyte	0.2920869951509128	0.0441996574257722	0.3163801439601027	0.694639604700115	zygote/PN	0.0013085642667183817	0.04577748905250127	0.08166546165883382	0.001159347032032354
MII_oocyte:0001	MII oocyte	0.2920869951509128	0.0441996574257722	0.3301224893014873	0.7095020837447127	zygote/PN	0.0013085642667182706	0.045777489052501216	0.06792010805940446	-0.013693419833557208
MII_oocyte:0002	MII oocyte	0.2920869951509128	0.0441996574257722	0.3606560991269658	0.7099377008908028	zygote/PN	0.0013085642667182151	0.045777489052501216	0.0374078047844662	-0.01415461385534833
MII_oocyte:0003	MII oocyte	0.658345068955101	0.146741620546834	0.3163801439601027	0.694639604700115	zygote/PN	0.10249359233678523	0.0367274555771242	0.08166546165883393	0.001159347032032576
MII_oocyte:0004	MII oocyte	0.658345068955101	0.146741620546834	0.3301224893014873	0.7095020837447127	zygote/PN	0.10249359233678534	0.0367274555771242	0.06792010805940446	-0.013693419833557208
MII_oocyte:0005	MII oocyte	0.658345068955101	0.146741620546834	0.3606560991269658	0.7099377008908028	zygote/PN	0.10249359233678568	0.036727455577124285	0.03740780478446637	-0.01415461385534822
MII_oocyte:0006	MII oocyte	0.4351545627950693	0.0881327715128871	0.3163801439601027	0.694639604700115	zygote/PN	0.10980096450046911	0.05986036843860264	0.08166546165883382	0.001159347032032132
MII_oocyte:0007	MII oocyte	0.4351545627950693	0.0881327715128871	0.3301224893014873	0.7095020837447127	zygote/PN	0.10980096450046922	0.05986036843860261	0.06792010805940446	-0.013693419833556986
MII_oocyte:0008	MII oocyte	0.4351545627950693	0.0881327715128871	0.3606560991269658	0.7099377008908028	zygote/PN	0.10980096450046911	0.05986036843860258	0.0374078047844662	-0.014154613855348441
MII_oocyte:0009	MII oocyte	0.419110358115165	0.0656262186839929	0.3163801439601027	0.694639604700115	zygote/PN	0.08713184767692733	0.07136485587602495	0.0816654616588337	0.001159347032032243
MII_oocyte:0010	MII oocyte	0.419110358115165	0.0656262186839929	0.3301224893014873	0.7095020837447127	zygote/PN	0.08713184767692722	0.07136485587602492	0.0679201080594043	-0.013693419833557208
MII_oocyte:0011	MII oocyte	0.419110358115165	0.0656262186839929	0.3606560991269658	0.7099377008908028	zygote/PN	0.08713184767692733	0.07136485587602492	0.03740780478446626	-0.014154613855348441
MII_oocyte:0012	MII oocyte	0.2488915916915912	0.0310000490311295	0.3163801439601027	0.694639604700115	zygote/PN	0.010777087044994138	0.051888420884533715	0.08166546165883376	0.001159347032032354
MII_oocyte:0013	MII oocyte	0.2488915916915912	0.0310000490311295	0.3301224893014873	0.7095020837447127	zygote/PN	0.010777087044994027	0.05188842088453373	0.06792010805940446	-0.013693419833556986
MII_oocyte:0014	MII oocyte	0.2488915916915912	0.0310000490311295	0.3606560991269658	0.7099377008908028	zygote/PN	0.010777087044994083	0.051888420884533756	0.03740780478446637	-0.01415461385534833
MII_oocyte:0015	MII oocyte	0.3227076238375879	0.0154001253131198	0.3163801439601027	0.694639604700115	zygote/PN	-0.0006228649402950093	0.07815657719142886	0.08166546165883382	0.001159347032032354
MII_oocyte:0016	MII oocyte	0.3227076238375879	0.0154001253131198	0.3301224893014873	0.7095020837447127	zygote/PN	-0.0006228649402949538	0.07815657719142888	0.06792010805940452	-0.013693419833556875
MII_oocyte:0017	MII oocyte	0.3227076238375879	0.0154001253131198	0.3606560991269658	0.7099377008908028	zygote/PN	-0.0006228649402950648	0.07815657719142884	0.037407804784466314	-0.01415461385534833
MII_oocyte:0018	MII oocyte	0.3270583674120103	0.0406376984755404	0.3163801439601027	0.694639604700115	zygote/PN	0.0034049708099007647	0.05636275993930159	0.08166546165883382	0.001159347032032354
MII_oocyte:0019	MII oocyte	0.3270583674120103	0.0406376984755404	0.3301224893014873	0.7095020837447127	zygote/PN	0.0034049708099006537	0.056362759939301565	0.06792010805940452	-0.013693419833557097
MII_oocyte:0020	MII oocyte	0.3270583674120103	0.0406376984755404	0.3606560991269658	0.7099377008908028	zygote/PN	0.003404970809900598	0.05636275993930158	0.037407804784466314	-0.01415461385534833
MII_oocyte:0021	MII oocyte	0.4024506682410885	0.073851373055464	0.3163801439601027	0.694639604700115	zygote/PN	0.06942355740436967	0.05645166406817721	0.08166546165883382	0.001159347032032243
