morula_A_mean	morula_P_mean	morula_reset_score_A_minus_P	morula_A_rank_lowest_is_1	morula_P_rank_highest_is_1	morula_reset_rank_lowest_is_1	bridge_mean_transport_A	bridge_mean_transport_Hm	bridge_mean_transport_P	bridge_mean_transport_Hr	bridge_mean_squared_displacement	iteration
0.22009996912883772	0.7197672267490188	-0.4996672576201811	1	2	1	-0.2117633616446732	-0.10415199530921522	-0.057142944549915545	-0.01644916662200086	0.15481834476480344	0
0.24721112529669453	0.7252411712652793	-0.4780300459685848	1	2	1	-0.20198089419661677	-0.08367110576035883	-0.04856305459619436	-0.0255236568712422	0.1589659411788979	1
0.23993125910313512	0.7471465615042842	-0.507215302401149	1	2	1	-0.1898220956882695	-0.08926268903925288	-0.02948339581798401	-0.017851359944950046	0.13437568812121287	2
0.26851804622287406	0.7326596424689477	-0.4641415962460736	1	2	1	-0.17495329883083952	-0.06289501037459025	-0.034002989438936135	-0.01894152762310706	0.1316292093921866	3
0.23871612222742483	0.7564424371069609	-0.5177263148795361	1	2	1	-0.20514582016533625	-0.10172256991143186	-0.019150124117881133	-0.014548866268460877	0.14422174716566802	4
0.235861437466696	0.7366825346528761	-0.5008210971861802	1	2	1	-0.214421723589646	-0.10779763059318215	-0.03565668160365999	-0.018375660062542314	0.15970075306242038	5
0.2410530639122006	0.7531406354220963	-0.5120875715098957	1	2	1	-0.20882817728346525	-0.11085801895376465	-0.01811035203634345	-0.011068643076723813	0.13803934013347346	6
0.24562623112870277	0.7365401655424093	-0.49091393441370657	1	2	1	-0.20084550996737577	-0.08527984427506052	-0.03559524712237104	-0.020714595259434636	0.15049803255480038	7
0.2555990807168461	0.7197900612983302	-0.4641909805814841	1	2	1	-0.18931584848081848	-0.09168526299270482	-0.052812285819140124	-0.018091403373824654	0.1476291609300688	8
0.23451897374226335	0.7250460515148627	-0.4905270777725993	1	2	1	-0.20095292999885464	-0.09485866932841552	-0.048781397515609115	-0.02652394812688669	0.15218791394069975	9
0.23739052799563579	0.7421526161492152	-0.5047620881535795	1	2	1	-0.20110960574853592	-0.07082933724188767	-0.03344157999203008	-0.01631899005828912	0.1441828185391226	10
0.24606616598825126	0.7592808812389025	-0.5132147152506512	1	2	1	-0.20295346834709044	-0.1084258795476852	-0.012360512614913253	-0.02157841453709165	0.14131271946528107	11
