particle_id	stage	A	Hm	P	Hr	to_stage	vA	vHm	vP	vHr
MII_oocyte:0000	MII oocyte	0.2920869951509128	0.0441996574257722	0.3163801439601027	0.694639604700115	zygote/PN	0.0013085644450546163	0.04577748909083337	0.08166546165883376	0.001159347032032354
MII_oocyte:0001	MII oocyte	0.2920869951509128	0.0441996574257722	0.3301224893014873	0.7095020837447127	zygote/PN	0.0013085644450545608	0.04577748909083336	0.0679201080594043	-0.013693419833557208
MII_oocyte:0002	MII oocyte	0.2920869951509128	0.0441996574257722	0.3606560991269658	0.7099377008908028	zygote/PN	0.0013085644450546718	0.04577748909083337	0.03740780478446626	-0.01415461385534822
MII_oocyte:0003	MII oocyte	0.658345068955101	0.146741620546834	0.3163801439601027	0.694639604700115	zygote/PN	0.10249359268036973	0.03672745569489411	0.08166546165883398	0.001159347032032354
MII_oocyte:0004	MII oocyte	0.658345068955101	0.146741620546834	0.3301224893014873	0.7095020837447127	zygote/PN	0.10249359268036973	0.036727455694894134	0.06792010805940463	-0.013693419833556986
MII_oocyte:0005	MII oocyte	0.658345068955101	0.146741620546834	0.3606560991269658	0.7099377008908028	zygote/PN	0.10249359268036962	0.036727455694894134	0.03740780478446637	-0.01415461385534822
MII_oocyte:0006	MII oocyte	0.4351545627950693	0.0881327715128871	0.3163801439601027	0.694639604700115	zygote/PN	0.10980096526890254	0.05986036862825202	0.08166546165883365	0.001159347032032354
MII_oocyte:0007	MII oocyte	0.4351545627950693	0.0881327715128871	0.3301224893014873	0.7095020837447127	zygote/PN	0.10980096526890276	0.059860368628252045	0.06792010805940446	-0.013693419833556986
MII_oocyte:0008	MII oocyte	0.4351545627950693	0.0881327715128871	0.3606560991269658	0.7099377008908028	zygote/PN	0.10980096526890265	0.05986036862825202	0.037407804784466314	-0.01415461385534822
MII_oocyte:0009	MII oocyte	0.419110358115165	0.0656262186839929	0.3163801439601027	0.694639604700115	zygote/PN	0.08713184843294813	0.07136485605978476	0.08166546165883398	0.001159347032032576
MII_oocyte:0010	MII oocyte	0.419110358115165	0.0656262186839929	0.3301224893014873	0.7095020837447127	zygote/PN	0.0871318484329478	0.07136485605978474	0.0679201080594044	-0.013693419833556986
MII_oocyte:0011	MII oocyte	0.419110358115165	0.0656262186839929	0.3606560991269658	0.7099377008908028	zygote/PN	0.0871318484329478	0.07136485605978474	0.03740780478446626	-0.014154613855348441
MII_oocyte:0012	MII oocyte	0.2488915916915912	0.0310000490311295	0.3163801439601027	0.694639604700115	zygote/PN	0.010777087143396702	0.05188842090540231	0.08166546165883376	0.001159347032032132
MII_oocyte:0013	MII oocyte	0.2488915916915912	0.0310000490311295	0.3301224893014873	0.7095020837447127	zygote/PN	0.010777087143396757	0.05188842090540233	0.06792010805940457	-0.013693419833557097
MII_oocyte:0014	MII oocyte	0.2488915916915912	0.0310000490311295	0.3606560991269658	0.7099377008908028	zygote/PN	0.010777087143396702	0.0518884209054023	0.03740780478446615	-0.01415461385534833
MII_oocyte:0015	MII oocyte	0.3227076238375879	0.0154001253131198	0.3163801439601027	0.694639604700115	zygote/PN	-0.0006228646669465543	0.07815657725058596	0.08166546165883376	0.001159347032032354
MII_oocyte:0016	MII oocyte	0.3227076238375879	0.0154001253131198	0.3301224893014873	0.7095020837447127	zygote/PN	-0.0006228646669466098	0.07815657725058593	0.06792010805940446	-0.013693419833556986
MII_oocyte:0017	MII oocyte	0.3227076238375879	0.0154001253131198	0.3606560991269658	0.7099377008908028	zygote/PN	-0.0006228646669464988	0.07815657725058596	0.03740780478446637	-0.014154613855348108
MII_oocyte:0018	MII oocyte	0.3270583674120103	0.0406376984755404	0.3163801439601027	0.694639604700115	zygote/PN	0.0034049711121409976	0.056362760006738996	0.08166546165883382	0.001159347032032465
MII_oocyte:0019	MII oocyte	0.3270583674120103	0.0406376984755404	0.3301224893014873	0.7095020837447127	zygote/PN	0.0034049711121409976	0.056362760006739024	0.06792010805940446	-0.013693419833557097
MII_oocyte:0020	MII oocyte	0.3270583674120103	0.0406376984755404	0.3606560991269658	0.7099377008908028	zygote/PN	0.0034049711121409976	0.05636276000673905	0.037407804784466425	-0.01415461385534822
MII_oocyte:0021	MII oocyte	0.4024506682410885	0.073851373055464	0.3163801439601027	0.694639604700115	zygote/PN	0.06942355811717865	0.056451664241961866	0.08166546165883393	0.001159347032032354
