transition_tested	A_drop_rank_largest_is_1	reset_entry_rank_largest_is_1	destination_reset_rank_lowest_is_1	mean_transport_A	mean_transport_P	reset_entry_score	p_min	p_min_definition	iteration
8-cell -> morula	1	1	1	-0.19539297256383212	-0.06494417454777954	0.19539297256383212	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	36
8-cell -> morula	1	1	1	-0.2132894440922746	-0.03212096578627177	0.23730416298089843	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	37
8-cell -> morula	1	1	1	-0.17642257740374864	-0.022269168534362754	0.1852742088779172	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	38
8-cell -> morula	1	1	1	-0.19831199851304301	-0.052643729448678296	0.21005977982059773	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	39
8-cell -> morula	1	1	1	-0.23490973619112107	-0.06465821610091112	0.2398696921275366	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	40
8-cell -> morula	1	1	1	-0.18793972965318725	-0.046820816509762594	0.20983807557066433	0.7011783531407819	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	41
8-cell -> morula	1	1	1	-0.18294864096107108	-0.03790746424353091	0.19538701747586937	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	42
8-cell -> morula	1	1	1	-0.1853581107561431	-0.06003315935252769	0.1853581107561431	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	43
8-cell -> morula	1	1	1	-0.18023409566931722	-0.04526546895025499	0.18830875450474702	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	44
8-cell -> morula	1	1	1	-0.1985619257886994	-0.05611496128947323	0.20310821684189767	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	45
8-cell -> morula	1	1	1	-0.20832058417472593	-0.04372790534204611	0.21372925414491034	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	46
8-cell -> morula	1	1	1	-0.1642348439367806	-0.03822327491620817	0.18718663849844178	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	47
8-cell -> morula	1	1	1	-0.19759065718990362	-0.042552058781219745	0.22319959079585258	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	48
8-cell -> morula	1	1	1	-0.21719865566266155	-0.052459451773296896	0.21719865566266155	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	49
8-cell -> morula	1	1	1	-0.20678568175404724	-0.047537199326408874	0.20678568175404724	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	50
8-cell -> morula	1	1	1	-0.2127440380726563	-0.07096264823315487	0.2127440380726563	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	51
8-cell -> morula	1	1	1	-0.20269122037477943	-0.0562781971149386	0.21106330487963537	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	52
8-cell -> morula	1	1	1	-0.19062204622073078	-0.04726461902467113	0.19136237258140346	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	53
8-cell -> morula	1	1	1	-0.18716010156921625	-0.05094733784584598	0.18716010156921625	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	54
8-cell -> morula	1	1	1	-0.19254968748667942	-0.03208889437657761	0.19587129263021083	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	55
8-cell -> morula	1	1	1	-0.20827129515053788	-0.010858355201580995	0.2482272258132927	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	56
8-cell -> morula	1	1	1	-0.16755820869813864	-0.02007627514834842	0.18364652731391395	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	57
8-cell -> morula	1	1	1	-0.16600635410523673	-0.013677675294701677	0.18514801386812157	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	58
8-cell -> morula	1	1	1	-0.2263641350411173	-0.02772624956773786	0.26358471677804574	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	59
8-cell -> morula	1	1	1	-0.19655443771620432	-0.060673416991276374	0.19894256340619856	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	60
8-cell -> morula	1	1	1	-0.18803136174058638	-0.023837278554557667	0.19929629300731827	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	61
8-cell -> morula	1	1	1	-0.2164333425893002	-0.05427748206728584	0.22585546035119725	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	62
8-cell -> morula	1	1	1	-0.2260300524215947	-0.014417125557287422	0.27614333159276805	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	63
8-cell -> morula	1	1	1	-0.18355193539978434	-0.015456120677656678	0.23355290645749785	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	64
8-cell -> morula	1	1	1	-0.2024384165563698	-0.05322804698588397	0.21509942572983914	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	65
8-cell -> morula	1	1	1	-0.2344545254791908	-0.04224028151343536	0.2344545254791908	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	66
8-cell -> morula	1	1	1	-0.21621474353854533	-0.05439960467690361	0.22451417564686274	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	67
8-cell -> morula	1	1	1	-0.1951489514133686	-0.04446622225048184	0.1951489514133686	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	68
8-cell -> morula	1	1	1	-0.20480872568545294	-0.023714904087969356	0.24562341149642053	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	69
8-cell -> morula	1	1	1	-0.2019459309399103	-0.038113014197193304	0.2275976632354637	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	70
8-cell -> morula	1	1	1	-0.21144329556406216	-0.03338524000469108	0.21408800929363903	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	71
8-cell -> morula	1	1	1	-0.2143771269446495	-0.021962318015063632	0.22436829728248397	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	72
8-cell -> morula	1	1	1	-0.2132690952010159	-0.047718039125930985	0.2132690952010159	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	73
8-cell -> morula	1	1	1	-0.2275809068611809	-0.07498119500870046	0.2275809068611809	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	74
8-cell -> morula	1	1	1	-0.177185244660224	-0.038394021669400966	0.177185244660224	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	75
8-cell -> morula	1	1	1	-0.19452206682932835	-0.0577101738320536	0.20149275418575105	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	76
8-cell -> morula	1	1	1	-0.195165145910363	-0.04875510560961267	0.20875552498663735	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	77
8-cell -> morula	1	1	1	-0.20873348732096034	-0.08329294544487582	0.20873348732096034	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	78
8-cell -> morula	1	1	1	-0.20381114310075749	-0.022413105363328054	0.24434929045186743	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	79
8-cell -> morula	1	1	1	-0.209138356563796	-0.042268917451289946	0.23420284664380878	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	80
