gene	tt2iLGo_A485_effect	tt2iLGo_A485_abs_effect	tt2iLGo_A485_p	TSC_A485_effect	TSC_A485_abs_effect	TSC_A485_p	tt2iLGo_dmAKG_effect	tt2iLGo_dmAKG_abs_effect	tt2iLGo_dmAKG_p	TSC_dmAKG_effect	TSC_dmAKG_abs_effect	TSC_dmAKG_p	A485_mean_abs_effect	dmAKG_mean_abs_effect	max_abs_effect	mean_abs_effect_all	mean_logcpm	n_human_dmr	age_weight_5yr	contribution_8cell_to_morula	weight_norm_matched	is_csb
AADACL2-AS1	0.7561377586172909	0.7561377586172909	0.3517310037785613	-0.5332857960763189	0.5332857960763189	0.29127086858776924	0.9097830786128553	0.9097830786128553	0.036200284045178215	-0.16923389154729418	0.16923389154729418	0.8519652773576613	0.644711777346805	0.5395084850800748	0.9097830786128553	0.6374919808419277	1.425460186342582					False
AADACL3	1.2163284797151335	1.2163284797151335	0.04378363212596696	0.9488519614762687	0.9488519614762687	0.09386905182770126	0.6611370294965773	0.6611370294965773	0.42990363732131787	1.128594839447444	1.128594839447444	0.17734152756333696	1.082590220595701	0.8948659344720107	1.2163284797151335	1.0212424207026098	3.1384924577955933					False
AADACL4	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
AADACP1	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
AADAT	0.5795034416830607	0.5795034416830607	0.014507185412748189	0.5788795126326036	0.5788795126326036	0.057150863842227784	0.18125726299417266	0.18125726299417266	0.5950429042884645	0.054919592182180565	0.054919592182180565	0.5442044427117827	0.5791914771578321	0.11808842758817661	0.5795034416830607	0.38162045084586954	5.623038861578832					False
AAGAB	0.014135756090542628	0.014135756090542628	0.8372874760161191	0.024493090085323743	0.024493090085323743	0.7361081283072434	0.16338767815931732	0.16338767815931732	0.32102632634430905	0.029379850694089882	0.029379850694089882	0.7205168150871185	0.019314423087933186	0.0963837644267036	0.16338767815931732	0.07292603438617538	8.779504814342827					False
AAK1	0.7117799057939074	0.7117799057939074	0.07286079231732476	0.8134079814223139	0.8134079814223139	0.03071913428024013	0.4131852395987927	0.4131852395987927	0.010255738546791652	0.9560321520043864	0.9560321520043864	0.04076245699116765	0.7625939436081106	0.6846086958015896	0.9560321520043864	0.7568057243190696	7.781250532625279					False
AAMDC	0.4966339023761144	0.4966339023761144	0.06913473434110917	-0.20542606826767162	0.20542606826767162	0.19553997980611884	-0.23675293206725456	0.23675293206725456	0.566259947950741	-0.6437823453918856	0.6437823453918856	0.12218285759957552	0.351029985321893	0.4402676387295701	0.6437823453918856	0.43109645964946786	5.373964732829312					False
AAMP	0.06609828770867843	0.06609828770867843	0.4143713774827387	0.002043416022953437	0.002043416022953437	0.9491225556032601	-0.007271414522840303	0.007271414522840303	0.9799540484362099	0.12341115302000993	0.12341115302000993	0.16431275583910085	0.03407085186581593	0.06534128377142512	0.12341115302000993	0.0602353657045333	10.279279634031873					False
AANAT	0.2769053441852255	0.2769053441852255	0.30672663049472904	0.2673010666548431	0.2673010666548431	0.29204843348631654	-0.3206355990006968	0.3206355990006968	0.4043004513116041	0.1440042189485161	0.1440042189485161	0.49999999999999956	0.2721032054200343	0.23231990897460647	0.3206355990006968	0.2619864203120884	0.5817011843251779					False
AAR2	0.34282883035903566	0.34282883035903566	0.05003156020217712	0.0747822081480507	0.0747822081480507	0.5148515555534022	-0.08907247785634809	0.08907247785634809	0.7190657770119032	-0.08352826327814356	0.08352826327814356	0.4040142154265504	0.20880551925354318	0.08630037056724582	0.34282883035903566	0.17544949997448608	8.428591798948949					False
AARD	0.6225145718544682	0.6225145718544682	0.21813421546316955	-0.5787881255281593	0.5787881255281593	0.2665579816668545	-0.7682648213250363	0.7682648213250363	0.2707925934878631	-0.6518893601369584	0.6518893601369584	0.25897809724684046	0.6006513486913138	0.7100770907309973	0.7682648213250363	0.6714928770845672	1.240774401638259					False
AARS1	-0.22744950259084007	0.22744950259084007	0.0990004674944108	-0.48148825882753954	0.48148825882753954	0.1198514048019013	0.18514162734802575	0.18514162734802575	0.6711941270005051	-0.4517248367150941	0.4517248367150941	0.041572222527410226	0.3544688807091898	0.31843323203155993	0.48148825882753954	0.3571706567213984	11.288156671470219					False
AARS1P1	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
AARS2	-0.2810369589431634	0.2810369589431634	0.03454119513974764	-0.5382187205597138	0.5382187205597138	0.03931838129843412	-0.037405211794107274	0.037405211794107274	0.906850347336044	-0.7316311376791909	0.7316311376791909	0.06652140291790523	0.40962783975143857	0.38451817473664907	0.7316311376791909	0.44486702587763627	9.652576252362035					False
AARSD1	-0.2631627456629837	0.2631627456629837	0.34313375931310064	-0.08350921455984439	0.08350921455984439	0.8105670869588322	0.3564346093546966	0.3564346093546966	0.43894133756534437	-0.3988990600351152	0.3988990600351152	0.3553749497394856	0.17333598011141405	0.3776668346949059	0.3988990600351152	0.2931296434934393	2.820894037954606					False
AARSD1P1	-0.03490916962352142	0.03490916962352142	0.896440117001474	0.07818228527650145	0.07818228527650145	0.8635361056063485	-0.3747088415391183	0.3747088415391183	0.36327347210518823	0.28635442311514114	0.28635442311514114	0.0036771452397588475	0.056545727450011435	0.33053163232712973	0.3747088415391183	0.21942013155293452	0.24221437008433075					False
AASDH	-0.29808445013326423	0.29808445013326423	0.14274155606485533	0.06512021206497653	0.06512021206497653	0.12945709389634255	-0.029513407562409277	0.029513407562409277	0.5365744376051569	-0.25613233846930505	0.25613233846930505	0.07733856037958196	0.18160233109912038	0.14282287301585717	0.29808445013326423	0.18162286606831385	6.892133224976443					False
AASDH-DT	0.400121892819826	0.400121892819826	0.5002758787596225	-0.09473348501827972	0.09473348501827972	0.8875782907115581	0.4057654661668262	0.4057654661668262	0.20892880715099588	0.2616603278338504	0.2616603278338504	0.5508053511146893	0.24742768891905287	0.3337128970003383	0.4057654661668262	0.307026746275	0.871666114175755					False
AASDHPPT	0.15372212996139645	0.15372212996139645	0.33505166406845033	0.018522683216735558	0.018522683216735558	0.8718911499464723	0.0676166667300464	0.0676166667300464	0.5820806138105779	0.08361037286491069	0.08361037286491069	0.4233941382331562	0.086122406589066	0.07561351979747855	0.15372212996139645	0.0912757013030043	8.633228164526255					False
AASDHPPT-AS1	-0.4753697055320225	0.4753697055320225	0.17628548815883124	-0.13145779080674705	0.13145779080674705	0.49999999999999956	0.15248880600204273	0.15248880600204273	0.49999999999999956	0.38764268567806653	0.38764268567806653	0.21692188347676583	0.30341374816938477	0.2700657458400546	0.4753697055320225	0.3136868839371916	0.2147497747215491					False
AASS	-1.0228202032802205	1.0228202032802205	0.028639613558737877	-0.21257753604370677	0.21257753604370677	0.22926599833997907	-0.34805070189503695	0.34805070189503695	0.5490821878117632	-0.11504927128062636	0.11504927128062636	0.17234687525381093	0.6176988696619636	0.23154998658783166	1.0228202032802205	0.510080967432801	8.877786105001366					False
AATBC	-0.07377473763966724	0.07377473763966724	0.915085926317323	0.2517100943633005	0.2517100943633005	0.7065033245511022	-0.8743206545785728	0.8743206545785728	0.2909155419148198	-0.13753239046448235	0.13753239046448235	0.49999999999999956	0.16274241600148387	0.5059265225215276	0.8743206545785728	0.41147535287822956	0.48487122376589104					False
AATF	0.05948061058981402	0.05948061058981402	0.5538230266264965	0.28257444146257704	0.28257444146257704	0.16221640783469352	0.3866896777778841	0.3866896777778841	0.14629940115655352	0.26225435213133075	0.26225435213133075	0.1342627286501997	0.17102752602619553	0.3244720149546074	0.3866896777778841	0.2675983286743276	8.111294573537615					False
AATK	0.29659183392401833	0.29659183392401833	0.27837411557333397	-0.7726509344913328	0.7726509344913328	0.20849879479175526	-0.8088660108725507	0.8088660108725507	0.20283290819597302	-0.41379130072096826	0.41379130072096826	0.5427981580262743	0.5346213842076756	0.6113286557967594	0.8088660108725507	0.6066737329836938	1.2612061130718906					False
ABAT	0.09980416219333144	0.09980416219333144	0.6161398819641866	-0.5856333514717704	0.5856333514717704	0.2533676798256942	-0.29195172945825565	0.29195172945825565	0.49085309153282897	-0.8162285503826983	0.8162285503826983	0.018541943965471423	0.34271875683255093	0.554090139920477	0.8162285503826983	0.5009507486631117	5.185101455900066					False
ABCA1	-1.0987836516262135	1.0987836516262135	0.02948579015083092	-0.1687996722732752	0.1687996722732752	0.44907128334358004	0.08819645306417634	0.08819645306417634	0.4425538227727409	-0.619482607874934	0.619482607874934	0.4004739514830645	0.6337916619497443	0.3538395304695552	1.0987836516262135	0.5802396041263017	9.113976215096422					False
ABCA10	0.0	0.0		-0.13145779080674705	0.13145779080674705	0.49999999999999956	-0.13399066018968947	0.13399066018968947	0.49999999999999956	0.01222338524060343	0.01222338524060343	0.9552706549593839	0.06572889540337352	0.07310702271514645	0.13399066018968947	0.07864263064932134	0.06724068426113539					False
ABCA11P	1.15995048542526	1.15995048542526	0.01833165048368875	-0.08863056957580717	0.08863056957580717	0.5828732968319834	0.3345678031698469	0.3345678031698469	0.16344139601599808	0.037825936308660824	0.037825936308660824	0.9333208079867051	0.6242905275005336	0.18619686973925387	1.15995048542526	0.5130589538778032	1.9355622779867652					False
ABCA12	4.3039721167888505	4.3039721167888505	0.012257841969175856	0.9909818404018953	0.9909818404018953	0.016003580641597237	0.849949706924402	0.849949706924402	0.17677716435112986	0.8478907182416389	0.8478907182416389	0.2918850707041266	2.647476978595373	0.8489202125830204	4.3039721167888505	2.1133090986177185	1.4863998051108487					False
ABCA13	-0.5871022513530133	0.5871022513530133	0.5077376673990929	-0.5061075901468035	0.5061075901468035	0.1577352844158975	0.4965259684630623	0.4965259684630623	0.2543485739227164	-0.7941874062378038	0.7941874062378038	0.10572376223584168	0.5466049207499084	0.6453566873504331	0.7941874062378038	0.6242960329341182	3.4519859880390773					False
ABCA15P	0.27146195978787435	0.27146195978787435	0.49999999999999956	-0.02653635586737857	0.02653635586737857	0.9387189272550037	-0.6628945832341984	0.6628945832341984	0.2703073434381446	0.09666595877762685	0.09666595877762685	0.8322361166230215	0.14899915782762646	0.3797802710059126	0.6628945832341984	0.32131898139068793	0.5092002232761722					False
ABCA17P	-1.6058435630239263	1.6058435630239263	0.20556953611643913	-0.6636192867917448	0.6636192867917448	0.1566058356597942	0.5060216431263656	0.5060216431263656	0.18455054050779177	-0.4192340006074895	0.4192340006074895	0.04875368833500489	1.1347314249078355	0.4626278218669275	1.6058435630239263	0.9139887576211737	1.7771437952506148					False
ABCA2	-0.4516013875925191	0.4516013875925191	0.32669373340081165	-0.6070323043314172	0.6070323043314172	0.12009282376530372	0.044241905351880106	0.044241905351880106	0.8944404600746655	-0.3412019142421805	0.3412019142421805	0.12376824478822872	0.5293168459619682	0.1927219097970303	0.6070323043314172	0.39616408165834466	6.100091941254431					False
ABCA3	0.6175408254549435	0.6175408254549435	0.15817196641367653	-1.1487246048617656	1.1487246048617656	0.07459002042662749	1.223929704640259	1.223929704640259	0.031759477124806146	-1.4478511043900868	1.4478511043900868	0.017223362252896144	0.8831327151583546	1.335890404515173	1.4478511043900868	1.1578457804872382	5.989271273436264					False
ABCA3P1	0.0	0.0		-0.13145779080674705	0.13145779080674705	0.49999999999999956	-0.3932069873514715	0.3932069873514715	0.49999999999999956	-0.13012681892602163	0.13012681892602163	0.49999999999999956	0.06572889540337352	0.2616669031387466	0.3932069873514715	0.19648491185397596	0.08184894963553002					False
ABCA4	-0.009065108756828533	0.009065108756828533	0.9877683483876942	2.672457842349022	2.672457842349022	0.09452060306310851	-0.0662893351802264	0.0662893351802264	0.8952982979149641	2.804538422332098	2.804538422332098	0.12138502594143044	1.3407614755529254	1.4354138787561623	2.804538422332098	1.5904377836084802	3.3082355245771358					False
ABCA5	1.0824492767424725	1.0824492767424725	0.07954973432757556	0.14676436026130846	0.14676436026130846	0.1746353082231069	-0.23692655838919174	0.23692655838919174	0.7914637395455153	0.2831853695476805	0.2831853695476805	0.2716182396200134	0.6146068185018905	0.2600559639684361	1.0824492767424725	0.5294910891647789	3.218199145648019					False
ABCA6	0.0	0.0		0.15869807075848913	0.15869807075848913	0.49999999999999956	0.2783000168654879	0.2783000168654879	0.49999999999999956	-0.13012681892602163	0.13012681892602163	0.49999999999999956	0.07934903537924456	0.20421341789575476	0.2783000168654879	0.1612839109557837	0.07089061331874982					False
ABCA7	1.0237856817396604	1.0237856817396604	0.054420351112902235	0.2748735918393024	0.2748735918393024	0.1581686808184743	0.4449880976511311	0.4449880976511311	0.39165083512392634	0.2883572759672166	0.2883572759672166	0.10310382074587028	0.6493296367894814	0.36667268680917386	1.0237856817396604	0.5816846646479465	7.128544647711275	1.0	-0.0268418479999999	0.0068190346454477	-0.0284987696296301	True
ABCA8	0.1479872144122747	0.1479872144122747	0.49999999999999956	0.0	0.0		0.0	0.0		0.0	0.0		0.07399360720613735	0.0	0.1479872144122747	0.05285257657581239	0.018498401801534337					False
ABCA9	0.0	0.0		0.0	0.0		-0.15609673326958437	0.15609673326958437	0.49999999999999956	0.0	0.0		0.0	0.07804836663479219	0.15609673326958437	0.05574883331056584	0.019512091658698046					False
ABCA9-AS1	0.3588483382813753	0.3588483382813753	0.30068967279824055	-1.4031996621821121	1.4031996621821121	0.048466647332798846	0.31288774333732206	0.31288774333732206	0.3013868838708632	-0.33503852711394244	0.33503852711394244	0.0338470467812432	0.8810240002317438	0.32396313522563225	1.4031996621821121	0.7168801526506058	0.5921930304090174					False
ABCB1	1.2995968590319515	1.2995968590319515	0.09676084482346156	-0.8608993098834252	0.8608993098834252	0.24799473383020337	0.38173186872636444	0.38173186872636444	0.023822263708208374	-0.7058320170177796	0.7058320170177796	0.3282473235361613	1.0802480844576885	0.543781942872072	1.2995968590319515	0.8816695630030333	1.1428012333699185					False
ABCB10	0.36232913800806266	0.36232913800806266	0.15236183597211345	0.09176049652472518	0.09176049652472518	0.07517830081247166	0.05089235373120893	0.05089235373120893	0.8518891333824847	-0.11826301026179742	0.11826301026179742	0.17109053149767398	0.22704481726639392	0.08457768199650317	0.36232913800806266	0.18531380511382198	7.928034194820602					False
ABCB10P1	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
ABCB10P3	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
ABCB10P4	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
ABCB11	0.0	0.0		0.0	0.0		0.0	0.0		0.14235020416662506	0.14235020416662506	0.49999999999999956	0.0	0.07117510208331253	0.14235020416662506	0.05083935863093752	0.017793775520828132					False
ABCB4	-0.058668601437181445	0.058668601437181445	0.9035750245202763	-0.6534008510646983	0.6534008510646983	0.34519264382126325	0.03135156909609457	0.03135156909609457	0.9406185141559961	0.7801246395992476	0.7801246395992476	0.179432738592336	0.35603472625093985	0.4057381043476711	0.7801246395992476	0.43792044734215435	0.559018292291665					False
ABCB5	0.0	0.0		0.1572428675378791	0.1572428675378791	0.6867961649060509	0.1825050104151742	0.1825050104151742	0.6696226531945462	-0.8713677216731891	0.8713677216731891	0.0965292650850448	0.07862143376893956	0.5269363660441817	0.8713677216731891	0.38400587444465034	0.2533391137440457					False
ABCB6	0.09596611581447867	0.09596611581447867	0.7647924016984983	0.16055096753698095	0.16055096753698095	0.4308538950907205	0.8424129084284688	0.8424129084284688	0.13274602386691353	0.36776108702828414	0.36776108702828414	0.426913830157994	0.1282585416757298	0.6050869977283765	0.8424129084284688	0.43463564666296967	2.3072915180656954					False
ABCB7	0.21807671958329422	0.21807671958329422	0.20835901151119915	-0.05720235317177824	0.05720235317177824	0.5267957853556382	0.23773568501105835	0.23773568501105835	0.3987551404956894	-0.06971142465022595	0.06971142465022595	0.27523937593956455	0.13763953637753623	0.15372355483064215	0.23773568501105835	0.15883213694794193	7.887198807881557					False
ABCB8	-0.4237430009901324	0.4237430009901324	0.04047842238186121	-0.40143892104077317	0.40143892104077317	0.08227354317749636	0.17742121782331743	0.17742121782331743	0.45152782715797346	-0.27453494842079706	0.27453494842079706	0.2897990205008229	0.4125909610154528	0.22597808312205725	0.4237430009901324	0.3342071619146661	9.169803814743425					False
ABCB9	0.8828601995588121	0.8828601995588121	0.08998587104599419	-0.004127442296467443	0.004127442296467443	0.9594029932891615	-0.11419681242404955	0.11419681242404955	0.3163586031205048	0.08539009471535053	0.08539009471535053	0.4659573322493952	0.4434938209276398	0.09979345356970004	0.8828601995588121	0.3589602890072617	5.441842264411063					False
ABCC1	0.07365120000759973	0.07365120000759973	0.6612409366405754	-0.44987912029595023	0.44987912029595023	0.2239476165564964	0.06842896199500803	0.06842896199500803	0.7670992904972065	-0.390775526022213	0.390775526022213	0.027031807978379094	0.261765160151775	0.2296022440086105	0.44987912029595023	0.27485447611101527	7.492248925702974					False
ABCC10	0.006986740561405469	0.006986740561405469	0.933999433279298	-0.12742434208505227	0.12742434208505227	0.3881821495294079	0.16602903384816337	0.16602903384816337	0.5707185643816434	-0.20871945468091369	0.20871945468091369	0.16853864500967983	0.06720554132322887	0.18737424426453853	0.20871945468091369	0.1389226873491737	7.600561368393909					False
ABCC11	-0.07482369334795069	0.07482369334795069	0.8751541310682955	0.033272676988533756	0.033272676988533756	0.9453690390499807	-0.4386631125830238	0.4386631125830238	0.5574800979220715	-0.7673098347070438	0.7673098347070438	0.07163843875902146	0.054048185168242224	0.6029864736450339	0.7673098347070438	0.3912019730209817	1.250364549888583					False
ABCC12	0.12213476462295225	0.12213476462295225	0.8567909179625495	-0.6902114495783485	0.6902114495783485	0.20520674361190885	0.17500561265900916	0.17500561265900916	0.8382714871161423	-1.487540726602274	1.487540726602274	0.013973135942297958	0.40617310710065035	0.8312731696306416	1.487540726602274	0.7428399366851642	1.9264621924539649					False
ABCC13	0.04832848440386028	0.04832848440386028	0.5136483246030326	-0.8500716374635102	0.8500716374635102	0.13308834535698175	0.7229901970789356	0.7229901970789356	0.29696793415991607	-1.444907525571356	1.444907525571356	0.1288127709269708	0.44920006093368525	1.0839488613251458	1.444907525571356	0.8634791846211213	3.134691965479516					False
ABCC2	0.5051820896280956	0.5051820896280956	0.11465287611339385	0.3977699426653487	0.3977699426653487	0.140011853045488	-0.21731512202176528	0.21731512202176528	0.768946937152109	-0.08705640382776281	0.08705640382776281	0.7363714380236599	0.45147601614672217	0.15218576292476405	0.5051820896280956	0.33088106097750775	5.2895219484976606					False
ABCC3	0.0	0.0		0.1560644498923855	0.1560644498923855	0.677854186986891	0.3853927068098217	0.3853927068098217	0.49999999999999956	-0.0661458435310378	0.0661458435310378	0.8819132703238902	0.07803222494619275	0.22576927517042975	0.3853927068098217	0.18525674387995558	0.2158179892376916					False
ABCC4	0.2699778754696185	0.2699778754696185	0.18586798050306133	0.4523132594285082	0.4523132594285082	0.07304188183467773	0.26122741808668604	0.26122741808668604	0.5538080092758022	0.840831860117019	0.840831860117019	0.011053263269653136	0.36114556744906334	0.5510296391018525	0.840831860117019	0.5110510685385381	6.789036470315626					False
ABCC5	0.8467186961480273	0.8467186961480273	0.012836427703661073	0.15649702502389928	0.15649702502389928	0.27655391971173526	0.22372691245765886	0.22372691245765886	0.4445831677967883	0.3099151650977454	0.3099151650977454	0.03962688783923477	0.5016078605859633	0.26682103877770214	0.8467186961480273	0.4502864848912891	8.855184436938435					False
ABCC5-AS1	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
ABCC6	0.8770333190532265	0.8770333190532265	0.1886297374709586	0.403129597895757	0.403129597895757	0.12179195123050265	-0.4067607987250715	0.4067607987250715	0.3382793028103809	-0.11852669298281726	0.11852669298281726	0.8384717843182705	0.6400814584744917	0.26264374585394434	0.8770333190532265	0.5121727045769335	1.2321301217382048					False
ABCC6P1	-0.03534806632903434	0.03534806632903434	0.8950455737347027	0.018312692584899815	0.018312692584899815	0.5483020097225065	0.5608611254508086	0.5608611254508086	0.22800371534607516	-0.44654826680839144	0.44654826680839144	0.1423733236161604	0.026830379456967077	0.5037046961296	0.5608611254508086	0.30749519317292995	0.27543442440145455					False
ABCC6P2	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
ABCC8	3.548822120400013	3.548822120400013	0.03635696717859346	-1.8091089144623689	1.8091089144623689	0.18657394315456413	-0.173140925887306	0.173140925887306	0.8280839766887239	-1.0077697914328128	1.0077697914328128	0.05566615630680488	2.678965517431191	0.5904553586600594	3.548822120400013	1.908154964096252	2.444546756199351					False
ABCC9	-0.16185565979325026	0.16185565979325026	0.49999999999999956	-0.13145779080674705	0.13145779080674705	0.49999999999999956	0.0	0.0		0.0	0.0		0.14665672529999865	0.0	0.16185565979325026	0.08597511938474946	0.03666418132499966					False
ABCD1	-0.26963881316634364	0.26963881316634364	0.5613870252607853	-0.4668144948720876	0.4668144948720876	0.19110166928154163	-0.2502083838642033	0.2502083838642033	0.6900139775526191	-0.5332761186756425	0.5332761186756425	0.24329700056090908	0.3682266540192156	0.3917422512699229	0.5332761186756425	0.40188326207757974	6.836171571940857					False
ABCD1P2	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
ABCD1P3	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
ABCD1P4	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
ABCD1P5	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
ABCD2	0.5421836190226843	0.5421836190226843	0.0008692436660939192	-0.2214396088919784	0.2214396088919784	0.620315276712861	0.3279572246430296	0.3279572246430296	0.04453448005787044	0.044181234077987575	0.044181234077987575	0.7824457937254689	0.3818116139573313	0.1860692293605086	0.5421836190226843	0.32083230699660054	0.4081035314382662					False
ABCD3	0.42980575095346296	0.42980575095346296	0.04658082484075647	0.8687714140448897	0.8687714140448897	0.06265170790234999	0.07799395592960146	0.07799395592960146	0.4134743392001766	1.0097738775220222	1.0097738775220222	0.005233064108167205	0.6492885824991763	0.5438839167258118	1.0097738775220222	0.6556130535995696	8.569265015804477					False
ABCD4	0.9076086490792505	0.9076086490792505	0.02935457724739347	-0.23551301419180426	0.23551301419180426	0.05421095767093668	0.29760209873416166	0.29760209873416166	0.3826510302021758	-0.24379538564249525	0.24379538564249525	0.1547782057675953	0.5715608316355274	0.27069874218832846	0.9076086490792505	0.49062676722154547	7.90627267217601					False
ABCE1	0.15378487390967344	0.15378487390967344	0.1355184031192505	0.0999715572549853	0.0999715572549853	0.40330252296384145	0.17552765606977871	0.17552765606977871	0.24086394247181733	-0.011206338365202129	0.011206338365202129	0.9014888677020492	0.12687821558232937	0.09336699721749042	0.17552765606977871	0.11946618492417686	10.216288206514754					False
