sample_name	stage	POU5F1	NANOG	SOX2	KLF4	DPPA3	ZSCAN4	KLF17	TFAP2C	GDF3
Average Oocyte(RPKM)	oocyte	-1.3164333380007702	-0.9208456701112633	-0.908779804461922	-1.284489266155705	0.2974830438011055	-0.8729556695829782	-0.8911738317844432	-1.3718851245111212	-0.7607128186950439
Oocyte #1(RPKM)	oocyte	-1.487130145130568	-0.9526088815749567	-0.9311396631130351	-1.4013497329029219	0.28639928060088043	-0.8222638005454669	-0.8911738317844432	-1.336545773261517	-0.7607128186950439
Oocyte #2(RPKM)	oocyte	-1.3608042082384735	-0.9162239520203089	-0.8665306037448969	-1.24109045045892	0.21379087937697078	-0.9008480628258438	-0.8911738317844432	-1.344359985749178	-0.7607128186950439
Oocyte #3(RPKM)	oocyte	-1.152928040356407	-0.8957209150468497	-0.9311396631130351	-1.2285164539824336	0.37767909678499695	-0.9008480628258438	-0.8911738317844432	-1.4412761584347709	-0.7607128186950439
Average Zygote(RPKM)	zygote	-1.0105794286909413	-0.907925071411704	-0.9311396631130351	-1.238781699416316	0.4777769420408125	-0.8831343444848472	-0.8911738317844432	-1.3128707216462736	-0.7607128186950439
Zygote #1(RPKM)	zygote	-0.9607729426168076	-0.8818369985067117	-0.9311396631130351	-1.2273881931941937	0.3566856940042682	-0.9008480628258438	-0.8911738317844432	-1.379726280648912	-0.7607128186950439
Zygote #2(RPKM)	zygote	-0.9753079821067951	-0.9367013112803932	-0.9311396631130351	-1.3345708991035026	0.5979542411454456	-0.849637483596274	-0.8911738317844432	-1.1586244127983674	-0.7607128186950439
Zygote #3(RPKM)	zygote	-1.1067996808028806	-0.9066916312091448	-0.9311396631130351	-1.168131793697177	0.44615591063576726	-0.9008480628258438	-0.8911738317844432	-1.4412761584347709	-0.7607128186950439
2-cell embryo#1 -Cell#1(RPKM)	2-cell	-1.0204752679659186	-0.9208456701112633	-0.9311396631130351	-1.284070472973333	0.7536803791261601	-0.9008480628258438	-0.8911738317844432	-1.30204628515189	-0.7607128186950439
2-cell embryo#1 -Cell#2(RPKM)	2-cell	-1.1937295767885987	-0.9187397742977187	-0.9311396631130351	-1.2349562562076413	0.7310373395224907	-0.8547368530110355	-0.8911738317844432	-1.3680059375119786	-0.7607128186950439
2-cell embryo#2 -Cell#1(RPKM)	2-cell	-1.0217422306228772	-0.9406326263256327	-0.9311396631130351	-1.2543691847844334	0.8348838140367437	-0.9008480628258438	-0.8911738317844432	-1.3411289564036262	-0.7607128186950439
2-cell embryo#2 -Cell#2(RPKM)	2-cell	-0.9204161690305587	-0.8881377797151466	-0.9311396631130351	-1.272478202277222	0.7767292735402319	-0.9008480628258438	-0.8523970631515169	-1.1976646201682533	-0.7607128186950439
2-cell embryo#3 -Cell#1(RPKM)	2-cell	-0.9975383390109446	-0.9026012539631232	-0.9311396631130351	-1.289541081984818	0.9379905289380845	-0.8449381446606014	-0.8911738317844432	-1.4412761584347709	-0.7607128186950439
2-cell embryo#3 -Cell#2(RPKM)	2-cell	-0.9680894318477048	-0.9062811364854054	-0.9311396631130351	-1.197809214592588	0.8872789343090384	-0.9008480628258438	-0.8911738317844432	-1.4412761584347709	-0.7607128186950439
4-cell embryo#2 -Cell#1(RPKM)	2-cell	-0.4352037143197652	-0.9441523616561753	0.01552326947637724	-1.2912359082104519	0.45790602829341687	0.8542684591402117	0.02974430544176238	-0.05680799318678036	-0.7607128186950439
4-cell embryo#2 -Cell#2(RPKM)	2-cell	-0.7768751751573376	-0.9494772318853101	-0.5709463635880879	-1.4013497329029219	0.657712348311659	0.3464458745308577	-0.8911738317844432	-1.4412761584347709	-0.7607128186950439
4-cell embryo#2 -Cell#3(RPKM)	2-cell	-0.6584642539610288	-0.7258660508266866	-0.6030513973456086	-0.3904178759818137	0.4549597489944048	0.7882707204405647	-0.20056436630788066	-0.49518420331811774	-0.7607128186950439
4-cell embryo#2 -Cell#4(RPKM)	2-cell	-0.011671563441234515	-0.8806640895865133	-0.8762849731883031	-0.6938685291537682	0.637927140387798	-0.8489626335760577	-0.8911738317844432	-1.295652099143354	-0.7607128186950439
8-cell embryo#2 -Cell#1(RPKM)	2-cell	0.3419894357904575	1.176743025803739	1.336303063511729	0.47583654208247	0.5178583697988428	1.6476449147544778	1.5182427053348837	1.3445343442603657	0.06040322469036289
8-cell embryo#2 -Cell#2(RPKM)	2-cell	0.033912556633775646	1.2452180142082658	0.8852691756995611	0.5526809445147568	0.3269052581698583	1.6181334373664427	1.5128805412015973	1.3674002128755405	0.8809098986144324
8-cell embryo#2 -Cell#3(RPKM)	2-cell	0.5398216145620176	0.896970986927777	1.9341640400984867	0.9404153769376051	0.33283462644957623	1.7205520988533687	1.3401601777832624	1.041993847517321	0.5345741397725978
8-cell embryo#2 -Cell#4(RPKM)	2-cell	0.057242607670395594	1.4086934332913368	1.2970386651139658	1.0451241183840982	0.20265312012938208	1.5932252754748093	1.4600904764240707	1.1513959244932153	1.1059582106041157
8-cell embryo#2 -Cell#5(RPKM)	2-cell	0.19946235856769318	1.219589336104235	1.5307836950741887	0.2511934991225167	0.30600355020143405	1.5995813048010747	1.5520305596463406	1.3440559482213212	0.7197728901750561
8-cell embryo#2 -Cell#6(RPKM)	2-cell	0.18494536072946985	1.2933803785947318	1.4415700071371467	0.8805845465542061	0.6426904245093794	1.450737039314757	1.3232511191234921	1.2266800580843285	-0.2466072980922903
8-cell embryo#2 -Cell#7(RPKM)	2-cell	0.011315376052263027	1.2643602176121167	1.5408930689977214	0.6731807994264005	0.6309621980388369	1.522348170773811	1.4160505338287346	1.0805615646516995	0.04647326348548387
8-cell embryo#2 -Cell#8(RPKM)	2-cell	0.006152675016089504	0.8291494511119802	1.6746450540703022	1.2078154636494278	0.5620370912087091	1.3790894660061594	1.3583670984106528	1.2339167415399035	0.720435900927524
Average 2-cell embryo(RPKM)	2-cell	-1.0142525561776214	-0.912472988656557	-0.9311396631130351	-1.2543691847844334	0.8262538359750294	-0.8831343444848472	-0.8845451016568813	-1.3420501787847021	-0.7607128186950439
4-cell embryo#1 -Cell#1(RPKM)	4-cell	-0.9803906328447974	-0.8736818840294314	-0.9311396631130351	-1.4013497329029219	0.33975489232720096	0.5305614295633705	-0.8911738317844432	-1.2076913322356593	-0.7607128186950439
4-cell embryo#1 -Cell#2(RPKM)	4-cell	-0.6844244728837455	-0.2025464268837972	-0.9311396631130351	-1.4013497329029219	0.25417307964933644	0.6660999718865435	-0.8911738317844432	-1.377263929048068	-0.7607128186950439
4-cell embryo#1 -Cell#3(RPKM)	4-cell	-0.4379345487521744	-0.9336641232960214	-0.9311396631130351	-1.4013497329029219	0.22436042232320758	0.45539100303126834	-0.8911738317844432	-1.4412761584347709	-0.7607128186950439
4-cell embryo#1 -Cell#4(RPKM)	4-cell	-1.3369427457079912	-0.07630962130732544	-0.8324475855987423	-0.15551895360560233	0.30738641784754195	0.35590178319204063	-0.8911738317844432	-1.1682967971973204	-0.7607128186950439
4-cell embryo#3 -Cell#1(RPKM)	4-cell	-0.5292442147297228	-0.704865863138651	-0.5847509924535058	-1.0868760178087056	0.5666439866125323	0.2586980925599069	-0.8911738317844432	-0.7220133486625727	-0.7607128186950439
4-cell embryo#3 -Cell#2(RPKM)	4-cell	-0.5037672398143622	-0.9746088937122842	-0.9311396631130351	-0.8455688042300723	0.5041422516486175	0.029879113446778238	-0.5920117438743902	-1.3612822954991775	-0.7607128186950439
4-cell embryo#3 -Cell#3(RPKM)	4-cell	-0.5362579198409592	-0.7465469136163514	-0.8534473409356454	-0.6355267727042317	0.43599580133724974	0.44625664675696436	-0.8911738317844432	-0.8458214715603893	-0.7607128186950439
4-cell embryo#3 -Cell#4(RPKM)	4-cell	-0.5103260459970606	-0.9680951088717921	-0.9311396631130351	-0.8953378770564644	0.472610158318531	0.6122312102766015	-0.8911738317844432	-1.1163155932351625	-0.7607128186950439
Average 4-cell embryo(RPKM)	4-cell	-0.5375345090723753	-0.6472835215657354	-0.6635454611975755	-0.7917159294832813	0.46205154149227673	0.5175032945734787	-0.5559488620194671	-0.8503414592472117	-0.7607128186950439
