sample_id,stage,z1,z2
GSM2146951,MII oocyte,6.522827546469642,-2.9040136263702583
GSM2146952,MII oocyte,7.738366956307275,-0.4683835194095858
GSM2146953,MII oocyte,7.743025547529794,-1.163545884623679
GSM2146954,MII oocyte,7.5401908375565725,-2.020567255974329
GSM2481532,2-cell,-3.724944968086662,-1.0216032452471489
GSM2481533,2-cell,-1.9956339823988585,-1.3412877043813596
GSM2481534,2-cell,-1.8251104429525744,-0.5383561995016144
GSM2481535,2-cell,-2.073703616801915,-2.428611474905135
GSM2481536,4-cell,-3.9049678091744466,-2.9811415225354714
GSM2481537,4-cell,-4.32504167145117,-1.8016624259163585
GSM2481538,4-cell,-4.422025177501651,-3.2617758558455674
GSM2481539,4-cell,-3.698158520029932,-3.4268634236050453
GSM2481540,4-cell,-3.78382176642356,-0.4539795843454995
GSM2481541,4-cell,-3.490344409512009,-0.8940971320654897
GSM2481542,4-cell,-5.582005801826469,-1.5123219377365718
GSM2481543,4-cell,-4.495364687386601,-2.7532165043426096
GSM2481544,4-cell,-4.654554215777397,-2.486726870328386
GSM2481545,4-cell,-4.657798022686278,-2.698092995160392
GSM2481546,4-cell,-5.552414676458212,-2.4555996276877683
GSM2481547,4-cell,-5.198711422822123,-2.9845669824579035
GSM2481548,4-cell,-4.1636310780808845,-2.649616655117749
GSM2481549,4-cell,-5.92857994505842,-1.0161616791318941
GSM2481550,4-cell,-6.770994023042169,-0.8470723522684044
GSM2481551,4-cell,-6.066346412923791,-2.1126397507001653
GSM2481552,4-cell,-3.9025702157108975,-1.7853757311553016
GSM2481554,zygote/PN,1.9493795803783087,0.7166242841733621
GSM2481555,zygote/PN,1.0138670798323175,2.6097378172711143
GSM2481556,MII oocyte,6.042954774440951,-2.8171965891554382
GSM2481557,MII oocyte,6.167268239926464,-3.3224367792291924
GSM2481558,zygote/PN,0.7306103681018937,5.359357290827781
GSM2481559,zygote/PN,2.1215526992137748,2.4304990076544675
GSM2481560,zygote/PN,-0.9283496448106988,4.790552143186036
GSM2481561,zygote/PN,2.6249462152099325,0.5355326189746101
GSM2481562,zygote/PN,3.2183535544676087,0.8862186084028597
GSM2481563,zygote/PN,0.005791598204168106,7.412458759509497
GSM2481564,zygote/PN,3.062111995872445,-0.375794491320884
GSM2481565,zygote/PN,0.2120326348002286,6.777078589839087
GSM2481566,zygote/PN,2.007703142569081,0.7288579158277172
GSM2481567,zygote/PN,1.799729518191295,2.851376650940906
GSM2481570,MII oocyte,6.359727925342066,-2.428909656089845
GSM2481571,zygote/PN,-1.6150552622640801,7.094815313501947
GSM2481572,zygote/PN,1.7624617773631877,2.241765563792245
GSM2481573,zygote/PN,3.366627872055441,0.00656762660328502
GSM2481574,zygote/PN,-1.3741950597703256,4.637000004914544
GSM2481575,zygote/PN,1.4953146079865711,2.7373456410432744
GSM2481576,zygote/PN,1.0670023656331882,5.195190505605627
GSM2481577,zygote/PN,-1.7506735578302224,9.785228785841927
GSM2481578,zygote/PN,4.062720318279468,0.8981495475103602
GSM2481581,MII oocyte,7.096397127517178,-2.76106503145556
GSM2481586,MII oocyte,7.021999541811736,-2.6464431738230534
GSM2481587,MII oocyte,6.9964008581192125,-2.4223095908021706
GSM2481588,MII oocyte,7.307688871962111,-2.454707469159568
GSM2481589,MII oocyte,6.445200359675102,-3.253194901735853
GSM2481590,MII oocyte,7.788061969995776,-1.2427068125979408
GSM2481591,MII oocyte,6.76516543912596,-2.0152900576529
GSM2481592,blastocyst,-4.597683937624208,-0.25394905089030834
GSM2481593,blastocyst,-3.87310161841902,-0.9091335327337
GSM2481594,blastocyst,-3.6919549481395486,-1.3774058301191012
GSM2481595,blastocyst,-4.270640237834711,0.1113724315275447
GSM2481614,MII oocyte,6.096274854190755,-2.1366084144220405
GSM2481615,MII oocyte,7.383973811914693,-1.2750396684635523
GSM2481618,8-cell,-1.504149099384309,-0.8920406615241673
GSM2481619,8-cell,-1.2434707740623794,-1.0677288866633834
GSM2481620,8-cell,-1.5745719454138185,-1.6251411841459131
GSM2481621,8-cell,-2.562854477119016,-1.0088802084501578
GSM2481622,8-cell,-1.4903263350755185,-1.3469819334565611
GSM2481623,8-cell,-1.8043864001745455,-1.8024258151087744
GSM2481624,8-cell,-2.2485604801000867,-0.4972473672865272
GSM2481626,8-cell,-3.192346436331037,-2.139409115765267
GSM2481627,8-cell,-2.2481166231373537,-1.578800339878438
