z1,z2,FK_x,FK_y,Fentry_x,Fentry_y,Fexit_x,Fexit_y,Fzga_x,Fzga_y,Fwrong_exit_x,Fwrong_exit_y,gM,g8,gB
-4.0,-4.0,1.276945306670482,1.7106753612380177,-0.42055132042076754,0.11308207987527441,-0.14712451385363376,-0.07212237591524424,0.6562140916375214,0.4465187529967488,0.14712451385363376,0.07212237591524424,0.1638513340939725,0.43548934533109185,0.025057793772154186
-3.9,-4.0,1.2330553066704821,1.7106753612380177,-0.4282343571105193,0.11514797225617554,-0.14965784930836937,-0.07336425034663659,0.6540381929450167,0.4450381697797686,0.14965784930836937,0.07336425034663659,0.16667268849028297,0.44344528425152413,0.02466762351295787
-3.8,-4.0,1.189165306670482,1.7106753612380177,-0.4356363823424959,0.11713830344258985,-0.15190011607286563,-0.07446343906954475,0.651239592772774,0.443133871358002,0.15190011607286563,0.07446343906954475,0.1691698821335041,0.4511102301591307,0.02413524393861051
-3.7,-4.0,1.1452753066704822,1.7106753612380177,-0.4427381097099338,0.11904788751098261,-0.1538370200120169,-0.07541293491053123,0.6478263527633814,0.4408113432500344,0.1538370200120169,0.07541293491053123,0.17132699576555002,0.45846421159205336,0.023470155895491025
-3.6,-4.0,1.1013853066704822,1.7106753612380177,-0.4495208067726016,0.12087168749392642,-0.15545609647853378,-0.07620662753520034,0.643808273629117,0.4380772543187881,0.15545609647853378,0.07620662753520034,0.17313014761353415,0.46548783073191247,0.02268402704525654
-3.5,-4.0,1.057495306670482,1.7106753612380177,-0.45596637706171583,0.12260483743040992,-0.15674684387481827,-0.07683936892198966,0.639196848266011,0.4349394248681382,0.15674684387481827,0.07683936892198966,0.17456764213650627,0.4721623483215457,0.02179035165169244
-3.4,-4.0,1.0136053066704822,1.7106753612380177,-0.4620574402851537,0.12424266393222427,-0.15770083708342625,-0.077307028967278,0.6340052069867854,0.4314067893768438,0.15770083708342625,0.077307028967278,0.17563009635200508,0.47846976671911795,0.020804065951806158
-3.3,-4.0,0.9697153066704819,1.7106753612380177,-0.4677774102370935,0.12578070713309275,-0.15831181905228522,-0.07760654038166621,0.6282480552378988,0.4274893541183125,0.15831181905228522,0.07760654038166621,0.17631054183374512,0.4843929105751199,0.01974113440063781
-3.2,-4.0,0.9258253066704821,1.7106753612380177,-0.47311056992449463,0.12721474088943643,-0.15857576914192972,-0.07773593219469299,0.6219416042141201,0.4231981499475124,0.15857576914192972,0.07773593219469299,0.1766045008293582,0.4899155046273482,0.018618122740565082
-3.1,-4.0,0.8819353066704823,1.7106753612380177,-0.47804214343502305,0.1285407921049466,-0.15849094719032797,-0.07769435135599352,0.6151034948287252,0.41854518056673823,0.15849094719032797,0.07769435135599352,0.17651003533502033,0.4950222481215867,0.01745177372167572
-3.0,-4.0,0.8380453066704822,1.7106753612380177,-0.482558364087082,0.12975515905545226,-0.1580579126196845,-0.07748207210170611,0.607752715538184,0.41354336660968616,0.1580579126196845,0.07748207210170611,0.17602776837453724,0.49969888538233326,0.016258600429808475
-2.9,-4.0,0.7941553066704821,1.7106753612380177,-0.4866465384224265,0.13085442859589963,-0.1572795182917291,-0.07710049294225385,0.5999095145567854,0.4082064859081796,0.1572795182917291,0.07710049294225385,0.1751608771560313,0.5039322720784379,0.015054510645241924
-2.8,-4.0,0.7502653066704821,1.7106753612380177,-0.49029510562530343,0.13183549213756973,-0.15616087920591148,-0.07655212131778694,0.5915953070287402,0.4025491103277271,0.15616087920591148,0.07655212131778694,0.173915058211384,0.5077104367528174,0.0138544735748724
-2.7,-4.0,0.7063753066704822,1.7106753612380177,-0.49349369197899307,0.13269556029090238,-0.15470931652097508,-0.07584054615682038,0.5828325777526786,0.3965865395767222,0.15470931652097508,0.07584054615682038,0.17229846505353355,0.5110226372132977,0.012672237816739306
-2.5999999999999996,-4.0,0.662485306670482,1.7106753612380177,-0.4962331600008393,0.13343217607741858,-0.15293427775695606,-0.07497039875820216,0.57364478007595,0.3903347324093969,0.15293427775695606,0.07497039875820216,0.17032161930611192,0.513859411412926,0.0115201066854107
-2.5,-4.0,0.6185953066704821,1.7106753612380177,-0.4985056519301017,0.1340432266231728,-0.15084723439437098,-0.07394730259288519,0.564056231593591,0.38381023565452266,0.15084723439437098,0.07394730259288519,0.16799729666052113,0.5162126224825156,0.01040877421121547
-2.4,-4.0,0.5747053066704821,1.7106753612380177,-0.5003046272789902,0.13452695325585373,-0.1484615584232334,-0.07277781278662812,0.5540920072991692,0.37703011151024746,0.1484615584232334,0.07277781278662812,0.16534038938961107,0.5180754976154968,0.009347222379876811
-2.3,-4.0,0.530815306670482,1.7106753612380177,-0.5016248941957415,0.13488195993800464,-0.1457923797001823,-0.07146934619457959,0.5437778308419211,0.37001186355036864,0.1457923797001823,0.07146934619457959,0.16236774748751268,0.5194426605450129,0.008342677639780138
