z1,z2,in_morula_basin,in_8cell_basin,in_blast_basin,dist_morula,dist_8cell,dist_blast
-4.0,-4.0,0,0,0,4.054210995748152,4.146902948707813,3.469520606776937
-3.9,-4.0,0,0,0,4.0350326827979925,4.101497832318106,3.476897442841171
-3.8,-4.0,0,0,0,4.01825219522751,4.058049392382835,3.487127530679247
-3.7,-4.0,0,0,0,4.003899681267432,4.016621126460308,3.500185852552234
-3.6,-4.0,0,0,0,3.992001329014833,3.977276162907957,3.5160408970307038
-3.5,-4.0,0,0,0,3.982579134688843,3.9400769127701576,3.5346550293880368
-3.4,-4.0,0,0,0,3.975650703628486,3.905084695759234,3.555984921785216
-3.3,-4.0,0,0,0,3.9712290881368726,3.8723593432895096,3.5799820322383575
-3.2,-4.0,0,0,0,3.9693226656026797,3.841958782453312,3.606593120707567
-3.1,-4.0,0,0,0,3.96993505952804,3.813938605769462,3.6357607904702443
-3.0,-4.0,0,0,0,3.9730651051892725,3.7883516324500923,3.667424043208868
-2.9,-4.0,0,0,0,3.9787068606866964,3.7652474677763017,3.701518836895491
-2.8,-4.0,0,0,0,3.9868496631398243,3.744672067899194,3.737978636519719
-2.7,-4.0,0,0,0,3.997478228793857,3.7266673179414607,3.776734948902754
-2.5999999999999996,-4.0,0,0,0,4.010572794861554,3.7112706316195228,3.8177178341843385
-2.5,-4.0,0,0,0,4.026109300067046,3.6985145806972484,3.8608563879837363
-2.4,-4.0,0,0,0,4.044059600115841,3.6884265623892687,3.9060791896504723
-2.3,-4.0,0,0,0,4.064391713712133,3.681028512338269,3.9533147133773903
-2.2,-4.0,0,0,0,4.087070094296718,3.6763366699958078,4.00249170020274
-2.0999999999999996,-4.0,0,0,0,4.112055922394214,3.674361402157446,4.053539490047863
-2.0,-4.0,0,0,0,4.139307413336206,3.675107089075502,4.106388313903492
-1.9,-4.0,0,0,0,4.168780135159782,3.6785720760482024,4.1609695470826065
-1.7999999999999998,-4.0,0,0,0,4.2004273316539535,3.684748691727857,4.217215925102069
-1.6999999999999997,-4.0,0,0,0,4.234200245820726,3.693623332677376,4.275061724246817
-1.5999999999999996,-4.0,0,0,0,4.270048439410382,3.7051766120128877,4.334442909222111
-1.5,-4.0,0,0,0,4.307920104657674,3.7193835683774097,4.395297250527148
-1.4,-4.0,0,0,0,4.347762364862703,3.7362139300666986,4.457564414304875
-1.2999999999999998,-4.0,0,0,0,4.389521561004031,3.7556324279318147,4.521186027455942
-1.1999999999999997,-4.0,0,0,0,4.433143522120845,3.777599149756574,4.586105720766641
-1.0999999999999996,-4.0,0,0,0,4.478573817737601,3.8020699281773034,4.652269152707545
-1.0,-4.0,0,0,0,4.525757991113477,3.8289967538845913,4.719624016425444
-0.8999999999999999,-4.0,0,0,0,4.574641772568672,3.8583282058123713,4.7881200322888215
-0.7999999999999998,-4.0,0,0,0,4.62517127256202,3.8900098902542504,4.8577089281667725
-0.6999999999999997,-4.0,0,0,0,4.677293154564477,3.92398488131446,4.928344409431715
-0.5999999999999996,-4.0,0,0,0,4.730954788088601,3.9601941557571427,4.999982120484283
-0.5,-4.0,0,0,0,4.786104382495351,3.998577016114808,5.07257959940977
-0.3999999999999999,-4.0,0,0,0,4.842691102408241,4.039071496805939,5.146096227193371
-0.2999999999999998,-4.0,0,0,0,4.900665165724617,4.081614748946641,5.220493172749057
-0.19999999999999973,-4.0,0,0,0,4.959977925328845,4.126143400480323,5.2957333348560125
-0.09999999999999964,-4.0,0,0,0,5.020581935687553,4.172593889157666,5.371781281948368
0.0,-4.0,0,0,0,5.082431005547927,4.22090276674842,5.448603190568801
0.10000000000000053,-4.0,0,0,0,5.145480237971735,4.271006973636667,5.526166783174589
0.20000000000000018,-4.0,0,0,0,5.2096860589252785,4.322844083628464,5.604441265875471
0.2999999999999998,-4.0,0,0,0,5.275006235613674,4.376352519378459,5.683397266585675
0.40000000000000036,-4.0,0,0,0,5.341399885700928,4.431471739318526,5.763006773986926
0.5,-4.0,0,0,0,5.408827478499257,4.488142397349635,5.843243077624347
0.6000000000000005,-4.0,0,0,0,5.477250829145163,4.546306476844242,5.924080709392008
0.7000000000000002,-4.0,0,0,0,5.546633086708919,4.605907400708841,6.005495386608518
0.8000000000000007,-4.0,0,0,0,5.616938717110671,4.66689011938497,6.087463956834723
0.9000000000000004,-4.0,0,0,0,5.688133481642252,4.729201178732157,6.1699643445442645
1.0,-4.0,0,0,0,5.760184411820714,4.792788769748798,6.252975499722768
1.1000000000000005,-4.0,0,0,0,5.833059781228466,4.857602762056483,6.336477348442024
1.2000000000000002,-4.0,0,0,0,5.906729074926988,4.923594723009535,6.420450745430926
