geo_accession	sample	population	individual	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	meth	total	beta
GSM2948422	SP1_RRBS	SP	1	cluster_1523	53	0.0286577847525831	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4907	54	0.0281918746673707	M08	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3660	55	-0.0267335027684852	M04	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5064	56	-0.0265140525538444	M07	13.0	60.0	0.21666666666666667
GSM2948422	SP1_RRBS	SP	1	cluster_4532	57	0.0255573795701712	M13	1.0	12.0	0.08333333333333333
GSM2948422	SP1_RRBS	SP	1	cluster_3762	58	0.0254792161705422	M07	7.0	92.0	0.07608695652173914
GSM2948422	SP1_RRBS	SP	1	cluster_6518	59	0.0249569027227029	M04	59.0	112.0	0.5267857142857143
GSM2948422	SP1_RRBS	SP	1	cluster_1715	60	-0.0242076987155792	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_7425	61	0.0238933079941673	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1333	62	-0.023856994352479	M04	1.0	3.0	0.3333333333333333
GSM2948422	SP1_RRBS	SP	1	cluster_5928	63	0.0236668655051044	M04	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1688	64	0.0232575833755816	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5215	65	0.0225779114774131	M13	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1806	66	0.0225683910443349	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_840	67	0.0225100814059266	M13	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_2776	68	-0.0224303631697264	M14	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6406	69	0.0215921505818914	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6171	70	0.0212502803673657	M04	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_2324	71	0.0206743665662644	M14	16.0	63.0	0.25396825396825395
GSM2948422	SP1_RRBS	SP	1	cluster_2126	72	0.020437472066274	M02	0.0	3.0	0.0
GSM2948422	SP1_RRBS	SP	1	cluster_3133	73	-0.0204314138955557	M14	5.0	42.0	0.11904761904761904
GSM2948422	SP1_RRBS	SP	1	cluster_915	74	-0.0199935342096491	M07	1.0	5.0	0.2
